0pol_90_110_at_750.00nm_cut_at_984.50Y_01.dat
24.04.2023
10:42:22
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	12013.532
586.124	11735.511
586.252	11621.617
586.380	11688.447
586.508	11751.468
586.637	11838.574
586.765	11856.362
586.893	11908.319
587.021	11898.872
587.149	11996.809
587.277	11944.894
587.405	12002.979
587.533	11930.234
587.662	12108.660
587.790	12088.319
587.918	12023.660
588.046	12050.170
588.174	11960.553
588.302	12111.638
588.430	12069.957
588.558	12012.447
588.687	12062.298
588.815	12066.596
588.943	12024.149
589.071	12031.809
589.199	12079.532
589.327	12060.702
589.455	11961.277
589.583	12142.979
589.712	12121.596
589.840	12035.426
589.968	12010.340
590.096	12041.170
590.224	12110.234
590.352	12061.681
590.480	12113.191
590.608	12122.213
590.737	12215.766
590.865	12185.787
590.993	12121.191
591.121	12170.894
591.249	12180.511
591.377	12166.809
591.505	12178.255
591.633	12215.787
591.762	12193.298
591.890	12385.979
592.018	12176.319
592.146	12174.234
592.274	12225.745
592.402	12218.638
592.530	12301.851
592.658	12556.468
592.787	12346.170
592.915	12506.426
593.043	12355.000
593.171	12446.574
593.299	12433.383
593.427	12417.404
593.555	12527.979
593.683	12506.574
593.812	12487.085
593.940	12566.745
594.068	12615.915
594.196	12689.106
594.324	12639.021
594.452	12678.936
594.580	12731.149
594.708	12742.064
594.837	12756.106
594.965	12819.830
595.093	12867.128
595.221	12879.638
595.349	13008.830
595.477	12908.149
595.605	12940.277
595.733	12940.766
595.862	13146.809
595.990	13002.957
596.118	13033.809
596.246	13169.574
596.374	13085.021
596.502	13107.298
596.630	13132.532
596.758	13088.957
596.887	13139.660
597.015	13195.532
597.143	13163.660
597.271	13175.447
597.399	13156.809
597.527	13112.787
597.655	13190.383
597.783	13109.191
597.912	13117.809
598.040	13154.915
598.168	13189.319
598.296	13152.915
598.424	13203.511
598.552	13153.340
598.680	13143.809
598.808	13243.021
598.937	13182.979
599.065	13126.787
599.193	13266.723
599.321	13322.362
599.449	13123.191
599.577	13084.851
599.705	13215.340
599.833	13156.106
599.962	13195.574
600.090	13264.617
600.218	13253.064
600.346	13314.702
600.474	13227.489
600.602	13237.426
600.730	13359.277
600.858	13307.043
600.987	13514.787
601.115	13395.319
601.243	13436.298
601.371	13446.702
601.499	13498.745
601.627	13621.851
601.755	13576.872
601.883	13690.021
602.012	13688.872
602.140	13635.511
602.268	13822.213
602.396	13759.298
602.524	13886.489
602.652	13884.064
602.780	13949.085
602.908	13951.851
603.037	13994.149
603.165	14014.830
603.293	14100.766
603.421	14095.319
603.549	14162.617
603.677	14253.830
603.805	14250.936
603.933	14341.638
604.062	14431.340
604.190	14413.532
604.318	14434.745
604.446	14507.809
604.574	14481.106
604.702	14610.872
604.830	14587.298
604.958	14610.745
605.087	14672.660
605.215	14688.064
605.343	14730.894
605.471	14820.745
605.599	14797.000
605.727	14840.915
605.855	14865.319
605.983	14881.319
606.112	14914.298
606.240	14941.468
606.368	14971.191
606.496	15190.723
606.624	14998.298
606.752	15063.851
606.880	15156.000
607.008	15224.085
607.137	15178.170
607.265	15046.319
607.393	15101.447
607.521	15181.404
607.649	15124.340
607.777	15105.468
607.905	15138.298
608.033	15123.532
608.162	15110.021
608.290	15112.085
608.418	15112.638
608.546	15150.511
608.674	15137.319
608.802	15108.489
608.930	15145.745
609.058	15187.660
609.187	15228.511
609.315	15271.702
609.443	15232.957
609.571	15264.234
609.699	15236.383
609.827	15283.660
609.955	15273.106
610.083	15214.021
610.212	15228.936
610.340	15238.851
610.468	15263.787
610.596	15307.340
610.724	15279.915
610.852	15243.915
610.980	15245.468
611.108	15333.979
611.237	15199.170
611.365	15286.638
611.493	15306.383
611.621	15339.106
611.749	15373.149
611.877	15399.234
612.005	15372.574
612.133	15432.660
612.262	15490.511
612.390	15454.319
612.518	15548.745
612.646	15612.723
612.774	15552.702
612.902	15604.957
613.030	15747.447
613.158	15813.957
613.287	15749.681
613.415	15741.106
613.543	15666.277
613.671	15662.617
613.799	15819.362
613.927	15741.638
614.055	15777.979
614.183	15919.255
614.312	15801.298
614.440	16008.660
614.568	15940.979
614.696	15978.064
614.824	16193.170
614.952	16095.255
615.080	16023.745
615.208	16118.915
615.337	16211.149
615.465	16232.596
615.593	16398.021
615.721	16549.936
615.849	16551.574
615.977	16560.064
616.105	16558.404
616.233	16578.234
616.362	16617.979
616.490	16571.532
616.618	16682.638
616.746	16723.936
616.874	16783.660
617.002	16730.894
617.130	16781.043
617.258	16966.617
617.387	16854.298
617.515	16869.319
617.643	16904.447
617.771	16947.489
617.899	16881.021
618.027	16915.745
618.155	17058.234
618.283	16960.000
618.412	16947.064
618.540	17016.596
618.668	16995.809
618.796	17055.468
618.924	17169.106
619.052	17079.170
619.180	17148.383
619.308	17160.660
619.437	17160.894
619.565	17124.085
619.693	17065.170
619.821	17120.170
619.949	17115.532
620.077	17246.340
620.205	17274.723
620.333	17212.021
620.462	17232.596
620.590	17273.723
620.718	17169.213
620.846	17257.255
620.974	17247.596
621.102	17242.447
621.230	17202.915
621.358	17337.830
621.487	17231.723
621.615	17228.106
621.743	17372.979
621.871	17276.702
621.999	17402.851
622.127	17312.319
622.255	17295.298
622.383	17300.766
622.512	17301.404
622.640	17501.511
622.768	17318.872
622.896	17297.660
623.024	17330.532
623.152	17483.766
623.280	17389.851
623.408	17282.766
623.537	17319.553
623.665	17352.702
623.793	17386.149
623.921	17305.532
624.049	17335.681
624.177	17246.085
624.305	17352.085
624.433	17340.957
624.562	17457.681
624.690	17359.128
624.818	17397.702
624.946	17563.447
625.074	17441.106
625.202	17377.872
625.330	17385.957
625.458	17501.574
625.587	17379.915
625.715	17495.574
625.843	17603.298
625.971	17523.553
626.099	17499.191
626.227	17538.085
626.355	17501.277
626.483	17600.021
626.612	17524.021
626.740	17561.277
626.868	17678.000
626.996	17624.851
627.124	17630.830
627.252	17643.170
627.380	17724.000
627.508	17762.617
627.637	17717.894
627.765	17723.660
627.893	17820.851
628.021	17835.170
628.149	18080.574
628.277	18163.957
628.405	18133.234
628.533	17915.681
628.662	17925.128
628.790	17946.894
628.918	17986.447
629.046	17976.915
629.174	18190.915
629.302	18357.468
629.430	18213.766
629.558	18198.915
629.687	18154.872
629.815	18177.064
629.943	18271.979
630.071	18299.894
630.199	18354.553
630.327	18358.596
630.455	18360.532
630.583	18533.170
630.712	18445.894
630.840	18473.426
630.968	18526.638
631.096	18483.128
631.224	18529.383
631.352	18582.319
631.480	18574.915
631.608	18643.128
631.737	18701.362
631.865	18754.957
631.993	18675.766
632.121	18795.745
632.249	18810.404
632.377	18785.021
632.505	18800.426
632.633	18723.277
632.762	18775.489
632.890	18815.489
633.018	18668.809
633.146	18880.277
633.274	18673.617
633.402	18735.383
633.530	18687.383
633.658	18853.085
633.787	18740.000
633.915	18792.766
634.043	18746.851
634.171	18776.043
634.299	18698.702
634.427	18783.426
634.555	18759.660
634.683	18708.128
634.812	18674.851
634.940	18607.043
635.068	18606.574
635.196	18703.660
635.324	18656.809
635.452	18632.915
635.580	18570.404
635.708	18592.489
635.837	18593.383
635.965	18500.872
636.093	18500.532
636.221	18572.106
636.349	18614.766
636.477	18519.830
636.605	18620.340
636.733	18352.106
636.862	18403.064
636.990	18480.894
637.118	18429.532
637.246	18500.702
637.374	18429.191
637.502	18385.085
637.630	18434.191
637.758	18362.979
637.887	18365.532
638.015	18319.149
638.143	18343.128
638.271	18338.787
638.399	18289.468
638.527	18295.000
638.655	18324.340
638.783	18462.681
638.912	18329.106
639.040	18307.340
639.168	18300.000
639.296	18304.957
639.424	18494.383
639.552	18328.702
639.680	18504.723
639.808	18413.638
639.937	18287.596
640.065	18317.021
640.193	18429.511
640.321	18380.532
640.449	18388.404
640.577	18482.234
640.705	18442.170
640.833	18544.957
640.962	18439.383
641.090	18429.723
641.218	18443.298
641.346	18528.404
641.474	18528.617
641.602	18489.128
641.730	18543.553
641.858	18558.447
641.987	18653.617
642.115	18572.830
642.243	18666.213
642.371	18742.000
642.499	18697.362
642.627	18733.553
642.755	18872.043
642.883	18856.000
643.012	18804.787
643.140	18744.936
643.268	18858.596
643.396	18898.809
643.524	19009.021
643.652	18902.979
643.780	18887.979
643.908	18990.787
644.037	19093.340
644.165	18931.830
644.293	18932.298
644.421	19011.660
644.549	19033.830
644.677	18964.830
644.805	19044.830
644.933	18989.255
645.062	19017.830
645.190	19002.021
645.318	19093.191
645.446	19038.660
645.574	19068.128
645.702	19038.213
645.830	19233.532
645.958	19049.702
646.087	19257.170
646.215	19001.872
646.343	19273.851
646.471	19168.383
646.599	19168.468
646.727	19041.319
646.855	19104.787
646.983	19096.979
647.112	19029.298
647.240	19239.426
647.368	19034.191
647.496	19100.277
647.624	19044.660
647.752	19015.340
647.880	19066.447
648.008	19043.596
648.137	18985.149
648.265	18968.681
