referenz led_at_750.00nm_cut_at_984.50Y_02.dat
24.04.2023
12:24:31
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	32770.617
586.124	31816.851
586.252	31440.170
586.380	31517.213
586.508	31556.851
586.637	31580.872
586.765	31694.085
586.893	31660.894
587.021	31628.000
587.149	31718.745
587.277	31637.532
587.405	31689.404
587.533	31577.447
587.662	31785.617
587.790	31611.702
587.918	31596.000
588.046	31617.766
588.174	31487.851
588.302	31643.723
588.430	31453.553
588.558	31419.043
588.687	31485.957
588.815	31297.596
588.943	31247.319
589.071	31151.447
589.199	31220.745
589.327	31167.426
589.455	31020.894
589.583	31151.532
589.712	31041.128
589.840	30943.532
589.968	30980.809
590.096	30950.043
590.224	30891.596
590.352	30896.851
590.480	30835.894
590.608	30847.255
590.737	30864.298
590.865	30762.851
590.993	30707.149
591.121	30780.170
591.249	30709.383
591.377	30796.298
591.505	30638.553
591.633	30728.106
591.762	30725.000
591.890	30763.319
592.018	30760.340
592.146	30706.681
592.274	30762.340
592.402	30726.149
592.530	30736.340
592.658	30941.723
592.787	30769.362
592.915	30952.532
593.043	30910.255
593.171	30869.021
593.299	30954.830
593.427	30983.489
593.555	31009.894
593.683	31020.404
593.812	31125.064
593.940	31087.894
594.068	31256.830
594.196	31351.511
594.324	31385.638
594.452	31377.298
594.580	31519.234
594.708	31610.766
594.837	31572.170
594.965	31699.723
595.093	31828.787
595.221	31726.809
595.349	31970.149
595.477	31939.213
595.605	31999.936
595.733	31959.128
595.862	32294.149
595.990	32091.830
596.118	32125.957
596.246	32368.362
596.374	32235.638
596.502	32346.915
596.630	32328.191
596.758	32369.128
596.887	32314.723
597.015	32289.638
597.143	32472.596
597.271	32312.830
597.399	32318.830
597.527	32300.106
597.655	32402.277
597.783	32242.957
597.912	32305.277
598.040	32222.319
598.168	32241.702
598.296	32283.894
598.424	32179.255
598.552	32159.745
598.680	32125.000
598.808	32142.851
598.937	32059.085
