sample4h_at_750.00nm_cut_at_1200.50Y_01.dat
19.06.2023
10:53:53
cut middle at Y: 1200.50
top cursor: 1249 down cursor: 1152 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1182.206
586.124	1157.134
586.252	1154.670
586.380	1154.103
586.508	1145.866
586.637	1158.619
586.765	1158.103
586.893	1161.536
587.021	1170.701
587.149	1164.722
587.277	1164.361
587.405	1172.062
587.533	1150.361
587.662	1157.784
587.790	1159.412
587.918	1161.938
588.046	1167.887
588.174	1168.443
588.302	1175.278
588.430	1177.144
588.558	1174.536
588.687	1175.835
588.815	1180.247
588.943	1184.649
589.071	1187.680
589.199	1170.474
589.327	1181.155
589.455	1178.495
589.583	1195.392
589.712	1173.701
589.840	1187.113
589.968	1187.186
590.096	1185.103
590.224	1185.186
590.352	1199.464
590.480	1195.402
590.608	1196.361
590.737	1195.835
590.865	1192.670
590.993	1198.412
591.121	1206.093
591.249	1197.784
591.377	1207.918
591.505	1210.309
591.633	1203.361
591.762	1210.052
591.890	1200.856
592.018	1199.351
592.146	1207.598
592.274	1210.320
592.402	1198.887
592.530	1205.515
592.658	1208.938
592.787	1213.072
592.915	1210.588
593.043	1206.144
593.171	1208.526
593.299	1218.186
593.427	1224.969
593.555	1217.144
593.683	1215.649
593.812	1225.392
593.940	1237.608
594.068	1222.918
594.196	1213.021
594.324	1235.206
594.452	1224.577
594.580	1224.464
594.708	1229.608
594.837	1228.124
594.965	1240.557
595.093	1232.773
595.221	1234.856
595.349	1237.794
595.477	1250.825
595.605	1248.619
595.733	1256.474
595.862	1247.649
595.990	1247.247
596.118	1245.258
596.246	1257.515
596.374	1260.794
596.502	1258.753
596.630	1270.464
596.758	1264.299
596.887	1261.072
597.015	1268.247
597.143	1263.567
597.271	1264.134
597.399	1250.052
597.527	1255.629
597.655	1254.588
597.783	1251.969
597.912	1260.794
598.040	1251.660
598.168	1256.392
598.296	1254.227
598.424	1254.124
598.552	1258.330
598.680	1252.381
598.808	1254.052
598.937	1254.639
599.065	1245.082
599.193	1238.247
599.321	1251.433
599.449	1255.495
599.577	1255.742
599.705	1248.907
599.833	1260.062
599.962	1251.660
600.090	1244.928
600.218	1253.093
600.346	1253.495
600.474	1252.608
600.602	1252.608
600.730	1261.031
600.858	1259.639
600.987	1260.330
601.115	1253.227
601.243	1256.784
601.371	1262.990
601.499	1258.144
601.627	1272.082
601.755	1266.474
601.883	1280.103
602.012	1270.825
602.140	1273.515
602.268	1286.309
602.396	1275.773
