sample4u_at_750.00nm_cut_at_1200.50Y_01.dat
19.06.2023
10:53:34
cut middle at Y: 1200.50
top cursor: 1249 down cursor: 1152 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	3263.938
586.124	3183.619
586.252	3129.928
586.380	3170.948
586.508	3186.021
586.637	3227.144
586.765	3151.309
586.893	3176.856
587.021	3219.948
587.149	3155.567
587.277	3178.784
587.405	3176.619
587.533	3203.485
587.662	3269.299
587.790	3188.402
587.918	3188.722
588.046	3192.866
588.174	3217.144
588.302	3201.320
588.430	3196.660
588.558	3238.588
588.687	3244.320
588.815	3193.155
588.943	3260.196
589.071	3235.866
589.199	3247.526
589.327	3225.546
589.455	3325.124
589.583	3248.959
589.712	3254.876
589.840	3231.196
589.968	3255.299
590.096	3277.443
590.224	3209.134
590.352	3292.691
590.480	3239.062
590.608	3264.258
590.737	3266.289
590.865	3383.701
590.993	3243.732
591.121	3313.856
591.249	3268.515
591.377	3275.165
591.505	3405.175
591.633	3299.959
591.762	3264.639
591.890	3277.814
592.018	3385.227
592.146	3271.474
592.274	3304.660
592.402	3265.536
592.530	3478.814
592.658	3369.381
592.787	3340.588
592.915	3378.464
593.043	3301.144
593.171	3330.309
593.299	3340.464
593.427	3339.876
593.555	3358.278
593.683	3352.742
593.812	3382.196
593.940	3359.639
594.068	3371.505
594.196	3354.124
594.324	3369.887
594.452	3542.485
594.580	3392.268
594.708	3444.155
594.837	3394.835
594.965	3490.680
595.093	3426.309
595.221	3453.619
595.349	3446.330
595.477	3459.918
595.605	3449.742
595.733	3473.567
595.862	3490.412
595.990	3529.062
596.118	3572.670
596.246	3611.588
596.374	3532.330
596.502	3530.938
596.630	3551.268
596.758	3539.546
596.887	3543.247
597.015	3526.423
597.143	3555.155
597.271	3545.072
597.399	3573.021
597.527	3535.938
597.655	3523.165
597.783	3533.309
597.912	3532.402
598.040	3578.258
598.168	3505.216
598.296	3506.835
598.424	3690.773
598.552	3526.320
598.680	3543.433
598.808	3562.691
598.937	3515.412
599.065	3553.515
599.193	3589.866
599.321	3574.608
599.449	3536.814
599.577	3538.907
599.705	3549.454
599.833	3523.546
599.962	3524.835
600.090	3570.072
600.218	3577.835
600.346	3563.660
600.474	3533.660
600.602	3521.557
600.730	3533.454
600.858	3534.608
600.987	3596.515
601.115	3576.031
601.243	3623.753
601.371	3666.443
601.499	3644.959
601.627	3622.588
601.755	3600.093
601.883	3660.670
602.012	3547.247
602.140	3680.938
602.268	3632.969
602.396	3746.711
602.524	3627.351
602.652	3688.237
602.780	3697.216
602.908	3699.206
603.037	3741.577
603.165	3707.711
603.293	3720.309
603.421	3729.804
603.549	3719.443
603.677	3758.423
603.805	3734.990
603.933	3747.464
604.062	3791.082
604.190	3812.361
604.318	3822.155
604.446	3788.948
604.574	3875.351
604.702	3896.268
604.830	3832.103
604.958	3868.660
605.087	3896.608
605.215	3902.619
605.343	3959.876
605.471	3891.227
605.599	3919.485
605.727	3984.247
605.855	3958.330
605.983	3944.351
606.112	3967.340
606.240	3943.000
606.368	3986.784
606.496	3942.330
606.624	4024.938
606.752	3948.959
606.880	4018.619
607.008	3956.443
607.137	3966.959
607.265	4067.227
607.393	4005.742
607.521	4051.876
607.649	3975.773
607.777	4007.340
607.905	4035.402
608.033	3979.887
608.162	4037.031
608.290	3995.938
608.418	4082.619
608.546	4065.526
608.674	4072.804
608.802	4034.237
608.930	4023.186
609.058	3993.392
609.187	4028.588
609.315	4022.784
609.443	4010.990
609.571	4117.412
609.699	4029.031
609.827	4108.856
609.955	4050.340
610.083	4005.598
610.212	4019.474
610.340	4011.072
610.468	4026.196
610.596	4050.093
610.724	4008.876
610.852	4065.897
610.980	4057.155
611.108	4009.392
611.237	4018.959
611.365	4028.701
611.493	4014.010
611.621	4032.979
611.749	4043.381
611.877	4106.722
612.005	4020.041
612.133	4083.371
612.262	4056.784
612.390	4116.041
612.518	4125.072
612.646	4030.010
612.774	4123.856
612.902	4124.722
613.030	4045.155
613.158	4120.021
613.287	4178.381
613.415	4093.825
613.543	4138.320
613.671	4148.134
613.799	4189.124
613.927	4201.289
614.055	4167.309
614.183	4204.825
614.312	4142.505
614.440	4296.979
614.568	4241.773
614.696	4223.072
614.824	4216.031
614.952	4260.598
615.080	4233.907
615.208	4261.443
615.337	4330.897
615.465	4243.773
615.593	4279.309
615.721	4286.629
615.849	4354.237
615.977	4283.052
616.105	4282.113
