sample4v_at_750.00nm_cut_at_1200.50Y_01.dat
19.06.2023
10:54:05
cut middle at Y: 1200.50
top cursor: 1249 down cursor: 1152 mean of: 97 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1493.227
586.124	1445.381
586.252	1436.557
586.380	1430.546
586.508	1434.546
586.637	1438.526
586.765	1436.031
586.893	1443.546
587.021	1450.990
587.149	1455.670
587.277	1454.289
587.405	1465.918
587.533	1450.515
587.662	1443.753
587.790	1453.392
587.918	1455.588
588.046	1451.660
588.174	1464.186
588.302	1465.763
588.430	1458.835
588.558	1464.577
588.687	1465.876
588.815	1472.237
588.943	1474.959
589.071	1468.124
589.199	1459.969
589.327	1468.649
589.455	1454.206
589.583	1479.629
589.712	1449.021
589.840	1471.505
589.968	1461.289
590.096	1465.649
590.224	1455.216
590.352	1474.082
590.480	1475.598
590.608	1474.103
590.737	1464.928
590.865	1469.515
590.993	1471.856
591.121	1471.711
591.249	1478.742
591.377	1482.330
591.505	1479.825
591.633	1481.794
591.762	1484.866
591.890	1485.072
592.018	1494.299
592.146	1480.629
592.274	1485.155
592.402	1476.959
592.530	1495.392
592.658	1488.402
592.787	1496.722
592.915	1493.000
593.043	1494.299
593.171	1506.856
593.299	1502.196
593.427	1513.206
593.555	1516.247
593.683	1510.454
593.812	1529.856
593.940	1536.216
594.068	1527.649
594.196	1528.598
594.324	1543.134
594.452	1543.979
594.580	1541.835
594.708	1555.515
594.837	1537.155
594.965	1561.629
595.093	1558.206
595.221	1557.443
595.349	1573.113
595.477	1585.680
595.605	1598.557
595.733	1588.381
595.862	1603.711
595.990	1593.825
596.118	1605.567
596.246	1615.907
596.374	1618.072
596.502	1613.598
596.630	1636.299
596.758	1615.938
596.887	1622.742
597.015	1630.330
597.143	1628.433
597.271	1620.010
597.399	1623.093
597.527	1623.660
597.655	1604.608
597.783	1596.742
597.912	1622.938
598.040	1631.784
598.168	1625.474
598.296	1617.948
598.424	1626.969
598.552	1620.392
598.680	1616.907
598.808	1614.856
598.937	1617.124
599.065	1611.165
599.193	1607.237
599.321	1624.247
599.449	1616.031
599.577	1608.010
599.705	1621.691
599.833	1621.515
599.962	1623.804
600.090	1613.732
600.218	1644.268
600.346	1619.165
600.474	1626.454
600.602	1624.505
600.730	1633.247
600.858	1644.309
600.987	1629.794
601.115	1633.567
601.243	1640.773
601.371	1639.072
601.499	1639.402
601.627	1649.433
601.755	1657.392
601.883	1664.876
602.012	1666.536
602.140	1663.722
602.268	1674.608
602.396	1681.010
602.524	1665.103
602.652	1680.546
602.780	1715.598
602.908	1701.082
603.037	1725.505
603.165	1709.021
603.293	1710.680
603.421	1715.361
603.549	1735.763
603.677	1727.144
603.805	1725.412
603.933	1738.010
604.062	1747.443
