Referenz_HF_PP_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
12:41:00
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	2819.125
586.124	2723.162
586.252	2698.425
586.380	2737.925
586.508	2790.525
586.637	2740.825
586.765	2709.200
586.893	2742.387
587.021	2783.713
587.149	2841.088
587.277	2766.062
587.405	2865.125
587.533	2774.625
587.662	2938.713
587.790	2900.150
587.918	2760.838
588.046	2779.650
588.174	2766.963
588.302	2774.925
588.430	2820.350
588.558	2790.437
588.687	2769.125
588.815	2783.375
588.943	2767.200
589.071	2775.300
589.199	2816.500
589.327	2774.250
589.455	2752.175
589.583	2884.963
589.712	2819.475
589.840	2765.312
589.968	2756.287
590.096	2739.838
590.224	2800.275
590.352	2744.100
590.480	2779.625
590.608	2772.300
590.737	2874.225
590.865	2894.425
590.993	2749.875
591.121	2745.900
591.249	2790.425
591.377	2747.075
591.505	2782.225
591.633	2870.675
591.762	2791.625
591.890	2994.600
592.018	2735.725
592.146	2748.550
592.274	2790.363
592.402	2760.175
592.530	2772.300
592.658	3001.075
592.787	2827.325
592.915	2950.275
593.043	2799.850
593.171	2790.650
593.299	2780.012
593.427	2798.325
593.555	2773.162
593.683	2775.025
593.812	2781.775
593.940	2820.988
594.068	2772.200
594.196	2815.637
594.324	2818.700
594.452	2829.175
594.580	2828.662
594.708	2851.187
594.837	2830.713
594.965	2941.450
595.093	2888.925
595.221	2931.412
595.349	3048.213
595.477	2877.075
595.605	2910.000
595.733	2871.175
595.862	3108.012
595.990	2915.937
596.118	2920.437
596.246	3108.525
596.374	2963.025
596.502	2912.762
596.630	2964.662
596.758	2903.762
596.887	2955.375
597.015	2930.412
597.143	2936.675
597.271	2921.925
597.399	2896.400
597.527	2910.125
597.655	2924.062
597.783	2905.500
597.912	2917.200
598.040	2953.050
598.168	3012.037
598.296	2901.787
598.424	2954.125
598.552	2976.600
598.680	2886.988
598.808	3077.950
598.937	2917.875
599.065	2930.625
599.193	3034.537
599.321	3036.512
599.449	2943.137
599.577	2906.588
599.705	3001.137
599.833	2889.150
599.962	2898.075
600.090	2978.025
600.218	2915.275
600.346	3015.025
600.474	2895.500
600.602	2842.475
600.730	2917.562
600.858	2860.175
600.987	3051.625
601.115	2913.925
601.243	2870.625
601.371	2883.575
601.499	2883.975
601.627	2937.925
601.755	2896.262
601.883	2953.150
602.012	2913.150
602.140	2885.287
602.268	3018.937
602.396	2929.525
602.524	2941.338
602.652	2934.350
602.780	2924.463
602.908	2916.975
603.037	2996.950
603.165	2935.637
603.293	2993.387
603.421	2962.800
603.549	2984.312
603.677	3040.312
603.805	2992.325
603.933	3003.363
604.062	3106.988
604.190	3023.863
604.318	2979.988
604.446	3018.100
604.574	3044.575
604.702	3015.450
604.830	3034.750
604.958	3063.613
605.087	3063.562
605.215	3061.363
605.343	3034.725
605.471	3091.475
605.599	3095.800
605.727	3056.675
605.855	3091.825
605.983	3098.162
606.112	3062.437
606.240	3072.475
606.368	3094.100
606.496	3271.838
606.624	3063.300
606.752	3132.537
606.880	3285.162
607.008	3345.125
607.137	3271.262
607.265	3073.238
607.393	3130.287
607.521	3243.012
607.649	3085.088
607.777	3134.850
607.905	3163.375
608.033	3160.613
608.162	3073.550
608.290	3190.113
608.418	3117.025
608.546	3171.588
608.674	3174.512
608.802	3075.937
608.930	3068.162
609.058	3083.113
609.187	3155.425
609.315	3150.062
609.443	3052.175
609.571	3185.625
609.699	3059.613
609.827	3074.625
609.955	3172.687
610.083	3052.238
610.212	3052.875
610.340	3079.113
610.468	3167.762
610.596	3127.488
610.724	3131.812
610.852	3073.075
610.980	3077.850
611.108	3155.162
611.237	3045.575
611.365	3073.738
611.493	3048.637
611.621	3070.213
611.749	3061.488
611.877	3060.412
612.005	3073.250
612.133	3112.525
612.262	3057.713
612.390	3077.050
612.518	3118.175
612.646	3217.463
612.774	3078.750
612.902	3072.450
613.030	3061.100
613.158	3174.850
613.287	3130.175
613.415	3061.950
613.543	3066.875
613.671	3093.400
613.799	3100.625
613.927	3131.300
614.055	3089.113
614.183	3265.088
614.312	3093.912
614.440	3235.262
614.568	3143.750
614.696	3091.988
614.824	3274.762
614.952	3160.100
615.080	3084.613
615.208	3172.012
615.337	3177.512
615.465	3159.812
615.593	3168.725
615.721	3205.125
615.849	3199.037
615.977	3214.200
616.105	3234.687
616.233	3192.338
616.362	3281.238
616.490	3155.250
616.618	3145.887
616.746	3252.625
616.874	3270.262
617.002	3211.887
617.130	3274.162
617.258	3363.662
617.387	3218.537
617.515	3178.800
617.643	3211.463
617.771	3276.300
617.899	3266.125
618.027	3172.475
618.155	3341.863
618.283	3205.113
618.412	3226.162
618.540	3321.012
618.668	3237.238
618.796	3221.125
618.924	3349.425
619.052	3213.238
619.180	3186.025
619.308	3238.950
619.437	3230.150
619.565	3230.325
619.693	3194.287
619.821	3225.275
619.949	3208.287
620.077	3228.750
620.205	3250.125
620.333	3236.613
620.462	3236.650
620.590	3283.825
620.718	3175.800
620.846	3300.575
620.974	3300.787
621.102	3249.062
621.230	3148.287
621.358	3315.238
621.487	3146.137
621.615	3209.025
621.743	3189.700
621.871	3186.500
621.999	3303.887
622.127	3198.950
622.255	3205.525
622.383	3189.113
622.512	3208.387
622.640	3361.338
622.768	3164.387
622.896	3194.187
623.024	3190.950
623.152	3292.725
623.280	3259.713
623.408	3157.375
623.537	3185.075
623.665	3137.050
623.793	3219.075
623.921	3187.312
624.049	3143.387
624.177	3188.037
624.305	3216.975
624.433	3213.062
624.562	3173.338
624.690	3212.425
624.818	3258.150
624.946	3379.463
625.074	3241.350
