Referenz_PP_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
12:36:52
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	863.138
586.124	861.800
586.252	854.788
586.380	845.138
586.508	844.650
586.637	863.675
586.765	862.013
586.893	868.437
587.021	858.650
587.149	866.350
587.277	862.875
587.405	864.475
587.533	847.350
587.662	866.850
587.790	872.038
587.918	867.038
588.046	863.775
588.174	860.138
588.302	871.212
588.430	869.875
588.558	864.013
588.687	867.013
588.815	885.625
588.943	873.013
589.071	871.175
589.199	876.263
589.327	863.163
589.455	864.138
589.583	861.913
589.712	874.375
589.840	874.437
589.968	856.525
590.096	863.075
590.224	867.725
590.352	869.700
590.480	861.587
590.608	879.375
590.737	859.538
590.865	869.663
590.993	873.725
591.121	870.362
591.249	872.575
591.377	859.538
591.505	862.163
591.633	859.638
591.762	879.612
591.890	872.263
592.018	871.987
592.146	871.775
592.274	878.788
592.402	868.775
592.530	865.800
592.658	879.275
592.787	878.513
592.915	872.775
593.043	871.513
593.171	871.525
593.299	888.913
593.427	873.875
593.555	885.650
593.683	879.288
593.812	883.650
593.940	891.312
594.068	893.700
594.196	904.125
594.324	879.925
594.452	889.250
594.580	899.788
594.708	893.650
594.837	893.638
594.965	895.562
595.093	904.075
595.221	902.175
595.349	897.962
595.477	906.075
595.605	893.087
595.733	915.962
595.862	906.200
595.990	905.025
596.118	902.050
596.246	905.987
596.374	916.000
596.502	919.187
596.630	918.987
596.758	922.538
596.887	914.187
597.015	923.450
597.143	918.362
597.271	917.075
597.399	915.700
597.527	915.250
597.655	913.837
597.783	922.362
597.912	901.788
598.040	924.775
598.168	926.187
598.296	910.237
598.424	909.562
598.552	909.850
598.680	915.962
598.808	908.638
598.937	915.300
599.065	917.112
599.193	903.900
599.321	896.800
599.449	912.025
599.577	905.575
599.705	907.638
599.833	897.250
599.962	905.962
600.090	903.462
600.218	904.062
600.346	901.200
600.474	915.050
600.602	917.450
600.730	911.525
600.858	909.950
600.987	902.675
601.115	906.687
601.243	895.337
601.371	903.475
601.499	913.750
