Referenz_PS_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
12:36:24
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	850.375
586.124	843.300
586.252	830.875
586.380	820.150
586.508	827.513
586.637	822.038
586.765	831.350
586.893	823.775
587.021	822.612
587.149	837.675
587.277	839.138
587.405	838.163
587.533	828.575
587.662	832.138
587.790	852.875
587.918	833.812
588.046	837.825
588.174	831.450
588.302	839.675
588.430	839.875
588.558	831.500
588.687	843.312
588.815	865.075
588.943	847.025
589.071	838.800
589.199	846.950
589.327	834.987
589.455	818.263
589.583	839.562
589.712	845.750
589.840	840.300
589.968	830.538
590.096	833.075
590.224	832.700
590.352	839.513
590.480	839.837
590.608	845.587
590.737	821.087
590.865	841.750
590.993	831.200
591.121	829.350
591.249	836.375
591.377	838.900
591.505	829.087
591.633	829.825
591.762	840.312
591.890	825.487
592.018	832.163
592.146	837.650
592.274	839.450
592.402	817.362
592.530	823.888
592.658	831.800
592.787	834.750
592.915	835.562
593.043	827.562
593.171	832.562
593.299	833.700
593.427	828.337
593.555	838.212
593.683	833.400
593.812	832.175
593.940	841.650
594.068	826.138
594.196	860.375
594.324	834.362
594.452	837.263
594.580	846.763
594.708	839.837
594.837	835.100
594.965	833.350
595.093	839.700
595.221	847.625
595.349	850.788
595.477	843.038
595.605	844.975
595.733	863.925
595.862	838.600
595.990	840.437
596.118	847.825
596.246	858.075
596.374	867.100
596.502	867.913
596.630	859.250
596.758	859.975
596.887	864.812
597.015	867.050
597.143	849.650
597.271	863.663
597.399	863.263
597.527	857.725
597.655	851.825
597.783	859.337
597.912	848.237
598.040	873.450
598.168	855.812
598.296	847.125
598.424	848.312
598.552	852.925
598.680	848.725
598.808	838.237
598.937	852.000
599.065	851.362
599.193	851.987
599.321	838.625
599.449	850.975
599.577	846.237
599.705	841.000
599.833	837.362
599.962	839.450
600.090	835.275
600.218	845.175
600.346	849.075
600.474	842.275
600.602	838.388
600.730	841.650
600.858	848.100
600.987	839.825
601.115	847.300
601.243	836.312
601.371	837.612
601.499	839.300
601.627	845.375
601.755	848.400
601.883	840.475
602.012	838.237
602.140	836.675
602.268	842.625
602.396	856.913
602.524	851.187
602.652	854.450
602.780	845.987
602.908	851.200
603.037	852.950
603.165	848.800
603.293	865.425
603.421	871.400
603.549	852.962
603.677	884.362
603.805	849.600
603.933	863.925
604.062	869.288
604.190	874.600
604.318	856.325
604.446	884.038
604.574	876.400
604.702	874.687
604.830	866.475
604.958	870.562
605.087	889.437
605.215	879.125
605.343	905.325
605.471	884.462
605.599	898.300
605.727	894.437
605.855	912.800
605.983	896.013
606.112	904.837
606.240	899.062
606.368	908.487
606.496	903.200
606.624	889.712
