sample1_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
10:52:32
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1389.562
586.124	1368.138
586.252	1359.037
586.380	1369.875
586.508	1370.500
586.637	1371.437
586.765	1372.138
586.893	1374.763
587.021	1373.125
587.149	1388.350
587.277	1400.312
587.405	1393.213
587.533	1385.025
587.662	1392.362
587.790	1394.338
587.918	1397.487
588.046	1405.287
588.174	1409.050
588.302	1421.187
588.430	1407.400
588.558	1413.787
588.687	1416.475
588.815	1440.675
588.943	1424.513
589.071	1432.300
589.199	1450.112
589.327	1420.900
589.455	1419.200
589.583	1439.875
589.712	1444.475
589.840	1441.825
589.968	1422.138
590.096	1438.825
590.224	1444.425
590.352	1435.925
590.480	1447.800
590.608	1449.987
590.737	1447.787
590.865	1453.725
590.993	1456.713
591.121	1463.662
591.249	1465.950
591.377	1456.625
591.505	1452.650
591.633	1459.737
591.762	1471.800
591.890	1479.200
592.018	1459.638
592.146	1476.537
592.274	1483.588
592.402	1465.213
592.530	1458.412
592.658	1475.875
592.787	1487.588
592.915	1478.450
593.043	1499.513
593.171	1491.325
593.299	1512.100
593.427	1507.125
593.555	1503.112
593.683	1515.325
593.812	1511.425
593.940	1512.713
594.068	1515.463
594.196	1540.312
594.324	1518.700
594.452	1534.800
594.580	1537.200
594.708	1531.463
594.837	1550.975
594.965	1557.725
595.093	1560.600
595.221	1566.138
595.349	1581.862
595.477	1583.312
595.605	1568.787
595.733	1591.562
595.862	1580.275
595.990	1592.463
596.118	1606.362
596.246	1597.150
596.374	1619.125
596.502	1627.912
596.630	1635.700
596.758	1631.787
596.887	1633.888
597.015	1653.213
597.143	1613.825
597.271	1646.062
597.399	1645.562
597.527	1656.000
597.655	1653.750
597.783	1663.263
597.912	1638.425
598.040	1650.912
598.168	1656.225
598.296	1655.687
598.424	1639.687
598.552	1656.150
598.680	1656.800
598.808	1637.350
598.937	1674.037
599.065	1667.263
599.193	1663.362
599.321	1635.600
599.449	1666.750
599.577	1659.338
599.705	1664.662
599.833	1648.225
599.962	1648.200
600.090	1665.162
600.218	1654.062
600.346	1672.588
600.474	1661.125
600.602	1677.312
600.730	1679.575
