sample6_PS_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
11:02:44
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1726.737
586.124	1702.375
586.252	1680.550
586.380	1659.237
586.508	1675.500
586.637	1681.862
586.765	1679.112
586.893	1693.013
587.021	1698.600
587.149	1701.200
587.277	1699.750
587.405	1711.162
587.533	1696.675
587.662	1721.225
587.790	1725.787
587.918	1720.900
588.046	1725.513
588.174	1717.875
588.302	1734.812
588.430	1719.987
588.558	1742.625
588.687	1725.900
588.815	1761.150
588.943	1753.662
589.071	1740.888
589.199	1742.937
589.327	1734.325
589.455	1722.612
589.583	1742.625
589.712	1757.787
589.840	1753.062
589.968	1737.138
590.096	1750.437
590.224	1750.888
590.352	1756.112
590.480	1744.575
590.608	1754.388
590.737	1743.763
590.865	1758.850
590.993	1740.537
591.121	1765.763
591.249	1753.025
591.377	1751.213
591.505	1763.437
591.633	1761.500
591.762	1771.463
591.890	1755.725
592.018	1767.112
592.146	1773.812
592.274	1789.775
592.402	1773.662
592.530	1769.737
592.658	1791.025
592.787	1789.013
592.915	1777.513
593.043	1789.138
593.171	1796.412
593.299	1810.662
593.427	1797.075
593.555	1810.838
593.683	1809.937
593.812	1814.838
593.940	1824.350
594.068	1832.075
594.196	1863.250
594.324	1817.200
594.452	1861.112
594.580	1865.937
594.708	1846.800
594.837	1847.862
594.965	1859.987
595.093	1878.425
595.221	1874.537
595.349	1895.675
595.477	1882.675
595.605	1878.062
595.733	1920.175
595.862	1913.963
595.990	1925.162
596.118	1915.050
596.246	1924.000
596.374	1950.925
596.502	1957.662
596.630	1956.600
596.758	1959.713
596.887	1968.900
597.015	1994.662
597.143	1953.825
597.271	1982.225
597.399	1990.662
597.527	1995.875
597.655	1984.575
597.783	2003.138
597.912	1970.200
598.040	2008.062
598.168	1997.875
598.296	1996.750
598.424	1988.937
598.552	2001.862
598.680	1985.963
598.808	1997.263
598.937	2013.500
599.065	2022.338
599.193	2008.775
599.321	1977.700
599.449	2023.013
599.577	2010.400
599.705	2003.162
599.833	2012.487
599.962	2005.388
600.090	2000.900
600.218	2010.700
600.346	2029.275
600.474	2026.912
600.602	2022.963
600.730	2035.487
600.858	2027.662
600.987	2045.638
601.115	2017.237
601.243	2036.588
601.371	2053.100
601.499	2055.262
601.627	2047.187
601.755	2073.488
601.883	2073.162
602.012	2097.775
602.140	2090.600
602.268	2092.600
602.396	2102.062
602.524	2110.162
602.652	2121.850
602.780	2111.600
602.908	2130.875
603.037	2153.187
603.165	2152.600
603.293	2166.412
603.421	2190.562
603.549	2177.512
603.677	2232.937
603.805	2185.912
603.933	2220.450
604.062	2216.312
604.190	2257.463
604.318	2230.200
604.446	2276.225
604.574	2280.050
604.702	2270.537
604.830	2284.088
604.958	2294.812
605.087	2324.075
605.215	2331.200
605.343	2347.750
605.471	2348.675
605.599	2359.687
605.727	2362.787
605.855	2388.312
605.983	2367.650
606.112	2392.787
606.240	2409.562
606.368	2433.412
606.496	2478.175
606.624	2427.525
606.752	2458.637
606.880	2500.662
607.008	2543.675
607.137	2535.250
607.265	2475.600
607.393	2506.275
607.521	2536.012
607.649	2476.713
607.777	2508.900
607.905	2518.412
608.033	2515.363
608.162	2492.262
608.290	2545.713
608.418	2520.900
608.546	2536.713
608.674	2556.988
608.802	2512.937
608.930	2545.200
609.058	2527.925
609.187	2566.613
609.315	2584.238
609.443	2552.775
609.571	2586.713
609.699	2553.287
609.827	2563.213
609.955	2599.075
610.083	2548.463
610.212	2568.812
610.340	2563.887
610.468	2623.475
610.596	2620.338
610.724	2617.838
610.852	2583.650
610.980	2594.887
611.108	2664.450
611.237	2601.162
611.365	2610.537
611.493	2596.238
611.621	2641.100
611.749	2628.088
611.877	2646.412
612.005	2638.975
612.133	2658.750
612.262	2651.650
612.390	2659.162
612.518	2713.925
612.646	2755.662
612.774	2681.600
612.902	2670.988
613.030	2705.225
613.158	2756.887
613.287	2735.850
613.415	2707.662
613.543	2712.037
613.671	2726.963
613.799	2782.012
613.927	2766.575
614.055	2761.150
614.183	2910.162
614.312	2779.925
614.440	2888.475
614.568	2797.387
614.696	2812.812
614.824	3002.825
614.952	2860.113
615.080	2831.312
615.208	2897.988
615.337	2884.338
615.465	2868.412
615.593	2893.950
615.721	2938.525
615.849	2948.588
615.977	2958.287
616.105	3014.012
616.233	2952.225
616.362	3050.488
616.490	2970.525
616.618	2978.050
616.746	3071.787
616.874	3085.925
617.002	3042.512
617.130	3098.863
617.258	3204.588
617.387	3107.425
617.515	3089.225
617.643	3092.425
617.771	3164.225
617.899	3168.950
618.027	3107.550
618.155	3256.650
618.283	3124.000
618.412	3182.400
618.540	3258.838
618.668	3228.662
618.796	3221.450
618.924	3324.762
619.052	3224.088
619.180	3205.863
619.308	3272.162
619.437	3272.325
619.565	3271.000
619.693	3254.262
619.821	3283.238
619.949	3276.838
620.077	3330.825
620.205	3350.475
620.333	3338.238
620.462	3375.050
620.590	3431.463
620.718	3360.787
620.846	3455.312
620.974	3453.750
621.102	3404.100
621.230	3360.387
621.358	3503.850
621.487	3384.037
621.615	3426.213
621.743	3448.875
621.871	3442.863
621.999	3525.463
622.127	3461.213
622.255	3468.687
622.383	3467.387
622.512	3481.475
622.640	3623.075
622.768	3433.800
622.896	3497.250
623.024	3474.400
623.152	3575.463
623.280	3560.137
623.408	3476.050
623.537	3532.725
623.665	3496.437
623.793	3576.012
623.921	3520.537
624.049	3505.537
624.177	3532.850
624.305	3624.937
624.433	3577.213
624.562	3594.225
624.690	3601.537
624.818	3646.312
624.946	3764.537
625.074	3658.912
625.202	3593.613
625.330	3598.613
625.458	3677.512
625.587	3632.500
625.715	3705.425
625.843	3770.000
625.971	3669.550
626.099	3670.912
626.227	3676.238
626.355	3652.125
626.483	3780.162
626.612	3688.975
626.740	3658.850
626.868	3746.037
626.996	3682.387
627.124	3690.450
627.252	3699.475
627.380	3755.800
627.508	3750.162
627.637	3716.750
627.765	3769.262
627.893	3778.550
628.021	3778.675
628.149	3803.437
628.277	3849.338
628.405	3900.200
628.533	3787.075
628.662	3872.012
628.790	3839.050
628.918	3850.437
629.046	3849.025
629.174	3872.713
629.302	3976.287
629.430	3877.662
629.558	3919.875
629.687	3916.050
629.815	3937.025
629.943	3981.650
630.071	3986.575
630.199	3965.050
630.327	3995.475
630.455	3982.488
630.583	4077.762
630.712	4044.550
630.840	4035.625
630.968	4116.887
631.096	4046.863
631.224	4065.400
631.352	4073.875
631.480	4120.875
631.608	4109.887
631.737	4202.988
631.865	4302.975
631.993	4143.462
632.121	4240.525
632.249	4236.825
632.377	4234.050
632.505	4251.837
632.633	4165.087
632.762	4234.413
632.890	4363.050
633.018	4219.337
633.146	4290.712
633.274	4289.837
633.402	4279.562
633.530	4265.663
633.658	4427.375
633.787	4259.125
633.915	4352.600
634.043	4309.600
634.171	4291.550
634.299	4341.425
634.427	4446.750
634.555	4360.312
634.683	4329.525
634.812	4319.300
634.940	4343.625
635.068	4296.887
635.196	4373.200
635.324	4348.825
635.452	4439.038
635.580	4336.163
635.708	4370.687
635.837	4427.800
635.965	4401.137
636.093	4382.637
636.221	4356.075
636.349	4439.988
636.477	4319.988
636.605	4524.087
636.733	4326.850
636.862	4340.450
636.990	4369.150
637.118	4433.850
637.246	4393.250
637.374	4360.925
637.502	4362.475
637.630	4316.988
637.758	4378.738
637.887	4332.500
638.015	4321.038
638.143	4307.575
638.271	4355.062
638.399	4342.075
638.527	4310.038
638.655	4301.913
638.783	4479.337
638.912	4357.613
639.040	4339.413
639.168	4384.225
639.296	4330.337
