sample8_PP_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
11:05:32
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	928.725
586.124	909.487
586.252	909.475
586.380	915.913
586.508	918.962
586.637	919.500
586.765	917.437
586.893	924.437
587.021	926.413
587.149	930.575
587.277	918.075
587.405	928.888
587.533	929.625
587.662	929.587
587.790	941.237
587.918	926.350
588.046	933.875
588.174	923.550
588.302	933.962
588.430	924.750
588.558	926.825
588.687	931.250
588.815	955.487
588.943	928.187
589.071	923.163
589.199	953.737
589.327	942.475
589.455	918.000
589.583	938.700
589.712	940.263
589.840	941.663
589.968	930.275
590.096	940.987
590.224	939.013
590.352	936.000
590.480	931.837
590.608	941.850
590.737	946.763
590.865	939.650
590.993	942.275
591.121	939.875
591.249	944.100
591.377	944.725
591.505	931.312
591.633	959.437
591.762	946.538
591.890	952.525
592.018	949.500
592.146	947.850
592.274	962.725
592.402	940.612
592.530	953.900
592.658	952.550
592.787	960.225
592.915	952.212
593.043	952.212
593.171	954.138
593.299	967.025
593.427	956.888
593.555	951.725
593.683	965.937
593.812	970.913
593.940	970.000
594.068	978.100
594.196	984.525
594.324	961.013
594.452	986.050
594.580	993.075
594.708	969.275
594.837	983.350
594.965	989.750
595.093	997.638
595.221	986.038
595.349	992.400
595.477	996.638
595.605	983.437
595.733	1015.837
595.862	996.237
595.990	997.513
596.118	996.650
596.246	995.425
596.374	1023.462
596.502	1018.513
596.630	1016.175
596.758	1004.587
596.887	1019.212
597.015	1020.525
597.143	1004.600
597.271	1024.437
597.399	1020.562
597.527	1023.638
597.655	1020.775
597.783	1023.600
597.912	1012.675
598.040	1016.900
598.168	1029.750
598.296	1022.425
598.424	1021.625
598.552	1008.087
598.680	1018.538
598.808	1018.200
598.937	1025.987
599.065	1025.175
599.193	1008.413
599.321	1000.775
599.449	1036.612
599.577	1017.913
599.705	1010.212
599.833	1016.375
599.962	1012.638
600.090	1024.875
600.218	1016.888
600.346	1021.712
600.474	1035.812
600.602	1032.750
600.730	1016.138
600.858	1029.400
600.987	1022.437
601.115	1021.538
601.243	1016.763
601.371	1019.925
601.499	1030.237
601.627	1023.987
601.755	1038.287
601.883	1032.812
602.012	1036.437
602.140	1034.800
602.268	1043.375
602.396	1036.200
602.524	1038.425
602.652	1048.112
602.780	1029.900
602.908	1046.525
603.037	1050.312
603.165	1051.650
603.293	1068.937
603.421	1067.888
603.549	1063.588
603.677	1086.175
603.805	1063.425
603.933	1069.350
604.062	1072.575
604.190	1081.312
604.318	1064.987
604.446	1093.537
604.574	1089.537
604.702	1092.000
604.830	1083.875
604.958	1100.312
605.087	1112.487
605.215	1103.437
605.343	1115.312
605.471	1103.750
605.599	1111.362
605.727	1115.987
605.855	1125.200
605.983	1109.237
606.112	1120.750
606.240	1122.662
606.368	1125.075
606.496	1137.662
606.624	1129.362
606.752	1129.125
606.880	1125.275
607.008	1137.550
607.137	1141.025
607.265	1149.987
607.393	1159.775
607.521	1147.937
607.649	1135.112
607.777	1127.037
607.905	1139.912
608.033	1141.737
608.162	1145.638
608.290	1139.300
608.418	1152.537
608.546	1144.450
608.674	1162.287
608.802	1151.588
608.930	1148.975
609.058	1134.350
609.187	1142.162
609.315	1141.937
609.443	1138.687
609.571	1157.325
609.699	1154.263
609.827	1150.138
609.955	1146.625
610.083	1140.200
610.212	1140.588
610.340	1154.800
610.468	1141.888
610.596	1153.312
610.724	1156.025
610.852	1153.088
610.980	1138.937
611.108	1153.850
611.237	1159.650
611.365	1155.388
611.493	1145.000
611.621	1156.662
611.749	1161.025
611.877	1159.588
612.005	1152.612
612.133	1153.638
612.262	1157.750
612.390	1158.937
612.518	1164.425
612.646	1158.775
612.774	1161.963
612.902	1171.775
613.030	1166.013
613.158	1173.888
613.287	1193.100
613.415	1170.725
613.543	1170.875
613.671	1174.050
613.799	1189.388
613.927	1173.737
614.055	1185.338
614.183	1189.862
614.312	1189.450
614.440	1188.775
614.568	1195.875
614.696	1209.312
614.824	1194.150
614.952	1182.687
615.080	1202.687
615.208	1201.862
615.337	1221.275
615.465	1218.850
615.593	1233.725
615.721	1224.787
615.849	1243.200
615.977	1231.888
616.105	1211.175
616.233	1233.950
616.362	1232.487
616.490	1225.487
616.618	1245.638
616.746	1233.187
616.874	1249.312
617.002	1248.000
617.130	1251.700
617.258	1240.338
617.387	1247.550
617.515	1256.800
617.643	1255.325
617.771	1251.325
617.899	1271.112
618.027	1256.900
618.155	1267.150
618.283	1267.050
618.412	1263.687
618.540	1268.625
618.668	1269.463
618.796	1248.700
618.924	1264.500
619.052	1270.812
619.180	1280.950
619.308	1277.925
619.437	1275.950
619.565	1281.187
619.693	1275.862
619.821	1278.338
619.949	1253.850
620.077	1271.900
620.205	1281.600
620.333	1276.625
620.462	1279.800
620.590	1277.150
620.718	1284.838
620.846	1278.000
620.974	1314.812
621.102	1275.925
621.230	1286.062
621.358	1306.662
621.487	1277.175
621.615	1286.062
621.743	1310.200
621.871	1294.075
621.999	1295.775
622.127	1292.662
622.255	1293.375
622.383	1292.175
622.512	1300.687
622.640	1305.562
622.768	1297.187
622.896	1290.487
623.024	1283.687
623.152	1301.237
623.280	1280.400
623.408	1295.912
623.537	1297.275
623.665	1302.213
623.793	1295.900
623.921	1295.275
624.049	1295.838
624.177	1297.175
624.305	1302.900
624.433	1296.200
624.562	1312.338
624.690	1302.125
624.818	1309.062
624.946	1312.675
625.074	1300.112
625.202	1316.987
625.330	1294.513
625.458	1311.138
625.587	1308.213
625.715	1311.025
625.843	1311.963
625.971	1324.325
626.099	1321.525
626.227	1321.612
626.355	1305.500
626.483	1315.650
626.612	1309.950
626.740	1300.287
626.868	1330.812
626.996	1317.737
627.124	1309.213
627.252	1305.213
627.380	1322.187
627.508	1319.675
627.637	1314.150
627.765	1325.513
627.893	1330.500
628.021	1313.575
628.149	1355.275
628.277	1370.625
628.405	1356.112
628.533	1331.625
628.662	1325.350
628.790	1338.088
628.918	1329.187
629.046	1349.125
629.174	1318.862
629.302	1354.675
629.430	1341.450
629.558	1341.450
629.687	1337.463
629.815	1349.875
629.943	1338.213
630.071	1351.338
630.199	1355.112
630.327	1349.862
630.455	1336.125
630.583	1360.112
630.712	1368.600
630.840	1363.312
630.968	1395.125
631.096	1366.912
631.224	1354.287
631.352	1359.700
631.480	1379.550
631.608	1369.463
631.737	1375.700
631.865	1387.750
631.993	1366.263
632.121	1389.950
632.249	1388.537
632.377	1395.175
632.505	1383.650
632.633	1387.513
632.762	1398.125
632.890	1387.575
633.018	1385.463
633.146	1401.800
633.274	1378.750
633.402	1391.500
633.530	1386.162
633.658	1391.388
633.787	1386.925
633.915	1398.950
634.043	1391.925
634.171	1399.850
634.299	1393.275
634.427	1391.625
634.555	1399.075
634.683	1395.987
634.812	1393.825
634.940	1402.388
635.068	1384.213
635.196	1380.088
635.324	1396.487
635.452	1396.050
635.580	1393.900
635.708	1379.638
635.837	1374.612
635.965	1388.237
636.093	1381.463
636.221	1385.112
636.349	1380.838
636.477	1369.888
636.605	1391.200
636.733	1356.550
636.862	1365.125
636.990	1368.700
637.118	1362.350
637.246	1361.150
637.374	1371.062
637.502	1356.750
637.630	1372.138
637.758	1359.412
637.887	1368.425
638.015	1363.412
638.143	1369.213
638.271	1352.300
638.399	1353.475
638.527	1353.737
638.655	1344.550
638.783	1364.425
638.912	1348.138
639.040	1334.638
639.168	1339.713
639.296	1344.375
639.424	1353.487
639.552	1341.375
639.680	1382.537
639.808	1359.475
639.937	1335.525
640.065	1344.825
640.193	1346.750
640.321	1328.937
640.449	1344.088
640.577	1342.150
640.705	1327.138
640.833	1342.675
640.962	1344.312
641.090	1337.588
641.218	1347.925
641.346	1326.175
641.474	1328.950
641.602	1327.100
641.730	1343.600
641.858	1330.675
641.987	1327.150
642.115	1338.700
642.243	1348.350
642.371	1358.388
642.499	1333.675
642.627	1341.050
642.755	1339.187
642.883	1337.875
643.012	1338.075
643.140	1339.338
643.268	1326.412
643.396	1340.787
643.524	1341.625
643.652	1342.537
643.780	1327.162
643.908	1344.388
644.037	1344.338
644.165	1334.000
644.293	1339.187
644.421	1337.650
644.549	1344.475
644.677	1358.975
644.805	1344.388
644.933	1342.638
645.062	1338.062
645.190	1329.088
645.318	1327.112
645.446	1358.600
645.574	1346.737
645.702	1343.287
645.830	1349.275
645.958	1352.562
646.087	1338.463
646.215	1341.737
646.343	1342.862
646.471	1360.112
646.599	1347.187
646.727	1332.025
646.855	1338.937
646.983	1338.825
647.112	1342.275
647.240	1345.100
647.368	1333.875
647.496	1326.088
647.624	1338.350
647.752	1334.000
647.880	1339.225
648.008	1337.312
648.137	1330.888
648.265	1317.425
648.393	1329.750
648.521	1338.437
648.649	1332.475
648.777	1326.975
648.905	1313.312
649.033	1309.300
649.162	1312.050
649.290	1327.062
649.418	1304.275
649.546	1316.600
649.674	1313.250
649.802	1303.325
649.930	1305.237
650.058	1308.825
650.187	1313.687
650.315	1310.287
650.443	1301.713
650.571	1296.975
650.699	1305.687
650.827	1297.900
650.955	1291.000
651.083	1304.787
651.212	1291.750
651.340	1283.425
651.468	1277.100
651.596	1282.150
651.724	1267.450
651.852	1291.862
651.980	1272.375
652.108	1284.362
652.237	1262.562
652.365	1261.537
652.493	1261.162
652.621	1273.850
652.749	1266.088
652.877	1260.925
653.005	1255.287
653.133	1271.050
653.262	1259.537
653.390	1254.263
653.518	1259.162
653.646	1242.825
653.774	1257.937
653.902	1260.975
654.030	1255.838
654.158	1240.388
654.287	1238.450
654.415	1236.975
654.543	1246.588
654.671	1239.437
654.799	1236.437
654.927	1248.187
655.055	1232.450
655.183	1227.963
655.312	1211.537
655.440	1236.075
655.568	1219.088
655.696	1219.150
655.824	1226.875
655.952	1229.000
656.080	1212.638
656.208	1234.475
656.337	1210.900
656.465	1210.125
656.593	1222.675
656.721	1209.362
656.849	1209.400
656.977	1204.200
657.105	1202.550
657.233	1199.812
657.362	1199.513
657.490	1200.075
657.618	1199.875
657.746	1193.975
657.874	1184.463
658.002	1197.062
658.130	1183.013
658.258	1191.975
658.387	1192.800
658.515	1176.975
658.643	1191.213
658.771	1185.412
658.899	1184.275
659.027	1186.487
659.155	1196.675
659.283	1163.487
659.412	1170.888
659.540	1177.687
659.668	1176.525
659.796	1159.888
659.924	1182.925
660.052	1182.388
660.180	1152.975
660.308	1166.987
660.437	1159.687
660.565	1164.937
660.693	1156.237
660.821	1167.687
660.949	1168.037
661.077	1156.187
661.205	1147.713
661.333	1150.388
661.462	1160.725
661.590	1169.437
661.718	1141.763
661.846	1145.900
661.974	1155.350
662.102	1147.138
662.230	1139.525
662.358	1131.075
662.487	1149.838
662.615	1132.037
662.743	1150.325
662.871	1139.700
662.999	1137.150
663.127	1121.000
663.255	1135.562
663.383	1140.275
663.512	1136.900
663.640	1125.812
663.768	1126.675
663.896	1137.138
664.024	1127.700
664.152	1127.338
664.280	1122.112
664.408	1121.713
664.537	1122.437
664.665	1128.737
664.793	1108.638
664.921	1104.062
665.049	1111.612
665.177	1126.287
665.305	1106.963
665.433	1110.250
665.562	1110.300
665.690	1113.100
665.818	1107.500
665.946	1108.362
666.074	1101.775
666.202	1100.513
666.330	1100.588
666.458	1101.025
666.587	1096.888
666.715	1105.162
666.843	1106.050
666.971	1096.362
667.099	1103.787
667.227	1116.162
667.355	1089.775
667.483	1086.350
667.612	1093.912
667.740	1094.662
667.868	1108.487
667.996	1086.112
668.124	1087.937
668.252	1087.175
668.380	1079.950
668.508	1093.612
668.637	1084.150
668.765	1086.200
668.893	1085.062
669.021	1070.500
669.149	1063.125
669.277	1074.263
669.405	1070.888
669.533	1081.775
669.662	1089.475
669.790	1064.937
669.918	1071.388
670.046	1068.700
670.174	1071.100
670.302	1070.162
670.430	1050.787
670.558	1062.362
670.687	1052.662
670.815	1051.450
670.943	1058.250
671.071	1052.875
671.199	1061.575
671.327	1046.088
671.455	1043.562
671.583	1045.963
671.712	1048.713
671.840	1043.250
671.968	1033.838
672.096	1031.838
672.224	1033.950
672.352	1034.625
672.480	1034.225
672.608	1035.275
672.737	1026.025
672.865	1019.700
672.993	1023.212
673.121	1030.850
673.249	1021.475
673.377	1012.788
673.505	1015.538
673.633	1004.462
673.762	1004.112
673.890	1017.450
674.018	1007.175
674.146	1001.288
674.274	1016.913
674.402	1005.625
674.530	1001.612
674.658	994.263
674.787	993.788
674.915	985.837
675.043	1003.725
675.171	991.950
675.299	984.062
675.427	982.388
675.555	986.888
675.683	980.975
675.812	966.962
675.940	974.100
676.068	986.975
676.196	965.725
676.324	971.350
676.452	958.350
676.580	960.812
676.708	967.038
676.837	974.913
676.965	955.250
677.093	958.375
677.221	957.200
677.349	953.300
677.477	942.062
677.605	941.575
677.733	953.737
677.862	944.150
677.990	960.275
678.118	939.475
678.246	921.612
678.374	928.650
678.502	930.800
678.630	923.862
678.758	935.150
678.887	924.087
679.015	927.475
679.143	927.913
679.271	920.612
679.399	911.950
679.527	903.850
679.655	911.600
679.783	910.400
679.912	908.587
680.040	907.487
680.168	908.462
680.296	904.437
680.424	903.638
680.552	897.125
680.680	894.450
680.808	896.775
680.937	897.300
681.065	892.513
681.193	894.862
681.321	901.950
681.449	892.237
681.577	888.775
681.705	886.150
681.833	880.462
681.962	875.300
682.090	895.763
682.218	882.600
682.346	878.525
682.474	876.825
682.602	872.575
682.730	879.112
682.858	862.962
682.987	875.562
683.115	871.325
683.243	864.087
683.371	861.125
683.499	864.013
683.627	866.300
683.755	863.025
683.883	860.850
684.012	851.712
684.140	862.638
684.268	852.087
684.396	857.825
684.524	854.950
684.652	864.300
684.780	863.087
684.908	851.013
685.037	855.275
