90pol_70_70_at_750.00nm_cut_at_984.50Y_01.dat
24.04.2023
11:00:52
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	16760.638
586.124	16246.234
586.252	16170.957
586.380	16196.809
586.508	16237.426
586.637	16318.426
586.765	16436.915
586.893	16445.255
587.021	16429.872
587.149	16525.149
587.277	16560.489
587.405	16594.340
587.533	16535.851
587.662	16748.000
587.790	16663.106
587.918	16617.277
588.046	16670.660
588.174	16591.872
588.302	16725.468
588.430	16674.809
588.558	16654.213
588.687	16729.213
588.815	16699.149
588.943	16690.681
589.071	16680.532
589.199	16747.149
589.327	16729.553
589.455	16687.723
589.583	16814.085
589.712	16782.213
589.840	16766.149
589.968	16764.532
590.096	16778.660
590.224	16800.766
590.352	16795.021
590.480	16800.340
590.608	16769.489
590.737	16883.957
590.865	16910.468
590.993	16825.787
591.121	16833.298
591.249	16872.362
591.377	16872.021
591.505	16914.383
591.633	16919.872
591.762	16917.085
591.890	17074.809
592.018	16970.191
592.146	16967.213
592.274	16971.170
592.402	16985.617
592.530	17025.043
592.658	17274.213
592.787	17089.255
592.915	17308.106
593.043	17182.383
593.171	17240.383
593.299	17253.362
593.427	17309.021
593.555	17373.404
593.683	17400.191
593.812	17476.766
593.940	17492.021
594.068	17553.234
594.196	17682.574
594.324	17666.447
594.452	17629.170
594.580	17732.085
594.708	17820.596
594.837	17754.979
594.965	17867.255
595.093	17963.000
595.221	17919.319
595.349	18097.809
595.477	18081.404
595.605	18023.340
595.733	18065.128
595.862	18351.617
595.990	18167.000
596.118	18278.149
596.246	18437.936
596.374	18305.447
596.502	18404.702
596.630	18373.936
596.758	18387.702
596.887	18368.213
597.015	18463.340
597.143	18522.915
597.271	18484.723
597.399	18569.553
597.527	18463.468
597.655	18577.532
597.783	18515.447
597.912	18591.617
598.040	18584.298
598.168	18631.957
598.296	18606.553
598.424	18590.128
598.552	18596.766
598.680	18553.511
598.808	18696.213
598.937	18653.234
599.065	18552.617
599.193	18561.319
599.321	18581.489
599.449	18561.128
599.577	18512.362
599.705	18597.426
599.833	18598.149
599.962	18631.404
600.090	18604.638
600.218	18678.745
600.346	18743.128
600.474	18669.319
600.602	18704.340
600.730	18777.064
600.858	18803.277
600.987	18921.872
601.115	18827.340
601.243	18944.426
601.371	18946.191
601.499	19053.128
601.627	19112.383
601.755	19153.085
601.883	19284.383
602.012	19273.596
602.140	19301.000
602.268	19472.936
602.396	19425.979
602.524	19611.383
602.652	19539.191
602.780	19676.979
602.908	19718.000
603.037	19779.660
603.165	19841.957
603.293	19978.447
603.421	20034.638
603.549	20163.340
603.677	20250.766
603.805	20275.021
603.933	20341.319
604.062	20515.936
604.190	20533.723
604.318	20654.298
604.446	20702.128
604.574	20711.298
604.702	20854.638
604.830	20911.170
604.958	20986.468
605.087	21150.660
605.215	21240.085
605.343	21152.532
605.471	21288.787
605.599	21379.000
605.727	21369.766
605.855	21482.787
605.983	21479.617
606.112	21556.745
606.240	21563.872
606.368	21625.660
606.496	21827.149
606.624	21611.489
606.752	21767.191
606.880	21870.021
607.008	21884.617
607.137	21844.617
607.265	21727.149
607.393	21786.191
607.521	21802.787
607.649	21817.851
607.777	21715.255
607.905	21761.638
608.033	21718.277
608.162	21755.362
608.290	21719.213
608.418	21730.043
608.546	21728.638
608.674	21729.660
608.802	21714.128
608.930	21659.745
609.058	21694.128
609.187	21727.319
609.315	21755.383
609.443	21724.043
609.571	21706.894
609.699	21739.617
609.827	21758.851
609.955	21674.957
610.083	21689.574
610.212	21698.723
610.340	21712.191
610.468	21788.489
610.596	21775.745
610.724	21795.319
610.852	21772.894
610.980	21837.936
611.108	21840.638
611.237	21823.043
611.365	21875.404
611.493	21872.553
611.621	21965.340
611.749	21948.553
611.877	22092.979
612.005	22039.043
612.133	22165.553
612.262	22231.298
612.390	22214.319
612.518	22258.319
612.646	22431.745
612.774	22334.085
612.902	22482.511
613.030	22631.574
613.158	22746.872
613.287	22716.532
613.415	22730.979
613.543	22725.872
613.671	22685.064
613.799	22855.255
613.927	22705.489
614.055	22762.000
614.183	22999.255
614.312	22946.064
614.440	23066.383
614.568	23009.404
614.696	23116.979
614.824	23330.128
614.952	23172.319
615.080	23250.021
615.208	23305.936
615.337	23480.617
615.465	23563.511
615.593	23694.000
615.721	23833.936
615.849	24012.894
615.977	24004.766
616.105	23979.085
616.233	23903.745
616.362	23984.511
616.490	24068.553
616.618	24111.617
616.746	24146.191
616.874	24225.872
617.002	24154.596
617.130	24222.915
617.258	24380.362
617.387	24327.617
617.515	24389.681
617.643	24358.170
617.771	24414.936
617.899	24474.617
618.027	24422.085
618.155	24587.298
618.283	24484.319
618.412	24567.894
618.540	24699.213
618.668	24642.085
618.796	24580.404
618.924	24774.553
619.052	24696.489
619.180	24772.383
619.308	24873.979
619.437	24809.362
619.565	24776.447
619.693	24786.979
619.821	24786.426
619.949	24795.149
620.077	24966.979
620.205	24897.085
620.333	24970.489
620.462	25032.979
620.590	25001.170
620.718	24932.936
620.846	25011.234
620.974	25037.723
621.102	24992.511
621.230	25005.809
621.358	25204.277
621.487	25004.404
621.615	25069.574
621.743	25214.553
621.871	25171.447
621.999	25238.894
622.127	25140.957
622.255	25141.255
622.383	25174.574
622.512	25082.191
622.640	25256.702
622.768	25123.043
622.896	25167.809
623.024	25127.532
623.152	25249.426
623.280	25179.702
