dark count_at_750.00nm_cut_at_984.50Y_01.dat
24.04.2023
12:22:44
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	286.277
586.124	276.043
586.252	270.298
586.380	258.766
586.508	252.957
586.637	259.596
586.765	259.979
586.893	256.660
587.021	252.277
587.149	267.213
587.277	262.957
587.405	270.894
587.533	255.660
587.662	274.447
587.790	276.511
587.918	266.872
588.046	252.511
588.174	260.000
588.302	283.468
588.430	284.170
588.558	248.596
588.687	243.809
588.815	321.872
588.943	267.681
589.071	258.596
589.199	285.106
589.327	261.532
589.455	247.170
589.583	260.936
589.712	283.553
589.840	255.085
589.968	246.532
590.096	249.532
590.224	237.766
590.352	262.660
590.480	252.723
590.608	243.213
590.737	243.511
590.865	259.085
590.993	252.681
591.121	273.915
591.249	267.660
591.377	253.255
591.505	258.362
591.633	243.170
591.762	238.170
591.890	253.191
592.018	243.702
592.146	254.511
592.274	263.128
592.402	250.702
592.530	244.234
592.658	303.468
592.787	256.426
592.915	266.085
593.043	233.723
593.171	242.745
593.299	259.043
593.427	243.660
593.555	266.383
593.683	250.830
593.812	255.191
593.940	248.553
594.068	246.277
594.196	263.872
594.324	238.830
594.452	233.574
594.580	263.043
594.708	247.234
594.837	244.468
594.965	236.085
595.093	232.447
595.221	242.553
595.349	251.936
595.477	285.298
595.605	245.149
595.733	249.383
595.862	249.064
595.990	221.255
596.118	259.638
596.246	218.532
596.374	275.617
596.502	279.064
596.630	241.170
596.758	245.660
596.887	247.936
597.015	261.340
597.143	236.064
597.271	268.894
597.399	289.149
597.527	237.894
597.655	230.489
597.783	241.553
597.912	226.979
598.040	252.447
598.168	243.128
598.296	262.000
598.424	240.383
598.552	247.447
598.680	240.426
598.808	242.702
598.937	261.383
599.065	237.128
599.193	240.043
599.321	252.234
599.449	249.617
599.577	226.213
599.705	243.234
599.833	231.681
599.962	246.574
600.090	232.830
600.218	246.660
600.346	247.872
600.474	232.723
600.602	234.596
600.730	237.255
600.858	280.234
600.987	248.000
601.115	225.936
601.243	228.277
601.371	244.085
601.499	231.362
601.627	249.106
601.755	259.191
601.883	255.426
602.012	244.426
602.140	240.851
602.268	256.021
602.396	257.766
602.524	258.660
602.652	255.213
602.780	251.106
602.908	254.617
603.037	240.149
603.165	226.809
603.293	236.085
603.421	224.681
603.549	235.340
603.677	294.745
603.805	233.809
603.933	239.660
604.062	239.234
604.190	247.617
604.318	232.574
604.446	254.787
604.574	237.660
604.702	250.660
604.830	233.532
604.958	235.447
605.087	244.362
605.215	235.638
605.343	260.213
605.471	220.106
605.599	300.021
605.727	238.596
605.855	275.809
605.983	231.170
606.112	257.468
606.240	237.191
606.368	246.277
606.496	265.340
606.624	244.617
606.752	257.638
606.880	241.596
607.008	236.766
607.137	220.957
607.265	225.894
607.393	237.128
607.521	249.617
607.649	281.894
607.777	237.957
607.905	228.553
608.033	226.106
608.162	294.043
608.290	231.723
608.418	236.362
608.546	243.574
608.674	239.681
608.802	241.596
608.930	227.553
609.058	247.128
609.187	290.085
609.315	232.617
609.443	236.191
609.571	272.915
609.699	287.511
609.827	258.298
609.955	240.149
610.083	248.915
610.212	234.723
610.340	223.468
610.468	222.872
610.596	251.085
610.724	218.553
610.852	264.511
610.980	221.915
611.108	240.191
611.237	231.660
611.365	257.383
611.493	224.936
611.621	255.979
611.749	242.021
611.877	236.702
612.005	237.234
612.133	248.766
612.262	227.106
612.390	221.404
612.518	260.723
612.646	233.170
612.774	257.894
612.902	225.787
613.030	226.191
613.158	263.979
613.287	240.340
613.415	242.553
613.543	219.681
613.671	223.000
613.799	290.681
613.927	226.574
614.055	232.809
614.183	226.191
614.312	235.830
614.440	225.511
614.568	230.723
614.696	290.447
614.824	234.532
614.952	222.957
615.080	233.170
615.208	222.404
615.337	236.191
615.465	224.894
615.593	244.638
615.721	245.532
615.849	236.532
615.977	241.362
616.105	210.000
616.233	233.766
616.362	224.426
616.490	258.830
616.618	243.213
616.746	222.362
616.874	234.553
617.002	223.553
617.130	230.362
617.258	247.064
617.387	224.255
617.515	229.404
617.643	233.596
617.771	212.702
617.899	241.128
618.027	239.894
618.155	231.702
618.283	233.489
618.412	241.021
618.540	217.191
618.668	218.383
618.796	244.213
618.924	241.936
619.052	220.894
619.180	227.787
619.308	238.170
619.437	235.723
619.565	236.447
619.693	241.787
619.821	225.681
619.949	223.957
620.077	231.106
620.205	246.936
620.333	253.617
620.462	227.894
620.590	275.234
620.718	252.085
620.846	237.468
620.974	241.191
621.102	228.957
621.230	229.340
621.358	303.085
621.487	234.489
621.615	228.702
621.743	239.532
621.871	228.787
621.999	231.915
622.127	227.894
622.255	216.404
622.383	223.532
622.512	220.000
622.640	249.298
622.768	228.809
622.896	217.489
623.024	232.213
623.152	241.787
623.280	239.553
623.408	232.106
623.537	241.915
623.665	228.681
623.793	217.723
623.921	237.319
624.049	225.936
624.177	222.532
624.305	210.277
624.433	223.915
624.562	236.936
624.690	229.404
624.818	237.702
624.946	219.191
625.074	228.298
625.202	242.830
625.330	231.830
625.458	230.170
625.587	221.915
625.715	221.511
625.843	226.574
625.971	249.319
626.099	309.149
626.227	231.213
626.355	212.681
626.483	221.745
626.612	232.766
626.740	234.979
626.868	249.596
626.996	249.255
627.124	221.894
627.252	217.064
627.380	227.532
627.508	240.128
627.637	227.447
627.765	220.511
627.893	253.617
628.021	270.766
628.149	445.979
628.277	523.064
628.405	438.234
628.533	276.702
628.662	231.000
628.790	220.191
628.918	242.043
629.046	234.617
629.174	330.872
629.302	423.957
629.430	360.915
629.558	239.170
629.687	239.106
629.815	250.638
629.943	234.872
630.071	233.574
630.199	218.191
630.327	232.511
630.455	244.936
630.583	272.617
630.712	227.979
630.840	250.830
630.968	276.681
631.096	213.319
631.224	229.894
631.352	276.340
631.480	239.234
631.608	282.298
631.737	306.000
631.865	224.723
631.993	223.553
632.121	267.766
632.249	220.596
632.377	230.043
632.505	235.766
632.633	223.043
632.762	226.894
632.890	225.447
633.018	227.170
633.146	269.043
633.274	222.830
633.402	237.255
633.530	235.468
633.658	246.596
633.787	215.574
633.915	230.064
634.043	226.830
634.171	275.340
634.299	223.979
634.427	211.532
634.555	239.298
634.683	230.213
634.812	236.362
634.940	233.723
635.068	221.404
635.196	226.362
635.324	241.362
635.452	251.426
635.580	243.638
635.708	218.064
635.837	218.021
635.965	249.000
636.093	211.681
636.221	236.660
636.349	243.362
636.477	238.426
636.605	219.383
636.733	217.149
636.862	280.277
636.990	227.149
637.118	225.085
637.246	223.915
637.374	206.298
637.502	237.149
637.630	227.681
637.758	229.702
637.887	217.851
638.015	234.660
638.143	251.021
638.271	229.149
638.399	216.574
638.527	217.617
638.655	222.404
638.783	240.979
638.912	217.574
639.040	235.255
639.168	232.489
639.296	239.340
639.424	272.830
639.552	229.809
639.680	396.596
639.808	243.766
639.937	228.851
640.065	221.234
640.193	220.170
640.321	228.957
640.449	238.809
640.577	241.915
640.705	215.404
640.833	242.872
640.962	215.447
641.090	238.979
641.218	213.617
641.346	218.851
641.474	212.319
641.602	252.128
641.730	225.277
641.858	245.809
641.987	225.830
642.115	224.553
642.243	223.489
642.371	218.617
642.499	226.319
642.627	242.213
642.755	236.596
642.883	217.468
643.012	242.149
643.140	234.000
643.268	240.043
643.396	235.000
643.524	223.213
643.652	226.447
643.780	238.021
643.908	321.511
644.037	219.745
644.165	218.468
644.293	227.000
644.421	239.106
644.549	237.043
644.677	255.234
644.805	238.489
644.933	213.915
645.062	232.979
645.190	215.191
645.318	220.468
645.446	213.681
645.574	240.681
645.702	224.468
645.830	263.872
645.958	202.766
646.087	240.064
646.215	214.404
646.343	224.319
646.471	229.809
646.599	241.043
646.727	209.106
646.855	216.766
646.983	231.809
647.112	231.362
647.240	225.106
647.368	229.000
647.496	225.681
647.624	240.979
647.752	216.298
647.880	240.085
648.008	239.213
648.137	218.064
648.265	233.766
648.393	254.277
648.521	241.213
648.649	231.809
648.777	220.383
648.905	231.830
649.033	216.574
649.162	217.149
649.290	280.553
649.418	211.213
649.546	235.404
649.674	238.404
649.802	216.447
649.930	225.149
650.058	277.085
650.187	229.404
650.315	206.915
650.443	258.489
650.571	232.255
650.699	241.404
650.827	230.872
650.955	221.340
651.083	236.085
651.212	246.255
651.340	218.128
651.468	211.213
651.596	209.426
651.724	230.532
651.852	230.553
651.980	242.106
652.108	241.489
652.237	219.979
652.365	230.596
652.493	238.234
652.621	228.128
652.749	234.255
652.877	213.468
653.005	225.532
653.133	222.468
653.262	238.830
653.390	235.787
653.518	245.234
653.646	236.511
653.774	245.191
653.902	229.426
654.030	242.830
654.158	211.766
654.287	224.851
654.415	228.915
654.543	245.851
654.671	233.894
654.799	210.021
654.927	237.766
655.055	213.894
655.183	216.979
655.312	225.447
655.440	270.149
655.568	232.617
655.696	224.170
655.824	309.596
655.952	277.298
656.080	241.957
656.208	238.851
656.337	253.170
656.465	236.638
656.593	232.766
656.721	213.851
656.849	210.021
656.977	244.277
657.105	231.191
657.233	231.617
657.362	219.191
657.490	225.383
657.618	224.319
657.746	223.362
657.874	209.234
658.002	227.936
658.130	229.851
658.258	234.064
658.387	232.298
658.515	213.553
658.643	218.979
658.771	229.149
658.899	273.447
659.027	236.766
659.155	260.596
659.283	224.532
659.412	233.362
659.540	228.170
659.668	239.064
659.796	215.830
659.924	247.489
660.052	249.660
660.180	230.809
660.308	231.957
660.437	227.809
660.565	237.085
660.693	215.213
660.821	239.128
660.949	227.043
661.077	213.957
661.205	223.383
661.333	224.340
661.462	231.064
661.590	247.979
661.718	233.511
661.846	216.298
661.974	246.319
662.102	213.723
662.230	229.532
662.358	218.830
662.487	237.021
662.615	228.043
662.743	228.085
662.871	227.426
662.999	227.617
663.127	211.617
663.255	243.511
663.383	239.128
663.512	239.000
663.640	241.574
663.768	228.915
663.896	288.255
664.024	226.872
664.152	228.681
664.280	234.191
664.408	236.851
664.537	234.957
664.665	277.170
664.793	224.447
