referenz led_at_750.00nm_cut_at_984.50Y_01.dat
24.04.2023
12:24:24
cut middle at Y: 984.50
top cursor: 1008 down cursor: 961 mean of: 47 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	35953.106
586.124	35005.766
586.252	34599.149
586.380	34597.468
586.508	34640.085
586.637	34612.149
586.765	34683.489
586.893	34732.574
587.021	34745.064
587.149	34884.298
587.277	34832.277
587.405	34803.574
587.533	34650.043
587.662	34847.638
587.790	34823.064
587.918	34765.957
588.046	34758.298
588.174	34645.851
588.302	34712.170
588.430	34470.787
588.558	34466.000
588.687	34562.638
588.815	34526.979
588.943	34429.213
589.071	34347.979
589.199	34292.681
589.327	34203.000
589.455	34056.851
589.583	34141.447
589.712	34093.128
589.840	34077.787
589.968	33972.255
590.096	33961.532
590.224	34014.787
590.352	33948.511
590.480	33774.681
590.608	33975.723
590.737	33920.213
590.865	33821.404
590.993	33741.468
591.121	33865.149
591.249	33816.064
591.377	33769.787
591.505	33718.170
591.633	33779.532
591.762	33821.234
591.890	33973.574
592.018	33755.830
592.146	33750.723
592.274	33701.809
592.402	33791.872
592.530	33741.277
592.658	33993.894
592.787	33767.128
592.915	33958.149
593.043	33884.319
593.171	33895.426
593.299	33913.362
593.427	33992.702
593.555	34149.851
593.683	34059.957
593.812	34201.638
593.940	34188.617
594.068	34304.106
594.196	34406.681
594.324	34478.426
594.452	34612.085
594.580	34632.957
594.708	34670.404
594.837	34810.128
594.965	34915.830
595.093	34919.043
595.221	34949.213
595.349	35093.702
595.477	35113.298
595.605	35105.277
595.733	35116.851
595.862	35340.553
595.990	35218.511
596.118	35355.234
596.246	35524.191
596.374	35529.872
596.502	35413.426
596.630	35417.383
596.758	35534.809
596.887	35494.766
597.015	35532.979
597.143	35543.936
597.271	35538.021
597.399	35455.553
597.527	35449.043
597.655	35551.574
597.783	35518.723
597.912	35508.043
598.040	35412.128
598.168	35392.277
598.296	35356.894
598.424	35271.213
598.552	35331.277
598.680	35218.340
598.808	35331.553
598.937	35209.213
599.065	35095.128
599.193	35079.511
599.321	35043.021
599.449	34967.553
599.577	34859.128
599.705	34999.426
599.833	34839.043
599.962	34839.574
600.090	34886.000
600.218	34832.851
600.346	34873.255
600.474	34877.064
600.602	34829.298
600.730	34854.489
600.858	34855.404
600.987	34918.553
601.115	34847.617
601.243	34930.043
601.371	34840.468
601.499	34872.872
601.627	35000.511
601.755	35008.915
601.883	35043.915
602.012	35146.617
602.140	35185.213
602.268	35340.021
602.396	35363.085
602.524	35427.404
602.652	35559.489
602.780	35657.894
602.908	35780.660
603.037	35894.638
603.165	35963.085
603.293	36028.787
603.421	36184.213
603.549	36269.766
603.677	36439.617
603.805	36517.723
603.933	36613.191
604.062	36843.489
604.190	36823.362
604.318	36982.383
604.446	37044.213
604.574	37139.234
604.702	37184.745
604.830	37272.617
604.958	37347.872
605.087	37578.553
605.215	37607.851
605.343	37660.957
605.471	37828.532
605.599	37787.021
605.727	37761.021
605.855	37932.404
605.983	37921.766
606.112	38056.766
606.240	38204.000
606.368	38159.298
606.496	38307.809
