Dunkelspektrum_at_750.00nm_cut_at_1350.00Y_01.dat
15.05.2023
11:27:24
cut middle at Y: 1350.00
top cursor: 1408 down cursor: 1292 mean of: 116 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	128.802
586.124	118.302
586.252	113.578
586.380	114.828
586.508	116.448
586.637	118.026
586.765	114.164
586.893	117.284
587.021	113.776
587.149	122.638
587.277	114.862
587.405	114.345
587.533	116.172
587.662	114.759
587.790	110.922
587.918	112.509
588.046	116.362
588.174	116.129
588.302	113.793
588.430	114.043
588.558	116.422
588.687	111.862
588.815	116.233
588.943	114.741
589.071	113.466
589.199	118.466
589.327	113.750
589.455	113.793
589.583	111.448
589.712	113.362
589.840	115.353
589.968	120.422
590.096	118.405
590.224	115.216
590.352	113.828
590.480	113.586
590.608	112.216
590.737	111.759
590.865	112.440
590.993	113.371
591.121	113.069
591.249	109.733
591.377	113.302
591.505	113.784
591.633	110.836
591.762	113.129
591.890	113.914
592.018	111.698
592.146	112.095
592.274	117.509
592.402	116.638
592.530	113.638
592.658	112.845
592.787	112.371
592.915	114.931
593.043	113.828
593.171	112.621
593.299	116.474
593.427	113.534
593.555	108.353
593.683	108.017
593.812	109.638
593.940	110.966
594.068	112.069
594.196	110.155
594.324	108.595
594.452	110.466
594.580	110.983
594.708	110.422
594.837	109.491
594.965	112.655
595.093	109.828
595.221	111.603
595.349	109.345
595.477	109.207
595.605	114.966
595.733	111.819
595.862	110.017
595.990	111.009
596.118	114.164
596.246	111.664
596.374	110.250
596.502	110.069
596.630	113.750
596.758	109.836
596.887	109.250
597.015	110.621
597.143	110.586
597.271	108.638
597.399	111.664
597.527	112.647
597.655	112.879
597.783	111.733
597.912	111.052
598.040	108.319
598.168	111.767
598.296	111.578
598.424	109.629
598.552	111.750
598.680	112.759
598.808	109.491
598.937	107.509
599.065	108.474
599.193	112.276
599.321	108.379
599.449	106.534
599.577	108.578
599.705	111.707
599.833	112.793
599.962	109.095
600.090	109.793
600.218	114.216
600.346	111.491
600.474	109.207
600.602	107.931
600.730	110.862
600.858	118.802
600.987	112.293
601.115	106.147
601.243	107.250
601.371	114.879
601.499	113.069
601.627	110.224
601.755	117.362
601.883	109.043
602.012	112.724
602.140	107.224
602.268	108.922
602.396	110.948
602.524	129.698
602.652	134.784
602.780	132.112
602.908	112.724
603.037	112.853
603.165	108.302
603.293	107.336
603.421	107.612
603.549	108.414
603.677	107.121
603.805	106.931
603.933	107.052
604.062	110.750
604.190	109.259
604.318	108.543
604.446	106.733
604.574	108.655
604.702	107.819
604.830	107.371
604.958	108.526
605.087	108.138
605.215	107.319
605.343	106.422
605.471	108.336
605.599	110.552
605.727	108.543
605.855	107.638
605.983	107.853
606.112	110.888
606.240	108.957
606.368	113.491
606.496	108.931
606.624	113.905
606.752	109.750
606.880	110.940
607.008	107.466
607.137	108.017
607.265	106.284
607.393	110.207
607.521	108.767
607.649	106.371
607.777	108.060
607.905	111.224
608.033	107.078
608.162	106.060
608.290	106.431
608.418	114.853
608.546	110.991
608.674	108.293
608.802	110.181
608.930	110.638
609.058	107.017
609.187	105.552
609.315	105.983
609.443	108.431
609.571	109.052
609.699	107.578
609.827	107.828
609.955	107.793
610.083	107.922
610.212	108.103
610.340	110.138
610.468	107.750
610.596	108.871
610.724	112.155
610.852	108.759
610.980	111.267
611.108	109.491
611.237	111.026
611.365	107.741
611.493	104.871
611.621	106.388
611.749	106.716
611.877	109.681
612.005	109.603
612.133	108.052
612.262	108.474
612.390	111.353
612.518	110.612
612.646	107.172
612.774	107.129
612.902	105.784
613.030	106.741
613.158	107.526
613.287	107.793
613.415	108.448
613.543	110.560
613.671	109.388
613.799	108.371
613.927	108.181
614.055	112.172
614.183	112.181
614.312	107.431
614.440	107.603
614.568	107.345
614.696	107.750
614.824	107.052
614.952	106.672
615.080	106.121
615.208	105.767
615.337	109.017
615.465	109.052
615.593	110.948
615.721	108.543
615.849	106.966
615.977	106.552
616.105	107.276
616.233	106.250
616.362	109.233
616.490	109.241
616.618	109.241
616.746	107.543
616.874	107.302
617.002	109.836
617.130	110.017
617.258	105.871
617.387	106.629
617.515	107.647
617.643	106.741
617.771	106.405
617.899	106.500
618.027	107.776
618.155	107.638
618.283	111.129
618.412	107.767
618.540	106.078
618.668	108.586
618.796	107.724
618.924	109.862
619.052	107.578
619.180	106.810
619.308	108.371
619.437	108.517
619.565	109.103
619.693	110.784
619.821	107.931
619.949	109.207
620.077	106.569
620.205	108.241
620.333	108.845
620.462	113.319
620.590	109.190
620.718	111.052
620.846	107.931
620.974	108.914
621.102	114.000
621.230	108.310
621.358	107.397
621.487	108.724
621.615	112.121
621.743	108.914
621.871	107.017
621.999	107.293
622.127	106.948
622.255	106.810
622.383	105.078
622.512	106.810
622.640	109.603
622.768	107.552
622.896	107.647
623.024	106.466
623.152	105.716
623.280	108.474
623.408	107.603
623.537	109.009
623.665	110.517
623.793	109.216
623.921	108.621
624.049	113.828
624.177	108.888
624.305	106.095
624.433	107.853
624.562	106.802
624.690	106.802
624.818	107.138
624.946	109.698
625.074	109.250
625.202	109.181
625.330	108.940
625.458	107.060
625.587	105.612
625.715	108.991
625.843	106.819
625.971	108.241
626.099	109.233
626.227	108.612
626.355	106.862
626.483	110.319
626.612	107.741
626.740	103.828
626.868	107.060
626.996	108.905
627.124	106.741
627.252	108.121
627.380	107.914
627.508	105.353
627.637	107.121
627.765	106.845
627.893	111.164
628.021	107.707
628.149	109.034
628.277	110.017
628.405	107.836
628.533	106.681
628.662	105.845
628.790	106.250
628.918	108.121
629.046	111.138
629.174	111.655
629.302	108.276
629.430	106.328
629.558	108.612
629.687	113.112
629.815	107.345
629.943	107.414
630.071	107.862
630.199	110.733
630.327	107.655
630.455	107.181
630.583	105.440
630.712	106.483
630.840	109.224
630.968	106.922
631.096	103.897
631.224	106.586
631.352	108.603
631.480	108.095
631.608	106.500
631.737	105.388
631.865	105.940
631.993	107.267
632.121	108.086
632.249	109.828
632.377	106.836
632.505	108.448
632.633	108.388
632.762	105.552
632.890	105.483
633.018	107.647
633.146	105.440
633.274	107.845
633.402	107.517
633.530	107.707
633.658	108.888
633.787	107.664
633.915	105.069
634.043	105.569
634.171	110.724
634.299	105.621
634.427	106.310
634.555	106.250
634.683	106.871
634.812	107.776
634.940	107.793
635.068	106.767
635.196	106.629
635.324	107.328
635.452	108.474
635.580	108.026
635.708	107.517
635.837	107.784
635.965	105.948
636.093	106.569
636.221	105.517
636.349	106.509
636.477	106.733
636.605	106.897
636.733	107.086
636.862	108.009
636.990	105.543
637.118	107.707
637.246	107.371
637.374	105.664
637.502	107.698
637.630	106.500
637.758	106.569
637.887	106.397
638.015	110.302
638.143	108.397
638.271	108.000
638.399	107.724
638.527	108.190
638.655	107.052
638.783	104.526
638.912	106.009
639.040	105.302
639.168	104.569
639.296	105.267
639.424	107.198
639.552	106.750
639.680	104.974
639.808	105.586
639.937	107.095
640.065	104.379
640.193	108.250
640.321	106.957
640.449	104.784
640.577	106.862
640.705	107.000
640.833	106.733
640.962	106.638
641.090	106.250
641.218	107.129
641.346	106.414
641.474	107.690
641.602	105.784
641.730	107.733
641.858	105.483
641.987	106.578
642.115	106.862
642.243	106.397
642.371	104.914
642.499	105.526
642.627	106.276
642.755	106.543
642.883	105.897
643.012	108.172
643.140	106.336
643.268	107.052
643.396	106.603
643.524	104.638
643.652	103.612
643.780	105.112
643.908	104.716
644.037	105.491
644.165	105.172
644.293	106.207
644.421	107.207
644.549	108.940
644.677	109.362
644.805	106.500
644.933	106.448
645.062	106.759
645.190	106.112
645.318	107.629
645.446	105.500
645.574	106.526
645.702	105.319
645.830	110.509
645.958	107.491
646.087	107.759
646.215	108.043
646.343	106.957
646.471	106.009
646.599	104.966
646.727	105.233
646.855	104.448
646.983	103.586
647.112	105.776
647.240	106.534
647.368	105.009
647.496	107.483
647.624	108.345
647.752	106.612
647.880	106.009
648.008	104.802
648.137	106.483
648.265	105.983
648.393	105.569
648.521	106.629
648.649	104.716
648.777	107.138
648.905	106.302
649.033	107.181
649.162	106.164
649.290	104.983
649.418	107.483
649.546	109.819
649.674	105.164
649.802	107.310
649.930	108.371
650.058	107.328
650.187	105.017
650.315	113.207
650.443	109.466
650.571	105.233
650.699	106.612
650.827	104.172
650.955	106.190
651.083	105.879
651.212	106.259
651.340	104.940
651.468	104.991
651.596	105.422
651.724	106.302
651.852	105.362
651.980	105.319
652.108	105.690
652.237	107.724
652.365	109.233
652.493	106.698
652.621	109.310
652.749	108.828
652.877	109.405
653.005	106.767
653.133	105.776
653.262	104.836
653.390	105.871
653.518	105.793
653.646	104.836
653.774	104.991
653.902	105.466
654.030	109.448
654.158	104.681
654.287	106.103
654.415	104.603
654.543	105.483
654.671	105.552
654.799	105.569
654.927	105.353
655.055	108.466
655.183	104.690
655.312	106.129
655.440	105.310
655.568	106.888
655.696	104.353
655.824	103.741
655.952	105.276
656.080	103.440
656.208	104.647
656.337	105.138
656.465	105.871
656.593	105.095
656.721	102.897
656.849	105.741
656.977	104.905
657.105	103.784
657.233	104.940
657.362	108.241
657.490	106.578
657.618	104.612
657.746	102.931
657.874	105.103
658.002	106.353
658.130	103.698
658.258	106.931
658.387	104.716
658.515	106.267
658.643	107.914
658.771	104.707
658.899	102.603
659.027	105.216
659.155	105.009
659.283	102.914
659.412	104.233
659.540	103.526
659.668	104.672
659.796	106.586
659.924	109.655
660.052	107.655
660.180	106.026
660.308	105.181
660.437	104.078
660.565	107.491
660.693	105.422
660.821	104.483
660.949	104.586
661.077	106.776
661.205	105.086
661.333	105.517
661.462	107.457
661.590	104.310
661.718	104.931
661.846	105.009
661.974	104.707
662.102	107.388
662.230	105.845
662.358	104.379
662.487	104.095
662.615	105.543
662.743	104.483
662.871	103.500
662.999	104.862
663.127	104.052
663.255	105.509
663.383	104.897
663.512	106.250
663.640	105.405
663.768	105.216
663.896	108.690
664.024	108.362
664.152	110.957
664.280	103.379
664.408	103.793
664.537	106.897
664.665	103.543
664.793	106.095
664.921	114.216
665.049	109.690
665.177	106.250
665.305	105.974
665.433	106.526
665.562	107.397
665.690	106.362
665.818	105.905
665.946	106.836
666.074	108.991
666.202	107.707
666.330	106.147
666.458	107.181
666.587	105.871
666.715	104.302
666.843	104.914
666.971	103.517
667.099	102.828
667.227	104.819
667.355	108.440
667.483	109.914
667.612	106.569
667.740	104.147
667.868	105.828
667.996	104.336
668.124	105.259
668.252	107.422
668.380	108.379
668.508	106.629
668.637	106.466
668.765	107.457
668.893	105.681
669.021	104.647
669.149	106.759
669.277	107.129
669.405	106.784
669.533	104.707
669.662	106.198
669.790	106.466
669.918	104.241
670.046	103.155
670.174	108.836
670.302	110.164
670.430	104.698
670.558	106.129
670.687	104.845
670.815	105.017
670.943	106.457
671.071	104.241
671.199	102.060
671.327	106.741
671.455	106.069
671.583	105.595
671.712	109.690
671.840	112.198
671.968	106.422
672.096	105.129
672.224	106.897
672.352	112.448
672.480	108.759
672.608	106.897
672.737	106.552
672.865	106.129
672.993	103.638
673.121	102.974
673.249	106.586
673.377	106.853
673.505	105.853
673.633	108.362
673.762	104.871
673.890	108.578
674.018	110.603
674.146	104.776
674.274	106.664
674.402	105.638
674.530	106.983
674.658	108.638
674.787	106.509
674.915	308.397
675.043	108.345
675.171	103.733
675.299	105.302
675.427	105.431
675.555	107.034
675.683	105.845
675.812	104.155
675.940	107.483
676.068	104.974
676.196	104.422
676.324	104.966
676.452	105.147
676.580	106.974
676.708	106.638
676.837	104.690
676.965	106.345
