Referenz_HF_PS_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
12:41:25
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	3822.412
586.124	3722.687
586.252	3672.900
586.380	3700.187
586.508	3729.312
586.637	3682.700
586.765	3686.713
586.893	3690.238
587.021	3703.675
587.149	3765.213
587.277	3728.037
587.405	3775.012
587.533	3699.725
587.662	3851.250
587.790	3827.950
587.918	3716.600
588.046	3748.762
588.174	3725.062
588.302	3767.312
588.430	3738.363
588.558	3741.850
588.687	3764.062
588.815	3764.363
588.943	3717.762
589.071	3718.050
589.199	3755.687
589.327	3724.863
589.455	3702.600
589.583	3805.363
589.712	3729.775
589.840	3718.925
589.968	3701.213
590.096	3674.350
590.224	3735.963
590.352	3690.037
590.480	3721.387
590.608	3694.613
590.737	3750.900
590.865	3767.225
590.993	3635.750
591.121	3697.162
591.249	3695.213
591.377	3661.975
591.505	3667.925
591.633	3728.162
591.762	3668.037
591.890	3818.238
592.018	3640.488
592.146	3615.550
592.274	3670.387
592.402	3634.725
592.530	3649.162
592.658	3803.275
592.787	3680.900
592.915	3793.525
593.043	3650.575
593.171	3646.750
593.299	3651.062
593.427	3636.687
593.555	3608.100
593.683	3657.050
593.812	3648.213
593.940	3670.338
594.068	3662.613
594.196	3686.637
594.324	3675.125
594.452	3674.812
594.580	3681.463
594.708	3712.012
594.837	3718.100
594.965	3775.150
595.093	3744.088
595.221	3795.963
595.349	3890.312
595.477	3775.262
595.605	3775.075
595.733	3756.800
595.862	3955.588
595.990	3799.750
596.118	3813.437
596.246	3975.437
596.374	3854.725
596.502	3824.475
596.630	3876.363
596.758	3837.287
596.887	3839.762
597.015	3828.213
597.143	3852.475
597.271	3838.800
597.399	3830.137
597.527	3840.900
597.655	3851.150
597.783	3843.725
597.912	3822.650
598.040	3826.875
598.168	3891.500
598.296	3795.963
598.424	3840.762
598.552	3863.113
598.680	3781.787
598.808	3929.125
598.937	3761.812
599.065	3797.225
599.193	3883.488
599.321	3867.125
599.449	3759.088
599.577	3749.000
599.705	3811.412
599.833	3716.325
599.962	3733.775
600.090	3791.687
600.218	3771.912
600.346	3830.088
600.474	3695.725
600.602	3695.762
600.730	3735.762
600.858	3731.425
600.987	3862.463
601.115	3731.100
601.243	3713.287
601.371	3720.800
601.499	3736.387
601.627	3744.925
601.755	3746.088
601.883	3769.575
602.012	3755.463
602.140	3728.425
602.268	3835.700
602.396	3773.113
602.524	3813.488
602.652	3748.375
602.780	3786.463
602.908	3814.575
603.037	3849.350
603.165	3808.425
603.293	3860.825
603.421	3866.900
603.549	3884.812
603.677	3925.525
603.805	3907.875
603.933	3915.588
604.062	4024.812
604.190	3950.025
604.318	3924.900
604.446	3950.900
604.574	4014.463
604.702	3991.000
604.830	4011.963
604.958	4016.475
605.087	4028.200
605.215	4017.450
605.343	4034.287
605.471	4074.550
605.599	4080.537
605.727	4057.588
605.855	4110.988
605.983	4093.012
606.112	4087.750
606.240	4112.150
606.368	4114.387
606.496	4278.725
606.624	4083.838
606.752	4151.825
606.880	4281.575
607.008	4355.950
607.137	4288.812
607.265	4115.175
607.393	4171.062
607.521	4262.100
607.649	4137.137
607.777	4182.663
607.905	4192.725
608.033	4175.837
608.162	4117.850
608.290	4213.275
608.418	4142.337
608.546	4189.988
608.674	4205.650
608.802	4114.587
608.930	4092.887
609.058	4104.512
609.187	4165.812
609.315	4148.437
609.443	4060.713
609.571	4179.887
609.699	4072.575
609.827	4090.300
609.955	4128.988
610.083	4044.387
610.212	4055.338
610.340	4057.350
610.468	4161.750
610.596	4109.400
610.724	4122.163
610.852	4045.687
610.980	4042.825
611.108	4136.450
611.237	4032.738
611.365	4031.687
611.493	4021.762
611.621	4021.825
611.749	4045.412
611.877	4035.100
612.005	4054.338
612.133	4039.613
612.262	4020.588
612.390	4045.838
612.518	4095.550
612.646	4154.613
612.774	4045.525
612.902	4028.887
613.030	4028.262
613.158	4123.738
613.287	4086.338
613.415	4028.637
613.543	4049.350
613.671	4059.825
613.799	4094.350
613.927	4103.087
614.055	4065.863
614.183	4219.012
614.312	4084.312
614.440	4224.200
614.568	4118.988
614.696	4111.050
614.824	4286.850
614.952	4160.150
615.080	4103.762
615.208	4175.750
615.337	4161.812
615.465	4164.887
615.593	4186.975
615.721	4216.587
615.849	4230.863
615.977	4233.150
616.105	4296.225
616.233	4207.675
616.362	4305.725
616.490	4200.962
616.618	4171.775
616.746	4280.212
616.874	4305.100
617.002	4276.187
617.130	4324.675
617.258	4419.375
617.387	4288.300
617.515	4252.200
617.643	4286.087
617.771	4367.587
617.899	4357.562
618.027	4270.913
618.155	4431.038
618.283	4306.312
618.412	4325.275
618.540	4403.125
618.668	4350.462
618.796	4353.113
618.924	4459.113
619.052	4324.337
619.180	4331.850
619.308	4378.012
