sample16_PP_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
12:34:50
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1253.513
586.124	1225.537
586.252	1223.713
586.380	1221.125
586.508	1233.912
586.637	1248.187
586.765	1242.638
586.893	1239.088
587.021	1244.775
587.149	1250.287
587.277	1239.487
587.405	1262.588
587.533	1242.250
587.662	1244.088
587.790	1260.550
587.918	1247.875
588.046	1252.400
588.174	1240.900
588.302	1262.225
588.430	1252.250
588.558	1240.937
588.687	1248.263
588.815	1273.187
588.943	1245.662
589.071	1244.963
589.199	1254.812
589.327	1255.687
589.455	1233.625
589.583	1249.737
589.712	1260.612
589.840	1241.500
589.968	1241.050
590.096	1262.225
590.224	1260.900
590.352	1255.200
590.480	1262.013
590.608	1259.562
590.737	1247.612
590.865	1268.287
590.993	1263.550
591.121	1256.888
591.249	1263.525
591.377	1245.175
591.505	1255.287
591.633	1255.050
591.762	1267.588
591.890	1271.500
592.018	1261.187
592.146	1268.513
592.274	1278.650
592.402	1260.987
592.530	1260.675
592.658	1277.112
592.787	1267.362
592.915	1272.625
593.043	1279.950
593.171	1269.588
593.299	1292.125
593.427	1279.675
593.555	1276.437
593.683	1280.825
593.812	1289.525
593.940	1303.325
594.068	1287.912
594.196	1316.300
594.324	1292.013
594.452	1295.875
594.580	1309.825
594.708	1296.062
594.837	1314.775
594.965	1311.037
595.093	1324.338
595.221	1309.050
595.349	1326.138
595.477	1325.187
595.605	1307.612
595.733	1346.963
595.862	1337.000
595.990	1332.037
596.118	1330.350
596.246	1329.125
596.374	1350.100
596.502	1365.650
596.630	1341.175
596.758	1337.250
596.887	1349.350
597.015	1357.487
597.143	1335.950
597.271	1355.925
597.399	1353.187
597.527	1361.325
597.655	1354.925
597.783	1367.125
597.912	1345.850
598.040	1366.263
598.168	1357.963
598.296	1346.062
598.424	1367.225
598.552	1355.525
598.680	1350.263
598.808	1343.662
598.937	1353.812
599.065	1360.112
599.193	1345.638
599.321	1329.562
599.449	1360.075
599.577	1346.425
599.705	1348.650
599.833	1348.150
599.962	1355.687
600.090	1340.138
600.218	1344.050
600.346	1354.925
600.474	1370.787
600.602	1346.463
600.730	1366.250
600.858	1366.000
600.987	1349.800
601.115	1360.237
601.243	1358.537
601.371	1366.600
601.499	1349.400
601.627	1350.638
601.755	1367.638
601.883	1373.975
602.012	1375.475
602.140	1363.825
602.268	1381.713
602.396	1379.463
602.524	1382.513
602.652	1375.725
602.780	1378.925
602.908	1391.875
603.037	1391.700
603.165	1388.000
603.293	1408.412
603.421	1390.763
603.549	1405.338
603.677	1422.312
603.805	1396.763
603.933	1423.875
604.062	1406.225
604.190	1436.838
604.318	1416.975
604.446	1449.500
604.574	1432.975
604.702	1436.625
604.830	1439.450
604.958	1441.037
605.087	1460.812
605.215	1451.500
605.343	1449.225
605.471	1465.825
605.599	1464.100
605.727	1470.112
605.855	1468.025
605.983	1463.425
606.112	1477.912
606.240	1487.575
606.368	1491.475
606.496	1486.650
606.624	1468.013
