sample9_PS_at_750.00nm_cut_at_1008.00Y_01.dat
15.05.2023
11:06:51
cut middle at Y: 1008.00
top cursor: 1048 down cursor: 968 mean of: 80 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
585.996	1094.875
586.124	1068.812
586.252	1076.138
586.380	1070.850
586.508	1069.425
586.637	1075.138
586.765	1066.213
586.893	1079.138
587.021	1077.812
587.149	1086.812
587.277	1091.987
587.405	1093.237
587.533	1082.975
587.662	1097.062
587.790	1107.575
587.918	1100.950
588.046	1116.275
588.174	1096.475
588.302	1102.600
588.430	1092.787
588.558	1098.362
588.687	1108.775
588.815	1131.575
588.943	1112.575
589.071	1107.463
589.199	1120.088
589.327	1109.725
589.455	1112.187
589.583	1122.213
589.712	1124.075
589.840	1122.812
589.968	1114.888
590.096	1128.075
590.224	1121.562
590.352	1122.862
590.480	1132.812
590.608	1130.175
590.737	1120.463
590.865	1134.875
590.993	1126.963
591.121	1135.600
591.249	1125.375
591.377	1130.088
591.505	1130.725
591.633	1129.375
591.762	1146.750
591.890	1137.000
592.018	1127.912
592.146	1150.975
592.274	1151.400
592.402	1145.287
592.530	1144.963
592.658	1148.138
592.787	1151.112
592.915	1146.650
593.043	1146.312
593.171	1155.213
593.299	1176.050
593.427	1165.600
593.555	1167.275
593.683	1163.350
593.812	1162.850
593.940	1176.888
594.068	1179.625
594.196	1199.075
594.324	1175.662
594.452	1186.375
594.580	1201.250
594.708	1185.175
594.837	1194.737
594.965	1198.662
595.093	1200.250
595.221	1205.088
595.349	1216.412
595.477	1216.687
595.605	1205.237
595.733	1238.175
595.862	1213.562
595.990	1216.862
596.118	1229.525
596.246	1234.638
596.374	1231.625
596.502	1251.450
596.630	1260.550
596.758	1254.650
596.887	1247.037
597.015	1262.037
597.143	1239.638
597.271	1263.850
597.399	1266.975
597.527	1265.825
597.655	1258.500
597.783	1270.662
597.912	1254.662
598.040	1274.737
598.168	1263.138
598.296	1277.213
598.424	1264.450
598.552	1275.075
598.680	1260.875
598.808	1274.487
598.937	1269.037
599.065	1278.350
599.193	1268.263
599.321	1256.612
599.449	1286.138
599.577	1260.263
599.705	1264.125
599.833	1270.388
599.962	1257.437
600.090	1271.575
600.218	1259.513
600.346	1271.138
600.474	1279.750
600.602	1276.713
600.730	1273.737
600.858	1299.187
600.987	1274.325
601.115	1268.625
601.243	1280.800
601.371	1277.475
601.499	1296.650
601.627	1292.862
601.755	1303.275
601.883	1292.662
602.012	1301.300
602.140	1293.900
602.268	1310.575
602.396	1318.700
602.524	1319.937
602.652	1320.662
602.780	1322.775
602.908	1319.125
603.037	1350.075
603.165	1331.750
603.293	1348.187
603.421	1344.763
603.549	1340.862
603.677	1376.800
603.805	1347.687
603.933	1358.125
604.062	1367.325
604.190	1392.750
604.318	1367.225
604.446	1394.400
604.574	1385.862
604.702	1387.525
604.830	1398.675
604.958	1414.850
