Laser Delay [ns];TA [mOD]
-400;-0.030398
-390;-0.072101
-380;0.082202
-370;0.033948
-360;-0.018281
-350;-0.007892
-340;0.019022
-330;0.016759
-320;0.056070
-310;0.068563
-300;-0.007917
-290;-0.098579
-280;0.061287
-270;0.048458
-260;-0.040171
-250;0.063545
-240;0.046947
-230;0.013554
-220;-0.057014
-210;-0.081087
-200;-0.144745
-190;0.007498
-180;-0.116807
-170;0.106622
-160;-0.029391
-150;0.101796
-140;-0.051235
-130;0.062622
-120;-0.005278
-110;0.011366
-100;0.019344
-90;-0.080764
-80;-0.090718
-70;-0.056787
-60;-0.053973
-50;-0.003421
-40;0.066438
-30;-0.014457
-20;0.097602
-10;1.536881
0;4.914819
10;8.042201
20;11.402483
30;14.452737
40;17.601404
50;20.410870
60;23.282623
70;26.189247
80;29.069545
90;31.634184
100;34.268153
110;36.582522
120;37.182443
130;36.420809
140;35.806345
150;35.184055
160;34.485440
170;33.826252
180;33.181291
190;32.615939
200;31.880036
210;31.314564
220;30.766772
230;30.097353
240;29.370730
250;28.977091
260;28.423933
270;27.950240
280;27.438941
290;26.974281
300;26.460301
310;25.909000
320;25.401755
330;24.990474
340;24.358100
350;23.979234
360;23.454011
370;23.086204
380;22.632035
390;22.288629
400;21.772718
410;21.374270
420;20.952854
430;20.654730
440;20.182928
450;19.728481
460;19.323924
470;18.890451
480;18.635724
490;18.344249
500;17.983850
510;17.614952
520;17.319241
530;16.965023
540;16.669498
550;16.300658
560;16.003595
570;15.622902
580;15.374366
590;15.090320
600;14.786732
610;14.509055
620;14.269727
630;13.973692
640;13.772616
650;13.405625
660;13.161444
670;12.892299
680;12.721841
690;12.391866
700;12.160303
710;11.882765
720;11.760534
730;11.536985
740;11.427466
750;11.080303
760;10.818405
770;10.596344
780;10.422228
790;10.313018
800;9.971224
810;9.802906
820;9.664974
830;9.482915
840;9.282129
850;9.213318
860;8.925709
870;8.636188
880;8.482934
890;8.453581
900;8.264702
910;8.088972
920;8.052940
930;7.894890
940;7.582549
950;7.494280
960;7.249398
970;7.202530
980;7.061899
990;6.908529
1000;6.759423
1010;6.677995
1020;6.531103
1030;6.311849
1040;6.324005
1050;6.206481
1060;5.967056
1070;5.944477
1080;5.813276
1090;5.767140
1100;5.465663
1110;5.377468
1120;5.384008
1130;5.386646
1140;5.142664
1150;4.991792
1160;4.943060
1170;4.835617
1180;4.743266
1190;4.642674
1200;4.493091
1210;4.516821
1220;4.328879
1230;4.328201
1240;4.246201
1250;4.037886
1260;3.951652
1270;4.012767
1280;3.939006
1290;3.810306
1300;3.650077
1310;3.637974
1320;3.580954
1330;3.502088
1340;3.529591
1350;3.429304
1360;3.250896
1370;3.310929
1380;3.157372
1390;3.092411
1400;3.045665
1410;3.024046
1420;2.903405
1430;2.807273
1440;2.798851
1450;2.665903
1460;2.644470
1470;2.613027
1480;2.454505
1490;2.619945
1500;2.502700
1510;2.323055
1520;2.354235
1530;2.328157
1540;2.175937
1550;2.253038
1560;2.223997
1570;2.094167
1580;2.084156
1590;2.055653
1600;1.956409
1610;1.880987
1620;1.956890
1630;1.895946
1640;1.742231
1650;1.801697
1660;1.777091
1670;1.624794
1680;1.629752
1690;1.589146
1700;1.524413
1710;1.570863
1720;1.489697
1730;1.496154
1740;1.469040
1750;1.429632
1760;1.446205
1770;1.312232
1780;1.393849
1790;1.348569
1800;1.255204
1810;1.331179
1820;1.284495
1830;1.193409
1840;1.123364
1850;1.118787
1860;1.108640
1870;1.202779
1880;1.133301
1890;1.134412
1900;1.098811
1910;1.065308
1920;1.070032
1930;0.927539
1940;0.861810
1950;0.925679
1960;0.921310
1970;0.907058
1980;0.841517
1990;0.827137
2000;0.786619
2010;0.815932
2020;0.738343
2030;0.804327
2040;0.769992
2050;0.696602
2060;0.714042
2070;0.617962
2080;0.605910
2090;0.750790
2100;0.648191
2110;0.594656
2120;0.521751
2130;0.584769
2140;0.586996
2150;0.577696
2160;0.599953
2170;0.522387
2180;0.610061
2190;0.579610
2200;0.365903
2210;0.360213
2220;0.533040
2230;0.380044
2240;0.364492
2250;0.435968
2260;0.364677
2270;0.393812
2280;0.438615
2290;0.421326
2300;0.304867
2310;0.382097
2320;0.335191
2330;0.351948
2340;0.301656
2350;0.285766
2360;0.369167
2370;0.291826
2380;0.322386
2390;0.256746
2400;0.177593
2410;0.302487
2420;0.199506
2430;0.157506
2440;0.193447
2450;0.161648
2460;0.244752
2470;0.216687
2480;0.181803
2490;0.155058
2500;0.151089
2510;0.121021
2520;0.122498
2530;0.222174
2540;0.196529
2550;0.106951
2560;0.126863
2570;0.058803
2580;0.150632
2590;0.063670
2600;0.046379
2610;0.230892
2620;0.124304
2630;0.165659
2640;0.023700
2650;0.065850
2660;0.131429
2670;0.081033
2680;0.002302
2690;0.034978
2700;0.074465
2710;0.079285
2720;-0.040978
2730;0.007832
2740;0.078544
2750;0.096426
2760;0.091225
2770;0.134223
2780;-0.022560
2790;0.021339
2800;0.035861
2810;-0.036644
2820;0.040064
2830;-0.025657
2840;0.020614
