Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.023657;-0.115288;0.143246;-0.132162;-0.024128
-390;-0.325877;-0.052595;-0.064611;-0.007031;0.089611
-380;0.172228;-0.066509;0.086987;0.125206;0.093099
-370;0.236318;0.060432;-0.003077;-0.139299;0.015366
-360;0.040335;0.009189;-0.241496;0.067178;0.033389
-350;0.082899;0.056488;-0.236402;0.035577;0.021980
-340;0.021495;0.111634;-0.127037;0.161961;-0.072945
-330;-0.000439;0.018807;0.000439;0.055328;0.009660
-320;-0.055260;0.197446;0.040803;-0.186657;0.284017
-310;-0.090334;-0.027156;0.044841;0.127360;0.288105
-300;0.053537;-0.023624;-0.052821;-0.008778;-0.007900
-290;-0.155950;-0.077470;-0.150159;-0.040842;-0.068475
-280;-0.073656;0.079217;0.309652;-0.093938;0.085160
-270;-0.181909;-0.020589;0.255044;0.035130;0.154612
-260;0.009201;-0.017514;-0.130952;0.168543;-0.230132
-250;-0.112564;0.093542;0.194785;-0.025885;0.167846
-240;-0.007018;0.008321;0.040427;0.186411;0.006592
-230;0.018848;-0.033719;0.031239;0.012732;0.038671
-220;-0.023661;0.101188;-0.153301;-0.198303;-0.010995
-210;0.009645;0.077128;-0.141095;-0.358587;0.007475
-200;-0.256055;-0.027170;-0.160765;-0.072435;-0.207298
-190;-0.014035;-0.194715;-0.021077;0.026790;0.240528
-180;0.047375;-0.077111;-0.208479;-0.095704;-0.250119
-170;0.081150;-0.091501;0.268766;-0.077683;0.352381
-160;-0.031100;-0.014872;-0.139665;-0.014486;0.053169
-150;0.134529;0.186297;0.190619;-0.104001;0.101536
-140;-0.241115;0.109278;0.093190;-0.303292;0.085764
-130;0.181603;0.170748;0.097596;0.135607;-0.272445
-120;0.105193;-0.328230;0.088213;0.130846;-0.022413
-110;0.130620;-0.124203;0.002638;0.065345;-0.017569
-100;-0.200233;-0.071283;-0.022830;0.212605;0.178460
-90;0.020577;-0.172255;-0.127804;0.122812;-0.247149
-80;-0.161172;-0.087396;-0.006587;-0.129940;-0.068497
-70;0.165113;-0.034944;-0.142630;-0.138828;-0.132643
-60;0.021474;-0.028829;0.038243;-0.181666;-0.119090
-50;-0.167399;0.016177;0.007476;-0.099201;0.225841
-40;0.132343;0.064633;-0.065034;0.140049;0.060196
-30;0.018846;-0.003936;0.008349;0.122441;-0.217983
-20;0.036797;0.180409;0.271625;-0.075097;0.074275
-10;1.586716;1.610795;1.579733;1.500572;1.406588
0;4.768784;5.215966;4.684242;4.967803;4.937302
10;8.071442;8.002739;7.955187;7.952971;8.228668
20;11.441321;11.303833;11.460449;11.376346;11.430467
30;14.529067;14.523727;14.354074;14.486735;14.370082
40;17.511565;17.448631;17.662360;17.663370;17.721094
50;20.384339;20.353433;20.410826;20.446214;20.459540
60;23.304486;23.216750;23.164971;23.350564;23.376346
70;26.232902;26.175014;26.257081;26.063820;26.217416
80;28.923409;29.076040;28.933340;29.214600;29.200335
90;31.735568;31.567961;31.658121;31.513818;31.695452
100;34.241739;34.270397;34.342926;34.262122;34.223581
110;36.712158;36.465594;36.379985;36.735266;36.619608
120;37.047021;37.402748;37.154274;37.229697;37.078475
130;36.257175;36.439765;36.451222;36.533490;36.422391
140;35.567109;35.787741;35.909321;35.826864;35.940692
150;35.087515;35.338832;35.068206;35.330238;35.095484
160;34.548521;34.412786;34.361030;34.590166;34.514694
170;33.867183;34.119620;33.621908;33.767254;33.755295
180;33.197831;32.949927;33.221693;33.267435;33.269569
190;32.726943;32.614888;32.965969;32.488432;32.283463
200;31.758581;32.065226;31.684335;31.966881;31.925156
210;31.230004;31.412251;31.264281;31.349016;31.317267
220;30.841856;30.866964;30.584982;30.797800;30.742260
230;29.987932;30.151526;30.205277;30.057122;30.084909
240;29.388085;29.343925;29.382750;29.322350;29.416539
250;29.060675;29.155738;28.983498;28.703027;28.982519
260;28.340672;28.622778;28.261137;28.137582;28.757498
270;27.957348;27.946887;28.212282;27.770605;27.864080
280;27.384198;27.478709;27.316911;27.321425;27.693462
290;26.952209;27.072240;26.753916;27.013478;27.079563
300;26.410732;26.698916;26.348349;26.238070;26.605439
310;25.983210;25.809697;26.004508;25.955753;25.791834
320;25.354846;25.256586;25.405304;25.456872;25.535167
330;25.114141;25.070431;24.888921;24.978734;24.900144
340;24.430124;24.217277;24.343108;24.114162;24.685831
350;24.085298;24.141153;23.799869;23.981260;23.888589
360;23.387471;23.482975;23.387006;23.465756;23.546846
370;22.960861;22.914857;23.244055;23.071621;23.239623
380;22.753192;22.796394;22.467739;22.679666;22.463182
390;22.216624;22.291574;22.017680;22.509232;22.408034
400;21.626324;21.864134;21.939966;21.477348;21.955816
410;21.279321;21.331759;21.473874;21.327684;21.458711
420;20.907849;20.996509;20.881354;20.893095;21.085465
430;20.768247;20.822892;20.454441;20.589569;20.638500
440;20.350966;20.203834;20.130100;20.010130;20.219612
450;19.845825;19.766308;19.757853;19.679239;19.593177
460;19.275024;19.367935;19.326742;19.340925;19.308993
470;18.930185;18.922622;18.814435;18.971204;18.813807
480;18.629032;18.644390;18.554042;18.668331;18.682824
490;18.422600;18.337175;18.163298;18.281111;18.517059
500;18.000802;17.820106;18.093312;17.914061;18.090971
510;17.631214;17.830410;17.521061;17.621138;17.470938
520;17.168233;17.302855;17.465910;17.297157;17.362050
530;16.892825;17.086703;17.070283;16.723748;17.051556
540;16.756456;16.716462;16.486320;16.725379;16.662872
550;16.333000;16.394519;16.150806;16.253691;16.371275
560;16.043117;15.891681;16.016361;16.009509;16.057305
570;15.493516;15.719062;15.638770;15.711408;15.551755
580;15.162718;15.497795;15.479435;15.341410;15.390474
590;14.923711;15.243540;15.087713;15.114169;15.082465
600;14.801449;14.732428;14.755093;14.710964;14.933727
610;14.441621;14.668428;14.280908;14.529132;14.625184
620;14.245013;14.117457;14.313055;14.228039;14.445073
630;13.825458;14.142427;13.810477;14.083146;14.006950
640;13.694296;13.760086;13.591999;13.847823;13.968877
650;13.460608;13.564323;13.358065;13.256217;13.388912
660;13.176495;13.315547;13.047741;13.046149;13.221291
670;12.841912;13.101931;12.785011;12.817056;12.915586
680;12.619147;12.829155;12.603219;12.671410;12.886272
690;12.336459;12.478364;12.498789;12.351002;12.294718
700;12.079654;12.150417;12.112196;12.296336;12.162915
710;11.778607;11.939526;11.782704;12.008995;11.903992
720;12.036427;11.670715;11.759465;11.580769;11.755296
730;11.622497;11.462407;11.506602;11.590612;11.502809
740;11.571711;11.535018;11.255619;11.379576;11.395405
750;11.042367;11.163299;11.010570;11.201950;10.983330
760;10.661086;10.794097;10.859422;10.806734;10.970687
770;10.785678;10.610879;10.482142;10.698371;10.404652
780;10.443314;10.548607;10.223612;10.380816;10.514791
790;10.077749;10.360089;10.183936;10.412030;10.531288
800;9.841739;10.109954;9.920652;10.097675;9.886099
810;9.703978;9.859395;9.762062;9.877180;9.811917
820;9.654934;9.622345;9.687548;9.717989;9.642054
830;9.562848;9.372381;9.733576;9.513480;9.232291
840;9.269988;9.251260;9.392417;9.171799;9.325184
850;9.254648;9.165870;9.323884;9.037967;9.284222
860;8.860912;8.866846;8.971084;9.028877;8.900824
870;8.480516;8.755296;8.509843;8.609149;8.826135
880;8.420967;8.533594;8.513356;8.526209;8.420544
890;8.403855;8.577411;8.515916;8.283816;8.486904
900;8.181922;8.302658;8.207998;8.260289;8.370643
910;7.753018;7.917479;8.405209;8.189111;8.180045
920;7.878131;8.078950;8.081516;8.213890;8.012214
930;7.975062;7.982627;8.006213;7.778580;7.731968
940;7.557354;7.594990;7.554002;7.776125;7.430273
950;7.610043;7.392942;7.460790;7.355157;7.652469
960;7.316779;7.181231;7.161431;7.390858;7.196690
970;7.356745;7.029159;7.210189;7.241027;7.175528
980;7.040486;7.000902;7.346223;6.918350;7.003537
990;6.999267;6.839433;6.889560;6.826588;6.987797
1000;6.590628;6.925159;6.761612;6.790473;6.729241
1010;6.744306;6.566903;6.727313;6.662821;6.688631
1020;6.629602;6.435369;6.701791;6.523307;6.365444
1030;6.288035;6.264835;6.451309;6.384591;6.170476
1040;6.264467;6.191920;6.295401;6.337070;6.531168
1050;6.234734;6.319545;6.291989;6.199848;5.986289
1060;5.731825;6.063764;5.948007;6.081286;6.010399
1070;6.009817;5.868697;5.974914;5.990061;5.878897
1080;5.699843;5.773418;5.740107;5.994113;5.858898
1090;5.824500;5.801809;5.685249;5.561127;5.963015
1100;5.591331;5.435062;5.188826;5.577000;5.536097
1110;5.436356;5.362084;5.402554;5.246733;5.439613
1120;5.238344;5.507605;5.217864;5.633249;5.322976
1130;5.186795;5.181151;5.535383;5.415719;5.614179
1140;5.020532;5.305894;5.120438;5.388582;4.877875
1150;4.964359;5.026753;5.100421;4.946533;4.920895
1160;5.035050;4.783255;4.905244;4.964971;5.026779
1170;4.742422;4.948688;4.934325;4.613718;4.938931
1180;4.802612;4.868408;4.654005;4.742667;4.648637
1190;4.717893;4.610125;4.636004;4.708017;4.541330
1200;4.654178;4.465129;4.349038;4.434682;4.562429
1210;4.526292;4.544813;4.518504;4.588590;4.405906
1220;4.098061;4.320675;4.461942;4.409994;4.353726
1230;4.308724;4.627816;4.227959;4.190765;4.285742
1240;4.231053;4.196083;4.234795;4.197110;4.371963
1250;3.805434;4.039849;4.106109;4.087773;4.150268
1260;4.143913;4.026904;3.956365;3.622782;4.008293
1270;4.021947;4.089708;3.998773;3.981829;3.971576
1280;4.128505;3.664685;4.026626;3.913685;3.961531
1290;3.669293;3.802836;3.801941;4.027652;3.749810
1300;3.565711;3.592842;3.693685;3.722043;3.676105
1310;3.832540;3.518091;3.537271;3.711560;3.590406
1320;3.709284;3.435170;3.693977;3.475217;3.591120
1330;3.524124;3.274935;3.595568;3.580955;3.534858
1340;3.383044;3.536394;3.572634;3.633393;3.522492
1350;3.381261;3.482114;3.734699;3.407540;3.140905
1360;3.251891;3.292888;3.227230;3.171586;3.310883
1370;3.358698;3.283586;3.170088;3.347351;3.394920
1380;3.407511;3.065720;3.169688;3.036770;3.107173
1390;2.985964;3.016210;3.097406;3.046200;3.316276
1400;3.025487;2.854756;2.888174;3.286284;3.173623
1410;2.973307;3.099956;2.942441;3.032149;3.072377
1420;3.046610;2.860643;2.804706;3.001525;2.803541
1430;2.766993;2.969229;2.729354;2.750773;2.820015
1440;2.867967;2.671819;2.850915;2.832079;2.771473
1450;2.830453;2.720755;2.512686;2.839481;2.426141
1460;2.668601;2.609008;2.587271;2.663075;2.694395
1470;2.925221;2.511831;2.471092;2.600963;2.556026
1480;2.352484;2.398090;2.459246;2.547914;2.514791
1490;2.682054;2.717359;2.557477;2.707959;2.434877
1500;2.440014;2.656807;2.335280;2.525048;2.556349
1510;2.317812;2.371635;1.985549;2.479950;2.460330
1520;2.308710;2.561266;2.353300;2.192069;2.355828
1530;2.220786;2.325602;2.367449;2.439332;2.287614
1540;2.164324;2.178108;2.236078;2.154144;2.147031
1550;2.410454;2.409335;2.069374;2.319922;2.056107
1560;2.213875;1.933145;2.311238;2.248638;2.413091
1570;2.136824;2.114451;2.012880;2.088260;2.118423
1580;2.232742;2.105967;2.224666;1.885357;1.972048
1590;2.079109;2.035386;2.039898;2.033145;2.090728
1600;2.115569;1.953766;1.828931;1.776340;2.107439
1610;1.820181;1.872565;1.825654;1.974019;1.912518
1620;1.937441;1.928629;1.925326;2.001527;1.991525
1630;1.747467;1.794221;1.741730;2.186333;2.009978
1640;1.762747;1.724124;1.540621;1.679080;2.004582
1650;1.986370;1.776944;1.800571;1.752311;1.692288
1660;1.761694;1.616519;1.729761;1.886089;1.891389
