Laser Delay [ns];TA [mOD]
-400;0.936675
-390;0.955082
-380;1.096288
-370;-0.244244
-360;0.392102
-350;0.582566
-340;-0.256026
-330;1.005301
-320;-0.273360
-310;-0.244646
-300;0.410863
-290;-0.780700
-280;-0.610006
-270;-0.574284
-260;-1.261848
-250;-0.076675
-240;-0.946370
-230;-0.941733
-220;-0.100119
-210;-0.080825
-200;-0.283453
-190;-1.218889
-180;-0.194186
-170;-0.461997
-160;-0.637818
-150;-0.500421
-140;0.446414
-130;-0.451223
-120;-0.761611
-110;-0.309994
-100;0.360150
-90;-0.292422
-80;0.468225
-70;-0.092279
-60;-0.761995
-50;0.345317
-40;-0.141671
-30;-1.057592
-20;-0.754574
-10;-1.002381
0;-1.409772
10;-0.821518
20;-1.785892
30;-2.459257
40;-3.134658
50;-3.012519
60;-3.495987
70;-4.294033
80;-3.967192
90;-4.131517
100;-2.682410
110;-3.797295
120;-3.683051
130;-2.961447
140;-3.119457
150;-1.627572
160;-2.874398
170;-3.354870
180;-2.382913
190;-2.045721
200;-1.608968
210;-2.364037
220;-1.951065
230;-1.680486
240;-2.229233
250;-1.293126
260;-2.159193
270;-1.314422
280;-1.781888
290;-2.476144
300;-2.741244
310;-1.757792
320;-1.742972
330;-1.248225
340;-2.167340
350;-1.701523
360;-1.042699
370;-1.370826
380;-1.386778
390;-0.060207
400;0.040924
410;-0.212202
420;0.117724
430;-0.411987
440;-0.426912
450;0.076088
460;-0.856364
470;-0.524476
480;0.661849
490;-0.411464
500;-0.782108
510;-0.956175
520;-0.755032
530;-0.046567
540;-0.105660
550;0.210937
560;-0.995213
570;0.704483
580;0.110923
590;0.064423
600;0.128010
610;-0.354576
620;-0.490680
630;-1.697044
640;-0.631767
650;0.191263
660;-0.357772
670;-0.416004
680;0.237480
690;0.364215
700;0.268165
710;-0.311454
720;-0.301342
730;0.002738
740;-0.511206
750;-1.579926
760;-1.579975
770;-0.803135
780;-1.407464
790;-0.369036
800;0.778087
810;-0.244627
820;-0.570113
830;-0.763324
840;-0.554752
850;-0.136437
860;-0.226443
870;-0.836068
880;0.040670
890;0.547730
900;0.086904
910;-0.127039
920;-0.208068
930;-0.113903
940;-1.136089
950;-0.908858
960;-0.535055
970;-0.826259
980;-1.086182
990;-1.510448
1000;-0.355064
1010;-0.829638
1020;0.540546
1030;-0.308498
1040;-0.593965
1050;-0.618468
1060;-0.243645
1070;-0.428178
1080;-1.297973
1090;-0.299339
1100;-1.548258
1110;-1.061874
1120;-0.292275
1130;-0.920019
1140;-0.201619
1150;-0.405249
1160;-0.510139
1170;0.486516
1180;-0.060516
1190;-0.091052
1200;-0.951298
1210;-0.500931
1220;0.130781
1230;-0.352757
1240;-0.637350
1250;-0.352229
1260;-0.775260
1270;-0.168253
1280;0.644582
1290;-0.746945
1300;-0.721289
1310;-0.611519
1320;-0.222178
1330;-0.601059
1340;-0.308323
1350;-0.380878
1360;-0.345419
1370;0.705466
1380;-0.205630
1390;-0.858668
1400;-0.507981
1410;-0.505430
1420;-0.049921
1430;-0.134176
1440;-0.686864
1450;-0.266188
1460;-0.657893
1470;-0.129429
1480;-1.152301
1490;-0.253074
1500;-0.495016
1510;-0.764860
1520;-0.514882
1530;0.345117
1540;-0.166357
1550;-0.829601
1560;-0.227950
1570;0.210223
1580;-0.107805
1590;-0.114616
1600;-0.272478
1610;-0.284105
1620;-0.733141
1630;-0.013696
1640;-0.070574
1650;-0.641189
1660;0.515931
1670;0.529398
1680;-0.996868
1690;0.109958
1700;0.228577
1710;-0.545438
1720;-1.488245
1730;-1.217408
1740;-0.573558
1750;-0.130665
1760;-0.035477
1770;-0.234625
1780;0.408551
1790;0.089027
1800;-1.234308
1810;0.147550
1820;-0.702259
1830;-0.480561
1840;-0.905966
1850;-0.101029
1860;-0.658066
1870;-0.038358
1880;-0.806520
1890;-0.821300
1900;-1.536709
1910;-1.106881
1920;-0.213179
1930;-1.028046
1940;0.144918
1950;-0.528489
1960;-0.479741
1970;0.277123
1980;0.456637
1990;-0.129564
2000;-1.119104
2010;-0.734705
2020;-1.264301
2030;-1.340084
2040;-1.639014
2050;0.061657
2060;-0.025303
2070;0.086222
2080;-0.439036
2090;0.309614
2100;-0.143184
2110;0.237893
2120;-0.176051
2130;-0.676740
2140;0.156437
2150;0.429624
2160;0.229358
2170;0.458220
2180;1.201622
2190;1.639691
2200;-0.066471
2210;-1.385532
2220;0.090888
2230;-1.089279
2240;-1.414475
2250;-0.302444
2260;-0.761239
2270;0.051060
2280;-0.225205
2290;1.288258
2300;0.426074
2310;0.069872
2320;-0.292476
2330;0.151664
2340;-0.045743
2350;-1.809884
2360;-0.511833
2370;-0.153274
2380;-1.088116
2390;-0.100999
2400;-0.118780
2410;-1.307627
2420;-0.637656
2430;-0.388008
2440;-1.334537
2450;-1.417438
2460;-0.556949
2470;-0.202454
2480;-1.080648
2490;-0.214337
2500;-0.866082
2510;-0.430799
2520;-0.036831
2530;-0.704695
2540;-1.157442
2550;0.091232
2560;-0.026442
2570;0.381125
2580;0.325787
2590;0.580576
2600;0.216783
2610;-0.591832
2620;0.633478
2630;1.016232
2640;0.121448
2650;0.870757
2660;0.419068
2670;0.048260
2680;-0.016857
2690;-1.198676
