Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;0.111371;-0.087181;-0.141566;-0.057408;-0.126726;0.074163;-0.185547;-0.043801;0.180698;-0.009068
-390;0.127154;0.018879;0.216065;-0.021752;0.076164;-0.134125;0.011051;0.047739;-0.012650;0.020106
-380;0.007974;0.129451;0.122065;0.130614;0.062022;-0.064348;-0.001184;0.054901;0.118428;-0.065867
-370;0.141069;0.012846;-0.232218;-0.103704;-0.048533;-0.020116;0.014208;0.106551;-0.061337;-0.013404
-360;-0.150543;-0.008025;0.082061;0.005935;0.027611;0.008677;-0.183237;-0.108256;0.085909;-0.067008
-350;-0.006758;-0.233343;0.044352;0.068804;0.056489;-0.058400;0.078192;-0.167550;0.113729;-0.073664
-340;0.114946;-0.013607;-0.024547;-0.078772;0.050091;0.091526;-0.002765;0.109374;0.059830;-0.073315
-330;-0.209944;0.213472;-0.013466;-0.108781;0.028028;-0.077719;-0.007893;-0.215057;0.055925;0.032698
-320;-0.041396;-0.031529;0.045552;0.113122;0.036706;0.146833;-0.096764;-0.099986;0.033733;0.055973
-310;-0.001592;0.051459;-0.031277;0.108842;0.080494;0.119222;-0.024497;-0.145827;0.077013;-0.109092
-300;-0.002387;-0.029084;0.171615;-0.242713;0.197646;0.172086;0.192356;-0.113485;0.029007;0.171437
-290;0.215956;0.015132;0.059050;-0.161868;0.011844;0.107327;0.018564;0.079459;-0.031803;0.002364
-280;0.015916;-0.045760;0.150707;-0.072779;-0.129497;0.001580;-0.134359;-0.137608;0.207883;0.187174
-270;0.163144;0.022281;-0.140023;-0.255705;0.170489;-0.022506;-0.062836;-0.042284;0.055292;-0.196460
-260;-0.033403;0.016300;0.131708;-0.052626;0.022507;-0.017373;0.124070;0.129674;-0.089467;-0.110004
-250;-0.047296;0.038956;-0.096797;-0.114355;0.033570;0.095576;-0.093583;0.180605;-0.087453;-0.095413
-240;0.012319;-0.016306;0.003970;-0.127497;0.080197;-0.034751;0.035524;0.175193;0.021073;-0.003154
-230;0.087337;0.025033;0.057236;0.055748;-0.009085;-0.107057;0.017754;-0.001976;-0.166946;0.029565
-220;0.104320;-0.033367;-0.029794;-0.016225;-0.133071;-0.167392;-0.038299;0.126457;0.162649;0.189972
-210;0.005147;0.114899;-0.016299;-0.039571;0.170277;-0.122055;0.059186;-0.024880;0.092137;-0.017731
-200;0.180199;-0.229670;-0.161855;0.030061;0.005135;0.086596;0.031180;-0.077030;0.038518;0.100965
-190;0.015817;-0.069480;-0.010347;-0.129088;0.073098;0.052120;-0.076976;0.104663;-0.106733;0.033911
-180;0.001977;0.146695;0.101838;-0.030463;-0.077028;0.052538;-0.092008;-0.023675;0.009509;-0.041426
-170;0.002371;0.032552;-0.005971;-0.132544;-0.054105;0.065191;-0.291193;0.063977;0.273942;0.025990
-160;0.106029;0.309772;0.107142;-0.077872;0.062065;0.106204;0.121572;0.031971;0.022945;0.014176
-150;-0.081512;0.033799;-0.060497;0.039545;0.031211;-0.012247;0.022896;0.020517;-0.116604;0.091731
-140;0.008326;-0.054454;-0.019885;-0.065263;0.140326;0.066045;0.037550;0.074970;-0.062434;0.099631
