Laser Delay [ns];TA [mOD]
-400;0.192036
-390;-0.479840
-380;-0.374041
-370;-0.282647
-360;0.294291
-350;-0.476101
-340;-0.175391
-330;-0.116603
-320;-0.201564
-310;-0.005339
-300;-0.460882
-290;0.143944
-280;-0.166729
-270;-0.283497
-260;-0.601433
-250;-0.587361
-240;-0.053884
-230;-0.272353
-220;-0.244201
-210;-0.108643
-200;-0.049541
-190;-0.016837
-180;-0.461077
-170;0.082379
-160;0.326106
-150;0.232135
-140;0.118720
-130;0.134821
-120;0.368806
-110;-0.077890
-100;0.175222
-90;0.487151
-80;0.089684
-70;-0.141273
-60;-0.054715
-50;-0.561706
-40;0.055346
-30;-0.216769
-20;0.674810
-10;3.063535
0;6.507523
10;10.027005
20;12.481780
30;15.785994
40;19.158014
50;21.936782
60;24.886499
70;27.665904
80;30.538347
90;33.495374
100;36.500375
110;37.746664
120;37.697843
130;37.249148
140;37.231444
150;36.569035
160;35.871361
170;35.917788
180;35.812539
190;35.259715
200;35.124816
210;34.454796
220;33.775687
230;33.447935
240;32.981134
250;32.867108
260;32.759548
270;32.084348
280;32.040392
290;31.108132
300;31.006412
310;30.620004
320;30.543634
330;29.990090
340;30.210165
350;29.432760
360;29.777904
370;28.832967
380;27.990106
390;28.089112
400;28.000922
410;27.348168
420;27.087187
430;26.933961
440;26.120690
450;26.271629
460;25.810431
470;25.702573
480;25.552218
490;25.444622
500;24.545932
510;24.522328
520;24.344196
530;23.867435
540;23.889309
550;23.358003
560;23.741319
570;22.710919
580;22.395978
590;22.391803
600;22.378082
610;22.222948
620;21.384544
630;21.551872
640;20.759789
650;21.256105
660;20.584540
670;20.882709
680;20.121742
690;20.503855
700;19.708965
710;19.690086
720;19.517110
730;18.857955
740;19.031960
750;18.909302
760;18.780093
770;18.206906
780;17.851287
790;17.760246
800;17.510418
810;17.507244
820;17.076490
830;17.714741
840;17.097062
850;16.918447
860;16.908984
870;16.744689
880;15.948673
890;16.146556
900;15.785940
910;16.087763
920;15.515121
930;15.317873
940;15.689714
950;15.155828
960;14.952788
970;15.117744
980;14.608948
990;14.727601
1000;14.455570
1010;13.841345
1020;13.960611
1030;13.918890
1040;13.624296
1050;13.480923
1060;13.512936
1070;12.590546
1080;13.082474
