Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.813033;0.226320;-0.395694;0.299122;0.017400
-390;-1.629999;-0.736875;0.132083;0.423395;-0.587804
-380;0.246243;-0.904799;-0.012197;-0.130409;-1.069045
-370;-0.096624;0.032831;-0.201448;-1.370749;0.222752
-360;0.890644;0.579680;-0.018911;-0.318259;0.338303
-350;-1.768374;0.475966;-0.585698;-0.300493;-0.201908
-340;0.083268;-0.271947;-0.083645;0.247966;-0.852598
-330;0.405194;0.435981;0.159839;-0.787204;-0.796825
-320;-0.260209;-0.368790;-0.471326;-0.001671;0.094174
-310;-0.351156;-0.920381;0.692283;0.689290;-0.136731
-300;-0.276925;-1.171675;-0.468000;-0.380319;-0.007491
-290;-0.442959;1.320712;-0.398971;-0.539407;0.780348
-280;0.166294;0.017679;-0.511060;-1.037966;0.531406
-270;-0.153545;-0.516189;-1.079763;0.408626;-0.076614
-260;-0.636540;-1.271276;-0.835865;0.232997;-0.496484
-250;-0.494764;-0.322270;-0.039518;-1.126106;-0.954144
-240;-0.539377;0.511587;0.076574;-0.328551;0.010349
-230;-0.219936;-0.456086;0.013872;-0.087616;-0.612002
-220;-0.489034;-0.778214;-0.920065;0.845963;0.120343
-210;0.204676;-0.631470;-0.448087;-0.322186;0.653852
-200;0.093735;0.967671;-0.162022;-0.475235;-0.671854
-190;-0.781004;-0.323573;0.654116;0.453217;-0.086940
-180;-0.521362;0.202410;-0.883707;0.188249;-1.290972
-170;1.239830;0.119643;0.230412;-1.054829;-0.123159
-160;0.343149;1.465316;0.319651;-0.273881;-0.223707
-150;-0.283794;0.400253;0.617026;0.265556;0.161635
-140;0.659672;0.393726;0.002950;-0.599969;0.137220
-130;-0.813655;0.870662;0.960401;-0.548523;0.205218
-120;0.169637;0.584349;1.268737;0.024623;-0.203317
-110;0.625145;-0.321592;-0.605696;0.163725;-0.251032
-100;0.649729;0.766051;-1.362838;-0.088612;0.911780
-90;0.425147;0.941115;0.691823;0.137686;0.239981
-80;0.613045;-0.137056;-0.278144;0.100996;0.149577
-70;-0.288661;0.661620;-0.017226;-0.839349;-0.222747
-60;-0.123383;0.128087;-0.513566;-0.293122;0.528409
-50;-0.163315;-0.151316;-0.658834;-1.570535;-0.264527
-40;-0.048974;1.149988;-0.889333;-0.335039;0.400088
-30;-0.048162;-0.348655;0.146298;-0.352464;-0.480862
-20;0.646083;0.659977;0.327496;1.108050;0.632442
-10;3.545868;3.140278;2.692576;2.493415;3.445538
0;6.025716;6.247621;5.936865;7.040267;7.287148
10;10.147569;9.776411;9.705018;10.427416;10.078613
20;11.878163;12.655042;12.463158;12.548410;12.864126
30;15.465316;16.741693;15.746193;16.383046;14.593722
40;18.226620;19.456491;19.918727;19.556021;18.632213
50;22.295162;21.619351;22.261111;22.198441;21.309843
60;24.175967;24.358987;25.918491;25.356770;24.622280
70;27.561481;27.403045;26.998116;28.470915;27.895964
80;30.491744;29.979336;30.945034;30.471068;30.804552
90;33.150506;33.556383;33.921472;33.122125;33.726386
100;36.347796;36.123631;36.766348;37.136563;36.127536
110;37.067365;37.243085;37.928242;37.953860;38.540767
120;37.075035;37.868248;37.759153;38.154547;37.632231
130;36.690133;36.751209;38.316909;36.814551;37.672937
140;36.624160;37.785599;37.597793;35.654818;38.494850
150;35.899412;36.179002;37.359622;37.487105;35.920034
