Laser Delay [ns];TA [mOD]
-400;-0.205063
-390;-0.155651
-380;-0.161970
-370;-0.120366
-360;-0.250653
-350;-0.264149
-340;-0.199137
-330;-0.232713
-320;-0.136567
-310;-0.295742
-300;-0.261922
-290;-0.168568
-280;-0.313495
-270;-0.299104
-260;-0.331748
-250;-0.097695
-240;-0.128839
-230;-0.209973
-220;-0.386448
-210;-0.152311
-200;-0.257313
-190;-0.138195
-180;-0.295916
-170;-0.237933
-160;-0.339103
-150;-0.292421
-140;-0.342344
-130;-0.167336
-120;-0.300080
-110;-0.155995
-100;0.008109
-90;-0.158888
-80;-0.089445
-70;-0.407603
-60;-0.341254
-50;-0.375715
-40;-0.037278
-30;0.699910
-20;1.317488
-10;2.356206
0;3.793463
10;5.189829
20;6.847564
30;8.106607
40;9.768059
50;11.185476
60;12.241169
70;13.629039
80;15.116526
90;15.912492
100;16.710295
110;16.950335
120;16.987394
130;16.890645
140;16.534309
150;16.190013
160;15.955459
170;15.743720
180;15.613452
190;15.641501
200;14.999951
210;15.268620
220;14.920704
230;14.645390
240;14.355492
250;14.221206
260;14.075813
270;13.932498
280;13.590142
290;13.710808
300;13.397582
310;13.083117
320;12.964279
330;12.763149
340;12.633474
350;12.489660
360;12.439928
370;11.940407
380;12.032984
390;11.912542
400;11.637789
410;11.657636
420;11.287720
430;11.289105
440;10.894000
450;11.014618
460;10.795496
470;10.758463
480;10.559393
490;10.185771
500;10.394111
510;9.937795
520;10.153511
530;9.872909
540;9.710890
550;9.610777
560;9.681677
570;9.506148
580;9.360138
590;8.956501
600;9.081986
610;9.057745
620;8.878909
630;8.656354
640;8.546659
650;8.404051
660;8.275976
670;8.447242
680;8.151564
690;8.000514
700;7.866126
710;7.894792
720;7.366995
730;7.499387
740;7.409187
750;7.456895
760;7.524769
770;7.505424
780;7.437154
790;7.263137
800;6.878909
810;6.928702
820;6.914447
830;7.004223
840;6.819547
850;6.600170
860;6.621365
870;6.353422
880;6.352725
890;6.084753
900;6.158021
910;6.234965
920;6.077563
930;5.953621
940;5.965179
950;5.845347
960;5.726435
970;5.668983
980;5.392219
990;5.533907
1000;5.660543
1010;5.445609
1020;5.339831
1030;5.251038
1040;5.259755
1050;5.220684
1060;5.175699
1070;5.151101
1080;5.148863
1090;5.139247
1100;4.987968
1110;4.995873
1120;4.904272
1130;4.682734
1140;4.881650
1150;4.727495
1160;4.389176
1170;4.707171
1180;4.663967
1190;4.497094
1200;4.349551
1210;4.423455
1220;4.517121
1230;4.476249
1240;4.182319
1250;4.503748
1260;4.203928
1270;4.190809
1280;4.044670
1290;4.348852
1300;4.117826
1310;4.190025
1320;4.226363
1330;3.924035
1340;3.664517
1350;3.971354
1360;3.882562
1370;3.779983
1380;3.901366
1390;3.729740
1400;3.777154
1410;3.826136
1420;3.471029
1430;3.563604
1440;3.491049
1450;3.670242
1460;3.505437
1470;3.502319
1480;3.551314
1490;3.230272
1500;3.028083
1510;3.279184
1520;3.348025
1530;2.887731
1540;3.209002
1550;3.125442
1560;3.126738
1570;3.137942
1580;3.204144
1590;3.274055
1600;3.256529
1610;3.036622
1620;3.199616
1630;3.098579
