Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.190569;-0.372901;-0.433809;-0.014007;-0.014032
-390;-0.213665;-0.339226;-0.588617;-0.000452;0.363707
-380;0.037712;-0.256785;-0.116632;-0.119303;-0.354843
-370;0.100892;0.131286;-0.129327;-0.224682;-0.479999
-360;-0.426130;-0.134033;-0.259487;-0.382492;-0.051125
-350;0.046046;-0.581716;-0.454591;-0.332746;0.002263
-340;0.008788;-0.037348;-0.623582;-0.269751;-0.073794
-330;-0.044793;-0.188363;-0.515896;-0.243459;-0.171056
-320;-0.044835;-0.515759;-0.327098;0.060557;0.144298
-310;0.293219;-0.978945;-0.093494;-0.156579;-0.542911
-300;0.116930;-0.414593;-0.426996;-0.213568;-0.371381
-290;-0.083975;-0.202061;0.162809;-0.598233;-0.121381
-280;-0.219978;-0.130150;-0.264250;-0.657725;-0.295371
-270;0.154806;-0.043641;-0.320435;-0.539802;-0.746448
-260;-0.236046;-0.669968;0.084961;-0.509727;-0.327960
-250;0.017156;-0.222930;0.131125;-0.382607;-0.031220
-240;-0.074811;0.052642;-0.270271;-0.259082;-0.092672
-230;-0.325639;-0.108424;-0.265508;-0.280181;-0.070113
-220;0.094649;-0.699759;-0.423334;-0.568306;-0.335491
-210;-0.297217;-0.355417;-0.654109;-0.122926;0.668113
-200;-0.029013;0.000899;-0.612825;-0.599022;-0.046604
-190;0.093691;-0.059818;-0.490744;-0.017627;-0.216475
-180;0.003079;-0.091340;-0.568871;-0.284991;-0.537457
-170;-0.147402;-0.411293;-0.476241;-0.032077;-0.122655
-160;-0.030323;-0.318572;-0.483631;-0.441422;-0.421564
-150;-0.517957;-0.592055;-0.470602;0.070104;0.048405
-140;-0.594554;-0.458019;-0.305751;0.059213;-0.412610
-130;0.349461;-0.117821;-0.541192;0.016289;-0.543420
-120;-0.385121;-0.051773;-0.322731;-0.378190;-0.362587
-110;-0.295837;-0.241263;-0.119334;-0.027125;-0.096418
-100;-0.090541;0.124639;-0.269870;0.256391;0.019924
-90;-0.607271;0.002697;0.055179;-0.074992;-0.170055
-80;-0.180682;0.450426;-0.633219;0.099533;-0.183281
-70;-0.289088;-0.574029;-0.784432;-0.069223;-0.321242
-60;-0.753237;-0.011702;-0.147416;-0.378588;-0.415326
-50;-0.560965;-0.467016;-0.450869;-0.271151;-0.128572
-40;0.057144;-0.249270;0.327979;-0.103520;-0.218724
-30;0.844601;0.481858;0.953258;0.824423;0.395409
-20;1.786032;1.567920;1.230176;1.107491;0.895819
-10;2.737020;2.199097;2.129169;2.297214;2.418530
0;4.271231;3.810694;3.947570;3.421433;3.516385
10;5.292847;5.017299;5.318062;5.137237;5.183698
20;7.344066;6.945941;6.645913;6.685752;6.616148
30;8.928258;8.087718;7.558676;7.783402;8.174981
40;10.227562;9.965806;9.411687;9.764555;9.470688
50;12.338827;10.902105;10.891577;10.914740;10.880133
60;13.085671;12.085437;11.857757;12.236824;11.940154
70;14.329276;13.701571;12.864491;14.040210;13.209648
80;15.924581;15.259243;14.466533;14.908734;15.023542
90;16.438343;15.760318;15.546041;16.241963;15.575793
100;17.651207;16.763066;16.308768;16.542424;16.286008
110;18.256168;16.991971;16.532887;16.406087;16.564564
