Laser Delay [ns];TA [mOD]
-200;-0.445549
-190;-0.181115
-180;-0.127817
-170;0.217665
-160;-0.526912
-150;-0.497090
-140;-0.277864
-130;-0.048842
-120;-0.222649
-110;0.017773
-100;0.304623
-90;-0.029220
-80;-0.098356
-70;-0.150499
-60;-0.129363
-50;0.038456
-40;-0.063144
-30;0.234643
-20;0.778466
-10;3.600894
0;6.105323
10;9.384085
20;12.706135
30;15.540088
40;18.638077
50;21.680758
60;25.233909
70;27.808137
80;30.991362
90;33.283793
100;35.498315
110;37.816766
120;38.365491
130;37.931815
140;37.203291
150;36.445532
160;36.530819
170;35.856563
180;35.396484
190;35.140733
200;34.702659
210;34.099134
220;33.579965
230;33.447576
240;33.233449
250;32.588530
260;32.694273
270;32.185694
280;31.507764
290;31.640487
300;30.727012
310;30.780401
320;30.377616
330;29.716758
340;29.640609
350;29.375024
360;28.920328
370;29.158884
380;28.298781
390;27.645062
400;28.271077
410;27.287159
420;27.190863
430;27.023162
440;26.597632
450;26.395602
460;26.282139
470;25.756822
480;25.464137
490;24.566816
500;24.679816
