Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-200;-0.377872;0.157599;-0.252894;0.248101;-1.484211
-190;-0.485259;-0.388504;-0.564115;0.524365;0.301944
-180;2.224161;1.382676;0.246962;-0.359985;-0.237091
-170;0.064616;-0.503415;0.122653;-0.195134;0.669979
-160;-0.495411;-0.587290;0.175505;-0.179266;0.237000
-150;0.406836;-0.205268;-0.537814;-0.844038;-0.170606
-140;1.091094;0.355751;0.225046;0.069308;0.316680
-130;-1.009809;0.945601;-0.123980;-0.511953;0.227880
-120;0.164012;-0.441682;0.220422;0.120335;0.209219
-110;0.088949;0.093925;-1.345074;-0.317927;0.363023
-100;-0.533203;-0.957192;-0.143403;-0.313853;-0.378336
-90;0.349806;-0.739719;-0.280499;0.482983;-0.561548
-80;0.232061;0.953347;-0.755344;-0.091162;-0.030083
-70;0.310021;0.571887;-0.448891;0.038411;-0.637566
-60;1.530958;-0.883879;-0.438219;-0.001671;0.588697
-50;0.651007;0.505676;-0.538720;0.416981;-0.198773
-40;-0.059433;0.797372;-1.618245;0.047988;-0.076975
-30;-0.998496;-0.548233;0.002087;-0.314869;-0.132026
-20;0.706179;0.946287;2.131555;1.458894;1.063723
-10;3.567763;3.008408;2.918620;3.147572;2.800989
0;6.915752;6.191432;6.535123;6.336232;5.942874
10;10.307589;8.795826;10.484331;10.124267;9.255617
20;12.763090;11.869865;12.983776;12.843701;12.435150
30;15.711771;16.501380;15.665270;16.502230;15.437411
40;18.123806;18.727005;19.952639;18.557673;19.779996
50;20.279712;22.280348;22.176878;22.232767;21.992949
60;23.199451;23.422096;24.324411;24.292426;23.377640
70;24.155002;23.746385;24.390567;23.851291;24.617606
80;24.250851;24.519188;23.689688;25.170931;22.798818
90;23.197092;24.481381;23.895346;24.297722;23.300028
100;23.342451;24.533143;22.873981;23.622411;24.126479
110;23.778412;24.200910;22.541218;22.955226;23.785815
120;23.608030;23.525695;24.136614;22.897015;23.757789
130;21.882734;22.339972;22.199449;23.453576;23.047754
140;21.850200;22.280000;22.244980;22.246661;22.550667
150;22.083271;22.937431;23.600725;21.380890;22.989198
160;22.219443;22.068571;22.420374;22.529507;21.306628
170;21.857836;21.487578;21.738934;22.630682;22.072451
180;22.013438;20.717940;21.268127;20.724941;22.143865
190;20.477741;21.031808;20.442448;21.904473;20.905042
200;21.125786;21.640586;21.238314;21.151494;21.342199
210;20.538148;20.230650;19.822495;21.175288;21.074208
220;21.662916;20.319082;20.326793;19.693063;20.409485
230;19.631041;20.438991;20.425141;20.442584;21.161002
240;20.347010;19.410548;20.064716;20.495546;20.229414
250;20.193469;19.418207;19.120259;19.558060;19.861883
260;19.713367;20.358904;18.699097;19.805164;18.873178
270;19.069859;19.991234;20.278483;20.404131;19.023929
280;18.486071;19.772908;18.921414;19.232208;18.471050
290;19.944794;19.061647;19.277974;18.540890;19.011268
300;18.333494;18.922355;19.305693;18.922739;17.463807
310;19.445479;18.370400;18.932029;19.265966;18.149796
320;19.909433;18.199045;18.698617;18.460027;18.249432
330;17.594012;17.361859;18.905980;18.534637;17.481794
340;17.862658;18.729870;18.341699;17.825317;18.187741
350;18.361431;17.678232;17.941060;17.550323;17.914204
360;18.764148;17.515515;19.110650;17.114622;18.366743
370;18.380078;18.216222;16.894735;17.589941;17.367188
380;17.660373;17.138092;17.016343;17.713807;17.728301
390;17.165437;17.663802;17.123586;18.199482;16.431951
400;16.519440;17.313017;16.147958;16.338518;17.326345
410;16.074694;16.900754;16.780601;16.270383;17.542896
420;15.999293;16.606129;15.557133;17.190602;16.049548
430;15.365523;16.478388;15.868248;15.573509;16.446961
440;16.804504;16.228297;16.634091;15.897055;15.959884
450;16.204253;17.454422;15.834559;15.761150;14.860529
460;16.011670;15.704939;15.051458;15.408904;16.437902
470;15.799584;15.629535;15.751526;16.164823;15.569245
480;15.163521;15.953638;15.484486;15.119057;15.008990
490;14.006048;15.289694;15.633303;15.136052;16.192670
500;15.495900;15.600651;15.005510;15.765542;14.915967
