Laser Delay [ns];TA [mOD]
-200;-0.208337
-190;-0.526670
-180;0.525217
-170;0.019331
-160;0.686756
-150;0.160614
-140;-0.256496
-130;0.208969
-120;0.107008
-110;0.132467
-100;-0.028308
-90;0.033847
-80;-0.393765
-70;-0.617239
-60;0.159875
-50;-0.056392
-40;0.224264
-30;-0.061069
-20;1.093353
-10;3.444146
0;6.743109
10;9.658354
20;12.481717
30;16.117052
40;17.444974
50;17.352661
60;17.037022
70;16.934745
80;16.204742
90;16.587341
100;16.790469
110;16.200821
120;15.785547
130;15.905718
140;15.842778
150;15.144774
160;15.492536
170;14.976003
180;14.703261
190;14.559725
200;14.474174
210;14.633660
220;14.586399
230;14.447332
240;13.957773
250;13.824410
260;13.836406
270;13.225886
280;13.636790
290;13.154176
300;12.944356
310;13.025966
320;12.609155
330;12.439087
340;12.732890
350;12.416933
360;12.355966
370;12.292136
380;11.996020
390;11.761354
400;11.788359
410;12.063042
420;11.418131
430;11.580551
440;10.911240
450;11.288039
460;10.586363
470;10.936479
480;10.604970
490;10.361821
500;10.234105
