Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-200;0.309700;-0.703191;-0.072921;-0.675939;-1.085393
-190;-0.532039;0.023397;-0.385961;0.268791;-0.279764
-180;-0.904836;0.154000;-0.132157;0.044678;0.199232
-170;-0.332361;0.121706;0.855613;0.371487;0.071880
-160;-1.131232;-0.096901;-0.088857;-0.317033;-1.000537
-150;-0.353212;0.102136;-1.257837;-0.669811;-0.306728
-140;-0.711765;0.153042;-0.120640;-0.051791;-0.658168
-130;0.101671;0.261227;-0.568715;0.124449;-0.162843
-120;-0.351109;-0.395185;0.305256;-0.416342;-0.255864
-110;0.598803;-0.380220;-1.102687;1.077781;-0.104812
-100;0.009615;0.045538;-0.669636;1.106344;1.031253
-90;0.442651;-0.123657;0.511952;-0.683946;-0.293098
-80;-0.537057;0.543009;0.665235;-1.280325;0.117359
-70;-0.870175;0.423629;-0.459756;-0.027140;0.180944
-60;-0.261493;-0.504225;-0.116077;-0.499322;0.734301
-50;0.271132;-0.144861;-1.168826;0.032611;1.202223
-40;-0.711183;0.351663;0.147634;-0.754099;0.650264
-30;0.040176;-0.487974;0.490162;-0.082618;1.213469
-20;0.782148;0.590723;0.402093;0.794411;1.322956
-10;3.290955;3.751714;3.844047;3.115369;4.002386
0;6.523030;5.795157;6.369199;5.785915;6.053316
10;8.987204;10.612138;9.253447;8.637849;9.429786
20;13.742876;12.639930;12.235374;11.932823;12.979673
30;14.928372;16.504419;15.090128;15.992965;15.184558
40;18.410515;18.996583;18.268174;18.629305;18.885806
50;21.134539;21.835201;22.437813;22.273695;20.722543
60;26.625608;24.605226;24.702659;24.980805;25.255249
70;27.638768;28.169375;28.877044;27.279147;27.076352
80;31.350649;31.040598;30.886411;30.471447;31.207704
90;32.606118;32.894124;33.124945;34.542427;33.251351
100;35.083229;35.038725;36.091036;35.500808;35.777778
110;38.418395;37.799013;37.757012;37.039479;38.069929
120;38.811011;38.296088;38.176506;37.574119;38.969731
130;37.854757;38.694621;37.423508;38.391996;37.294193
140;36.901761;37.254046;37.287782;37.972705;36.600162
150;36.980410;37.344875;36.904231;35.794975;35.203171
160;37.175138;36.734929;35.599153;36.243012;36.901860
170;35.324113;35.333779;36.147220;36.333564;36.144140
180;34.996564;35.819347;35.265885;35.979984;34.920639
190;35.593144;34.446789;35.331493;35.123363;35.208878
200;35.258083;33.759036;34.291985;34.661529;35.542661
210;35.802585;34.060581;33.617733;33.870178;33.144590
220;33.339290;34.355661;33.000613;33.881393;33.322869
230;32.739965;33.217517;33.876392;33.824641;33.579363
240;33.000714;33.612549;32.609769;33.004713;33.939502
250;31.395054;32.771648;33.699702;32.474952;32.601292
260;33.278059;31.900535;33.616296;32.007355;32.669122
270;32.045737;32.411852;32.766340;32.359934;31.344607
280;30.996297;32.517704;31.052837;30.807084;32.164898
290;32.056641;31.695842;31.477998;30.943215;32.028740
300;30.646813;31.170164;31.334926;30.601575;29.881582
310;31.640225;31.507063;30.188027;29.887167;30.679525
320;30.612924;30.043129;31.677042;29.731870;29.823115
330;29.915385;29.173377;28.780882;30.266056;30.448090
340;29.616799;30.035927;29.614677;29.163081;29.772563
350;29.053802;30.096212;29.366483;29.527943;28.830681
360;28.717930;29.782350;28.140447;28.931635;29.029278
370;29.769234;29.140814;29.573407;28.738824;28.572141
380;27.881220;27.282213;28.241466;29.066732;29.022271
390;27.995387;28.563100;27.175106;26.639865;27.851854
400;29.443840;27.328847;28.461435;29.034590;27.086673
410;27.051263;27.078203;26.572560;27.672941;28.060826
420;27.164288;26.588062;27.255033;27.723819;27.223116
430;26.954430;26.431692;26.677261;27.683789;27.368636
440;26.788444;25.569840;26.928154;26.461161;27.240560
450;26.696699;26.540576;25.998536;26.436996;26.305200
460;25.882619;26.113131;26.243642;26.722662;26.448642
470;25.211005;25.637441;26.516327;25.382438;26.036899
480;25.347784;25.458696;25.683481;25.215358;25.615366
490;24.280714;24.179162;24.489875;25.151600;24.732729
500;24.680450;24.722827;24.806191;24.646173;24.543438
