Laser Delay [ns];TA [mOD]
-400;-0.221456
-390;0.001889
-380;-0.212490
-370;0.398439
-360;0.377198
-350;0.250009
-340;0.121295
-330;-0.060202
-320;-0.226044
-310;-0.113789
-300;-0.273905
-290;-0.006693
-280;0.138996
-270;0.481920
-260;0.217269
-250;-0.147114
-240;0.165386
-230;0.117217
-220;0.118604
-210;0.065451
-200;-0.304875
-190;0.232491
-180;-0.299888
-170;-0.048015
-160;-0.028037
-150;0.128903
-140;0.418457
-130;0.234353
-120;-0.196637
-110;-0.290210
-100;0.240392
-90;-0.146691
-80;-0.276192
-70;0.296940
-60;-0.135407
-50;0.185354
-40;-0.002596
-30;0.281220
-20;-0.140179
-10;0.001045
0;0.109744
10;0.089006
20;0.118926
30;0.102841
40;0.260440
50;0.365790
60;0.194648
70;-0.076023
80;0.455802
90;0.293125
100;0.535041
110;0.932814
120;0.801662
130;0.510537
140;0.121303
150;0.210903
160;0.469124
170;0.354027
180;0.460267
190;0.414009
200;0.711970
210;0.480512
220;0.835179
230;0.488490
240;0.212937
250;0.138725
260;0.437221
270;0.331858
280;0.130307
290;0.105718
300;-0.017057
310;0.543471
320;0.534482
330;0.744099
340;0.461640
350;0.510333
360;-0.121940
370;0.035283
380;0.439572
390;0.001222
400;0.063586
410;-0.030824
420;0.017747
430;0.434539
440;0.318878
450;-0.137726
460;-0.683217
470;0.465758
480;0.437813
490;0.360743
500;0.365877
510;0.322824
520;0.258293
530;0.537038
540;0.633069
550;0.307449
560;0.260452
570;0.191628
580;0.138760
590;0.600153
600;0.472063
610;0.821171
620;0.491163
630;0.033181
640;-0.219326
650;0.128703
660;0.216563
670;0.542325
680;0.148108
690;0.380082
700;0.266397
710;0.499803
720;0.055960
730;0.243833
740;0.214703
750;0.276476
760;0.089845
770;0.598893
780;0.375616
790;0.384783
800;0.241190
810;0.110253
820;0.265706
830;0.561322
840;0.025996
850;0.377153
860;-0.133612
870;0.239746
880;-0.005286
890;0.215055
900;0.159180
910;0.147282
920;0.142717
930;-0.104165
940;0.477592
950;0.106172
960;-0.023086
970;0.102537
980;0.117127
990;0.229772
1000;0.288500
1010;0.000378
1020;-0.011824
1030;0.043998
1040;0.084658
1050;0.388794
1060;0.178686
1070;0.156310
1080;0.365219
1090;0.227541
1100;0.301668
1110;-0.345423
1120;0.325962
1130;-0.069103
1140;0.233664
1150;-0.019046
1160;0.146744
1170;-0.031483
1180;0.507457
1190;0.537431
1200;0.040786
1210;0.357690
1220;0.191620
1230;0.323387
