Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.555164;0.353750;-1.114834;0.174529;0.034441
-390;0.168369;-0.468977;-0.036441;0.310743;0.035751
-380;-0.080990;-0.504676;-0.568744;-0.084756;0.176715
-370;1.118497;0.188535;0.203936;0.735781;-0.254553
-360;0.280540;0.104939;1.131892;-0.243928;0.612547
-350;1.005861;-0.342456;0.144525;0.627664;-0.185550
-340;-0.181828;0.165068;0.702370;0.034687;-0.113825
-330;-0.359146;-0.242567;-0.368574;0.505157;0.164118
-320;0.183103;-0.676293;-0.266771;0.112317;-0.482578
-310;-0.523278;-0.114584;0.322986;0.328408;-0.582476
-300;-0.161821;0.362000;-0.505252;-0.364594;-0.699856
-290;-0.115376;0.145682;0.754774;-1.176878;0.358336
-280;0.241588;1.107137;0.059285;0.064013;-0.777043
-270;1.455529;-0.017340;0.448274;0.104543;0.418595
-260;-0.656111;0.629280;0.550649;0.408273;0.154254
-250;-0.446929;-0.393921;-0.034398;0.074307;0.065370
-240;0.386891;0.292928;0.262662;0.744074;-0.859624
-230;0.030802;0.114341;0.021148;-0.034449;0.454243
-220;0.594775;-0.537558;0.223184;-0.011704;0.324323
-210;0.341084;-0.374442;-0.102722;0.432332;0.031005
-200;-0.392034;0.089571;-0.294047;-0.377330;-0.550534
-190;0.886463;-0.336839;0.057861;0.473945;0.081025
-180;-0.232281;-0.450768;0.156605;-0.372516;-0.600480
-170;0.189084;-0.508147;-0.080273;-0.226782;0.386045
-160;1.206664;0.960473;-0.543344;-0.993253;-0.770725
-150;-0.428891;0.604009;0.372330;0.280008;-0.182939
-140;0.644647;0.681433;0.641282;0.147387;-0.022463
-130;-0.742179;0.883157;-0.929886;0.922313;1.038363
-120;-0.029357;-0.523360;0.059235;-0.957452;0.467750
-110;-0.723169;-1.035025;0.313467;0.244645;-0.250967
-100;0.108248;0.307213;-0.370635;0.420500;0.736636
-90;0.011501;-0.513103;-0.263088;0.386659;-0.355425
-80;-0.272238;-0.431124;-0.260907;-0.279521;-0.137166
-70;0.520586;0.516763;-0.005476;0.831119;-0.378290
-60;-0.142899;-0.157050;-0.253186;0.117415;-0.241316
-50;-0.609800;0.215075;-0.567828;1.201502;0.687820
-40;-0.889567;0.419998;0.522216;0.305602;-0.371231
-30;-0.235881;0.519350;0.083862;0.016428;1.022343
-20;-0.065300;-0.107360;-0.949691;0.413729;0.007727
-10;0.193424;-0.299031;0.129312;-0.774906;0.756427
0;-0.467216;0.365745;0.284928;-0.645048;1.010313
10;-0.581339;0.059182;0.119355;-0.430642;1.278473
20;-0.807635;0.827102;0.853203;0.087857;-0.365900
30;0.017992;0.076156;1.204124;-0.231177;-0.552888
40;0.596552;-0.564376;-0.234516;0.155147;1.349391
50;0.796832;-0.198511;0.758265;0.447222;0.025141
60;0.331933;-1.072979;0.574601;0.231143;0.908543
70;0.331706;0.251824;-0.957165;0.340477;-0.346958
80;1.579497;-0.469406;0.572980;1.253253;-0.657311
90;-0.467270;-0.248600;0.478298;0.718494;0.984701
100;0.776563;-0.073585;-0.376503;1.270648;1.078083
110;1.072253;1.665471;1.162319;0.555992;0.208037
120;0.830835;0.728263;0.619972;1.109355;0.719888
130;0.213430;1.680579;0.087709;0.063347;0.507621
140;0.459910;0.674392;-0.405095;0.140253;-0.262945
150;0.697359;-0.167913;-0.822050;0.531584;0.815536
160;0.273017;0.936002;0.056333;0.267162;0.813108
170;-1.010444;1.183874;0.484102;0.594793;0.517810
180;-0.792341;0.855924;0.718583;0.883395;0.635772
190;1.223663;0.022955;0.490850;0.144346;0.188229
200;0.900046;0.395994;0.859627;0.487789;0.916395
210;0.639108;0.250360;0.332496;1.055857;0.124740
220;0.607112;0.896626;0.014664;1.503116;1.154377
230;-0.073538;0.236360;0.685781;0.381036;1.212810
240;-0.029860;0.355125;0.633969;0.806061;-0.700610
250;0.180531;0.387576;0.467164;-0.162806;-0.178838
260;0.242797;0.436526;0.483869;0.711548;0.311368
270;0.150088;0.880616;0.427227;0.101727;0.099633
280;-0.669295;-0.225965;-0.358139;1.077950;0.826983
290;0.557733;0.925839;-0.805261;-0.644279;0.494555
300;-0.080404;0.142021;0.428419;-0.222435;-0.352886
310;0.365128;0.414431;0.526162;0.804195;0.607441
320;0.287734;0.873411;0.009963;0.149096;1.352206
330;0.811364;0.683253;0.420961;0.977908;0.827008
340;0.204749;0.733593;0.511245;0.820522;0.038089
350;-0.131432;0.266791;0.878525;0.879250;0.658530
360;-0.066298;-0.827556;-0.209353;0.108711;0.384799
370;0.613001;0.653654;-0.120350;-0.524014;-0.445877
380;-0.236943;0.880491;0.838974;0.422441;0.292895
390;-0.203007;0.391737;-0.333113;-1.091244;1.241737
400;-0.736212;0.256035;-0.380912;0.738179;0.440838
410;-0.064897;0.218761;-0.755940;0.713734;-0.265777
