Laser Delay [ns];TA [mOD]
-400;0.436911
-390;-0.136837
-380;-0.170780
-370;0.532274
-360;-0.396644
-350;-0.096990
-340;-0.115685
-330;0.424274
-320;-0.145574
-310;-0.064890
-300;0.106459
-290;0.344766
-280;-0.498680
-270;0.002327
-260;-0.014154
-250;0.131484
-240;-0.223876
-230;-0.192750
-220;0.044193
-210;-0.122879
-200;-0.060980
-190;-0.226966
-180;-0.063976
-170;-0.222759
-160;-0.374562
-150;-0.151411
-140;0.443929
-130;0.078175
-120;-0.103958
-110;0.107290
-100;-0.072764
-90;0.122527
-80;-0.203010
-70;0.049460
-60;-0.049840
-50;0.170064
-40;-0.253457
-30;-0.030251
-20;-0.023000
-10;0.918661
0;4.081431
10;7.065212
20;9.399335
30;12.048125
40;14.341201
50;16.966607
60;19.086154
70;22.177436
80;24.098213
90;26.417304
100;28.583238
110;30.107972
120;31.517289
130;30.276838
140;29.344509
150;28.813072
160;28.126367
170;27.561388
180;26.933428
190;26.220545
200;25.170100
210;24.473369
220;24.106928
230;23.351193
240;22.642607
250;22.336663
260;21.530368
270;20.794375
280;20.553349
290;19.788502
300;19.827872
310;18.299433
320;18.524695
330;17.384810
340;17.715736
350;17.291511
360;16.614346
370;16.021147
380;15.907300
390;15.238826
400;14.883804
410;14.608597
420;13.670957
430;13.605356
440;13.145960
450;13.588496
460;12.539378
470;12.179006
480;12.275807
490;12.016978
500;11.328984
510;10.918822
520;10.607187
530;10.434369
540;10.189268
550;9.707327
560;9.709918
570;9.715566
580;9.441745
590;8.978926
600;8.640559
610;8.664531
620;8.441051
630;7.856575
640;7.387857
650;7.792785
660;7.425110
670;7.587359
680;7.400697
690;6.916292
700;6.961963
710;6.280089
720;6.802550
730;6.392075
740;6.177529
750;6.264669
760;5.568033
770;5.888881
780;5.350977
790;5.182582
800;5.264692
810;5.491670
820;4.547310
830;4.470391
840;4.656325
850;4.418006
860;4.258303
870;4.433970
880;4.027376
890;4.219199
900;3.995220
910;4.030902
920;3.609703
930;3.727393
940;3.818452
950;3.242643
960;3.496422
970;3.501783
980;3.243439
990;3.243612
1000;2.771437
1010;3.013125
1020;2.710779
1030;2.726907
1040;2.790642
1050;2.816626
1060;2.589145
1070;2.795837
1080;2.386883
1090;2.189741
1100;2.359957
1110;2.555329
1120;2.071557
1130;2.468699
1140;2.099513
1150;1.766070
1160;1.826516
1170;2.547110
1180;1.883634
1190;1.894225
1200;2.278820
1210;2.191614
1220;2.117448
1230;1.708823
1240;1.692971
1250;1.896511
1260;1.571788
1270;1.521168
1280;1.450277
1290;0.997713
1300;1.474233
1310;1.614396
1320;1.273959
1330;1.486689
1340;1.209857
1350;1.708286
1360;1.296302
1370;1.633155
1380;1.462036
1390;0.997194
1400;1.264446
1410;1.099918
1420;1.195588
1430;1.067829
1440;1.408133
1450;1.534137
1460;0.834813
1470;0.859085
1480;1.184461
1490;1.031255
1500;1.022520
1510;0.844050
1520;1.200023
1530;0.848160
1540;1.010307
1550;1.391542
1560;0.902458
1570;0.542902
1580;0.918308
1590;0.953756
1600;1.089825
1610;0.784457
1620;0.779668
1630;0.880201
1640;0.912197
1650;0.677721
1660;0.748249
1670;1.045010
1680;0.855144
1690;0.615391
1700;0.454416
1710;0.818556
1720;0.641107
1730;0.210646
1740;0.433775
1750;0.729358
1760;0.543430
1770;0.659851
1780;0.500971
1790;0.863266
1800;0.687060
1810;0.345498
1820;0.514781
1830;0.450364
1840;0.274821
1850;0.582319
1860;0.619015
1870;0.667946
1880;0.343785
1890;0.345318
1900;0.486343
1910;0.019986
1920;0.028748
1930;0.349920
1940;0.653273
1950;0.685488
1960;0.376434
1970;0.513076
1980;0.571472
1990;0.016824
2000;0.134862
2010;0.401288
2020;0.211729
2030;0.379558
2040;0.876025
2050;0.264041
2060;0.466252
2070;0.192380
2080;0.371988
2090;0.376146
2100;0.095834
2110;0.051950
2120;-0.166889
2130;0.017767
2140;0.699136
2150;0.579478
2160;-0.070855
2170;0.061174
2180;-0.221612
2190;0.534426
2200;0.438989
2210;0.403707
2220;0.709712
2230;0.300121
2240;0.155994
2250;0.126861
2260;0.245957
2270;-0.318664
2280;0.345416
2290;-0.053568
2300;0.035584
2310;0.009951
2320;-0.100396
2330;0.089608
2340;0.418746
2350;0.324943
2360;0.638757
2370;0.298308
2380;-0.029402
2390;0.457981
2400;0.142904
2410;0.255363
2420;0.504443
2430;0.505471
2440;-0.150460
2450;0.546669
2460;-0.357455
2470;0.023056
2480;-0.057695
2490;0.439330
2500;0.210404
2510;0.072370
2520;0.345671
2530;0.321731
2540;0.111843
2550;0.399524
2560;0.024113
2570;0.336968
2580;0.035828
2590;0.188190
2600;0.254393
2610;0.431628
2620;0.236415
2630;0.325596
2640;-0.092433
2650;-0.171042
2660;-0.205795
2670;0.477529
2680;0.504024
2690;0.321056
2700;0.150896
2710;0.003681
2720;0.492316
2730;-0.031407
2740;-0.117694
2750;0.388734
2760;0.128180
2770;0.138705
2780;0.212638
2790;0.406502
2800;-0.128786
2810;-0.119483
2820;0.305072
2830;0.137704
2840;-0.127299
2850;0.437040
2860;0.438228
2870;0.742537
2880;0.046280
2890;0.050440
2900;0.320746
2910;0.421960
2920;0.067421
2930;0.576726
2940;-0.368379
2950;0.396532
2960;0.236461
2970;0.347466
2980;0.242423
2990;0.428731
3000;0.095784
3010;0.448796
3020;0.400404
3030;0.070548
3040;0.411780
3050;0.391253
3060;0.565952
3070;-0.041920
3080;0.222937
3090;0.278697
3100;0.155985
3110;0.026280
3120;0.218473
3130;0.671581
3140;-0.322175
3150;0.434766
3160;0.446665
3170;0.342908
3180;0.302221
3190;0.404672
3200;0.213957
3210;0.407832
3220;0.337948
3230;-0.001227
3240;0.332521
3250;0.198426
3260;0.198800
3270;0.641022
3280;0.435533
3290;0.288693
3300;0.076564
3310;0.209487
3320;0.288551
3330;0.663862
3340;0.332410
3350;0.138695
3360;0.165130
3370;0.127789
3380;-0.025399
3390;-0.090255
3400;0.243919
3410;0.024801
3420;0.325303
3430;0.166463
3440;0.051900
3450;0.479179
3460;0.322409
3470;-0.171477
3480;0.072267
3490;0.357281
3500;-0.148436
3510;0.306589
3520;0.382239
3530;-0.171790
3540;0.236556
3550;0.181934
3560;0.164109
3570;0.236662
3580;0.085475
3590;-0.016468
3600;-0.069651
3610;0.215128
3620;0.097697
3630;0.446148
3640;0.296459
3650;0.719551
3660;0.090298
3670;-0.179027
3680;0.445389
3690;-0.042808
3700;0.328754
3710;0.433681
3720;-0.242221
3730;-0.020976
3740;0.192726
3750;0.245125
3760;0.104156
3770;0.036414
3780;0.226071
3790;-0.162448
3800;0.227710
3810;0.423552
3820;0.391149
3830;0.108346
3840;0.107147
3850;0.033746
3860;0.323012
3870;0.594921
3880;0.003942
3890;-0.103515
3900;0.110260
3910;0.124715
3920;-0.170835
3930;-0.251551
3940;0.281580
3950;0.042477
3960;-0.071091
3970;0.544146
3980;0.601337
3990;0.148871
4000;0.209589
4010;-0.046238
4020;-0.004650
4030;0.368153
4040;0.000265
4050;0.500593
4060;-0.016468
4070;0.346170
4080;0.077731
4090;0.315365
4100;-0.267898
4110;0.369896
4120;0.153649
4130;0.161093
4140;0.161935
4150;0.167677
4160;0.233007
4170;0.253911
4180;0.821101
4190;0.295209
4200;-0.203273
4210;0.223979
4220;0.245878
4230;0.629461
4240;0.462844
4250;0.300132
4260;0.135339
4270;-0.536190
4280;0.251020
4290;0.221117
4300;0.706885
4310;-0.283598
4320;0.697761
4330;0.147050
4340;0.003514
4350;-0.266765
4360;0.076273
4370;-0.372408
4380;0.661130
4390;0.368291
4400;-0.145742
4410;0.115635
4420;0.112148
4430;0.359300
4440;0.380590
4450;0.236170
4460;0.285459
4470;-0.238161
4480;0.358812
4490;0.044859
4500;0.000984
4510;0.296315
4520;-0.152330
4530;0.180266
4540;0.179684
4550;0.069666
4560;0.073799
4570;0.012986
4580;0.372245
4590;-0.030383
4600;0.066768
4610;0.144063
4620;0.017161
4630;0.113031
4640;0.044281
4650;-0.017932
4660;0.200216
4670;0.363758
4680;0.207594
4690;-0.157486
