Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.286631;0.654079;-0.210073;0.409204;1.044713
-390;0.184574;-0.059452;-0.232623;-0.303571;-0.273112
-380;0.164607;-0.439526;-0.751497;0.585423;-0.412907
-370;-0.293977;1.617768;-0.694215;0.596934;1.434860
-360;-0.064879;-0.592190;-0.452195;-0.920187;0.046230
-350;-0.839351;0.464510;-0.125280;0.412575;-0.397406
-340;0.281511;-0.962129;0.472850;-0.072502;-0.298153
-330;-0.405689;0.217708;0.886112;0.348449;1.074791
-320;-0.591454;-0.306652;-0.373844;0.299591;0.244491
-310;0.270635;-0.671592;0.272127;0.095972;-0.291594
-300;-0.474578;0.344828;0.125720;-0.363608;0.899933
-290;-0.156055;0.888530;-0.041308;0.984567;0.048099
-280;-0.891223;-0.660637;-0.786273;-0.190986;0.035718
-270;-0.694115;0.384651;0.263743;0.230068;-0.172715
-260;0.453163;-0.125319;0.065143;-0.105977;-0.357781
-250;-0.468101;0.193527;0.440290;0.275462;0.216244
-240;-0.188334;-0.237024;0.679961;-0.594631;-0.779350
-230;-0.604007;-0.015558;0.429823;-0.213486;-0.560521
-220;-0.248633;0.124471;0.243081;-0.015150;0.117194
-210;-0.849556;-0.811366;1.120047;-0.469372;0.395853
-200;-0.152025;-0.688758;0.749291;-0.215699;0.002290
-190;-0.434089;0.108941;0.371907;-0.324426;-0.857162
-180;0.507531;0.174026;-0.773346;-0.446085;0.217994
-170;-0.319780;0.393440;-0.515234;-0.371096;-0.301127
-160;-0.213363;-0.070033;-0.304112;-1.329248;0.043946
-150;0.100331;-0.784271;0.249586;-0.199095;-0.123606
-140;-0.105880;0.152933;0.274554;1.360766;0.537270
-130;0.075090;-0.546327;0.452332;0.422602;-0.012824
-120;0.070506;-0.363491;-0.422853;-0.314568;0.510615
-110;0.993680;0.019222;-0.019278;-0.026605;-0.430570
-100;-0.238466;0.400432;-0.001377;0.058242;-0.582651
-90;0.756489;0.205031;-0.388475;0.345567;-0.305975
-80;-0.218332;-1.215633;0.278814;0.001375;0.138728
-70;-0.763533;-0.189367;0.215565;1.183897;-0.199263
-60;-0.287574;-0.418767;0.155043;0.660674;-0.358578
-50;-0.752674;0.343281;0.924004;-0.117288;0.452996
-40;-0.516405;0.026528;-0.440140;-0.895854;0.558585
-30;-0.001390;-0.864539;0.252423;-0.247418;0.709668
-20;-0.510715;0.502754;-1.206162;0.823741;0.275383
-10;0.762687;0.290566;1.284008;1.275326;0.980720
0;4.228942;5.358417;3.996756;3.857184;2.965854
10;6.985696;6.700455;7.403022;7.283177;6.953710
20;9.539128;8.871198;10.116554;9.520826;8.948967
30;12.185547;12.402186;12.451303;11.258557;11.943033
40;13.212055;14.056828;14.833332;14.796472;14.807321
50;16.788514;16.420427;17.293738;17.168004;17.162353
60;19.095377;19.450285;18.882640;18.939948;19.062518
70;22.602217;22.071572;22.306764;22.159586;21.747040
80;24.426565;24.743679;24.034899;23.273505;24.012415
90;25.997906;26.698156;25.811864;26.456092;27.122500
100;27.862730;27.964766;30.022936;28.505609;28.560150
110;30.165658;29.989020;29.931248;30.639541;29.814392
120;32.225773;31.140428;31.639464;31.451029;31.129750
130;29.609177;30.083736;31.289861;30.126092;30.275325
140;29.906173;28.867456;29.382240;29.607660;28.959015
150;27.834016;29.634873;29.758908;28.424972;28.412589
160;28.247427;27.617505;28.462534;28.262246;28.042123
