Laser Delay [ns];TA [mOD]
-400;-0.400958
-390;-0.149906
-380;-0.012491
-370;-0.493172
-360;0.286960
-350;0.115154
-340;-0.567123
-330;-0.238007
-320;-0.075725
-310;-0.319828
-300;-0.079118
-290;-0.043062
-280;0.279428
-270;-0.123384
-260;-0.357209
-250;0.140239
-240;-0.111162
-230;-0.081518
-220;0.397250
-210;-0.012022
-200;-0.160568
-190;-0.129809
-180;0.182749
-170;0.312115
-160;-0.173212
-150;0.094739
-140;-0.104627
-130;-0.248792
-120;0.561977
-110;-0.411628
-100;0.237283
-90;-0.028226
-80;0.252214
-70;-0.102677
-60;-0.010504
-50;-0.287630
-40;-0.171323
-30;-0.326341
-20;-0.288651
-10;1.258326
0;2.465571
10;4.620104
20;6.793856
30;7.629193
40;9.760961
50;11.317341
60;12.776524
70;14.159590
80;16.110250
90;17.215151
100;18.771696
110;20.181608
120;20.305020
130;19.590874
140;18.972341
150;18.414343
160;17.603346
170;17.513043
180;17.075357
190;16.092353
200;16.394507
210;15.557473
220;14.919095
230;14.760763
240;14.405028
250;13.923792
260;13.787753
270;13.167132
280;12.957051
290;12.304959
300;12.164615
310;11.791253
320;11.635252
330;11.178368
340;11.233569
350;10.683916
360;10.216035
370;9.865517
380;9.307765
390;9.688863
400;9.137560
410;9.015306
420;8.368148
430;8.335442
440;8.050742
450;7.886084
460;7.725878
470;7.354752
480;7.495754
490;7.016696
500;6.989297
510;6.717003
520;6.439621
530;6.498889
540;6.290881
550;6.027416
560;5.877523
570;5.610518
580;5.452655
590;5.421315
600;4.879338
610;5.308132
620;4.908946
630;4.842449
640;4.529725
650;4.893408
660;4.285579
670;4.611478
680;3.940255
690;3.952921
700;3.968163
710;3.584113
720;3.639155
730;3.107870
740;3.594790
750;3.283016
760;2.986765
770;3.367013
780;2.552161
790;3.220814
800;2.866811
810;3.236912
820;3.007691
830;3.078984
840;2.896642
850;2.430712
860;2.457629
870;2.696012
880;2.177112
890;2.718774
900;2.561042
910;2.175635
920;2.274520
930;2.207635
940;2.086534
950;2.395643
960;1.678669
970;1.899431
980;1.639171
990;1.408936
1000;1.710942
1010;1.920881
1020;1.550023
1030;2.089048
1040;1.696237
1050;1.622556
1060;1.404658
