Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.808217;-0.871738;0.040314;0.394897;-0.760046
-390;0.470908;-0.017957;-0.317773;-1.235584;0.350876
-380;0.443339;0.339053;-1.002498;0.401343;-0.243692
-370;-0.215133;-0.451760;0.150944;-1.337530;-0.612380
-360;0.763431;0.908511;-0.482794;0.342471;-0.096817
-350;-0.111193;0.873179;0.088345;-0.315459;0.040898
-340;-0.301783;-0.555806;-0.445702;-0.637251;-0.895071
-330;-0.305494;-0.624487;-0.646780;-0.072617;0.459343
-320;-0.011875;0.147550;0.114948;-0.692917;0.063669
-310;0.579109;-0.845300;-0.976291;-0.105282;-0.251378
-300;0.123997;0.571044;-0.147072;-0.060619;-0.882937
-290;-0.098166;-0.172308;0.477871;-0.001289;-0.421418
-280;0.587654;-0.188170;-0.212227;0.657904;0.551979
-270;-0.411617;0.463551;-0.526440;-0.057595;-0.084822
-260;-0.053150;-0.722278;-0.857998;0.134490;-0.287107
-250;0.497048;0.849402;-0.707514;-0.351296;0.413552
-240;0.250916;-0.354493;-0.066462;-0.116432;-0.269339
-230;0.576342;-0.740310;0.390267;-0.099259;-0.534632
-220;1.076587;0.257367;0.206310;1.007998;-0.562010
-210;-1.191002;-0.331566;-0.111083;0.960062;0.613481
-200;-0.418668;-0.549411;-1.156644;0.790306;0.531579
-190;-0.146377;-0.245552;-0.385189;-0.177924;0.305995
-180;0.188963;1.346148;-0.176355;-0.265082;-0.179929
-170;0.416275;0.739508;0.273651;-0.230349;0.361492
-160;0.118323;0.241640;-0.097358;-0.545763;-0.582902
-150;-0.488199;0.350236;-0.047619;0.682090;-0.022813
-140;-0.645344;0.038958;-0.277631;0.134520;0.226363
-130;-0.141248;0.223026;-0.392903;-0.814886;-0.117947
-120;0.300759;0.465164;0.935861;0.383535;0.724566
-110;-0.757285;-0.829412;0.006436;-0.063212;-0.414668
