Laser Delay [ns];TA [mOD]
-400;0.243048
-390;-0.012592
-380;-0.124821
-370;-0.160348
-360;-0.082283
-350;-0.147262
-340;-0.378459
-330;-0.169417
-320;-0.192836
-310;-0.372162
-300;0.087104
-290;0.048708
-280;0.139308
-270;0.202123
-260;0.286930
-250;0.254227
-240;-0.195304
-230;-0.533270
-220;-0.176032
-210;0.229577
-200;0.042607
-190;-0.104873
-180;-0.306882
-170;-0.027032
-160;0.068018
-150;-0.323950
-140;-0.325088
-130;0.059844
-120;0.117256
-110;0.001437
-100;0.122461
-90;-0.093804
-80;-0.348153
-70;0.212780
-60;0.086942
-50;0.165797
-40;0.085171
-30;0.255617
-20;1.071171
-10;3.653674
0;7.358136
10;10.427632
20;13.413444
30;17.079449
40;19.464870
50;22.817838
60;25.985032
70;28.553400
80;31.677055
90;34.395527
100;36.797452
110;38.394417
120;38.365039
130;37.827100
140;37.593337
150;37.167922
160;36.708905
170;36.049997
180;35.863475
190;35.576865
200;35.289025
210;34.719602
220;34.505905
230;33.923873
240;33.850380
250;32.742738
260;32.784662
270;32.795987
280;32.625610
290;31.940561
300;31.337297
310;31.290952
320;30.648885
330;30.198043
340;29.639706
350;29.788184
360;29.296484
370;29.338441
380;28.823268
390;28.262374
400;28.524375
410;27.740188
420;27.830486
430;27.407532
440;26.820813
450;26.401506
460;26.314121
470;25.639729
480;25.382849
490;25.315268
500;25.507463
510;24.723553
520;24.893101
530;24.198291
540;23.734664
550;24.025315
560;23.576394
570;23.216929
580;22.823186
590;22.946464
600;22.467260
610;21.804107
620;22.279126
630;21.413627
640;21.341659
650;21.326288
660;21.020678
670;20.390545
680;20.723120
690;20.581944
700;19.902442
710;19.933668
720;19.897427
730;19.079215
740;19.193293
750;19.175297
760;18.867517
770;18.280572
780;17.841729
790;18.405591
800;17.648267
810;18.013624
820;17.656250
830;17.172227
840;16.816873
850;16.500262
860;16.699236
870;16.799405
880;16.401161
890;16.120412
900;16.172775
910;16.014932
920;15.659077
930;15.370800
940;15.248438
950;15.418654
960;14.800758
970;14.540385
980;14.192065
990;14.563657
1000;14.191905
1010;14.504052
1020;14.256026
1030;14.153949
1040;14.410918
1050;13.032359
