Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.218169;-0.625545;0.612678;0.505085;0.142937
-390;0.563972;-0.564568;0.244816;-0.167475;-0.249063
-380;-0.153599;-0.256967;-0.401209;0.183546;0.356849
-370;0.371978;-0.056452;0.431673;0.222329;0.906118
-360;1.002243;-0.905475;0.283221;-0.027378;-0.312308
-350;0.418034;0.333409;-0.643241;0.329173;-1.073220
-340;-0.047113;-0.713629;-0.153811;0.670336;0.373787
-330;0.761790;-0.774949;0.046676;0.089724;0.403968
-320;-0.142061;0.207943;-0.924977;-0.506302;-0.098568
-310;-0.348899;0.313774;-0.673974;0.488077;-1.613141
-300;-0.249861;0.175304;0.236501;0.704110;0.243809
-290;-0.234260;-0.110541;0.569801;-0.619421;-0.419750
-280;-0.181933;0.353127;-1.131215;-0.461117;-0.408936
-270;0.730498;0.166943;0.375311;0.261980;0.050630
-260;0.171479;-0.628535;-0.580805;1.417900;0.755399
-250;0.577649;-0.406864;-0.631684;0.597975;1.236030
-240;-0.576282;-0.307543;-0.253769;0.692826;-1.019551
-230;1.483259;0.245365;-0.175977;-0.749964;-0.347847
-220;0.361345;0.655601;-0.612882;0.081113;-0.135095
-210;-0.475151;0.481835;0.127115;-0.593563;-0.197512
-200;0.339075;-0.041695;-0.114171;-1.106736;0.353579
-190;-0.278593;0.572209;-0.282265;-0.041086;-0.506076
-180;0.662341;-1.301292;-0.358693;-0.242793;-0.145978
-170;-0.630954;0.860195;-0.505991;-0.098359;-0.377515
-160;0.117271;-0.214771;0.736143;-0.206807;-0.970462
-150;0.384928;0.877999;0.140910;-0.808067;0.560888
-140;1.263604;0.276266;0.221481;0.777851;-0.319425
-130;0.051969;0.765383;-0.343135;-1.395112;0.930445
-120;-1.091368;0.188479;-0.647361;0.347723;0.331429
-110;0.061313;-0.421040;0.405074;-0.882095;-0.535884
-100;-0.563932;-0.020554;0.513028;0.061109;0.076872
-90;-0.232627;-0.449546;0.121142;-0.290830;-0.040413
-80;0.331812;-0.589333;-0.417394;0.268281;-0.884276
-70;-0.605391;1.104176;0.367981;0.152574;-0.325650
-60;0.641951;0.513641;-0.387746;-0.579014;-0.550155
-50;-0.154019;-0.785634;0.255133;0.638179;-0.975798
-40;0.422647;0.890035;0.239239;0.229342;-0.009401
-30;-0.725370;-1.552555;0.749735;0.998553;-0.130400
-20;1.365628;1.744906;1.201087;1.146605;1.544833
-10;3.216946;3.252351;3.034109;3.282496;2.815265
0;5.360667;5.516878;6.121394;6.077186;6.725859
10;8.196549;8.076363;9.012245;8.021365;7.718248
20;10.398260;11.179573;11.157043;11.243140;11.103704
30;13.379637;13.215939;11.915408;13.011311;12.981564
40;16.387200;15.494839;15.486295;15.570926;16.428915
50;19.027005;18.438556;18.443083;19.348334;18.751092
60;20.282638;20.611765;20.480009;20.676318;20.115696
70;22.363428;23.721221;23.130786;23.423288;23.142589
80;24.443302;25.516668;25.179175;25.650974;24.019999
90;28.392694;27.452300;26.758398;27.351151;28.184443
100;30.003275;28.877747;30.016972;29.706280;30.099470
110;30.283231;31.597745;31.594371;30.811344;31.153752
120;30.281874;31.076092;31.090459;30.923328;30.313145
130;29.367827;29.779462;30.579996;29.962994;30.346357
140;29.873582;30.071714;29.717687;29.644930;29.991162
150;28.012457;29.122499;29.005759;30.004319;30.194383
160;29.089470;29.263416;28.756030;28.997934;29.680020
170;27.915228;28.625664;28.954074;29.320204;28.012139
180;29.286122;28.894568;28.801247;29.081489;27.747029
190;27.836554;28.196487;28.178940;28.791714;28.564971
200;27.005369;29.106833;26.842307;28.291447;28.298561
210;26.134841;26.997325;27.987886;28.262057;28.006212
220;26.173820;27.482230;27.264495;27.972891;27.347190
230;27.117355;26.445418;26.239012;27.984094;27.525322
240;27.558654;26.532275;27.536210;26.493666;26.903907
250;26.562267;27.262533;26.289437;26.186409;25.704217
260;26.583031;25.843351;27.269075;25.601081;26.062480
270;26.146911;26.263035;25.023386;26.802357;25.792942
280;25.687412;25.805348;24.840623;24.722260;26.125868
290;24.225451;26.165711;25.328428;25.658682;25.740919
300;25.249520;23.913592;25.424943;25.134390;26.191397
310;24.151409;24.225597;24.817148;26.233333;24.281031
320;23.694998;25.021140;24.603510;24.643474;24.835973
330;23.596802;24.466272;24.847044;24.055821;24.694623
340;23.586537;23.153173;24.151233;24.864116;24.051096
350;23.785540;23.432911;23.768253;23.498922;23.256656
360;22.495917;24.013508;23.568318;23.863053;23.655596
370;23.156920;21.807039;22.771303;22.918116;23.136975
380;22.899756;21.862710;22.161702;22.503116;23.889200
390;22.838425;22.532178;22.593961;22.786122;23.063223
400;23.511301;21.940977;22.061954;22.750807;22.943595
410;21.017226;21.881047;22.336226;22.834570;21.590003
420;23.079858;22.231915;21.719701;22.553966;21.071163
430;22.134006;21.271373;21.717545;21.179151;21.505740
