Laser Delay [ns];TA [mOD]
-400;0.556665
-390;0.164554
-380;0.018376
-370;0.038622
-360;-0.325070
-350;0.279003
-340;-0.454148
-330;0.113288
-320;0.244550
-310;0.154300
-300;0.082135
-290;-0.271130
-280;0.108294
-270;0.204635
-260;0.165758
-250;0.354446
-240;-0.140769
-230;-0.401758
-220;-0.357595
-210;0.071293
-200;0.387991
-190;0.046259
-180;0.112108
-170;0.295382
-160;-0.022231
-150;0.349792
-140;0.193820
-130;0.060040
-120;0.342973
-110;-0.253557
-100;-0.396377
-90;0.160908
-80;-0.031958
-70;0.116612
-60;0.171094
-50;0.214215
-40;-0.308911
-30;-0.180708
-20;-0.150618
-10;0.500241
0;1.630464
10;1.189316
20;3.006407
30;3.760994
40;4.002439
50;4.317539
60;5.264230
70;6.083969
80;6.418925
90;6.829507
100;8.387477
110;8.782605
120;8.369046
130;8.136730
140;8.055560
150;8.453205
160;7.974212
170;7.782447
180;7.762458
190;7.045444
200;7.197920
210;7.733586
220;7.677007
230;6.943813
240;7.379645
250;6.898129
260;7.724144
270;6.889016
280;7.046379
290;6.890427
300;7.005391
310;6.238664
320;7.041383
330;6.346345
340;6.546514
350;6.537683
360;6.077575
370;6.743037
380;5.767563
390;5.848786
400;5.977638
410;6.061408
420;6.018303
430;6.249456
440;5.709358
450;5.650772
460;5.739661
470;5.675327
480;5.563373
490;5.413413
500;5.323137
510;4.974013
520;5.885187
530;4.849841
540;5.457982
550;5.539638
560;5.480158
570;4.574071
580;5.067135
590;4.509474
600;4.425055
610;5.422437
620;4.823732
630;4.817466
640;4.897763
650;4.789255
660;4.440710
670;5.178861
680;4.441541
690;4.265124
700;4.608649
710;4.674532
720;4.202351
730;4.243746
740;3.531219
750;4.146166
760;4.299668
770;4.426799
780;4.072363
790;4.658308
800;4.485363
810;3.969269
820;3.988175
830;4.052185
840;3.572994
850;3.858983
860;4.046108
870;3.624941
880;3.833463
890;3.104683
900;3.710930
910;3.846610
920;3.905622
930;3.742575
940;3.302232
950;3.384706
960;3.006395
970;2.839465
980;3.507912
990;3.393791
1000;3.315599
1010;3.035832
1020;3.339700
1030;3.020230
1040;2.986202
1050;2.969795
1060;3.363340
1070;3.082424
1080;2.989343
1090;2.545632
1100;3.119376
1110;2.952291
1120;2.459741
1130;2.450926
1140;2.676056
1150;2.795102
1160;2.956235
1170;3.139690
1180;2.687418
1190;2.279028
1200;2.187259
1210;1.827643
1220;2.349003
1230;2.346055
1240;2.756403
1250;2.791931
1260;2.568318
1270;2.513334
1280;2.259825
1290;2.347836
1300;2.618058
1310;2.251057
1320;2.105094
1330;2.015238
1340;1.705751
1350;2.151030
1360;1.615076
1370;2.487204
1380;1.671925
1390;2.578165
1400;2.211332
1410;1.709103
1420;2.135247
1430;2.078070
1440;2.131126
1450;1.810556
1460;1.852651
1470;1.767712
1480;1.516397
1490;1.576945
1500;2.136660
1510;1.667982
1520;1.806397
1530;1.927558
1540;1.670175
1550;1.594393
1560;1.556853
1570;2.238081
1580;1.668203
1590;1.886833
1600;1.791204
1610;1.879760
1620;1.879067
1630;1.626007
1640;1.568548
1650;1.615935
1660;1.747435
1670;1.379469
1680;1.259511
1690;1.764738
1700;1.360590
1710;1.570840
1720;1.641538
1730;1.131302
1740;1.707933
1750;1.204911
1760;1.029235
1770;0.909915
1780;1.145748
1790;1.386801
1800;1.332387
1810;1.365091
1820;0.907387
1830;0.982267
1840;1.309787
1850;1.115161
1860;1.312299
1870;1.013284
1880;1.257026
1890;1.474750
1900;1.183370
1910;0.825985
1920;1.161618
1930;1.034044
1940;1.317631
1950;0.929043
1960;1.111550
1970;1.302503
1980;1.416375
1990;0.934977
2000;1.133437
2010;1.366443
2020;1.218237
2030;0.833692
2040;0.670910
2050;0.985293
2060;1.221079
2070;0.782051
2080;0.851786
2090;1.123005
2100;1.131984
2110;0.668127
2120;0.939786
2130;0.996205
2140;0.991443
2150;1.037518
2160;1.182989
2170;1.076406
2180;0.888014
2190;1.057166
2200;0.914852
2210;0.711281
2220;1.204285
2230;0.855678
2240;0.592967
2250;0.847775
2260;0.796042
2270;0.888011
2280;1.099655
2290;0.929313
2300;1.116258
2310;1.220579
2320;0.926687
2330;0.533863
2340;0.967844
2350;0.783019
2360;0.988704
2370;1.010733
2380;0.654290
2390;0.840339
2400;1.152336
2410;0.656973
2420;0.439666
2430;0.932410
2440;0.864520
2450;0.629725
2460;0.485383
2470;0.790247
2480;0.523417
2490;0.866349
2500;1.067284
2510;0.359437
2520;0.142993
2530;0.516228
2540;0.811094
2550;0.402085
2560;-0.036079
2570;0.785071
2580;-0.111287
2590;0.653502
2600;0.533779
2610;0.491701
2620;0.645492
2630;0.582424
2640;0.353325
2650;0.784038
2660;0.559712
2670;0.347880
2680;0.734468
2690;0.690332
2700;0.379138
2710;0.214208
2720;0.443819
2730;1.015609
2740;0.294804
2750;0.227843
2760;0.444745
2770;-0.171028
2780;0.958402
2790;1.034688
2800;0.200017
2810;0.751837
2820;0.598655
2830;0.321682
2840;0.547729
2850;1.054954
2860;0.106733
2870;0.435483
2880;0.241899
2890;0.222637
2900;0.527207
2910;0.568459
2920;0.548622
2930;1.175497
2940;0.067236
2950;0.258224
2960;0.032716
2970;0.812860
2980;-0.320059
2990;0.532413
3000;0.132551
3010;0.638697
3020;0.077440
3030;0.089294
3040;0.340924
3050;0.260771
3060;0.352791
3070;0.900166
3080;0.218510
3090;0.624006
3100;0.590190
3110;0.053238
3120;0.270055
3130;0.231115
3140;0.508987
3150;0.071858
3160;0.061790
3170;0.592377
3180;0.352790
3190;0.434822
3200;-0.091833
3210;-0.241133
3220;0.012700
3230;-0.220976
3240;-0.249820
3250;0.153034
3260;0.434427
3270;0.289121
3280;-0.147417
3290;-0.022208
3300;-0.079658
3310;0.700274
3320;0.460417
3330;0.221741
3340;0.259776
3350;0.688400
3360;0.523099
3370;0.092411
3380;0.389858
3390;0.305068
3400;-0.255347
3410;0.392336
3420;0.414919
3430;0.460030
3440;-0.261486
3450;0.097796
3460;0.238388
3470;-0.174910
3480;0.236856
3490;-0.074205
3500;0.014090
3510;0.337083
3520;0.083821
3530;0.101389
3540;0.358499
3550;0.006447
3560;0.209563
3570;0.029814
3580;0.237943
3590;-0.053944
3600;0.567531
3610;0.126366
3620;0.158638
3630;0.111159
3640;0.422713
3650;0.173508
3660;-0.399297
3670;0.694395
3680;-0.027542
3690;0.031183
3700;0.445261
3710;-0.212427
3720;0.246894
3730;0.544887
3740;0.003972
3750;-0.102068
3760;0.039334
3770;-0.434018
3780;0.249059
3790;-0.001908
3800;-0.317463
3810;0.032074
3820;-0.018077
3830;0.422480
3840;0.028564
3850;0.267663
3860;0.173286
3870;-0.378973
3880;0.055599
3890;0.399414
3900;-0.145485
3910;0.102550
3920;0.245872
3930;0.354055
3940;-0.221528
3950;0.347910
3960;0.306972
3970;0.409953
3980;-0.196899
3990;0.032019
4000;0.395878
4010;-0.181060
4020;-0.273662
4030;0.102327
4040;0.211436
4050;-0.125133
4060;0.463385
4070;0.546794
4080;-0.562509
4090;-0.099980
4100;-0.344720
4110;-0.514252
4120;0.421587
