Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.075712;-0.252898;-0.035957;-0.428132;0.092642
-390;-0.686593;-0.142240;-0.718484;0.458409;-0.043943
-380;0.256498;-0.264793;-0.015949;0.302745;0.559147
-370;0.341748;0.564357;0.294966;-0.586587;0.594518
-360;0.003980;-0.286525;-0.570975;0.235417;0.672720
-350;0.160969;-0.211042;-0.078335;-0.895848;-0.534023
-340;-0.074108;0.368709;-0.234249;-0.048855;-0.678974
-330;0.385637;0.664993;-1.044787;-0.209783;-0.557791
-320;0.376135;-0.473437;-0.386564;-0.004873;-0.619802
-310;0.786719;0.085008;0.130083;0.091759;-0.809507
-300;0.074677;-0.802365;-0.134964;-0.254009;-0.263231
-290;-0.818226;-0.276922;0.504697;-0.316651;-0.134717
-280;0.587463;-0.476720;0.532098;0.017730;-0.497121
-270;0.018111;0.430773;-0.403846;0.636448;0.121880
-260;0.303642;-0.471501;1.034122;0.682319;-0.860802
-250;0.096636;0.056749;-0.093038;0.041644;-0.064661
-240;-0.541458;-0.325658;0.047708;0.509661;0.282997
-230;0.135769;-0.537331;0.190248;-0.122654;-0.923270
-220;0.134185;-0.690445;-0.106156;-0.306715;0.317551
-210;-0.737286;-0.616688;0.103560;-0.407968;0.108085
-200;-0.297039;-0.704591;-0.191590;0.559792;0.333961
-190;0.386662;-0.299561;-1.137580;0.007103;0.024813
-180;-0.579269;0.329131;0.598716;-0.917373;-0.288645
-170;0.000883;-0.072567;-1.076030;-0.988936;0.195378
-160;-0.297490;-0.789470;0.307807;0.032408;-0.057651
-150;0.281880;-0.151558;0.280827;-0.114030;-0.314369
-140;-0.332208;-0.643105;0.180640;0.162812;-0.178572
-130;0.303644;0.122937;-0.481772;0.722024;-0.668492
-120;-0.244814;-1.009772;-0.136483;0.121127;0.265590
-110;-0.103717;-0.030056;0.797378;-0.435233;0.227565
-100;0.154463;-0.279700;0.298606;-1.170035;-0.115696
-90;-0.091720;-0.210021;-0.090260;-0.252824;0.228091
-80;-0.268200;-0.320219;-1.205631;0.284244;-0.772508
-70;0.832030;-0.102257;-0.507587;-0.890808;0.256697
-60;-0.134294;0.383709;-0.428289;0.412266;-0.307691
-50;-0.437259;-0.246067;-0.124701;0.289565;-0.939692
-40;0.336691;-0.476976;-0.762373;-0.318736;-0.335238
-30;0.348507;0.039021;-0.241023;0.041740;-0.135392
-20;0.841341;1.247393;0.167931;0.436887;0.449389
-10;0.898513;2.162377;1.311736;2.228252;1.520317
0;1.998064;3.144920;2.739619;1.989131;2.626136
10;4.062870;3.851406;3.692062;4.165648;4.548294
20;5.079754;5.664309;6.137834;5.453204;5.408412
30;6.900946;6.813368;6.378852;7.357560;6.930362
40;8.277300;8.849910;8.506239;8.642144;7.776582
50;10.224941;10.104489;10.411110;10.294683;9.586196
60;10.784599;11.439088;11.620102;11.582571;10.567878
70;13.401324;12.651286;13.577006;12.787612;13.755778
80;14.575691;15.080506;14.465562;13.973568;14.108014
90;15.684290;14.839359;15.687976;15.858306;16.387916
100;16.271230;16.042073;17.612626;16.098391;16.604275
110;16.174266;17.223986;16.644659;16.082854;17.476988
120;17.032406;16.808879;17.534510;16.880512;16.573395
130;16.617525;16.063354;16.110116;16.120292;16.878675
140;16.423767;16.077697;17.443152;17.184446;16.310108
150;16.272813;16.615242;17.084331;16.347425;16.193929
160;16.167981;15.920562;15.737843;16.329453;15.443281
170;14.975479;15.956156;16.351394;15.353649;16.352786
180;15.447875;15.052822;16.132686;15.870479;15.393310
190;15.363951;16.738425;15.741662;16.445670;14.512225
200;15.138357;15.636456;15.491562;15.459831;15.623347
210;15.069186;15.425163;14.869295;15.342579;15.395914
220;14.722745;15.139250;15.605605;15.054401;14.879041
230;15.223583;14.344511;14.902207;14.601327;15.729667
240;15.024424;14.392035;13.971252;14.619734;14.671573
250;13.982004;15.655369;14.931037;14.519278;15.648585
260;13.931686;14.438183;14.187665;13.859851;14.843594
270;13.394950;13.639888;13.620869;13.594632;13.783683
280;14.591587;13.868410;13.480439;13.235134;14.710712
290;14.148618;13.356862;14.016053;13.593547;13.055676
300;15.026988;13.895965;13.999572;12.323006;14.176475
310;14.400567;13.689354;13.381215;13.661044;13.658281
320;13.077731;14.749583;14.404094;13.749919;13.370179
330;14.025675;13.198902;13.350730;13.120905;13.749899
340;13.170850;13.327487;12.402026;13.842955;13.099531
350;13.204444;12.598426;12.660224;13.038189;13.123313
360;12.452717;13.738865;12.866673;13.544244;13.043125
370;11.932985;12.930047;12.706862;13.214013;12.625989
380;12.780864;12.078074;12.529398;12.683332;13.313619
390;12.676454;12.640914;12.982541;13.020544;12.976817
400;11.869295;12.764567;12.371656;12.082590;12.494372
410;12.520733;12.284667;11.778577;12.323677;11.358552
420;12.688321;12.119359;12.557598;12.526829;12.081937
430;10.874300;12.023043;11.929464;12.050427;12.256804
440;11.738972;11.075362;10.878450;11.737073;11.760335
450;11.685351;11.515480;11.906752;11.930664;11.892558
460;11.676225;11.500612;11.672088;11.176945;11.423293
470;11.526812;11.820061;11.513914;11.152055;11.883397
480;11.137788;11.755847;10.989585;11.859063;10.073658
490;11.380724;11.106411;11.731009;10.623803;10.808587
500;10.736982;10.626125;11.185195;11.198716;11.648864
510;10.829965;10.365257;11.260439;10.967245;11.001333
520;11.707892;11.205389;10.912223;9.944400;11.402173
530;11.611574;9.398683;11.230169;10.845214;10.183192
540;10.640979;11.364653;11.152084;10.759787;11.165886
550;10.192086;9.786573;10.789721;11.069195;10.707833
560;10.086177;10.896764;11.093356;11.472442;11.007242
570;9.963566;10.932949;10.010074;10.515772;10.503036
580;10.481376;10.641319;9.039911;10.174164;10.467559
590;10.074529;9.699159;11.375644;10.455072;9.762393
600;9.794468;9.689601;10.321558;10.886058;10.220512
610;9.710529;9.702050;9.268812;9.480091;10.415119
620;9.771952;10.079390;9.763556;9.525428;9.756533
630;9.308876;9.109503;9.260834;9.634978;10.371096
640;8.681778;9.107104;8.564589;9.908665;9.141523
650;9.164702;9.698628;8.265572;9.872914;9.338437
660;9.206401;9.892116;9.033044;9.394390;8.911648
670;8.699697;9.995494;10.120832;9.082864;9.060159
680;7.743628;9.752107;9.090107;9.060692;8.996573
690;9.812271;9.083140;8.674553;9.718763;8.751586
700;8.302869;8.960381;9.517609;9.107624;9.037242
710;7.921850;8.292704;9.118109;8.967506;8.859691
720;8.936608;9.036185;8.740450;8.719235;8.746430
730;8.539009;8.381163;8.336689;8.298278;8.374975
740;8.794575;8.590916;8.410721;7.964607;8.778320
750;9.134868;9.438766;8.670445;8.487857;7.909369
760;8.555521;8.318153;8.020796;8.308150;8.086089
770;8.482416;8.908941;8.125319;8.845526;8.137744
780;8.225733;8.409777;8.170441;8.380150;7.892861
790;8.415250;8.216883;8.284707;8.245414;9.172754
800;7.943334;7.179386;8.029698;7.687277;8.138805
810;7.406919;8.614097;8.289684;7.895267;7.424366
820;8.283311;7.468866;7.211088;7.338405;8.349477
830;6.795562;6.944300;7.243197;7.823417;7.633118
840;8.062005;7.016597;7.652424;7.240536;6.650596
850;7.911946;7.843994;7.522359;7.406600;7.264866
860;7.439576;7.533415;7.201351;7.346780;6.675735
870;7.393856;7.594898;7.624885;7.573334;7.545421
880;6.814545;6.985330;6.554674;7.785597;6.626704
890;7.607769;7.807372;7.807628;7.704584;7.455055
900;6.690902;6.805636;6.557014;7.255721;6.546904
910;8.328578;6.753769;6.828815;7.480008;7.958527
920;6.126840;6.976525;6.807870;7.019781;6.808825
930;7.443896;6.541472;6.596014;6.724428;6.199644
940;6.892189;7.052459;7.105533;6.988164;6.962419
950;6.593474;6.777812;7.258503;7.074693;7.555002
960;7.055080;6.312380;6.093765;7.281035;6.477006
970;6.663884;6.102061;5.890110;5.443081;6.605376
980;6.037882;6.669863;5.973228;6.756945;6.541619
990;6.796294;6.230473;6.616191;6.843995;6.185933
1000;6.877861;6.418405;6.846115;6.222553;5.598796
1010;5.420923;6.980390;6.106807;5.834327;7.370436
1020;6.200854;6.339975;6.890543;6.201885;6.637399
1030;6.401861;6.259844;6.292002;6.533857;6.847357
1040;5.853068;6.292253;6.424272;6.409776;5.241323
1050;6.719935;5.192790;5.401535;6.128715;5.707433
1060;6.442437;5.586471;6.996451;5.812443;5.111462
1070;6.238824;6.022202;5.637271;6.001016;6.172173
1080;6.417941;5.318039;5.783781;5.683908;5.782700
1090;4.865246;5.319225;5.087690;5.240838;5.891652
1100;6.018325;6.013100;5.248928;6.026752;5.820969
1110;5.754685;5.540793;5.971300;6.344563;6.143581
1120;6.119875;5.492517;6.971190;5.856933;4.473137
1130;5.952305;5.358397;5.589015;5.025842;5.650558
1140;5.684115;4.525209;5.025438;5.133381;6.049193
1150;5.234203;6.483328;4.759430;5.219596;5.650818
1160;5.522099;5.671054;5.011426;6.224471;5.650186
1170;5.401865;5.362562;5.228165;4.964716;5.375030
1180;5.157687;4.786865;5.512265;6.055053;4.900262
1190;4.602704;4.495488;5.456759;5.041866;4.939362
1200;5.106859;4.101716;4.680222;5.518333;5.997719
1210;5.011722;5.079671;5.712485;4.327874;5.190613
1220;4.744280;5.455510;5.350333;4.971988;4.813031
1230;4.543134;4.719923;4.944594;5.344334;4.348287
1240;5.080351;4.719765;5.138769;5.107320;5.667220
1250;4.440340;4.566594;3.879611;4.435627;5.643191
1260;4.016792;5.034770;5.311741;5.173148;4.187038
1270;5.751175;5.507459;5.560787;5.121272;4.233862
1280;5.173952;4.308388;4.513855;5.617762;4.364993
1290;5.016935;4.340594;4.910042;3.989123;4.754883
1300;5.118979;4.711799;4.244077;4.349361;4.571334
1310;4.051934;5.474395;4.677724;4.032703;4.965419
1320;4.747558;4.518116;4.489137;4.060699;4.472596
1330;4.690024;4.306794;3.906911;4.070521;4.361665
1340;3.492144;4.657442;4.146406;5.160190;4.735203
1350;4.596914;4.733476;5.616584;3.961757;4.453051
1360;4.028579;4.231132;5.046784;4.083405;5.133703
1370;4.802014;3.916098;3.894341;3.900227;3.680517
1380;4.460605;4.170666;4.716886;3.666033;4.811813
1390;4.104325;4.743984;4.061888;4.024822;4.376206
1400;3.594032;4.535286;4.390451;3.886940;4.676946
1410;3.381356;2.532427;4.240377;4.268115;4.128508
1420;4.116911;3.291796;3.638614;3.144839;4.390713
1430;4.162325;3.531646;3.514549;4.114874;3.854873
1440;4.106405;5.250688;3.639158;4.400802;3.648522
1450;4.160479;4.701073;3.564226;2.685400;4.392464
1460;3.723466;4.216616;3.588980;4.390498;3.508878
1470;3.397991;4.556014;3.561741;3.711442;3.697638
1480;4.280922;3.561447;3.634295;4.309184;3.744483
1490;4.240835;4.337234;4.742132;2.907870;3.586924
1500;4.548148;3.472659;4.136269;3.775000;4.862059
1510;3.431133;4.290483;3.787532;3.269167;4.230805
1520;3.704604;4.164835;2.767688;3.958708;3.598603
1530;2.832522;4.462713;3.587929;4.055550;3.665454
1540;3.833696;3.968370;3.996225;3.582011;3.377053
