Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.901113;-0.222537;0.899477;0.325861;0.879409
-390;-0.799092;0.441450;-0.266686;0.479072;0.968025
-380;0.047968;0.207101;0.024404;-0.387420;0.199828
-370;0.124224;0.514320;-0.481692;0.037477;-0.001220
-360;-0.507861;-0.549999;-0.230648;-0.278988;-0.057857
-350;0.418585;0.353577;-0.150442;0.338541;0.434753
-340;-1.679251;-0.321340;-0.452329;-0.076493;0.258675
-330;0.295669;0.259267;-0.499478;-0.287093;0.798074
-320;0.021895;0.297552;-0.034257;0.718844;0.218714
-310;-0.500472;0.569744;-0.281231;0.289624;0.693835
-300;0.067081;-0.403892;-0.063071;1.163403;-0.352845
-290;0.217512;-1.073413;-0.262058;0.388645;-0.626334
-280;-0.519884;-0.195051;0.357558;-0.055570;0.954416
-270;0.286947;1.603804;-0.208405;0.052570;-0.711741
-260;0.331669;-0.027185;-0.094022;1.431381;-0.813054
-250;0.248024;0.297438;0.988058;-0.076570;0.315282
-240;-1.526484;0.049975;0.081319;1.018314;-0.326970
-230;-1.432706;-0.262969;-0.120086;-0.099825;-0.093205
-220;-0.487951;0.039728;-0.740927;-0.673408;0.074580
-210;-0.668748;0.142433;-0.341737;0.245257;0.979260
-200;-0.423311;0.127001;1.468329;0.439791;0.328144
-190;0.102783;-0.648721;-0.002437;0.564409;0.215262
-180;-0.061662;1.067409;-1.005087;0.885383;-0.325505
-170;-0.431665;0.109073;0.756874;0.785163;0.257463
-160;-0.371465;0.303608;1.002357;0.264559;-1.310211
-150;-0.649887;0.413056;-0.110447;1.527067;0.569170
-140;0.062344;0.092939;0.456385;1.671658;-1.314227
-130;-0.119891;-0.276161;1.220954;-0.483986;-0.040714
-120;-0.451636;0.809743;0.932224;0.242062;0.182471
-110;-1.001507;-0.664413;-0.330535;0.762127;-0.033455
-100;-0.873996;-0.449983;0.080511;-0.578634;-0.159782
-90;-0.070241;-0.019877;1.217603;0.186516;-0.509462
-80;-0.166875;0.447869;-0.450011;-0.683159;0.692388
-70;-1.100420;0.657622;0.008139;0.874618;0.143103
-60;-0.308509;-0.397935;-0.159674;-0.165305;1.886891
-50;0.474607;-0.654118;0.774590;0.772612;-0.296618
-40;-0.496773;0.029668;-0.459983;0.191920;-0.809388
-30;-0.364457;0.013010;0.817667;-0.915582;-0.454177
-20;-0.262147;-0.228399;0.394968;-0.294330;-0.363181
-10;-1.372862;1.365052;1.089628;0.751401;0.667987
0;3.070868;1.049012;1.135900;1.234966;1.661571
10;0.235318;0.907208;1.955108;1.112547;1.736402
20;2.362628;3.601771;3.522636;3.305643;2.239358
30;3.722317;3.366611;4.066917;3.058481;4.590646
40;4.242453;4.189089;4.221695;3.921953;3.437002
50;4.274242;4.758756;4.855890;4.335908;3.362897
60;5.920601;5.089187;6.146395;5.166099;3.998870
70;5.443809;5.788228;6.739538;5.465400;6.982868
80;6.921836;7.053063;6.318789;5.648033;6.152906
90;6.673335;7.423261;6.337288;6.930911;6.782742
100;9.581011;8.436337;8.405736;8.187654;7.326648
110;8.832664;7.807563;9.212531;8.911972;9.148292
120;8.311267;8.922005;7.863149;8.009549;8.739260
130;7.903556;8.346236;8.806698;7.855361;7.771798
140;8.981273;7.615012;8.707975;7.765238;7.208304
150;8.670916;9.227723;8.517446;7.630091;8.219850
160;8.748175;8.189368;8.226213;7.116470;7.590832
170;7.459436;8.123267;8.043754;8.213190;7.072585
180;7.627651;8.478251;7.778117;7.255761;7.672513
190;7.011705;8.154520;6.851075;6.706600;6.503319
200;6.934360;7.453644;7.364721;6.761981;7.474894
210;8.036667;7.392350;7.588996;7.375850;8.274067
220;7.104858;8.484339;8.160561;7.258421;7.376857
230;6.673156;7.347704;6.305362;7.210037;7.182804
240;7.620626;7.727600;7.521398;6.507131;7.521468
250;7.511877;7.956875;6.163075;6.109571;6.749246
260;7.728503;8.206420;7.588760;7.245013;7.852026
270;7.487478;6.793833;6.173361;7.309901;6.680507
280;6.136252;7.674097;7.649430;6.983547;6.788569
290;6.556142;6.624480;6.753648;6.363545;8.154318
300;7.504550;6.361436;6.208866;6.966357;7.985744
310;6.851958;7.080060;6.630353;5.310387;5.320563
320;7.625764;6.259700;7.156632;7.319599;6.845221
330;6.699521;6.805045;6.751311;5.860144;5.615703
340;6.079485;6.320702;7.167377;6.262402;6.902605
350;7.827505;6.392725;5.962205;5.834857;6.671124
360;6.649856;5.914328;5.927637;5.636085;6.259967
370;7.150585;6.126770;7.387387;6.342346;6.708097
380;5.110143;5.626879;5.922593;6.270065;5.908134
390;4.715350;5.421021;6.451881;6.938271;5.717406
400;6.118496;5.938578;7.017400;6.605055;4.208659
410;5.589812;7.405659;6.037080;5.614246;5.660244
420;6.682300;6.050824;6.576690;6.315308;4.466391
430;5.770127;5.525066;6.682664;7.325757;5.943665
440;6.325961;5.237469;6.171736;5.979469;4.832153
450;5.876079;4.657128;5.149627;5.677224;6.893800
460;5.538129;5.871849;5.337220;5.761065;6.190042
470;6.187104;5.133385;5.204735;6.193866;5.657542
480;6.101168;5.701649;6.541964;4.820737;4.651348
490;5.278483;5.411383;6.080987;5.239953;5.056261
500;5.695534;5.541697;5.446408;5.356308;4.575737
510;4.528210;5.785580;5.169917;4.427522;4.958837
520;7.320355;5.901510;4.541257;5.466497;6.196317
530;5.615369;5.050064;5.627543;3.953076;4.003151
540;5.090418;5.816470;6.384650;5.095912;4.902461
550;4.925310;6.442505;6.134209;5.534011;4.662152
560;4.805437;6.312267;5.122856;4.826025;6.334207
570;4.559963;4.632515;4.954961;4.043621;4.679294
580;5.716757;4.809433;4.773154;5.301992;4.734339
590;5.027685;4.035357;4.578771;3.749855;5.155700
600;3.949431;5.765712;3.455790;3.570915;5.383429
610;5.353088;4.987811;5.608175;5.515406;5.647707
620;4.431679;4.930642;5.055562;4.862730;4.838049
630;4.813911;4.945650;4.441033;4.301151;5.585584
