Laser Delay [ns];TA [mOD]
-400;0.079107
-390;-0.152941
-380;0.127665
-370;-0.111408
-360;-0.016635
-350;-0.176745
-340;-0.045068
-330;-0.281837
-320;-0.144701
-310;-0.103153
-300;-0.041037
-290;0.159344
-280;0.186735
-270;-0.006484
-260;-0.035617
-250;-0.094053
-240;-0.044979
-230;-0.385978
-220;-0.115508
-210;-0.024239
-200;0.112964
-190;-0.126987
-180;0.025245
-170;-0.150696
-160;0.113436
-150;-0.321673
-140;-0.001986
-130;-0.065738
-120;0.061154
-110;-0.248460
-100;-0.230253
-90;-0.374086
-80;0.003983
-70;-0.451879
-60;-0.177296
-50;0.145930
-40;-0.288511
-30;0.197548
-20;0.364983
-10;2.077173
0;4.388442
10;7.094664
20;9.552820
30;11.535249
40;14.019785
50;15.925460
60;18.922965
70;20.703321
80;22.922338
90;25.297113
100;26.948362
110;27.425770
120;27.252105
130;26.522854
140;26.410237
150;26.126007
160;26.299933
170;25.896400
180;25.688125
190;24.687173
200;24.755886
210;24.629469
220;24.336784
230;23.992700
240;23.926683
250;23.396808
260;23.225928
270;23.271978
280;22.870307
290;22.384932
300;22.521977
310;22.097957
320;21.761053
330;21.477274
340;21.220158
350;21.176962
360;20.833557
370;20.307645
380;20.412706
390;20.369782
400;20.089217
410;19.196054
420;19.515717
430;19.223650
440;19.065487
450;18.707876
460;18.674429
470;18.449640
480;18.434961
490;18.167966
500;17.476752
510;17.650164
520;17.284319
530;17.254329
540;17.224506
550;16.948705
560;16.754583
570;16.412155
580;16.950454
590;16.480108
600;16.069895
610;15.675434
620;15.843485
630;15.950848
640;15.231292
650;15.410017
660;15.124231
670;14.738755
680;14.542490
690;14.741767
700;14.595007
710;14.488146
720;14.016903
730;13.668311
740;13.789147
750;14.094871
760;13.279028
770;13.093346
780;13.325665
790;13.361794
800;12.881864
810;12.469490
820;12.895790
830;12.484335
840;12.479106
850;12.010519
860;12.250139
870;12.115274
880;12.060032
890;11.725401
900;11.713267
910;11.745940
920;11.214306
930;11.367187
940;11.198939
950;10.858661
960;10.824983
970;10.425467
980;10.615473
990;10.271679
1000;10.075283
1010;10.314146
1020;10.232932
1030;10.195043
1040;9.984670
1050;9.957081
1060;9.744975
1070;9.767444
1080;9.665028
1090;9.339802
1100;9.327966
1110;9.396098
1120;9.226769
1130;9.067229
1140;8.911761
1150;8.669091
1160;8.648053
1170;8.731177
1180;8.333346
1190;8.275549
1200;8.430872
1210;8.088254
1220;8.195435
1230;8.197777
1240;8.025236
1250;7.963978
1260;7.666277
1270;7.677903
1280;8.039744
1290;7.516253
1300;7.336512
1310;7.038249
1320;7.342572
1330;7.349384
1340;6.786146
1350;7.367851
1360;7.107111
1370;7.100428
1380;6.887485
1390;6.847160
1400;6.163236
1410;7.065042
1420;6.577177
1430;6.318040
1440;6.550807
1450;6.492477
1460;6.361239
1470;6.187222
1480;5.901660
1490;6.193161
1500;6.022351
1510;5.875549
1520;5.998162
1530;5.607823
1540;5.619364
1550;5.584124
1560;5.761873
1570;5.589708
1580;5.783387
1590;5.373390
1600;5.605556
1610;5.505285
1620;5.647117
1630;5.274867
1640;5.049136
1650;4.960732
1660;5.554613
1670;4.840392
1680;4.984765
1690;4.898290
1700;4.982210
1710;4.734525
1720;4.284200
1730;4.822024
1740;4.871999
1750;4.439442
1760;4.293260
1770;4.727844
1780;4.677815
1790;4.123939
1800;4.263899
1810;4.479365
1820;4.027008
1830;4.469491
1840;3.948699
1850;4.179422
1860;4.169367
1870;4.261230
1880;4.334985
1890;4.036690
1900;3.863167
1910;3.822105
1920;4.201814
1930;3.778094
1940;3.612591
1950;3.847849
1960;3.854563
1970;3.571208
1980;3.644233
1990;3.793679
2000;3.448465
2010;3.615530
2020;3.534098
2030;3.517413
2040;3.424815
2050;3.156943
2060;3.456749
2070;3.133420
2080;3.103869
2090;3.457399
2100;3.346114
2110;3.291519
2120;3.524668
2130;3.073329
2140;2.897254
2150;2.884249
2160;2.791597
2170;2.916621
2180;2.475392
2190;3.349219
2200;2.988056
2210;2.861505
2220;2.904553
2230;3.181091
2240;2.756924
2250;2.677479
2260;2.756488
2270;2.699782
2280;2.483467
2290;2.826130
2300;2.569262
2310;2.770806
2320;2.380053
2330;2.657283
2340;2.039522
2350;2.396975
2360;2.221423
2370;2.536221
2380;2.477789
2390;2.325808
2400;2.611473
2410;2.199709
2420;2.403439
2430;2.357426
2440;2.259877
2450;2.129547
2460;2.494499
2470;1.972659
2480;2.002552
2490;1.989004
2500;2.023858
2510;2.181668
2520;1.704897
2530;1.867352
2540;1.870719
2550;1.980545
2560;2.236416
2570;1.925736
2580;1.743808
2590;1.995676
2600;2.176044
2610;1.894872
2620;1.845397
2630;1.685527
2640;1.875085
2650;1.728816
2660;1.767504
2670;1.881189
2680;1.740957
2690;1.868947
2700;1.461181
2710;1.896139
2720;1.739557
2730;1.369818
2740;1.412589
2750;1.648965
2760;1.450775
2770;1.175068
2780;1.677919
2790;1.625521
2800;1.140958
2810;1.818861
2820;1.223528
2830;1.467100
2840;1.327125
2850;1.659302
2860;1.571557
2870;1.229271
2880;1.226812
2890;1.605570
2900;1.129926
