Laser Delay [ns];TA [mOD]
-400;-0.061839
-390;-0.159953
-380;-0.103386
-370;0.018055
-360;0.149636
-350;-0.257971
-340;-0.237199
-330;-0.031219
-320;0.128767
-310;0.009075
-300;-0.412813
-290;0.014253
-280;-0.196063
-270;-0.092382
-260;0.059080
-250;0.046445
-240;0.174103
-230;-0.046848
-220;-0.113732
-210;-0.385206
-200;-0.059873
-190;-0.139508
-180;-0.044743
-170;-0.363093
-160;0.016261
-150;-0.067433
-140;0.116222
-130;-0.353369
-120;0.043069
-110;0.141938
-100;-0.411634
-90;0.151698
-80;-0.170531
-70;-0.105714
-60;0.271249
-50;-0.036413
-40;0.009676
-30;0.158868
-20;1.238588
-10;2.565802
0;4.130238
10;5.297059
20;7.269789
30;8.554985
40;10.025393
50;11.708492
60;13.431491
70;14.462507
80;16.199198
90;17.185308
100;17.692726
110;17.929768
120;17.879628
130;17.448068
140;17.287580
150;17.359595
160;16.981111
170;16.891102
180;16.336369
190;16.288122
200;16.399363
210;15.853053
220;15.741429
230;15.791635
240;15.633445
250;15.343435
260;15.021683
270;15.234433
280;14.848210
290;14.756486
300;14.909151
310;14.481764
320;14.399729
330;14.217743
340;14.254482
350;13.871105
360;13.711343
370;13.362643
380;13.503698
390;13.152533
400;12.932860
410;13.178753
420;12.739448
430;12.772212
440;12.364896
450;12.377509
460;12.248133
470;11.587794
480;12.024090
490;11.932881
500;11.685328
510;11.623422
520;11.196307
530;11.173647
540;10.953136
550;11.105073
560;11.214455
570;10.981273
580;10.994227
590;10.478351
600;10.454918
610;10.448082
620;10.631589
630;10.318366
640;10.303038
650;10.063551
660;9.874543
670;9.733856
680;9.568848
690;9.871523
700;9.356769
710;9.375740
720;9.220194
730;9.267436
740;9.079347
750;8.896175
760;8.889487
770;8.799441
780;8.666841
790;8.749336
800;8.444395
810;8.554758
820;8.442151
830;8.355559
840;8.109319
850;7.857059
860;7.718255
870;7.844437
880;7.759955
890;7.731995
900;7.555069
910;7.474182
920;7.273930
930;7.045333
940;7.648211
950;6.903401
960;7.110626
970;7.451963
980;6.913306
990;7.006394
1000;7.032896
1010;6.669888
1020;6.604882
1030;6.491483
1040;6.871339
1050;6.298044
1060;6.332967
1070;6.274427
1080;5.986291
1090;6.172541
1100;6.259855
1110;5.799110
1120;6.029809
1130;6.087455
1140;6.011723
1150;5.900759
1160;5.644135
1170;5.740968
1180;5.501242
1190;5.307284
1200;5.765527
1210;5.714969
1220;5.468270
1230;5.454088
1240;5.361899
1250;5.189461
1260;5.088887
1270;5.188254
1280;4.830918
1290;4.831085
1300;4.968420
1310;5.048488
1320;4.780269
1330;4.723370
1340;5.037509
1350;4.950011
1360;4.821658
1370;4.646321
1380;4.787837
1390;4.292349
1400;4.716560
1410;4.842821
1420;4.208636
1430;4.189542
1440;4.227521
1450;4.263751
1460;4.274839
1470;4.075126
1480;4.010615
1490;3.871718
1500;4.001047
1510;3.558370
1520;3.903793
1530;4.005667
1540;3.808130
1550;3.659724
1560;3.758608
1570;3.536474
1580;3.687940
1590;3.758183
1600;3.195113
1610;3.529930
1620;3.351639
1630;3.352394
1640;3.235473
1650;3.807394
1660;3.515738
1670;3.103786
1680;2.834616
1690;3.441579
1700;3.213297
1710;2.922723
1720;2.846358
1730;2.953785
1740;3.245246
1750;2.997837
1760;2.932060
1770;2.664063
1780;2.932601
1790;2.887069
1800;2.914369
1810;2.563939
1820;2.674487
1830;2.712736
1840;2.830875
1850;2.596125
1860;2.724368
1870;2.841798
1880;2.617226
1890;2.727951
1900;2.413738
1910;2.282094
1920;2.694346
1930;2.423690
1940;2.463283
1950;2.476201
1960;2.678439
1970;2.278350
1980;2.357130
1990;2.354171
2000;2.251883
2010;2.301762
2020;2.189343
2030;2.477634
2040;2.176067
2050;2.084978
2060;2.331837
2070;2.369521
2080;1.951654
2090;2.203270
2100;2.038610
2110;2.108089
2120;2.141878
2130;2.109331
2140;1.776363
2150;1.908692
2160;1.902939
2170;1.820797
2180;1.828094
2190;1.896118
2200;1.887727
2210;1.885415
2220;1.835847
2230;1.728368
2240;1.656923
2250;1.881874
2260;1.858844
2270;1.743800
2280;1.535891
2290;1.939329
2300;1.478276
2310;1.778445
2320;1.647622
2330;1.705977
2340;1.538506
2350;1.230646
2360;1.626800
2370;1.399036
2380;1.627267
2390;1.596660
2400;1.547641
2410;1.555038
2420;1.750401
2430;1.460056
2440;1.691131
2450;1.443532
2460;1.479377
2470;1.540693
2480;1.546622
2490;1.164050
2500;1.197140
2510;1.448872
2520;1.263380
2530;1.495802
2540;1.199205
2550;1.359584
2560;1.194231
2570;1.221414
2580;1.373333
2590;1.340094
2600;1.341589
2610;1.273947
2620;1.419199
2630;1.054572
2640;0.899232
2650;1.448397
2660;1.135554
2670;1.107299
2680;1.195115
2690;1.277811
2700;1.029805
2710;1.036021
2720;1.280368
2730;1.163955
2740;0.945951
2750;0.921009
2760;0.890926
2770;1.351944
2780;1.064719
2790;1.139297
2800;0.917233
2810;1.058812
2820;1.200243
2830;0.899480
2840;0.985067
2850;1.103862
2860;0.856792
2870;0.753161
2880;0.763099
2890;0.890698
2900;0.762959
2910;0.549229
2920;1.223316
2930;0.940628
2940;0.924907
2950;0.747072
2960;0.975587
2970;1.119112
2980;0.726995
2990;0.744306
3000;0.865007
3010;0.912620
3020;0.974915
3030;0.880569
3040;0.997365
3050;0.498340
3060;0.700952
3070;0.720737
3080;0.761351
3090;0.815685
3100;0.987494
3110;0.725140
3120;0.796918
3130;0.567525
3140;0.500009
3150;0.874877
3160;0.667768
3170;0.601474
3180;0.819209
3190;0.801590
3200;0.687638
3210;0.408025
3220;0.648702
3230;0.483126
3240;0.576663
3250;0.529656
3260;0.490928
3270;0.446248
3280;0.771827
3290;0.274150
3300;0.903646
3310;0.344852
3320;0.768077
3330;0.631924
3340;0.698733
3350;0.503680
3360;0.632080
3370;0.525808
3380;0.790619
3390;0.513579
3400;0.472858
3410;0.354723
3420;0.678628
3430;0.983215
3440;0.251415
3450;0.284673
3460;0.404912
3470;0.448852
3480;0.571184
3490;0.548728
3500;0.495360
3510;0.558839
3520;0.522642
3530;0.429802
3540;0.638992
3550;0.398499
3560;0.587990
3570;0.446124
3580;0.528943
3590;0.555211
3600;0.385962
3610;0.437853
3620;0.595616
3630;0.395353
3640;0.321208
3650;0.625850
3660;0.115391
3670;0.312475
3680;0.667432
3690;0.494684
3700;0.055588
3710;0.268035
3720;0.392800
3730;0.269642
3740;0.303014
3750;0.191699
3760;0.202764
3770;0.240132
3780;0.491245
3790;0.578034
3800;0.245563
3810;0.343632
3820;0.286651
3830;0.310758
3840;0.485858
3850;0.425142
3860;0.382671
3870;0.480938
3880;0.294906
3890;0.380904
3900;0.378146
3910;0.114065
3920;-0.025838
3930;0.141837
3940;0.353776
3950;0.399711
3960;0.534933
3970;0.373500
3980;0.196795
3990;0.317882
4000;0.242797
4010;0.528296
4020;0.234718
4030;0.172799
4040;0.374730
4050;0.441196
