Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.285495;0.445230;-0.071059;-0.440246;-0.528618
-390;0.062894;-0.219698;0.231328;-0.638812;-0.235477
-380;-0.549010;-0.218332;0.228622;-0.359384;0.381174
-370;0.126717;-0.209638;-0.025708;-0.166581;0.365486
-360;-0.002568;0.016355;1.179991;0.031095;-0.476694
-350;-0.997427;0.003449;-0.280311;0.079997;-0.095565
-340;0.090624;-0.481434;-0.244669;-0.368321;-0.182196
-330;0.441880;-0.644163;0.206208;-0.019127;-0.140891
-320;0.266503;0.005589;0.429777;0.031916;-0.089948
-310;0.544083;0.031828;-0.148967;-0.268081;-0.113488
-300;-0.960016;-0.178981;-0.554011;-0.227688;-0.143368
-290;0.555373;0.165325;-0.094287;-0.424186;-0.130959
-280;0.329012;-1.000873;-0.361251;0.157740;-0.104946
-270;-0.393432;-0.104444;0.273110;-0.212589;-0.024556
-260;0.144573;-0.373623;0.463281;0.256299;-0.195129
-250;0.306298;0.268822;0.070675;-0.263225;-0.150344
-240;0.753698;0.276044;-0.396916;-0.070123;0.307814
-230;-0.471791;-0.015048;0.217648;0.093552;-0.058602
-220;-0.493625;0.280816;-0.039355;-0.182720;-0.133774
-210;-0.488455;-0.229705;0.111005;-0.725030;-0.593843
-200;0.081778;0.102061;-0.254816;-0.001273;-0.227115
-190;-0.235026;0.211525;-0.280606;-0.380254;-0.013178
-180;-0.062131;-0.146092;-0.237679;0.178118;0.044066
-170;-0.347317;-0.534771;-0.458431;-0.347888;-0.127059
-160;0.185317;-0.128313;-0.505908;0.377835;0.152370
-150;-0.165675;0.219990;-0.497716;0.056991;0.049247
-140;0.462448;-0.053416;-0.354488;0.512131;0.014435
-130;-0.172461;-0.368040;-1.027150;-0.379027;0.179834
-120;0.129965;0.415322;0.306714;-0.127673;-0.508985
-110;0.468392;0.434290;0.346635;-0.378527;-0.161102
-100;0.474897;-0.063086;-0.614483;-1.315126;-0.540370
-90;0.513126;0.704293;-0.356880;0.180550;-0.282597
-80;0.030832;-0.507033;0.501107;-0.320069;-0.557490
-70;0.071486;-0.056846;-0.005994;-0.443059;-0.094154
-60;0.591838;-0.146622;0.263190;0.086676;0.561161
-50;0.142899;0.050255;-0.113458;0.085058;-0.346818
-40;0.279783;-0.177527;0.080488;0.325661;-0.460026
-30;0.240065;0.297064;-0.317951;0.363445;0.211716
-20;1.343333;0.679884;1.320191;1.289661;1.559871
-10;2.513130;2.745312;2.549679;2.158388;2.862502
0;3.536045;4.253673;3.847131;4.674035;4.340307
10;5.150660;5.316735;5.107781;5.517573;5.392548
20;7.548583;7.001068;6.940311;7.268898;7.590087
30;8.647979;8.736400;8.187968;8.736249;8.466330
40;9.760777;10.271324;10.037380;10.759237;9.298245
50;11.426092;11.424917;12.377241;11.850288;11.463924
60;13.112519;13.324692;13.304435;13.441105;13.974703
70;14.707815;14.930821;14.220231;14.742607;13.711062
80;16.060907;16.388575;16.365391;15.711396;16.469721
90;16.891422;17.041811;17.201425;17.449895;17.341989
100;17.844434;17.720107;17.863991;17.396511;17.638585
110;18.199083;17.801477;18.051222;17.619263;17.977793
120;17.655771;17.762426;17.957116;18.165538;17.857288
130;17.314121;17.418707;17.982402;16.952345;17.572767
140;17.073517;17.311498;16.863201;17.339413;17.850273
150;16.910705;17.524453;17.963960;17.646921;16.751936
160;16.781998;16.749163;16.568745;17.718901;17.086749
170;16.816006;17.425264;16.398695;17.345750;16.469797
180;16.141124;16.104500;16.864399;16.108883;16.462937
190;15.955644;15.867414;16.663499;16.495512;16.458541
200;16.711022;15.866873;16.570990;16.413026;16.434901
210;15.739753;15.762511;15.316395;16.228429;16.218177
220;15.287777;16.171599;16.001836;15.613151;15.632781
230;16.105663;15.366496;15.472113;15.850540;16.163363
240;15.179758;15.595378;15.405416;16.287269;15.699404
250;14.968753;14.701269;15.979776;15.878332;15.189044
260;15.380289;14.924723;15.116869;14.757788;14.928749
270;15.297598;15.493607;15.318737;15.376959;14.685264
280;14.750586;14.713450;14.987086;14.981149;14.808778
290;14.607044;14.462741;14.740099;14.872333;15.100212
300;14.503805;14.860591;14.724767;15.358881;15.097712
310;14.112002;14.320121;14.392902;14.509719;15.074073
320;14.148078;14.396290;14.874332;14.416489;14.163456
330;14.322062;14.031257;14.278521;14.347103;14.109772
340;13.672921;14.623380;14.498202;14.182957;14.294952
350;13.829749;13.635858;13.903203;13.852562;14.134151
360;13.779727;14.340714;13.723031;13.510969;13.202273
370;12.866603;14.290623;13.139077;13.213157;13.303757
380;13.552151;12.634098;13.551821;14.702696;13.077722
390;12.996689;13.158655;13.410225;13.109017;13.088079
400;12.047345;12.450131;13.546103;13.239947;13.380774
410;13.095584;12.757860;13.039431;13.682060;13.318830
420;13.002266;12.083387;13.280763;12.795511;12.535313
430;12.496915;12.672938;13.154035;12.941801;12.595371
440;11.809496;12.376401;12.609503;12.516430;12.512652
450;12.932674;12.233743;11.458796;12.541551;12.720783
460;12.189355;11.975706;12.657123;12.060067;12.358417
470;11.723405;11.042764;11.819032;11.865071;11.488697
480;12.266354;11.818083;12.181493;12.205504;11.649019
490;11.681951;11.920719;12.378769;11.521663;12.161305
500;11.342829;11.722860;11.966530;12.060818;11.333604
510;11.856067;11.655581;11.552068;11.794394;11.259000
520;11.181715;10.822261;10.680764;11.691248;11.605545
530;11.744415;10.880885;10.706003;11.424341;11.112589
540;11.522677;10.522091;10.913265;11.064453;10.743198
550;11.061026;10.865529;11.105942;11.276556;11.216311
560;10.896797;10.681572;12.256359;11.500771;10.736775
570;11.344377;10.835662;10.881856;10.748316;11.096156
580;11.143014;10.838151;10.676305;11.198300;11.115367
590;11.023644;10.190957;10.497555;10.183886;10.495711
600;10.400871;10.699221;10.389607;10.317800;10.467088
610;9.922880;10.947938;10.416743;10.895817;10.057032
620;10.532134;10.451274;10.397117;10.662888;11.114532
630;10.329023;10.417329;9.890956;10.417900;10.536624
640;9.665508;10.221238;10.644555;10.637755;10.346137
650;9.589306;9.958803;10.109525;10.432083;10.228038
660;9.469120;9.948217;9.744156;10.363640;9.847579
670;9.626749;9.437884;9.425159;9.892047;10.287443
680;9.338287;9.942507;9.702958;9.901217;8.959271
690;9.348638;10.392029;9.630883;10.394367;9.591700
700;9.262563;9.108597;9.387999;9.361738;9.662948
710;9.654287;8.904607;9.686998;9.520661;9.112147
720;9.013486;8.760662;9.756967;9.228576;9.341281
730;9.607073;9.011489;9.145420;9.135486;9.437714
740;8.344510;9.065251;9.072163;9.557403;9.357406
750;8.804649;8.788511;9.040702;8.962543;8.884469
760;8.567978;8.890080;8.873183;9.139312;8.976881
770;8.804971;9.063081;9.263857;8.580821;8.284477
780;8.279048;8.145644;9.003312;8.973844;8.932355
790;8.945650;9.245911;8.359790;8.810007;8.385323
800;8.171268;8.579314;8.704894;8.276339;8.490159
810;8.680672;8.421592;8.598829;8.474288;8.598408
820;8.187146;8.484831;8.248010;8.249268;9.041501
830;8.489792;8.782722;8.111873;8.155276;8.238130
840;7.980504;7.893881;8.164224;8.378307;8.129680
850;7.744629;7.013774;8.213438;7.742219;8.571237
860;7.309011;8.162509;8.028934;7.317399;7.773424
870;7.812093;7.436209;8.241916;7.855105;7.876860
880;8.098984;7.931209;7.739446;7.306331;7.723807
890;7.149476;8.223722;8.138936;7.669945;7.477898
900;7.510775;7.835854;7.299541;8.074368;7.054806
910;7.321484;7.522627;7.411269;7.839390;7.276141
920;6.978180;7.471684;6.836281;7.539889;7.543615
930;6.922119;7.196200;6.995192;7.060158;7.052998
940;7.079469;8.266221;7.613002;7.928858;7.353508
950;6.844381;7.182292;6.659647;6.766975;7.063710
960;7.016643;7.263609;7.206258;7.007372;7.059247
970;7.785044;7.280069;6.487344;7.910182;7.797177
980;6.673563;6.635422;6.616449;7.787029;6.854067
990;7.020942;7.085722;6.718753;7.116143;7.090410
1000;6.936434;6.891576;7.290638;6.797288;7.248546
1010;6.035608;7.233345;6.591760;6.705676;6.783051
1020;6.746419;6.732450;6.558297;6.735468;6.251776
1030;6.393716;7.342876;6.553857;6.294006;5.872961
1040;6.901480;6.681688;6.828637;7.283845;6.661048
1050;6.280970;6.520265;5.918814;7.088316;5.681855
1060;6.319076;6.420094;6.082016;6.115621;6.728029
1070;6.175105;6.243714;6.013886;6.114002;6.825430
1080;5.944039;5.317770;5.972797;6.844307;5.852541
1090;6.113828;5.873626;6.311382;6.274137;6.289732
1100;6.517869;5.904931;6.727663;6.236829;5.911982
1110;5.952072;6.015313;5.794544;5.424866;5.808755
1120;6.315587;6.268916;5.922152;5.627678;6.014714
1130;5.915998;5.744418;5.715380;6.345209;6.716268
1140;6.184865;5.323931;5.885005;6.042734;6.622079
1150;5.489750;5.523769;6.321362;6.142566;6.026350
1160;6.114533;4.950685;5.403340;5.815155;5.936962
1170;6.323897;5.361496;5.118386;5.744986;6.156076
1180;5.631143;5.527211;5.573102;5.670586;5.104167
1190;5.115781;5.281480;5.692903;5.013675;5.432579
1200;5.723598;6.044307;5.576525;5.713789;5.769414
1210;5.488173;5.647462;5.738718;5.709331;5.991160
1220;5.918301;5.268267;6.133765;5.212087;4.808931
1230;5.581326;5.445055;5.343975;5.558584;5.341499
1240;5.666866;5.187827;5.151246;5.866063;4.937495
1250;5.328868;5.124407;5.170772;5.179291;5.143969
1260;5.125991;4.750020;5.215278;5.446483;4.906664
1270;4.498355;6.482325;5.071093;5.427154;4.462345
1280;4.998895;5.101828;4.519170;4.752811;4.781885
1290;4.903184;5.035293;5.086362;4.330193;4.800395
1300;5.123204;4.719487;5.315371;4.799996;4.884040
1310;5.003984;5.117510;5.141509;5.390857;4.588581
1320;4.796495;4.890753;4.739133;4.793675;4.681287
1330;5.308648;4.410344;4.560182;4.636692;4.700986
1340;5.531530;5.034903;4.558798;5.040855;5.021459
1350;5.209980;4.592093;5.021749;5.013087;4.913144
1360;4.693648;4.868282;4.954910;4.715372;4.876080
1370;4.796294;4.487162;4.808753;4.768585;4.370809
1380;5.386771;4.544511;4.856637;4.081508;5.069759
1390;4.417487;4.771834;4.083531;4.081996;4.106896
1400;4.434301;5.009979;5.079104;4.623798;4.435616
1410;5.235471;5.030161;4.849535;4.516351;4.582587
1420;3.845073;4.171849;4.285490;4.757246;3.983522
1430;4.554096;4.099055;4.190853;3.891374;4.212334
1440;4.473687;4.210641;4.670335;3.929558;3.853381
1450;4.987792;4.124602;4.481758;4.072992;3.651611
1460;4.545155;3.936760;4.577834;4.228606;4.085843
1470;4.013129;4.302916;3.939886;4.001711;4.117987
1480;4.039579;4.217718;4.138403;3.719634;3.937744
1490;4.276560;4.076785;3.388758;3.879288;3.737200
1500;3.824262;4.268615;4.584523;4.016803;3.311031
1510;3.317327;3.614305;3.824276;3.434156;3.601785
1520;4.089765;4.058219;3.755006;3.986582;3.629391
1530;3.996008;4.476850;4.231782;3.693316;3.630380
1540;3.929628;3.177204;4.080474;4.111395;3.741952
1550;3.596120;4.178896;3.533887;3.426847;3.562872
1560;3.633555;3.454709;4.308247;3.319102;4.077427
1570;3.225176;3.908235;3.792515;3.736696;3.019746
1580;3.718548;3.948434;3.495224;3.651770;3.625723
1590;4.039823;3.625850;3.598560;4.022777;3.503903
1600;3.726127;2.653485;3.387777;2.781027;3.427150
1610;3.296757;3.100253;3.630713;3.853845;3.768083
1620;3.558633;3.247303;3.090831;3.334153;3.527272
1630;3.161137;3.491836;3.622586;3.069510;3.416903
1640;3.293412;3.165686;3.410976;3.249944;3.057346
1650;3.950559;3.667304;3.775682;3.899049;3.744377
1660;3.235910;4.234116;3.729659;3.532427;2.846577
1670;3.295830;3.014135;2.862031;3.100497;3.246439
1680;3.143267;2.649882;2.437904;2.765564;3.176465
