Laser Delay [ns];TA [mOD]
-400;-0.115295
-390;0.073660
-380;-0.070807
-370;0.189255
-360;0.078167
-350;-0.412990
-340;0.092759
-330;-0.328655
-320;0.035513
-310;-0.255897
-300;-0.155241
-290;-0.231309
-280;-0.179082
-270;-0.436944
-260;0.332989
-250;-0.143269
-240;0.133471
-230;0.227623
-220;0.145054
-210;-0.005699
-200;0.054615
-190;0.403622
-180;-0.808611
-170;-0.028605
-160;0.024548
-150;-0.639890
-140;0.087701
-130;0.024925
-120;-0.082994
-110;0.241909
-100;0.062600
-90;0.259544
-80;-0.522238
-70;0.053332
-60;0.060323
-50;-0.091082
-40;-0.367943
-30;0.904769
-20;2.068982
-10;4.324949
0;7.766821
10;10.250966
20;13.498398
30;16.574053
40;19.338880
50;22.214740
60;24.716701
70;27.755135
80;30.110591
90;31.881948
100;33.635276
110;33.665233
120;33.029867
130;32.536933
140;32.254359
150;32.310756
160;31.715528
170;31.089770
180;31.173414
190;30.967538
200;30.641311
210;30.054966
220;29.855603
230;29.524547
240;28.769944
250;29.137085
260;28.327334
270;27.961660
280;27.940914
290;26.995872
300;26.814758
310;26.992135
320;26.633837
330;26.337787
340;26.405514
350;25.706813
360;25.264736
370;25.098771
380;24.303061
390;24.240563
400;24.268975
410;23.957594
420;23.652195
430;23.391122
440;23.129250
450;23.218927
460;22.575828
470;22.396374
480;22.466619
490;21.831277
500;21.735702
510;21.588330
520;21.940205
530;21.306052
540;20.964147
550;20.836670
560;20.128640
570;20.448526
580;20.439042
590;19.815786
600;19.740865
610;19.057888
620;18.686410
630;19.527461
640;18.854820
650;18.897894
660;18.390632
670;18.627723
680;17.653743
690;18.007971
700;17.812182
710;17.367923
720;17.312375
730;16.564269
740;16.896807
750;16.878209
760;16.643307
770;16.436381
780;16.291498
790;15.855818
800;15.484789
810;15.678557
820;15.618913
830;15.861649
840;15.203624
850;15.478442
860;14.679871
870;14.912698
880;14.610191
890;14.142090
900;14.073558
910;13.637118
920;13.842351
930;13.713063
940;13.785762
950;13.220508
960;12.896658
970;13.435487
980;13.058361
990;12.872798
1000;12.917792
1010;12.127677
1020;12.496717
1030;12.942231
1040;12.438268
1050;12.624097
1060;11.546569
1070;11.472352
1080;11.743344
1090;11.997754
1100;11.096524
1110;11.113787
1120;11.148519
1130;11.071321
1140;11.343218
1150;10.799061
1160;10.543248
1170;10.924654
1180;10.649930
1190;10.261972
1200;9.894176
1210;10.252441
1220;9.934314
1230;9.985621
1240;9.905567
1250;10.005361
1260;9.713186
1270;9.686282
1280;9.173930
1290;9.431580
1300;9.410065
1310;9.359678
1320;9.133316
1330;9.407163
1340;8.664819
1350;9.171318
1360;8.677128
1370;8.872725
1380;7.782155
1390;8.728118
1400;8.793110
1410;8.056266
1420;8.026083
1430;8.647132
1440;8.417925
1450;7.902086
1460;7.755911
1470;7.678259
1480;7.482159
1490;8.173503
1500;7.632381
1510;7.013382
1520;7.117997
1530;7.651732
1540;7.314369
1550;7.607752
1560;7.510815
1570;6.807599
1580;6.695820
1590;6.583946
1600;6.560315
1610;6.604191
1620;6.707288
1630;6.079164
1640;6.395845
1650;5.502693
1660;6.691974
1670;6.416332
1680;6.436448
1690;6.528793
1700;6.330799
1710;6.197638
1720;5.646165
1730;5.931983
1740;5.792651
1750;5.553809
1760;5.253621
1770;5.615739
1780;5.430318
1790;4.951964
1800;5.110276
1810;5.261121
1820;5.762768
1830;5.577521
1840;5.102962
1850;5.070989
1860;4.591989
1870;5.083743
1880;5.202860
1890;5.229346
1900;5.074758
1910;4.610806
1920;5.245815
1930;5.035368
1940;4.496510
1950;4.757663
1960;4.180621
1970;4.162118
1980;4.070331
1990;4.533398
2000;4.366253
2010;4.390715
2020;4.133779
2030;4.442454
2040;4.641196
2050;4.047964
2060;3.551557
2070;4.445332
2080;4.095171
2090;3.278132
2100;4.007278
2110;3.740966
2120;4.118255
2130;4.078553
2140;3.386508
2150;3.462701
2160;3.741443
2170;3.426856
2180;3.642909
2190;3.769137
2200;3.791145
2210;3.233259
2220;3.149975
2230;3.082563
2240;2.834582
2250;2.804477
2260;3.522456
2270;3.426079
2280;3.121189
2290;2.999980
2300;3.071794
2310;3.344143
2320;3.288862
2330;3.008844
2340;2.577387
2350;3.739760
2360;3.200831
2370;2.994997
2380;2.644730
2390;2.565915
2400;3.230733
2410;2.753342
2420;2.651676
2430;2.571120
2440;2.741139
2450;2.827246
2460;2.443762
2470;2.499861
2480;2.713880
2490;2.429996
2500;2.777983
2510;2.312544
2520;2.581692
2530;2.287441
2540;2.007581
2550;2.204534
2560;2.693687
2570;2.538627
2580;2.319780
2590;2.177357
2600;1.904159
2610;2.111242
2620;2.258720
2630;1.951343
2640;2.475273
2650;2.167262
2660;2.501145
2670;2.128083
2680;2.286822
2690;1.795792
2700;1.751390
2710;2.410153
2720;1.992641
2730;1.384079
2740;1.606683
2750;1.963742
2760;1.847690
2770;1.669653
2780;2.019884
2790;1.890599
2800;2.052016
2810;1.887097
2820;1.291108
2830;1.428691
2840;1.534491
2850;1.737726
2860;1.735879
2870;1.409775
2880;1.936219
2890;2.080832
2900;1.499410
2910;1.195433
2920;1.579994
2930;1.472041
2940;1.861998
2950;1.102035
2960;1.575282
2970;1.407673
2980;1.592497
2990;2.016200
3000;1.697031
3010;1.781911
3020;1.511957
3030;1.811991
3040;1.285960
3050;1.192203
3060;1.096767
3070;1.065786
3080;0.983906
3090;1.375549
3100;1.159363
3110;1.201361
3120;1.724399
3130;1.136258
3140;1.173744
3150;1.628219
3160;0.795200
3170;1.424223
3180;1.299082
3190;0.833839
3200;1.050579
3210;1.051699
3220;1.730285
3230;0.907817
3240;0.902640
3250;1.237281
3260;1.489745
3270;0.892991
3280;1.351292
3290;0.861384
3300;1.154683
3310;1.005378
3320;0.426234
3330;1.062430
3340;1.034158
3350;1.105504
3360;0.853645
3370;0.856393
3380;0.973291
3390;1.139608
3400;1.163342
3410;1.139787
3420;1.005087
3430;1.288095
3440;0.923770
3450;0.858927
3460;1.199359
3470;1.058792
3480;0.057236
3490;0.992225
3500;1.073445
3510;0.666580
3520;1.426808
3530;0.639873
3540;0.888460
3550;1.068044
3560;0.834906
3570;0.410145
3580;0.733743
3590;0.864611
3600;1.018526
3610;1.159880
3620;0.472997
3630;1.116697
3640;0.537449
3650;0.584720
3660;0.421981
3670;0.589495
3680;0.645090
3690;1.126760
3700;0.814930
3710;0.814730
3720;0.734459
3730;0.625544
3740;0.742372
3750;0.799133
3760;0.605241
3770;0.768957
3780;0.785949
3790;0.531670
3800;0.415762
3810;0.498239
3820;0.502613
3830;0.132490
3840;0.461846
3850;0.278564
3860;0.337065
3870;0.653644
3880;0.517703
3890;1.063468
3900;0.903446
3910;0.436581
3920;0.752145
3930;0.667614
3940;0.283357
3950;0.479619
3960;0.739061
3970;0.383340
3980;0.258491
3990;0.541446
4000;0.153961
4010;0.359491
4020;0.757417
4030;0.862108
4040;0.798570
4050;0.467282
4060;0.294673
4070;0.931029
4080;0.169048
4090;0.342607
4100;-0.082312
4110;0.777227
4120;0.267592
4130;0.055551
4140;0.545303
4150;0.839364
4160;0.783425
4170;0.075262
4180;0.312383
4190;0.669922
4200;0.721712
4210;0.458522
4220;0.519892
4230;0.359874
4240;0.557410
4250;-0.093398
4260;0.517195
4270;0.261714
4280;0.729355
4290;0.229825
4300;0.263503
4310;-0.015721
4320;0.312566
4330;0.452151
4340;0.433874
4350;0.126206
4360;0.480163
4370;0.349733
4380;-0.031789
4390;0.213658
4400;1.079760
4410;0.944371
4420;0.402397
4430;0.338376
4440;0.492148
4450;0.334369
4460;0.627530
4470;-0.007978
4480;0.207707
4490;0.261369
4500;0.678566
4510;0.474241
4520;0.062465
4530;0.025233
4540;0.887924
4550;0.218962
4560;0.595053
4570;0.031654
4580;0.431744
4590;0.538545
4600;0.459521
4610;0.180296
4620;0.651372
4630;0.305622
4640;0.248750
4650;0.668758
4660;0.526491
4670;0.201899
4680;0.423668
4690;0.179855
4700;0.784188
4710;0.420601
4720;-0.048025
4730;-0.122437
4740;0.134007
4750;0.351777
4760;0.085171
4770;0.217108
4780;0.335352
4790;0.092270
4800;0.274987
4810;0.091072
4820;0.325218
4830;0.458941
4840;0.372119
4850;-0.070682
4860;0.183372
4870;0.553461
4880;-0.036383
4890;0.139713
4900;0.259600
4910;0.004267
4920;-0.122385
4930;0.450324
4940;0.268168
4950;0.178583
4960;0.499055
4970;0.124714
4980;0.769081
4990;-0.043973
5000;0.332022
