Laser Delay [ns];TA [mOD]
-400;-0.315489
-390;0.275879
-380;-0.192414
-370;-0.033286
-360;-0.109430
-350;-0.511128
-340;0.010950
-330;0.149018
-320;0.123274
-310;-0.141807
-300;0.025282
-290;-0.126052
-280;-0.358574
-270;-0.156370
-260;-0.022397
-250;0.145461
-240;0.107120
-230;0.145991
-220;-0.172662
-210;0.233067
-200;0.016754
-190;0.217992
-180;-0.326788
-170;-0.183173
-160;0.039767
-150;0.161406
-140;-0.080324
-130;0.209164
-120;-0.048717
-110;0.209993
-100;-0.040497
-90;-0.409390
-80;-0.206931
-70;0.027304
-60;0.284559
-50;0.137386
-40;-0.086439
-30;0.159102
-20;-0.218867
-10;0.895058
0;2.591413
10;4.415612
20;6.412095
30;7.965835
40;9.601097
50;11.399802
60;12.676441
70;14.368656
80;15.966442
90;17.624883
100;19.223458
110;19.673696
120;19.517470
130;19.204089
140;18.623413
150;18.864933
160;19.002782
170;18.614687
180;18.923876
190;17.955274
200;18.186362
210;17.777035
220;17.688207
230;17.253224
240;17.745948
250;17.080895
260;16.941577
270;16.826340
280;16.148615
290;16.565753
300;15.754130
310;15.848725
320;15.961054
330;15.693123
340;15.474487
350;15.456398
360;15.193830
370;14.681728
380;14.850577
390;14.550362
400;14.275466
410;14.333576
420;14.518258
430;14.124487
440;14.028177
450;13.966934
460;14.125228
470;14.073694
480;13.166373
490;12.713305
500;13.261394
510;13.182028
520;13.056661
530;12.323291
540;12.669378
550;12.095511
560;12.210249
570;12.063517
580;12.213511
590;12.035980
600;11.831955
610;11.600245
620;11.369489
630;11.385733
640;11.532631
650;11.176514
660;11.086428
670;11.007783
680;11.387447
690;10.898539
700;10.612136
710;10.438256
720;10.466024
730;10.651408
740;10.393390
750;10.045846
760;9.959396
770;9.810253
780;9.547327
790;9.472484
800;9.438590
810;9.312619
820;9.458684
830;9.336232
840;9.381785
850;8.745180
860;8.914318
870;8.555915
880;8.652900
890;8.962183
900;8.697435
910;8.350701
920;8.449148
930;8.318147
940;8.323379
950;7.995195
960;7.722415
970;8.158560
980;7.566816
990;7.856102
1000;7.780016
1010;7.233298
1020;7.722943
1030;7.391282
1040;7.683662
1050;7.004430
1060;6.993780
1070;6.869218
1080;6.827781
1090;6.852939
1100;6.762649
1110;6.991049
1120;7.192066
1130;6.440491
1140;6.431113
1150;6.422099
1160;6.615726
1170;6.039649
1180;6.714050
1190;6.204203
1200;6.086844
1210;6.199141
1220;5.867088
1230;6.042965
1240;6.291771
1250;5.837483
1260;5.784076
1270;5.469521
1280;5.486567
1290;5.831149
1300;5.789166
1310;5.663146
1320;5.387945
1330;5.059710
1340;5.656792
1350;5.216840
1360;5.240200
1370;5.521296
1380;4.918012
1390;5.358986
1400;5.061001
1410;5.334452
1420;5.282999
1430;4.951151
1440;5.107277
1450;4.562527
1460;4.466937
1470;4.835104
1480;4.760795
1490;4.899078
1500;4.686469
1510;4.537332
1520;4.360779
1530;4.317347
1540;4.428443
1550;4.464732
1560;4.072333
1570;4.148235
1580;4.039557
1590;4.165613
1600;4.152055
1610;4.101453
1620;4.116992
1630;3.663630
1640;3.854919
1650;3.355903
1660;4.184485
1670;3.733882
1680;3.147483
1690;3.310109
1700;3.847528
1710;3.861373
1720;3.367451
1730;3.999832
1740;3.335894
1750;3.262996
1760;3.782494
1770;3.483219
1780;3.385823
1790;3.461635
1800;2.843014
1810;3.501054
1820;3.414924
1830;3.772428
1840;2.969633
1850;3.513662
1860;3.665752
1870;3.255082
1880;2.932967
1890;2.967593
1900;2.899594
1910;2.995369
1920;3.229163
1930;2.571955
1940;2.863067
1950;2.709943
1960;3.083558
1970;2.711938
1980;2.255258
1990;2.761961
2000;2.600008
2010;2.715392
2020;2.997296
2030;2.445301
2040;2.706889
2050;2.366666
2060;2.851593
2070;2.367389
2080;2.116398
2090;2.286103
2100;3.011722
2110;2.519667
2120;2.234989
2130;2.061112
2140;2.017547
2150;2.312069
2160;2.472560
2170;2.509464
2180;2.028746
2190;1.916690
2200;2.291157
2210;2.123012
2220;2.055671
2230;2.453473
2240;1.785157
2250;2.009397
2260;1.957064
2270;2.284705
2280;1.787001
2290;2.157704
2300;1.941878
2310;1.879622
2320;1.620913
2330;2.121938
2340;1.596945
2350;2.075657
2360;2.110922
2370;2.072234
2380;1.882572
2390;1.566367
2400;1.429932
2410;1.955185
2420;1.656325
2430;1.808521
2440;1.781406
2450;1.488450
2460;1.405283
2470;1.643945
2480;1.443274
2490;1.609071
2500;1.630123
2510;1.782250
2520;1.531849
2530;1.087187
2540;1.407462
2550;1.414532
2560;1.218286
2570;1.723661
2580;1.157970
2590;2.017867
2600;1.427862
2610;1.811705
2620;1.524512
2630;0.894380
2640;1.627036
2650;1.127765
2660;1.467668
2670;1.456990
2680;1.659877
2690;1.538193
2700;1.291103
2710;1.442358
2720;1.360274
2730;1.617661
2740;1.056101
2750;1.412242
2760;1.416698
2770;0.879504
2780;1.906302
2790;1.126935
2800;1.047372
2810;0.898399
2820;1.289084
2830;1.346219
2840;0.820500
2850;1.141144
2860;0.983495
2870;0.798603
2880;1.138973
2890;1.042674
2900;0.368608
2910;0.825506
2920;1.046140
2930;0.906031
2940;0.632227
2950;0.668195
2960;1.125332
2970;1.254531
2980;0.880808
2990;0.661223
3000;0.745613
3010;1.209205
3020;0.617695
3030;0.758787
3040;1.424595
3050;0.776291
3060;0.701270
3070;0.547409
3080;1.148228
3090;1.355045
3100;0.953247
3110;1.135452
3120;0.788568
3130;0.817314
3140;0.894694
3150;0.869716
3160;0.756309
3170;0.813086
3180;0.789020
3190;0.566439
3200;1.109441
3210;0.714852
3220;0.519262
3230;0.534121
3240;1.041779
3250;0.776795
3260;1.104854
3270;0.779872
3280;0.803114
3290;0.717224
3300;0.858975
3310;0.711755
3320;0.482962
3330;0.733513
3340;0.288991
3350;0.907959
3360;0.751798
3370;0.889448
3380;0.989105
3390;0.858050
3400;0.841048
3410;0.386226
3420;0.195283
3430;0.782443
3440;0.336285
3450;0.853318
3460;0.887183
3470;0.672583
3480;0.512810
3490;0.463259
3500;1.037108
3510;0.490531
3520;0.671269
3530;0.223889
3540;0.617503
3550;0.378230
3560;0.305088
3570;0.801270
3580;0.598731
3590;0.978078
3600;0.518159
3610;0.480415
3620;0.776949
3630;0.651347
3640;0.185681
3650;0.580130
3660;0.306676
3670;0.554680
3680;0.369808
3690;0.466902
3700;0.758370
3710;0.686631
3720;0.727925
3730;0.630496
3740;0.676624
3750;0.696944
3760;0.377965
3770;0.638212
3780;0.291320
3790;0.555803
3800;0.565134
3810;0.259980
3820;0.995096
3830;0.291241
3840;0.456259
3850;0.624793
3860;0.648442
3870;0.282651
3880;0.489722
3890;0.636626
3900;0.407275
3910;0.541430
3920;0.378765
3930;0.528744
3940;0.414095
3950;0.231438
3960;0.720049
3970;0.651166
3980;0.316246
3990;0.700924
4000;0.531245
4010;0.136268
4020;0.124996
4030;0.672374
4040;0.206597
4050;0.112337
4060;0.302085
4070;0.180818
4080;0.304186
4090;0.356067
4100;0.543813
4110;0.261821
4120;0.452265
4130;0.773208
4140;0.341257
4150;0.504358
4160;0.138508
4170;0.418369
4180;0.465336
4190;0.499887
4200;0.312707
4210;0.410256
4220;0.457418
4230;0.369660
4240;-0.084255
4250;0.269215
4260;0.214897
4270;0.321902
4280;0.174841
4290;0.073043
4300;0.153395
4310;0.212711
4320;0.263079
4330;0.038595
4340;0.606107
4350;0.300930
4360;-0.287334
4370;0.180478
4380;0.286758
4390;0.080886
4400;0.895975
4410;0.459186
4420;0.025881
4430;0.394182
4440;-0.258706
4450;-0.103738
4460;-0.022121
4470;0.096892
4480;0.223255
4490;0.549155
4500;0.211595
4510;0.234279
4520;0.230938
4530;0.402190
