Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.645430;0.064056;-0.545147;-0.539873;0.088950
-390;0.406729;0.493374;0.350210;-0.414964;0.544047
-380;-0.402386;0.445814;-0.414348;-0.919977;0.328826
-370;-0.227169;0.213779;0.297395;-0.079213;-0.371225
-360;-0.412840;-0.465043;-0.602034;0.536860;0.395909
-350;-0.033070;-0.496208;-0.270661;-1.380159;-0.375544
-340;-0.159701;-0.378704;0.550423;-0.273790;0.316520
-330;-0.685689;0.129464;-0.480183;1.358482;0.423014
-320;0.280537;0.618566;-0.083027;-0.155176;-0.044530
-310;0.097334;0.221830;0.545234;-1.330569;-0.242863
-300;0.132690;0.045289;0.311318;-0.402759;0.039871
-290;-0.556460;0.353877;-0.039894;-0.233938;-0.153844
-280;0.389963;-0.121227;-1.052322;-0.818131;-0.191155
-270;-0.184862;0.487964;0.103833;-0.478234;-0.710552
-260;0.335316;0.253628;-0.499349;0.002319;-0.203899
-250;-0.430320;0.130430;0.378459;-0.245880;0.894616
-240;0.069684;0.096353;-0.541223;0.987594;-0.076806
-230;-0.531512;0.727162;-0.158784;0.564674;0.128413
-220;-0.911854;-0.049794;0.013672;-0.222328;0.306995
-210;0.556275;0.712939;-0.434414;0.697286;-0.366754
-200;0.969387;0.043728;0.094367;-0.774891;-0.248823
-190;0.713043;0.327280;0.459322;0.304452;-0.714135
-180;0.171662;-0.877808;-0.312805;-0.172176;-0.442810
-170;-0.368687;0.245916;-0.287759;0.486726;-0.992060
-160;-0.688922;0.605028;0.364056;-0.263989;0.182660
-150;1.225280;-1.304249;0.088249;0.382931;0.414817
-140;0.154600;0.239046;-0.182496;-0.194483;-0.418286
-130;0.796073;0.100212;0.027381;0.313151;-0.190995
-120;-0.514985;0.780086;-0.421448;-0.030072;-0.057164
-110;0.159246;0.759432;-0.068396;-0.160975;0.360657
-100;0.417068;-0.564028;-0.205728;0.000000;0.150204
-90;-0.255536;-0.422676;-0.425805;-0.592876;-0.350059
-80;0.641983;1.040756;-0.570746;-1.030951;-1.115697
-70;-0.117065;0.327169;-0.152205;-0.202909;0.281530
-60;-0.299542;-0.046307;1.447121;-0.152332;0.473854
-50;0.289808;0.508958;-0.006591;0.248510;-0.353755
-40;-0.842006;-0.111027;0.449784;0.096298;-0.025245
-30;0.905213;-0.157766;-0.379560;-0.017590;0.445212
-20;0.208360;-0.852555;-0.769366;0.230925;0.088303
-10;1.247936;1.266732;1.088319;0.194730;0.677571
0;3.055223;2.593364;2.749164;2.438303;2.121010
10;4.992516;4.434262;4.823190;3.964803;3.863290
20;6.498600;6.982009;5.709771;6.133248;6.736844
30;7.944533;7.413007;7.822359;8.591007;8.058269
40;9.888249;9.485685;9.834632;8.943595;9.853325
50;11.464236;11.320851;10.892084;10.805042;12.516798
60;12.988372;12.040977;13.241553;12.462095;12.649210
70;14.359378;14.449739;14.863890;14.195474;13.974798
80;16.211498;16.899839;15.725023;15.772748;15.223099
90;17.471975;18.346829;17.721808;17.433517;17.150287
100;18.051158;18.775915;20.525866;19.389403;19.374948
110;19.331988;19.515684;19.789772;19.708012;20.023022
120;19.376302;19.602358;18.542034;20.013945;20.052711
130;19.373690;18.661817;19.017271;20.138174;18.829495
140;18.975196;18.780241;19.623533;18.330648;17.407450
150;18.919075;18.494949;18.540762;19.420372;18.949509
160;18.510086;19.430536;18.772670;18.447253;19.853366
170;18.739982;18.149590;18.215693;18.538567;19.429603
180;18.540918;19.776465;18.330539;19.016883;18.954574
190;17.403514;18.233490;17.465043;17.930135;18.744187
200;17.483102;18.339874;18.485339;17.745986;18.877510
210;18.136048;18.085395;17.461089;17.172045;18.030595
220;17.629598;17.743320;17.178023;17.500563;18.389530
230;16.957976;17.188096;17.990980;17.903223;16.225843
240;18.262122;17.347601;17.700665;17.994464;17.424887
250;16.377155;18.039470;16.769081;16.876589;17.342178
260;17.016604;16.588427;16.665712;17.211780;17.225364
270;16.678293;17.017290;17.591167;16.013056;16.831892
280;16.007329;16.240438;15.770609;16.249562;16.475136
290;18.059860;15.871009;15.427834;16.261905;17.208159
300;16.013590;15.552052;15.809700;15.927809;15.467500
310;14.848010;16.041633;16.032094;16.441763;15.880127
320;15.538397;15.525272;15.888493;16.715237;16.137874
330;15.105977;15.031486;16.595793;16.241334;15.491026
340;14.762819;15.866549;15.610356;16.298330;14.834383
350;15.126972;14.932602;15.594908;16.198295;15.429215
360;14.336720;15.171340;15.513335;15.649015;15.298739
370;14.566596;14.212808;15.338512;14.930364;14.360360
380;14.123467;15.796540;15.413836;14.987789;13.931253
390;14.199443;14.391768;15.313063;14.650649;14.196886
400;13.343967;14.129864;14.092265;14.718240;15.092995
410;14.274310;14.392935;14.753622;14.094799;14.152213
420;13.831638;14.350426;14.973978;14.518689;14.916559
430;13.668531;14.224698;13.362099;14.888342;14.478765
440;14.108889;14.539561;14.065612;13.363295;14.063529
450;13.699547;14.069414;14.152160;13.926690;13.986858
460;13.743063;14.094831;13.794121;14.068416;14.925706
470;14.360129;14.189327;13.829764;14.255606;13.733642
480;12.859625;13.787378;12.518743;13.975005;12.691114
490;12.848012;12.439033;13.020201;12.967964;12.291316
500;13.483004;13.497494;13.554429;12.452201;13.319844
510;12.965929;13.733146;12.617900;13.476561;13.116603
520;12.622693;12.064064;13.269496;14.815912;12.511139
530;11.942970;12.250718;12.799262;12.211590;12.411916
540;11.816737;13.260510;12.764457;12.659424;12.845764
550;12.261258;11.270786;12.320944;12.295762;12.328804
560;12.682566;12.269353;11.877862;12.297873;11.923588
570;12.273259;11.903433;12.329122;11.488234;12.323538
580;11.721991;11.950835;11.560450;12.827749;13.006531
590;11.978920;12.019348;11.540077;12.648527;11.993029
600;12.628630;11.329408;12.246414;12.076423;10.878902
610;12.258280;11.680090;10.740482;11.602454;11.719920
620;10.671452;11.676259;11.218981;11.371290;11.909462
630;11.495374;10.577993;11.757120;11.773253;11.324926
640;11.877449;10.886413;11.088647;12.111642;11.699002
650;11.706979;10.861922;10.980591;10.719094;11.613985
660;11.766105;10.487690;10.309806;11.451298;11.417238
670;10.756569;10.296601;10.852248;11.406982;11.726516
680;11.404837;10.966804;11.292283;11.485827;11.787482
690;10.088173;11.802837;11.385875;11.224488;9.991320
700;11.705630;10.424850;10.223256;10.071320;10.635623
710;10.817588;10.324924;10.815406;10.217839;10.015521
720;10.642056;10.287172;9.885067;10.471955;11.043871
730;10.662285;11.142768;9.986462;10.894152;10.571372
740;9.809278;11.099935;10.879717;10.407163;9.770855
750;10.616578;10.330616;9.645707;10.107210;9.529119
760;9.933441;9.835605;10.121608;10.382253;9.524071
770;9.318756;10.079945;9.016651;10.350478;10.285437
780;9.291998;8.917227;9.276784;9.786463;10.464160
790;10.133766;9.367183;9.015978;9.725274;9.120218
800;8.990697;9.463449;9.868212;9.264414;9.606178
810;9.335354;9.038720;9.153492;9.507104;9.528424
820;9.819872;8.901563;9.485855;10.079180;9.006949
830;8.408759;9.322423;8.704838;10.142253;10.102889
840;9.583274;9.023441;10.119022;9.276302;8.906888
850;7.856870;8.887746;9.527566;8.605812;8.847904
860;8.459108;9.383465;9.293806;8.822720;8.612493
870;8.427183;8.625201;8.133712;9.438077;8.155401
880;8.036088;9.614658;7.736902;8.891749;8.985104
890;9.746827;8.670124;8.554778;9.074239;8.764946
900;9.011494;8.647709;8.617986;8.082316;9.127673
910;7.860569;7.703925;8.579214;8.481213;9.128583
920;8.148503;9.299689;7.786581;8.907122;8.103845
930;8.532484;9.198568;8.313979;8.291653;7.254051
940;8.299861;7.825677;7.931096;7.867864;9.692397
950;8.163664;8.695105;7.317068;8.077528;7.722611
960;7.808309;7.368709;7.977090;7.561678;7.896287
970;8.188754;7.916907;8.651622;8.238948;7.796567
980;8.047036;6.708919;7.637096;7.838929;7.602100
990;7.553019;7.854278;8.238354;7.699533;7.935325
1000;7.245622;7.634506;8.928529;7.928873;7.162548
1010;6.670168;7.029305;7.968926;6.912515;7.585575
1020;7.546255;7.892243;6.999374;8.034790;8.142053
1030;6.962224;7.488072;7.747595;7.411829;7.346690
1040;7.581967;7.979856;7.076656;7.505956;8.273874
1050;6.540479;7.064748;7.398731;7.381537;6.636655
1060;7.803343;7.170720;5.757848;6.644667;7.592323
1070;6.439803;5.725609;6.994437;7.144088;8.042151
1080;6.388032;7.548796;7.431346;6.401276;6.369453
1090;7.077944;6.583057;6.907419;7.050106;6.646169
1100;6.370650;7.399614;6.866358;6.179316;6.997305
1110;6.511686;7.129297;7.158623;7.386135;6.769502
1120;7.787380;8.068570;6.690503;6.960676;6.453201
1130;6.302426;6.639514;5.784148;5.960409;7.515958
1140;6.669465;6.474155;5.570186;7.250944;6.190813
1150;6.538125;6.780387;6.612336;6.002124;6.177525
1160;7.228959;6.979619;6.377870;6.166344;6.325837
1170;5.723633;5.495442;6.206989;6.349022;6.423161
1180;6.621626;6.172317;7.226719;6.703629;6.845961
1190;6.526471;6.237783;6.825426;6.264821;5.166515
1200;5.869945;5.686686;6.393982;6.369148;6.114458
1210;6.021067;6.738734;5.553762;5.864035;6.818110
1220;5.508540;5.835361;5.482125;6.305848;6.203569
1230;5.743032;6.331121;6.333435;5.776826;6.030412
1240;6.590327;5.717529;6.152816;6.535554;6.462629
1250;6.280094;5.341146;5.461796;6.919488;5.184889
1260;5.516926;4.536355;5.533530;6.943629;6.389943
1270;5.749099;5.029309;5.764424;5.277616;5.527156
1280;6.102979;5.622284;5.336227;5.681498;4.689849
1290;6.293770;5.971471;5.450179;5.928281;5.512044
1300;5.097801;6.294927;5.214204;5.503341;6.835555
1310;5.484534;5.077395;6.366671;5.292316;6.094812
1320;5.069869;5.310980;5.692993;5.661582;5.204300
1330;4.617536;4.586817;5.946307;4.486286;5.661603
1340;5.790623;6.199827;6.025552;5.643729;4.624229
1350;5.295518;5.793976;5.541833;4.591147;4.861724
1360;4.652015;5.282530;5.319403;5.320524;5.626526
1370;4.975325;5.608414;5.609696;6.444697;4.968347
1380;5.223599;4.628532;4.588510;5.026467;5.122954
1390;5.581834;4.565164;5.603389;5.836387;5.208157
1400;5.272281;4.288999;5.125418;5.637341;4.980965
1410;4.848546;4.674044;5.477985;6.348998;5.322687
1420;5.337348;5.038925;5.252174;5.203013;5.583538
1430;5.185662;5.117864;5.169913;5.367112;3.915202
1440;5.234865;4.523646;5.089925;4.992609;5.695338
1450;3.904504;4.921079;4.397390;4.834744;4.754916
1460;4.029936;4.260281;4.175457;4.787813;5.081200
1470;4.352511;5.267225;4.930153;4.754780;4.870849
1480;3.932623;4.395459;5.655040;4.894665;4.926190
1490;4.249550;4.384563;5.398694;5.414512;5.048072
1500;4.331476;5.014726;4.913041;5.093531;4.079573
1510;4.470714;5.248260;4.371670;4.231672;4.364344
1520;4.253831;4.578019;4.361816;4.514863;4.095364
1530;3.755921;3.786625;4.467896;5.014855;4.561438
1540;4.504048;4.325773;4.783893;4.441981;4.086522
1550;4.384803;4.246790;4.704777;4.781779;4.205510
1560;3.963308;4.113823;4.290276;3.861613;4.132647
1570;4.221760;3.932693;3.763852;4.378531;4.444337
1580;4.217909;4.638335;4.229326;3.990385;3.121829
1590;4.289462;4.459787;3.991134;4.403805;3.683878
1600;4.200334;4.038499;4.432939;3.834454;4.254051
1610;4.326594;4.447523;3.546378;3.658783;4.527988
1620;4.510513;4.406977;4.034800;3.827694;3.804975
1630;4.066700;2.946220;4.143446;3.701427;3.460357
1640;4.230924;3.472001;3.642947;3.393212;4.535512
1650;2.912789;3.139318;4.069613;2.804550;3.853246
1660;4.020915;4.293033;4.453182;4.209944;3.945351
1670;3.484830;3.294327;4.105571;3.418642;4.366041
1680;3.446204;2.595354;3.793873;2.629241;3.272744
1690;3.863607;2.525174;3.844908;2.454394;3.862463
1700;3.449516;3.221608;4.004596;4.162896;4.399023
1710;3.667722;4.175077;2.958917;3.984727;4.520424
1720;3.221946;3.058942;4.057269;3.432782;3.066314
1730;3.638250;3.999796;4.401731;3.873730;4.085651
1740;2.824859;3.161401;3.126392;3.142985;4.423834
1750;4.122187;3.392844;3.066916;2.937942;2.795089
1760;3.911650;2.266312;4.024855;4.702958;4.006694
1770;3.444847;3.432474;2.873701;3.278314;4.386757
1780;3.414960;3.380832;2.785263;4.114310;3.233753
1790;3.352745;3.712158;3.329073;3.957912;2.956288
