Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;0.356281;0.091981;-0.650036;0.083444;-0.458146
-390;-0.670947;1.302052;-0.396008;0.058611;0.074590
-380;0.040653;0.159055;-0.395365;0.235338;-0.393715
-370;-0.552247;0.601170;-0.174018;-0.219152;1.290522
-360;-0.810742;0.474305;0.386507;-0.558153;0.898919
-350;-0.132632;-0.380159;-0.672550;-1.048488;0.168881
-340;0.524973;-0.089127;0.252261;0.814316;-1.038631
-330;0.405477;0.594422;-1.460615;-0.002965;-1.179593
-320;0.136854;0.601798;-0.243125;-1.383894;1.065930
-310;-0.064007;-1.748219;0.863265;-0.695341;0.364815
-300;0.450404;0.058778;-0.613997;0.434964;-1.106352
-290;-0.147558;0.165041;-0.757518;0.170225;-0.586737
-280;0.532454;-1.117563;-0.081220;-0.630276;0.401192
-270;-0.409881;0.356394;-1.387200;-0.173026;-0.571008
-260;-0.418640;0.717544;-0.120357;0.544685;0.941711
-250;1.137580;-1.195161;-0.134667;-0.771461;0.247361
-240;0.007185;-0.135059;0.132228;-0.010584;0.673585
-230;0.118450;0.726520;-0.379053;-0.168602;0.840801
-220;-0.425421;0.466985;-1.337366;0.730894;1.290176
-210;-0.905795;0.609066;-1.055395;-0.138182;1.461813
-200;-0.533641;1.108636;-0.416298;-0.577455;0.691833
-190;0.363709;0.709735;-0.293940;0.216906;1.021701
-180;-1.420833;-1.785025;-0.660632;0.615037;-0.791602
-170;-1.044922;0.395509;0.629718;-0.566987;0.443659
-160;-0.769589;0.572832;-0.052470;0.181113;0.190856
-150;-0.917167;-0.128221;-1.233084;-0.440289;-0.480690
-140;-0.287023;-0.068507;-0.873290;0.007193;1.660131
-130;0.041419;-0.326925;-0.049995;0.210560;0.249564
-120;0.002966;0.027742;-0.522447;-0.623837;0.700604
-110;0.154325;-0.516149;1.103582;0.394930;0.072857
-100;0.551510;-0.735554;0.926834;-0.630071;0.200278
-90;0.704136;1.040027;-0.114826;-0.052830;-0.278785
-80;-0.216547;-2.262474;0.014104;0.244973;-0.391247
-70;0.243787;0.448153;-0.690687;0.590472;-0.325064
-60;0.040633;0.237185;0.281307;0.856650;-1.114159
-50;-0.605779;-0.831764;0.499941;0.131109;0.351082
-40;0.228367;-1.182619;-1.033546;-0.120511;0.268593
-30;2.034369;0.738142;0.521030;0.275925;0.954377
-20;1.917543;1.430064;2.757528;1.953497;2.286276
-10;3.291290;4.250993;4.776858;4.361308;4.944295
0;7.725168;8.328195;7.651230;7.722521;7.406993
10;11.722868;9.357705;9.233662;11.172255;9.768340
20;13.002511;13.806996;13.976124;13.783644;12.922714
30;15.890221;15.510331;16.925984;17.358194;17.185537
40;19.179496;19.744160;18.718063;20.194928;18.857757
50;21.863985;21.876477;23.021102;22.276866;22.035269
60;25.541166;24.663608;24.082748;24.416380;24.879605
70;28.466987;27.147196;28.521417;26.757245;27.882829
80;30.516138;30.344841;29.761541;30.581432;29.349003
90;31.978614;31.087667;31.956239;32.208231;32.178989
100;33.766260;33.255868;33.090748;33.090068;34.973435
110;34.611179;32.906414;33.767061;33.612431;33.429078
120;32.433296;30.946183;33.982415;32.876093;34.911348
130;32.696391;31.397554;33.624971;32.964025;32.001725
140;32.923786;31.206503;32.958631;32.672126;31.510747
150;32.137918;32.367813;32.137341;32.338301;32.572406
160;32.693223;30.964404;31.274350;32.469299;31.176366
170;30.378968;30.898078;31.159317;31.138951;31.873534
180;32.196053;30.428199;31.921671;30.911072;30.410074
190;31.332380;30.466314;31.278184;31.269124;30.491690
200;30.753273;30.300709;30.732731;31.006759;30.413083
210;31.447904;30.321374;29.422225;28.980192;30.103135
220;30.072370;30.381841;30.048966;28.679101;30.095734
230;29.326332;29.224882;28.461128;31.236100;29.374292
240;29.330172;28.679902;29.385242;27.880366;28.574037
250;28.447282;29.601855;30.146825;28.244970;29.244494
260;27.427382;27.207992;28.388896;29.730078;28.882323
270;28.497262;27.713839;27.535875;28.033765;28.027560
280;28.896139;27.009220;27.863683;28.098423;27.837104
290;28.202143;26.841557;26.636993;26.330526;26.968140
300;27.094182;25.621818;28.117452;26.272393;26.967947
310;27.272968;26.855329;28.206884;25.422429;27.203065
320;26.252795;26.151053;27.372456;27.722313;25.670565
330;26.221036;25.491347;26.362435;27.472791;26.141325
340;26.329210;25.646228;26.166982;27.094236;26.790913
350;25.482281;26.590469;25.404576;25.880533;25.176208
360;26.166676;25.390840;24.940799;25.856047;23.969316
370;26.296205;24.557562;25.028333;24.590911;25.020845
380;23.239974;24.568759;24.294747;24.797237;24.614586
390;23.560408;24.038251;25.048596;24.946708;23.608853
400;24.208315;24.923561;23.508040;25.082309;23.622652
410;25.219691;22.689317;23.858083;24.258020;23.762859
420;23.213811;23.565631;23.949513;24.033565;23.498455
430;23.121156;22.991667;24.544813;23.613990;22.683984
440;23.521969;23.413603;23.665781;23.047060;21.997837
450;22.506379;22.538792;23.683823;24.784731;22.580909
460;21.926641;21.802902;23.412069;23.460891;22.276636
470;22.325440;23.118730;21.888654;21.798562;22.850486
480;22.475096;21.857270;23.547133;21.854722;22.598873
490;22.360889;21.494343;20.819849;21.870903;22.610401
500;21.934846;21.311214;21.966422;21.499628;21.966400
510;20.701324;21.387701;22.230405;22.019336;21.602885
520;21.859245;21.494523;22.489615;21.244110;22.613533
530;19.588923;22.258730;21.834785;21.566605;21.281220
540;21.337178;20.699023;20.266080;20.408124;22.110329
550;20.856041;19.633982;20.850895;21.038727;21.803705
560;20.138532;19.603476;19.891042;20.987763;20.022385
570;21.122903;20.889199;20.863431;19.241772;20.125323
580;19.578152;19.977020;21.016482;21.183084;20.440474
590;19.078119;20.305801;19.818596;20.287824;19.588593
600;19.910665;18.996458;18.672507;21.000585;20.124108
610;18.858944;18.296555;19.010703;19.507364;19.615875
620;19.062621;18.604897;18.441844;18.180752;19.141934
630;20.180310;18.873476;19.186488;20.497195;18.899834
640;18.524045;18.532453;19.062656;19.799585;18.355363
650;19.306377;18.631151;18.098063;19.823593;18.630287
660;19.146547;18.430933;17.646038;17.808264;18.921378
670;18.598995;19.219433;17.901834;18.912596;18.505756
680;17.704739;17.953224;15.364829;18.479748;18.766175
690;18.550309;16.968373;17.467398;18.484997;18.568777
700;17.430095;18.034235;17.342580;17.505539;18.748459
710;17.789707;17.700239;15.852247;18.235087;17.262334
720;17.209449;18.036652;17.001518;17.250093;17.064165
730;17.080201;15.887229;14.902194;18.007847;16.943875
740;16.271799;16.364927;17.542461;17.761837;16.543011
750;16.440582;17.409487;15.753389;16.304593;18.482993
760;16.207546;17.408356;16.105951;16.039968;17.454712
770;16.908755;16.017017;15.851097;16.670617;16.734419
780;15.705841;15.987517;16.411733;16.967591;16.384810
790;15.667019;16.160529;16.717791;15.808018;14.925736
800;15.475278;16.301446;14.369321;15.947935;15.329965
810;15.363522;15.096603;15.319553;16.209493;16.403616
820;14.571978;15.272745;15.971291;16.326953;15.951598
830;15.148089;15.782839;16.499743;15.694398;16.183176
840;16.110471;14.548449;14.425936;15.860044;15.073222
850;15.218158;15.704876;16.148099;14.686048;15.635028
860;15.088306;14.845688;15.314999;14.416017;13.734347
870;14.538041;15.651928;15.290330;14.442896;14.640295
880;13.301108;14.307886;15.811973;14.738905;14.891083
890;13.368644;14.344235;14.682277;13.759611;14.555684
900;13.790111;14.125519;14.310535;13.621814;14.519812
910;13.775322;13.297977;13.133115;14.288994;13.690183
920;13.918136;14.449671;12.623907;13.721952;14.498087
930;14.125526;13.041441;13.604064;13.345821;14.448466
940;13.744710;13.421934;14.398405;13.754065;13.609693
950;13.081683;13.466816;13.784102;13.687558;12.082382
960;13.644550;12.852424;13.026900;12.968559;11.990858
970;12.683712;13.667013;13.761271;13.484488;13.580953
980;12.332885;12.867553;12.733890;14.019009;13.338467
990;13.000103;12.666723;12.111753;12.600843;13.984569
1000;11.678082;13.080129;14.436932;12.820943;12.572874
1010;11.405373;12.668126;11.617216;12.446115;12.501556
1020;12.134724;12.499841;12.843403;13.253990;11.751628
1030;13.179206;12.160937;13.201549;13.127999;13.041466
1040;13.548839;11.835887;11.584780;13.119126;12.102707
1050;12.215549;10.622651;13.417316;13.844065;13.020903
1060;10.948625;11.940507;11.037227;11.506907;12.299578
1070;11.133017;11.741695;11.249042;12.309648;10.928360
1080;12.099613;11.938667;12.403105;11.131226;11.144109
1090;11.021933;12.884394;11.257923;12.550647;12.273874
1100;10.032088;11.367404;11.712076;10.903073;11.467979
1110;9.293670;11.671692;11.364425;12.069246;11.169900
1120;10.306117;11.552727;11.923963;10.690180;11.269607
1130;11.101858;10.693588;11.082756;10.909371;11.569030
1140;10.969793;11.451066;11.353658;11.095306;11.846267
1150;10.201558;10.139818;11.343878;11.470964;10.839086
1160;10.358228;10.356493;10.821551;10.747125;10.432842
1170;11.133107;11.468930;10.972066;10.627269;10.421896
1180;9.467051;9.928096;10.603027;11.906728;11.344745
1190;9.810776;11.007969;10.134888;10.038862;10.317366
1200;10.264403;9.922702;9.285505;10.870693;9.127579
1210;10.920218;9.884715;11.230888;9.629541;9.596845
1220;9.580262;10.235340;10.067065;9.558533;10.230369
1230;9.905242;9.658248;8.857544;10.418878;11.088195
1240;9.507080;10.197521;9.912464;10.318776;9.591997
1250;9.801750;10.034443;11.148847;8.821681;10.220083
1260;9.435820;9.646516;8.970601;10.298882;10.214109
1270;9.238937;8.753055;9.882364;10.550663;10.006390
1280;8.850320;10.279949;8.598105;9.404753;8.736521
1290;8.154225;9.858094;10.046423;8.969256;10.129904
1300;8.723363;8.407942;11.060994;9.386365;9.471663
1310;8.124717;10.299222;9.361922;9.904022;9.108507
1320;9.282844;9.156444;9.422598;8.995007;8.809687
1330;10.453444;8.834649;9.340975;8.960487;9.446258
1340;7.665040;8.464788;8.558753;9.194911;9.440604
1350;9.110808;8.590526;8.964099;9.706322;9.484836
1360;8.522854;8.404149;9.206066;8.417739;8.834834
1370;9.264914;9.489102;9.222643;8.328287;8.058677
1380;8.025741;6.538003;7.501331;8.296280;8.549419
1390;8.120658;10.102687;8.151373;8.733637;8.532235
1400;8.495963;8.979185;8.405112;9.242157;8.843131
1410;7.635132;8.632310;7.115190;7.364741;9.533959
1420;7.881781;7.192038;8.462063;8.295422;8.299109
1430;9.083011;8.806219;8.385649;8.223659;8.737120
1440;8.452618;8.197262;8.102219;8.148703;9.188822
1450;8.876560;6.762064;7.841451;7.885396;8.144959
1460;7.100303;7.673601;8.279852;8.693028;7.032769
1470;7.631665;8.406492;7.398982;7.634593;7.319563
1480;8.348196;7.044213;6.913301;6.884544;8.220541
1490;8.153593;7.721359;8.832052;8.230482;7.930027
1500;6.982411;8.175940;7.546015;8.095994;7.361547
1510;7.507679;7.149448;6.360405;6.264035;7.785346
1520;7.147162;5.864699;6.348528;7.449568;8.780028
1530;8.198671;7.861007;7.806789;7.989575;6.402618
1540;7.531352;7.542755;7.266442;7.294626;6.936671
1550;7.368987;8.445386;6.939149;8.072519;7.212722
1560;7.297384;7.616574;7.030152;7.228349;8.381616
1570;6.500337;7.460887;6.353076;7.318075;6.405618
1580;7.081189;5.901868;6.763770;6.881046;6.851229
1590;6.270454;6.573820;6.451149;7.039647;6.584657
1600;6.001832;6.465070;6.812439;6.707103;6.815131
1610;6.159044;7.087546;7.160490;5.471466;7.142409
1620;6.900255;6.069332;6.536140;6.817293;7.213418
1630;5.185029;6.711269;6.570224;5.731646;6.197650
1640;5.296258;5.785304;7.582278;6.506976;6.808410
1650;5.671253;5.812791;6.054400;5.308341;4.666682
1660;6.041562;5.784405;7.636446;6.644427;7.353030
1670;6.501212;5.382030;5.829117;7.370469;6.998834
1680;6.897233;5.998917;6.282366;6.941160;6.062565
1690;7.716923;5.595430;5.565968;5.787394;7.978249
1700;6.198493;7.098206;5.080936;6.929901;6.346459
1710;5.949969;6.633247;6.008455;6.180434;6.216085
1720;5.576677;5.918732;5.290829;6.215353;5.229233
1730;7.174823;6.059338;6.234996;5.143101;5.047659
1740;5.677475;5.556865;5.628738;7.352219;4.747956
1750;5.480874;5.308491;6.343154;5.526462;5.110063
1760;6.263654;4.261265;5.410233;5.065698;5.267256
1770;5.525817;5.393884;4.897347;6.258955;6.002694
1780;4.027333;6.222467;5.608461;5.198437;6.094890
1790;6.266441;6.127540;4.025067;4.321524;4.019249
1800;5.249595;5.666315;5.261441;4.843107;4.530920
1810;4.979284;6.269526;5.254885;4.507525;5.294383
1820;6.046327;4.761391;5.560726;6.024971;6.420427
1830;4.495231;5.152667;5.279079;6.221310;6.739318
1840;4.898711;4.935700;5.442531;4.952008;5.285862
1850;5.502585;4.440204;4.934879;5.233617;5.243658
1860;4.070730;3.872627;5.210123;4.095169;5.711295
1870;4.727681;5.270191;4.401683;5.463123;5.556039
1880;5.566598;4.693848;5.133513;5.120642;5.499699
1890;4.298075;4.215935;5.614618;6.140919;5.877184
1900;5.065920;6.045491;4.285951;4.882994;5.093434
1910;4.740247;4.654168;5.282508;4.006884;4.370220
1920;5.805177;4.757157;5.116504;5.020241;5.529996
1930;5.284203;4.221736;4.614139;4.887479;6.169283
1940;4.411255;5.441590;2.944069;4.260093;5.425543
1950;4.512952;4.525675;5.576949;4.221565;4.951173
1960;4.372024;3.752119;4.380386;4.106970;4.291604
1970;3.808768;3.657941;3.691314;4.664763;4.987802
1980;4.813738;2.848146;5.159998;3.635615;3.894156
1990;4.283341;4.171645;4.307286;4.574201;5.330515
2000;4.388148;4.696983;4.369366;4.041099;4.335669
2010;5.394887;4.322503;3.936420;4.873391;3.426375
2020;2.778801;3.699724;4.581308;4.415178;5.193886
2030;3.631181;2.796878;5.101409;5.757210;4.925590
2040;5.026107;5.053158;4.952216;3.579683;4.594817
2050;4.877853;3.144894;3.815804;4.132966;4.268304
2060;3.417548;3.391241;4.153615;3.335472;3.459909
2070;5.866206;3.020749;5.020629;3.318331;5.000743
2080;4.331489;4.277412;3.794287;4.006920;4.065746
2090;3.170954;3.150830;2.984414;3.306226;3.778237
2100;4.620492;3.890907;4.750285;3.168311;3.606395
2110;2.880966;4.533929;3.420573;3.402911;4.466450
2120;3.795022;4.590075;4.353036;3.763306;4.089837
2130;3.744792;3.383271;5.099450;3.530565;4.634688
