Laser Delay [ns];TA [mOD]
-400;-0.510067
-390;-0.183676
-380;-0.174441
-370;-0.007677
-360;-0.297990
-350;-0.110612
-340;-0.373229
-330;-0.004795
-320;-0.196140
-310;-0.167584
-300;-0.088108
-290;-0.373998
-280;0.049302
-270;-0.153473
-260;0.050173
-250;-0.203554
-240;-0.184655
-230;-0.294371
-220;-0.189959
-210;-0.005529
-200;-0.468409
-190;-0.208187
-180;0.000742
-170;-0.059544
-160;-0.236567
-150;-0.187646
-140;-0.181737
-130;-0.103804
-120;-0.142155
-110;-0.204076
-100;-0.066873
-90;-0.269847
-80;-0.082816
-70;-0.210413
-60;-0.376594
-50;0.013211
-40;-0.082346
-30;0.339937
-20;0.897262
-10;2.258970
0;4.156190
10;5.869294
20;7.749052
30;9.262672
40;10.935596
50;12.638426
60;13.916757
70;15.877159
80;17.206019
90;18.622089
100;19.129867
110;19.260667
120;18.917847
130;18.741235
140;18.375360
150;18.513122
160;18.099485
170;17.568749
180;17.494164
190;17.322558
200;17.230072
210;16.727663
220;16.386495
230;16.366498
240;16.038762
250;15.855648
260;15.439172
270;15.416395
280;15.188921
290;15.150179
300;14.490937
310;14.723190
320;14.273130
330;14.189912
340;14.172122
350;13.860429
360;13.787880
370;13.181921
380;13.291018
390;12.969271
400;12.877619
410;12.828864
420;12.727273
430;12.597410
440;12.243821
450;11.905932
460;11.854555
470;11.940782
480;11.589805
490;11.409770
500;11.146258
510;11.033478
520;10.716280
530;10.893401
540;10.976712
550;10.492299
560;10.596455
570;10.215850
580;10.338627
590;9.980655
600;10.223902
610;9.833468
620;9.545451
630;9.487033
640;9.300789
650;9.428926
660;9.266355
670;9.125223
680;8.904206
690;8.999335
700;8.963662
710;8.369175
720;8.555938
730;8.684164
740;8.248708
750;8.156737
760;8.055662
770;7.907067
780;8.059853
790;7.922697
800;7.610665
810;7.788291
820;7.349088
830;7.539427
840;7.356006
850;7.268259
860;7.104482
870;7.123982
880;7.038241
890;6.980575
900;6.890217
910;6.846894
920;6.489853
930;6.503909
940;6.691039
950;6.509506
960;6.200018
970;6.097639
980;6.292342
990;6.270757
1000;5.906804
1010;5.938632
1020;5.677792
1030;5.867406
1040;5.992786
1050;5.893688
1060;5.881201
1070;5.550200
1080;5.606391
1090;5.230027
1100;5.471632
1110;5.440707
1120;5.401942
1130;4.980766
1140;5.340214
1150;5.353417
1160;4.941024
