Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.371641;-0.918372;-0.454730;-1.008379;0.202786
-390;-0.271774;-0.468729;0.076881;-0.219103;-0.035655
-380;0.046938;-0.444756;-0.167801;0.209161;-0.515746
-370;0.101148;0.098098;0.107841;-0.254879;-0.090593
-360;-0.431470;-0.548290;-0.219235;-0.071476;-0.219479
-350;0.470886;-0.316202;-0.435805;0.240626;-0.512567
-340;-0.569963;-0.261345;-0.512898;-0.286863;-0.235077
-330;-0.248656;0.280804;-0.632650;0.247944;0.328582
-320;-0.301992;-0.485554;-0.863797;0.532543;0.138099
-310;0.066928;0.268631;-0.072488;-0.474712;-0.626280
-300;-0.025545;-0.310484;-0.109246;0.081225;-0.076491
-290;-0.713242;-0.173015;-0.063556;-0.344485;-0.575689
-280;0.052420;0.159620;0.323460;-0.203714;-0.085277
-270;-0.166634;-0.298507;-0.234499;0.081259;-0.148983
-260;0.240155;0.134827;-0.200978;0.404113;-0.327251
-250;0.016719;0.006215;-0.141234;-0.740767;-0.158703
-240;-0.441774;-0.744019;0.222749;0.832978;-0.793210
-230;0.283382;-0.118473;-0.782586;-0.123067;-0.731110
-220;-0.910119;-0.102614;-0.167540;0.157160;0.073316
-210;-0.157599;0.539542;-0.453030;0.260224;-0.216784
-200;-0.471861;-0.243286;-0.413422;-0.285271;-0.928204
-190;-0.186714;0.064331;-0.189365;-0.262364;-0.466823
-180;-0.180559;0.728804;0.210247;-0.562148;-0.192634
-170;-0.225303;0.266995;-0.183039;-0.176829;0.020455
-160;-0.423138;-0.527518;-0.274358;0.102163;-0.059984
-150;0.035240;-0.713907;-0.401210;0.849695;-0.708046
-140;-0.471329;-0.115459;0.229524;-0.429251;-0.122172
-130;-0.056379;0.265225;0.568520;-0.876363;-0.420024
-120;-0.794449;-0.562415;0.394397;0.334001;-0.082310
-110;-0.134361;0.065285;0.028451;-0.321495;-0.658259
-100;0.021135;-0.053227;0.035035;-0.192619;-0.144691
-90;-0.433423;-0.085200;-0.541738;-0.528185;0.239311
-80;-0.704832;0.002661;-0.258722;0.264532;0.282280
-70;-0.741217;0.039878;-0.668020;0.162357;0.154937
-60;-0.074824;-0.543481;-0.278182;-0.141311;-0.845173
-50;0.150655;0.369901;-0.484772;-0.281233;0.311502
-40;-0.525652;-0.207988;0.379872;0.168781;-0.226741
-30;-0.106217;0.372321;0.396242;0.546554;0.490783
-20;0.443311;1.420352;0.929699;0.718294;0.974655
-10;2.137368;2.190407;2.059578;2.509592;2.397904
0;4.293475;4.127208;4.197505;4.156706;4.006055
10;5.839009;5.905835;5.897449;5.917453;5.786723
20;7.842018;7.860371;7.540541;7.621497;7.880833
30;9.039000;9.285911;9.223317;9.377234;9.387899
40;10.611268;11.501030;10.707040;10.990734;10.867908
50;12.765791;12.326159;12.458748;12.965813;12.675617
60;13.944528;13.965867;13.944895;13.914449;13.814045
70;15.590971;16.174855;15.972194;15.367579;16.280196
80;17.012189;16.928167;17.524352;17.803932;16.761453
90;18.326983;18.942750;18.447520;18.879232;18.513962
100;19.192368;19.068066;19.138040;19.058667;19.192192
110;19.360673;18.986003;18.700176;19.868903;19.387579
120;19.545901;18.754732;18.486202;19.062425;18.739973
130;18.324891;18.598960;18.980410;19.019375;18.782540
140;18.044759;18.431614;18.386719;18.915132;18.098575
150;18.425589;18.721713;18.429063;18.469594;18.519650
160;18.129039;18.065458;18.163418;17.900155;18.239357
170;17.214110;17.546506;17.437506;18.030214;17.615410
180;17.889982;17.144458;17.293216;17.483801;17.659360
190;16.744899;17.791106;17.402603;17.323291;17.350889
200;17.346016;17.044514;17.031184;16.850574;17.878071
210;16.961690;17.180902;16.412323;16.745144;16.338255
220;15.939210;16.301743;16.037724;16.719313;16.934484
230;16.443080;16.384040;16.278778;16.992054;15.734540
240;16.339964;15.827809;16.351129;15.685051;15.989856
250;16.151473;15.528511;15.571770;15.893797;16.132690
260;15.393594;15.592260;15.785025;14.958575;15.466405
270;15.322390;15.628669;15.162555;15.807175;15.161187
280;15.172466;14.849520;15.795731;14.816630;15.310260
290;15.404026;15.276687;15.008187;14.883936;15.178059
300;14.042263;14.752921;15.014083;14.228485;14.416932
310;14.519121;15.463419;14.241625;14.835288;14.556496
320;14.120866;14.577766;14.572583;13.721565;14.372870
330;14.095581;13.896562;14.066259;14.626702;14.264456
340;14.156759;14.215982;13.714200;14.578031;14.195636
350;13.744952;13.923535;13.855096;13.405313;14.373251
360;13.189664;14.153806;13.726942;14.086170;13.782818
370;12.641923;13.819636;12.927382;13.458019;13.062645
380;13.193623;13.769790;13.506825;13.356182;12.628668
390;12.860995;12.612360;13.016118;13.598338;12.758545
400;12.901454;12.965598;12.584522;13.076141;12.860379
410;12.491074;12.673403;12.589743;13.180419;13.209679
420;12.585880;12.926964;12.722189;12.683969;12.717361
430;12.166921;12.628149;12.851786;12.706971;12.633222
440;12.112193;11.735081;12.015705;12.643519;12.712609
450;12.176151;12.107842;11.911794;11.686750;11.647121
460;11.885345;11.651773;12.045809;11.656491;12.033358
470;11.610902;11.600828;11.911395;12.328317;12.252468
480;11.420998;11.701374;11.254144;11.458224;12.114284
490;10.886964;11.693771;11.480074;11.486040;11.501999
500;11.118786;10.703080;11.263814;11.389211;11.256398
510;10.860092;10.969732;11.380759;10.971156;10.985652
520;10.725868;11.348830;10.634763;10.244788;10.627148
530;11.097444;11.188457;10.665255;10.678741;10.837107
540;11.086435;10.985003;11.114638;10.972726;10.724757
550;10.387707;10.507555;11.167395;9.711013;10.687827
560;10.749573;10.321681;10.742829;10.494047;10.674144
570;10.298048;10.529165;9.825641;10.276866;10.149533
580;10.101564;10.359584;9.986953;10.688402;10.556634
590;9.576074;10.558047;10.004180;9.818829;9.946146
600;9.828717;10.531831;9.995121;10.116226;10.647612
610;10.771089;9.914505;8.954809;10.097320;9.429615
620;9.125567;9.565176;9.937937;9.347514;9.751059
630;9.630408;9.856431;9.187973;9.432364;9.327990
640;9.760746;8.844064;9.515956;9.379667;9.003512
650;9.306452;9.200609;9.441788;9.744008;9.451771
660;9.000238;9.037460;9.860374;9.476542;8.957163
670;8.562419;8.747687;9.824253;9.205488;9.286268
680;9.322550;8.896354;8.685130;9.056269;8.560729
690;9.098118;8.523491;9.159374;9.017906;9.197787
700;8.828526;8.836711;8.988973;9.358267;8.805834
710;8.850669;8.041557;8.858926;7.682230;8.412491
