Laser Delay [ns];TA [mOD]
-400;-0.073823
-390;0.189361
-380;0.062430
-370;0.065952
-360;0.032667
-350;-0.010354
-340;0.370408
-330;0.132076
-320;-0.210516
-310;0.173301
-300;0.054310
-290;0.078836
-280;0.023899
-270;-0.060199
-260;-0.077713
-250;-0.157534
-240;-0.044957
-230;-0.001516
-220;-0.120398
-210;-0.009475
-200;-0.090285
-190;0.139851
-180;-0.140689
-170;0.097093
-160;0.234944
-150;0.128170
-140;-0.283873
-130;0.277113
-120;-0.046429
-110;0.089251
-100;-0.037093
-90;-0.215167
-80;0.083927
-70;0.243527
-60;-0.337896
-50;-0.390130
-40;-0.079350
-30;0.027982
-20;0.232695
-10;0.775876
0;2.884238
10;4.371441
20;5.958070
30;7.835656
40;9.874179
50;11.508385
60;13.371534
70;14.563811
80;16.316549
90;17.981404
100;19.456068
110;20.159970
120;20.254280
130;19.751019
140;19.576469
150;19.629115
160;19.088382
170;18.876293
180;18.659763
190;18.407197
200;18.328212
210;18.294376
220;17.960587
230;17.710100
240;17.438973
250;17.240043
260;17.061282
270;16.931088
280;16.888913
290;16.593485
300;16.490260
310;16.167526
320;16.158434
330;16.021287
340;15.433781
350;15.288434
360;15.356526
370;15.637624
380;15.096849
390;15.056206
400;14.672971
410;14.523633
420;14.496829
430;14.574047
440;14.075818
450;14.074158
460;13.836095
470;13.296242
480;13.273271
490;13.337722
500;13.065156
510;13.219937
520;12.918024
530;12.747809
540;12.618742
550;12.567987
560;12.477455
570;12.149775
580;11.920559
590;11.937873
600;11.913591
610;11.759233
620;11.757414
630;11.548710
640;11.590357
650;11.013193
660;11.377182
670;11.067433
680;11.239753
690;10.944410
700;10.500694
710;10.648109
720;10.564522
730;10.487601
740;10.254542
750;9.963530
760;9.862520
770;9.954799
780;9.487705
790;9.679150
800;9.622450
810;9.604375
820;9.396141
830;9.337774
840;8.875784
850;9.149444
860;9.311666
870;9.198552
880;8.756938
890;8.968168
900;8.812205
910;8.650710
920;8.472435
930;8.170481
940;8.401123
950;8.028922
960;8.094512
970;8.016567
980;7.973718
990;7.941387
1000;7.428524
1010;7.618925
1020;7.271825
1030;7.231482
1040;7.483271
