Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.719890;0.255744;0.247002;-0.325990;0.174018
-390;0.456733;0.459349;-0.019415;0.334444;-0.284304
-380;0.283552;-0.306633;0.188143;-0.181433;0.328522
-370;-0.027621;0.308417;0.185175;-0.224204;0.087994
-360;0.535977;-0.221583;-0.245556;0.427509;-0.333012
-350;0.036594;-0.095257;0.512492;-0.280482;-0.225117
-340;-0.671305;0.462468;0.340556;0.627842;1.092476
-330;-0.044463;0.135509;-0.487884;0.204981;0.852237
-320;-0.757832;0.287612;-0.309322;-0.045164;-0.227873
-310;0.318808;0.152785;0.122123;0.039568;0.233221
-300;-0.323778;0.327389;-0.198032;-0.179973;0.645946
-290;-0.184642;-0.434275;0.520033;0.235119;0.257945
-280;0.083692;-0.242557;-0.572814;0.663599;0.187573
-270;0.502162;0.350845;-0.111915;-0.073946;-0.968141
-260;-0.003738;0.001873;0.116498;-0.398770;-0.104428
-250;0.202088;-0.342765;-0.719819;0.339504;-0.266679
-240;0.667286;-0.476958;0.327769;-0.447091;-0.295792
-230;-0.032922;0.393766;-0.660317;0.192747;0.099144
-220;0.157679;-0.366358;0.169986;0.014197;-0.577494
-210;0.218992;0.014972;-0.160579;-0.419008;0.298248
-200;0.195733;-0.182000;0.141432;-0.022019;-0.584572
-190;-0.473543;0.125367;0.403899;0.405624;0.237906
-180;-0.442789;0.288949;0.159171;-0.111977;-0.596802
-170;0.401104;-0.727280;0.534401;0.259638;0.017601
-160;-0.249953;0.495200;-0.192655;0.580334;0.541792
-150;-0.149809;0.637171;-0.263366;0.737743;-0.320887
-140;-0.593487;-0.260362;-0.157703;0.045956;-0.453771
-130;0.090724;0.549442;0.004112;0.485658;0.255631
-120;0.763450;0.095847;-0.675871;0.065746;-0.481315
-110;-0.213596;0.536688;0.175356;-0.086623;0.034429
-100;-0.741805;0.262633;-0.463244;0.583227;0.173726
-90;-0.168425;-0.013486;-0.450195;-0.014190;-0.429540
-80;-0.188768;0.095046;0.166450;0.064607;0.282302
-70;0.199399;0.044581;0.154865;0.381582;0.437206
-60;0.147456;-0.349431;-0.274132;-0.702684;-0.510691
-50;-0.112428;-1.101422;-0.185931;-0.304342;-0.246528
-40;0.583865;-0.192602;-0.295524;-0.400898;-0.091590
-30;-0.137501;0.165199;0.315817;-0.125844;-0.077760
-20;0.212671;0.318024;-0.400790;0.862613;0.170956
-10;0.942763;0.848198;0.303499;0.981328;0.803592
0;2.649764;2.482185;2.908001;3.257897;3.123345
10;4.224067;4.619889;4.684786;4.316105;4.012361
20;5.936948;6.065275;6.061664;5.660197;6.066268
30;8.353904;8.060305;7.604035;7.766961;7.393076
40;10.112859;9.781530;9.785500;10.224901;9.466108
50;12.708244;11.478768;11.511629;11.387296;10.455991
60;13.237912;13.447856;13.421198;13.557625;13.193079
70;14.247407;14.539252;15.312289;14.364259;14.355847
80;16.325908;15.847884;16.660499;16.573511;16.174941
90;17.774022;17.838574;18.277008;18.198570;17.818847
100;19.537408;19.174160;19.436791;19.472529;19.659453
110;19.566452;19.894682;20.577835;20.051758;20.709123
120;20.515944;19.950865;19.914178;20.022551;20.867861
130;19.403011;19.502622;19.772826;19.855999;20.220634
140;19.827049;19.720873;19.126157;19.889019;19.319248
150;19.590520;19.091647;19.989163;19.588809;19.885438
160;19.769874;18.609611;19.225607;19.056509;18.780312
170;19.036475;18.684442;18.999087;19.342460;18.318999
180;19.414116;18.470941;17.929507;18.314113;19.170138
190;19.034340;17.781691;17.946330;18.634587;18.639037
200;18.754495;18.465652;18.468105;17.915136;18.037670
210;18.610993;17.989509;17.841536;18.396513;18.633329
220;18.816767;17.716254;18.183307;17.524750;17.561859
230;17.508262;17.560047;17.864707;18.208954;17.408529
240;17.697217;17.452737;17.299059;17.429591;17.316262
250;17.074093;16.795835;17.576494;17.524132;17.229662
260;17.240460;16.731992;17.273734;17.340766;16.719456
270;16.354747;17.521989;17.284482;16.681511;16.812709
280;16.719483;16.439974;17.218638;17.229484;16.836989
290;16.462366;17.180984;16.499584;16.730761;16.093731
300;15.930081;16.631697;16.925367;16.531107;16.433046
310;15.809233;16.323452;15.889576;16.373102;16.442265
320;15.916405;16.127868;16.445044;16.023877;16.278975
330;15.571081;16.273877;16.160649;16.439293;15.661534
340;15.505154;14.621893;15.928971;14.945045;16.167840
350;15.278510;15.363662;15.395075;15.354577;15.050345
360;14.958565;15.508087;15.264205;15.569377;15.482394
370;16.211754;15.506441;14.743371;15.720431;16.006121
380;15.095840;15.434636;14.734807;15.140493;15.078467
390;14.838243;15.384956;15.383826;14.876590;14.797416
400;14.627187;14.217441;14.600301;15.513490;14.406436
410;14.843508;14.101423;14.338629;14.731734;14.602873
420;14.405049;13.805225;14.365260;15.157848;14.750762
430;14.726027;14.298803;14.676892;14.501637;14.666874
440;14.556787;14.455950;13.478990;13.549288;14.338076
450;14.125573;13.654641;13.990287;14.760229;13.840060
460;13.763055;14.022227;13.508603;14.165148;13.721440
470;13.212362;13.236859;13.090027;13.240865;13.701098
480;13.550529;13.322948;12.908484;13.242758;13.341638
490;12.967064;13.585399;13.407673;13.460946;13.267525
500;13.241815;12.800243;12.687330;12.800999;13.795395
510;13.394459;13.284511;13.154882;13.822926;12.442907
520;12.685675;12.677727;13.042046;12.564520;13.620154
530;12.650206;12.154806;12.927055;13.230438;12.776541
540;12.015900;12.562902;12.420840;13.197738;12.896332
550;13.164846;11.886536;12.776039;12.455116;12.557394
560;13.019111;12.517205;12.275400;11.998476;12.577082
570;12.785844;11.604235;12.327168;11.964503;12.067127
580;12.148566;11.646152;12.242317;11.595976;11.969782
590;11.830300;11.727707;12.070973;12.134435;11.925953
600;12.184804;11.192636;12.003909;12.578741;11.607864
610;11.214485;12.052691;11.956265;11.625782;11.946945
620;11.693906;11.596755;11.797708;11.407598;12.291105
630;11.853418;11.343702;11.409435;11.439890;11.697106
640;11.530534;11.841980;11.632465;11.788760;11.158045
650;11.105236;11.157927;11.298063;10.580223;10.924515
660;11.656215;11.539431;11.436181;11.076417;11.177665
670;11.383009;10.254212;11.112387;10.775114;11.812444
680;10.767903;11.408386;11.434250;10.657139;11.931086
690;10.899260;10.710603;10.835414;10.678635;11.598140
700;10.281213;10.486903;10.764760;10.296743;10.673851
710;10.224749;10.938336;10.573186;10.840115;10.664158
720;10.518712;10.182183;10.574908;11.193932;10.352875
730;10.701380;10.343952;10.536930;10.332348;10.523394
740;10.032570;10.308039;10.757208;10.335777;9.839113
750;9.873909;10.002175;9.814434;10.148160;9.978971
760;9.955388;9.667863;10.130831;9.691247;9.867271
770;9.963268;10.209098;9.539555;9.833219;10.228857
780;8.746554;9.772396;9.593571;9.680716;9.645287
790;9.704640;9.909043;9.806114;9.579060;9.396892
800;9.808803;9.571891;9.473464;9.844359;9.413731
810;9.219994;9.442304;9.796220;9.400624;10.162732
820;9.203107;9.341250;9.437557;9.525948;9.472844
830;9.119580;9.572932;9.004196;9.164485;9.827677
840;9.101974;9.315440;9.041680;8.571713;8.348111
850;8.736830;9.124908;8.878037;9.266746;9.740700
860;9.484018;8.746303;9.373947;9.231682;9.722379
870;9.000294;9.490877;9.328524;8.760720;9.412348
880;8.468307;9.384243;8.501450;8.833283;8.597408
890;9.335155;9.157594;8.529465;8.805529;9.013096
900;8.823608;8.434660;9.041950;9.110286;8.650522
910;8.485511;9.064452;8.255207;8.477596;8.970785
920;9.295022;8.869170;7.942898;7.602600;8.652483
930;7.594167;8.249755;8.118128;8.948164;7.942190
940;8.145002;8.174365;8.388372;9.267574;8.030301
950;7.500800;8.481966;7.871733;8.888015;7.402096
960;8.067359;8.300186;7.822074;7.868497;8.414443
970;7.786743;8.131307;7.985033;8.086915;8.092838
980;8.183787;8.491219;8.304057;7.483546;7.405979
990;7.902496;8.320315;7.803376;7.854735;7.826015
1000;8.143507;7.695544;7.140021;6.804513;7.359035
1010;7.712052;7.804869;7.722238;7.573848;7.281617
1020;7.855470;7.432225;6.575616;7.405279;7.090538
1030;7.517557;7.153878;7.158828;7.466701;6.860447
1040;7.213782;7.113583;7.491198;8.260370;7.337424
1050;7.039977;6.987252;7.267129;8.098666;7.197912
1060;7.328193;7.373787;7.414367;7.642307;7.674917
1070;6.873218;7.489284;7.291725;7.517167;6.807119
1080;6.938113;6.921476;7.634009;7.340206;6.861329
1090;7.292567;7.093328;6.509478;6.923203;7.156557
1100;6.488129;6.613177;7.324990;6.831166;6.120315
1110;6.673134;7.222168;6.940995;7.529437;7.041747
1120;6.729714;6.900485;6.791148;6.965822;6.948507
1130;6.774881;7.126151;6.864080;7.025858;6.385861
1140;7.143332;6.891151;6.580966;6.503050;7.058449
1150;6.934270;5.540298;6.377301;6.815159;6.730415
1160;5.808807;6.469494;6.504929;6.202410;6.448534
1170;5.820861;6.718563;6.030415;6.727671;5.979940
1180;6.127618;6.558678;6.553540;5.768868;6.592317
1190;5.960111;5.753750;6.430241;6.550020;6.087434
1200;5.996256;5.594386;5.828161;6.069509;6.457071
1210;6.249750;5.945412;6.726938;5.328379;6.873149
1220;6.291480;6.229629;6.088946;5.648824;5.913598
1230;6.162931;5.980930;6.260107;5.667137;6.844472
1240;6.207995;6.541130;5.373645;5.881297;5.737497
1250;6.241776;5.892155;6.270604;5.990690;6.402266
1260;6.193573;5.638341;5.732113;5.554788;5.679174
1270;5.783258;5.290049;5.494096;5.156112;5.678230
1280;6.254525;5.801669;5.482613;5.494873;5.703491
1290;6.157758;5.836070;5.008260;5.104667;5.548466
1300;5.466878;5.583446;5.784724;5.436376;5.451594
1310;5.794435;5.556574;5.674768;5.367389;4.900740
1320;6.194003;5.614459;5.473792;5.723823;5.412568
1330;5.354595;5.842696;5.141371;4.837896;5.179622
1340;5.676635;5.704428;5.257834;5.383303;5.652797
1350;5.376566;4.960648;5.360551;5.705608;4.961851
1360;5.628050;5.589068;5.029143;4.620276;5.071420
1370;5.092572;4.655648;5.461510;4.889353;5.159135
1380;5.682586;5.122299;5.390989;5.785270;4.955861
1390;5.137720;4.871743;5.026570;4.577312;5.869124
1400;4.473140;5.697861;4.805392;5.109983;5.372865
1410;4.794881;4.774121;5.065430;5.486677;5.302394
1420;4.964688;4.803715;4.881869;4.971046;5.977860
1430;5.403387;4.745607;4.945136;5.114260;4.660638
1440;4.811330;4.396779;4.385438;4.532557;4.664749
1450;4.627953;5.013505;4.338933;4.376322;4.197577
1460;4.613465;4.768504;5.020568;4.370757;4.392039
1470;3.821010;4.878613;4.763381;4.565177;4.191557
1480;4.493627;4.534990;4.669124;4.750481;4.238345
1490;4.120720;4.642654;4.591532;4.389793;5.054888
1500;3.813100;3.994599;5.095773;3.901026;4.831669
1510;4.389969;4.166293;4.720035;4.289779;4.084450
1520;4.925086;4.340603;3.661914;4.714747;4.410809
