Laser Delay [ns];TA [mOD]
-400;-0.174046
-390;0.100871
-380;0.063951
-370;-0.194869
-360;0.033129
-350;0.292304
-340;0.025816
-330;-0.266827
-320;-0.024784
-310;0.086464
-300;0.063550
-290;0.513671
-280;-0.150692
-270;-0.171963
-260;0.000296
-250;-0.155634
-240;0.002091
-230;-0.340570
-220;-0.181953
-210;-0.216566
-200;0.125554
-190;0.053993
-180;-0.323937
-170;-0.118697
-160;0.119862
-150;-0.029055
-140;-0.123393
-130;-0.108201
-120;0.304590
-110;0.133865
-100;-0.173177
-90;-0.017846
-80;0.224651
-70;-0.178181
-60;0.284720
-50;-0.465223
-40;0.001142
-30;0.363937
-20;0.298652
-10;1.607512
0;4.123358
10;6.153948
20;8.052583
30;10.850661
40;13.020382
50;15.496161
60;17.726018
70;19.909678
80;22.448957
90;24.222154
100;26.675592
110;27.098488
120;26.827989
130;26.541443
140;26.457188
150;26.425336
160;26.278861
170;26.075267
180;25.472339
190;25.228077
200;24.944383
210;24.769021
220;24.288165
230;24.104399
240;23.836680
250;23.466313
260;23.510895
270;22.640746
280;23.340845
290;22.482236
300;22.486653
310;22.067869
320;22.036977
330;20.961944
340;21.296089
350;21.432096
360;20.793940
370;20.512397
380;20.295732
390;20.244869
400;20.180429
410;19.820259
420;19.842729
430;19.476835
440;19.409280
450;18.814021
460;18.346327
470;18.645819
480;18.231933
490;18.301811
500;18.022443
510;17.884438
520;17.723555
530;17.570207
540;17.208707
550;16.864314
560;17.125240
570;16.664331
580;16.342561
590;16.155322
600;16.100118
610;15.770957
620;15.805057
630;15.647312
640;15.871403
650;15.268880
660;15.361234
670;14.663193
680;14.919079
690;14.503960
700;14.408578
710;14.101646
720;14.635924
730;13.744621
740;13.693927
750;13.409541
760;13.279529
770;13.176727
780;13.363218
790;13.252966
800;13.122703
810;13.532509
820;12.705687
830;12.683437
840;12.525859
850;12.441527
860;12.309032
870;12.222340
880;12.359935
890;12.003621
900;11.600928
910;11.414588
920;11.644783
930;11.069799
940;11.039745
950;11.026017
960;10.907267
970;10.655117
980;10.405743
990;10.520517
1000;10.476456
1010;10.187233
1020;10.178160
1030;10.246309
1040;10.418344
1050;9.813715
1060;9.521774
1070;9.846837
1080;9.886317
1090;9.071068
1100;9.106810
1110;8.991018
1120;9.134022
1130;9.167644
1140;8.943600
1150;8.723009
1160;8.708484
1170;8.479699
1180;8.811386
1190;8.300664
1200;8.501970
1210;8.160164
1220;8.327146
1230;8.088275
1240;8.392612
1250;8.113759
1260;8.153731
1270;7.832680
1280;8.190413
1290;7.955159
1300;7.641071
1310;7.651565
1320;7.558159
1330;7.412262
1340;6.938516
1350;7.303891
1360;6.644703
1370;7.370769
1380;6.698888
1390;7.061217
1400;6.627109
1410;6.788611
1420;6.685484
1430;6.769455
1440;6.722350
1450;6.197096
1460;6.626128
1470;6.112292
1480;6.066098
1490;6.212311
1500;6.048576
1510;6.072671
1520;5.939465
1530;6.065763
1540;5.668152
1550;5.659843
1560;5.958093
1570;5.556949
1580;5.507953
1590;5.478522
1600;5.642206
1610;5.560471
1620;5.372932
1630;5.203349
1640;4.913733
1650;5.256683
1660;4.757424
1670;5.157317
1680;5.074002
1690;5.067645
1700;4.911631
1710;4.577095
1720;4.419729
1730;4.613716
1740;4.878955
1750;4.523159
1760;4.372446
1770;4.484060
1780;4.526728
1790;4.241862
1800;4.473652
1810;4.361854
1820;4.574062
1830;4.349800
1840;4.442314
1850;4.266188
1860;4.255836
1870;3.839572
1880;3.641275
1890;3.922663
1900;4.088407
1910;3.892967
1920;4.059008
1930;3.767491
1940;3.977933
1950;3.525085
1960;3.733028
1970;3.574182
1980;4.183973
1990;3.493516
2000;3.652906
2010;3.437454
2020;3.553635
2030;3.355513
2040;3.276821
2050;3.625532
2060;3.211221
2070;3.353491
2080;3.243420
2090;3.413103
2100;2.808966
2110;2.844957
2120;3.208788
2130;3.111419
2140;3.353007
2150;2.912510
2160;3.009219
2170;3.058875
2180;2.687209
2190;3.068231
2200;3.156943
2210;2.805041
2220;2.959490
2230;2.574905
2240;2.754921
2250;2.611200
2260;3.142435
2270;2.677111
2280;2.086208
2290;2.515055
2300;2.566958
2310;2.637286
2320;2.521125
2330;2.777016
2340;2.944786
2350;2.401309
2360;2.444183
2370;2.122786
2380;2.259370
2390;2.114599
2400;2.033658
2410;1.939638
2420;2.048213
2430;2.434594
2440;2.289132
2450;2.279793
2460;2.300474
2470;2.315157
2480;2.476342
2490;1.744710
2500;2.180400
2510;1.663306
2520;1.926146
2530;1.876162
2540;2.332895
2550;1.920722
2560;1.738901
2570;2.235066
2580;2.024452
2590;2.191173
2600;1.999296
2610;1.601698
2620;1.723642
2630;1.948573
2640;2.026951
2650;1.342803
2660;1.810808
2670;1.643561
2680;1.636872
2690;2.120725
2700;1.734750
2710;1.737723
2720;1.625081
2730;1.539012
2740;1.642712
2750;1.774929
2760;1.906176
2770;1.520303
2780;1.433162
2790;1.589188
2800;1.237253
2810;1.084378
2820;1.154539
2830;1.439323
2840;1.320395
2850;1.418804
2860;1.438605
2870;1.302404
2880;1.329976
2890;1.566414
2900;1.687694
2910;1.338887
2920;1.577563
2930;1.095472
2940;1.512547
2950;1.135113
2960;1.263619
2970;1.788626
2980;1.145611
2990;0.947534
3000;1.687586
3010;1.121547
3020;1.390462
3030;1.189177
3040;1.255819
3050;0.933761
3060;1.014623
3070;0.576992
3080;0.885203
3090;0.905875
3100;1.224063
3110;0.768178
3120;0.758578
3130;1.400524
3140;1.047312
3150;1.038599
3160;1.187019
3170;1.298896
3180;1.016336
3190;1.018423
3200;1.039769
3210;0.825511
3220;0.793051
3230;0.903517
3240;0.766391
3250;1.098143
3260;1.018917
3270;0.514230
3280;0.603861
3290;1.148466
3300;0.912921
3310;1.120878
3320;0.568678
3330;0.931369
3340;0.757612
3350;1.022458
3360;1.145667
3370;1.326856
3380;0.776650
3390;0.472069
3400;0.250542
3410;0.645942
3420;0.851510
3430;0.942787
3440;0.552859
3450;0.722881
3460;1.170661
3470;0.661676
3480;0.426607
3490;0.940919
3500;0.509020
3510;0.274806
3520;0.891904
3530;0.773167
3540;0.467838
3550;1.004429
3560;0.670848
3570;0.302204
3580;0.996150
3590;0.799979
3600;0.247395
3610;0.313968
3620;0.756653
3630;0.604374
3640;0.907038
3650;0.903761
3660;0.804337
3670;0.400346
3680;0.607835
3690;1.073332
3700;0.638272
3710;0.328489
3720;0.825498
3730;-0.091839
3740;0.179046
3750;0.725943
3760;0.472976
3770;0.437294
3780;0.395356
3790;0.442328
3800;0.466336
3810;0.626599
3820;0.424164
3830;0.100269
3840;0.018490
3850;0.527834
3860;0.439031
3870;0.386351
3880;0.387354
3890;0.057226
3900;0.392209
3910;0.210140
3920;0.558173
3930;0.612120
3940;0.597797
3950;0.626668
3960;0.256448
3970;0.562049
3980;0.383045
3990;0.403491
4000;0.501136
4010;0.444578
4020;0.474808
4030;-0.063019
4040;0.463366
4050;0.108125
4060;0.406454
4070;0.167256
4080;0.057271
4090;0.474348
4100;0.232933
4110;0.445183
4120;0.391431
4130;0.366773
4140;0.256409
4150;0.705589
4160;0.012186
4170;0.344234
4180;0.078706
4190;0.578540
4200;0.776353
4210;0.384252
4220;0.316803
4230;0.516757
4240;0.068937
4250;0.446105
4260;0.209889
4270;-0.309384
4280;0.407028
4290;0.153512
4300;0.307159
4310;0.546854
