Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.286797;0.503827;-1.004494;0.386289;-0.469053
-390;0.105504;-0.068773;-0.671896;0.537627;0.601894
-380;-0.747944;-0.405504;0.422299;0.542509;0.508398
-370;-0.336726;-1.062018;0.221153;0.783106;-0.579858
-360;-0.085645;-0.432795;-0.375938;1.056806;0.003215
-350;-0.290916;-0.478881;0.522762;0.377956;1.330597
-340;-0.258109;-0.653084;-0.147797;0.421606;0.766463
-330;-0.237339;-0.397809;-0.024314;0.017882;-0.692557
-320;0.127627;0.016049;0.152205;-0.462890;0.043091
-310;0.110707;0.298757;0.241369;-0.012372;-0.206139
-300;-0.319190;0.699722;-0.231447;-0.037063;0.205730
-290;0.380231;0.819131;1.010260;-0.543197;0.901931
-280;0.818510;-0.949906;0.073770;-0.334472;-0.361364
-270;0.501158;-0.449924;-0.101795;-0.957821;0.148569
-260;-0.595777;-0.292621;0.658852;0.287921;-0.056895
-250;-1.028180;0.132478;0.424304;-0.326044;0.019274
-240;0.094919;-0.155494;0.240411;0.044389;-0.213768
-230;-0.022821;-0.474766;0.008717;-0.718913;-0.495067
-220;-0.418940;0.078529;-0.097699;-0.418867;-0.052788
-210;0.278112;-0.848792;-0.159615;-0.129616;-0.222920
-200;0.770019;0.729540;-0.277366;-0.560377;-0.034044
-190;-0.431841;0.318949;0.049030;-0.048119;0.381945
-180;0.344587;-0.826814;-0.612113;-0.154696;-0.370648
-170;0.179407;-0.257578;-0.148024;-0.193763;-0.173525
-160;0.083974;0.234173;-0.292150;0.517712;0.055602
-150;0.582029;-0.306279;-0.259883;0.332127;-0.493271
-140;-0.209014;-0.340691;-0.641676;0.355659;0.218757
-130;-0.990849;0.169811;-0.414647;0.450834;0.243847
-120;0.149898;0.035355;0.489750;0.389174;0.458772
-110;1.038981;0.576398;0.249210;-0.465519;-0.729747
-100;-0.353002;0.251562;-0.015133;-0.311907;-0.437405
-90;-0.253511;-0.233049;0.619704;0.748697;-0.971072
-80;0.652544;0.040819;0.457734;0.413062;-0.440903
-70;-0.734529;-0.792900;0.168103;0.145167;0.323256
-60;0.259033;1.133841;0.002753;-0.131955;0.159926
-50;-0.866971;0.237437;-0.111052;-1.119560;-0.465969
-40;-0.246832;-0.150179;0.863095;-0.231114;-0.229262
-30;0.302524;0.262790;0.412530;0.878606;-0.036767
-20;0.193635;0.287583;0.318507;0.549608;0.143930
-10;1.672189;0.922536;2.279354;1.950578;1.212904
0;3.923266;3.495220;4.668852;4.544804;3.984649
10;5.466570;6.295242;7.220545;6.191248;5.596135
20;7.396676;8.041147;8.099372;8.516298;8.209423
30;10.454379;11.273525;10.848754;11.513013;10.163633
40;12.826137;13.291211;12.593778;12.701738;13.689045
50;15.917008;14.761030;16.043662;14.798728;15.960375
60;17.188070;17.628602;18.350385;17.573913;17.889122
70;20.280185;19.147321;19.963724;20.263321;19.893837
80;23.142482;22.631480;22.336628;22.343783;21.790410
90;23.812493;24.334895;24.783412;23.925335;24.254638
100;26.880791;27.095718;26.623420;26.274474;26.503557
110;27.120348;26.996048;26.750864;27.276006;27.349174
120;26.764336;27.018205;26.942679;26.514113;26.900611
130;27.362730;25.694767;25.525791;26.693288;27.430636
140;26.459086;25.691701;25.910148;27.575048;26.649957
150;26.767022;25.461330;25.914925;27.081784;26.901617
160;26.035985;26.737891;26.210860;25.785783;26.623786
170;26.569552;25.177943;25.905324;26.699267;26.024247
180;26.652836;25.234978;25.461237;24.821393;25.191250
190;25.250398;24.741436;25.767145;25.008705;25.372699
200;24.957108;24.313557;25.136642;25.155948;25.158662
210;25.069720;24.281265;24.986136;24.423502;25.084480
220;23.968018;23.652037;25.124491;24.743656;23.952622
230;24.086360;24.586384;23.782512;24.550868;23.515872
240;23.590532;24.057229;24.422127;23.616535;23.496979
250;22.501793;23.755854;23.937269;24.038823;23.097825
260;23.310575;23.577647;22.866721;23.840240;23.959293
270;23.441914;21.765847;22.534921;22.858874;22.602173
280;23.253453;24.179336;22.198391;23.886667;23.186377
290;22.511176;22.169965;22.153407;22.454516;23.122117
300;21.866113;22.695581;21.993130;22.204072;23.674371
310;22.361615;21.685174;21.371437;22.505601;22.415519
320;21.721350;21.741917;22.504296;22.402256;21.815066
330;21.441262;20.454696;20.908195;21.083269;20.922297
340;20.813610;20.545398;21.802821;21.666651;21.651964
350;21.769048;21.054616;21.054932;21.805529;21.476355
360;20.654222;20.660160;20.628479;21.157755;20.869083
370;20.265766;20.266248;20.107636;20.710746;21.211590
380;20.650490;20.457209;20.023061;19.983256;20.364645
390;20.405289;20.050157;20.002381;20.527902;20.238616
400;19.618654;20.709623;19.794920;19.988188;20.790758
410;19.782551;19.908616;19.648158;19.849713;19.912258
420;18.997619;19.624696;19.645333;20.359466;20.586530
430;19.917924;18.772579;19.316584;19.753056;19.624033
440;18.695684;18.568964;19.653365;19.910537;20.217848
450;19.634896;18.700291;18.573376;18.658097;18.503446
460;18.165143;18.289320;18.535431;18.517925;18.223815
470;18.822859;18.076017;18.480855;18.948480;18.900882
480;18.763564;16.894223;18.176077;18.937301;18.388501
490;18.152957;19.128801;17.992023;18.142932;18.092340
500;18.282354;18.131661;18.082205;17.808874;17.807120
510;17.491722;17.639526;18.221925;18.550006;17.519013
520;17.388286;17.519055;17.095432;18.124270;18.490733
530;17.414009;17.433838;17.993501;17.456117;17.553570
540;17.015153;17.541879;17.863509;16.897712;16.725280
550;17.189400;16.723354;16.601595;16.902948;16.904271
560;17.876924;16.957237;16.966553;17.157189;16.668297
570;16.381208;16.236113;16.740713;16.711901;17.251720
580;16.874426;15.603396;15.957141;15.699794;17.578046
590;16.057819;16.109061;15.743674;16.689925;16.176132
600;16.899674;15.985803;15.108434;16.614889;15.891789
610;15.410861;15.251955;15.543039;16.157138;16.491791
620;16.381162;15.339473;15.999788;15.408979;15.895883
630;15.147579;15.479379;16.114469;15.675891;15.819240
640;16.736089;15.342494;15.841724;15.728408;15.708299
650;15.232480;14.782757;15.410381;15.590024;15.328758
660;14.848721;15.182331;15.794867;15.251206;15.729044
670;14.551760;14.490444;14.035221;15.159525;15.079017
680;15.057060;14.971255;14.949902;14.579933;15.037243
690;14.247313;14.940479;13.919134;14.737892;14.674980
700;15.001987;14.052560;14.237572;13.597976;15.152797
710;13.358525;14.844718;13.643545;14.152855;14.508585
720;14.181263;14.451682;15.561669;14.856477;14.128532
730;13.404715;14.003323;13.987755;13.766387;13.560926
740;13.685039;13.258726;13.540469;13.923924;14.061477
750;13.843407;13.512820;13.405996;13.420520;12.864961
760;12.949677;13.205672;12.929961;13.663248;13.649090
770;13.740783;13.156705;13.059851;12.862190;13.064106
780;12.442490;12.589578;13.656328;14.416053;13.711640
790;13.437052;12.850536;12.768010;13.728268;13.480965
800;13.542123;13.562550;12.284952;13.465818;12.758074
810;13.448297;13.154913;13.714663;13.926700;13.417973
820;11.857633;13.380472;13.068004;12.665106;12.557222
830;13.476365;12.652251;11.755856;13.365243;12.167470
840;12.068923;12.557023;12.166351;12.740615;13.096382
850;12.508866;12.348866;12.366062;12.908309;12.075531
860;12.109624;11.692492;12.489687;12.736587;12.516769
870;12.603286;11.929179;11.729685;12.567501;12.282050
880;13.244584;12.702878;12.233978;11.866339;11.751897
890;12.199879;12.020234;11.165467;12.776605;11.855918
900;12.405411;11.145116;11.470396;11.027384;11.956335
910;10.690660;11.873668;11.649950;11.416843;11.441818
920;12.025090;11.778443;12.426099;11.333238;10.661044
