Laser Delay [ns];TA [mOD]
-400;-0.081841
-390;-0.185796
-380;-0.102476
-370;0.207856
-360;-0.057571
-350;0.479002
-340;-0.213229
-330;-0.366175
-320;0.165613
-310;-0.005334
-300;-0.429452
-290;-0.183257
-280;-0.116298
-270;0.264071
-260;0.526058
-250;-0.679650
-240;-0.189221
-230;-0.125101
-220;0.425433
-210;-0.406132
-200;-0.256855
-190;-0.693244
-180;0.325699
-170;-0.738295
-160;0.623536
-150;0.374358
-140;-0.269278
-130;0.373064
-120;-0.386343
-110;0.004925
-100;0.289961
-90;-0.353399
-80;-0.306694
-70;-0.117543
-60;0.377855
-50;-0.447349
-40;-0.258524
-30;1.067727
-20;3.017086
-10;5.461620
0;9.195859
10;13.276552
20;16.931424
30;19.941545
40;23.100571
50;26.994916
60;30.761528
70;34.891900
80;37.205384
90;39.637727
100;41.783180
110;41.449970
120;41.710187
130;40.126460
140;40.367248
150;39.830638
160;39.274062
170;39.331367
180;38.909086
190;38.545931
200;38.414797
210;37.556941
220;37.691168
230;36.610251
240;35.783148
250;36.259037
260;35.710327
270;35.692032
280;34.128657
290;34.659134
300;34.390528
310;33.583705
320;33.210448
330;32.693087
340;33.176979
350;32.222830
360;32.710801
370;31.848987
380;31.440437
390;31.164898
400;31.233356
410;30.640592
420;29.784927
430;29.439221
440;29.996603
450;29.111619
460;28.467543
470;28.910623
480;28.550870
490;27.789203
500;27.405828
510;26.983334
520;27.062831
530;26.921587
540;26.603365
550;25.985563
560;26.097978
570;25.728888
580;25.604460
590;25.485879
600;25.255656
610;25.052101
620;24.442823
630;24.312684
640;23.921894
650;24.327323
660;23.736373
670;23.798565
680;23.260751
690;23.203089
700;22.511527
710;22.638398
720;23.052560
730;21.980417
740;21.769968
750;21.237617
760;21.555472
770;20.706877
780;19.917863
790;20.857601
800;20.472060
810;20.010967
820;20.380831
830;19.880621
840;19.884872
850;19.486177
860;19.911092
870;19.010575
880;19.170907
890;18.515247
900;18.723317
910;18.285657
920;18.122933
930;17.875130
940;18.260515
950;17.878823
960;17.360131
970;17.136863
980;17.593582
990;16.496285
1000;16.634438
1010;16.597594
1020;16.523030
1030;15.976658
1040;15.680019
1050;15.689470
1060;15.483679
1070;15.630819
1080;15.529931
1090;15.371839
1100;14.542029
1110;15.202890
1120;15.243571
1130;14.874800
1140;14.672159
1150;13.497913
1160;14.532116
1170;13.763315
1180;13.364004
1190;13.509635
1200;13.500732
1210;13.097044
1220;13.069254
1230;13.102971
1240;12.722414
1250;12.948944
1260;12.888982
1270;12.156574
1280;12.497842
1290;11.990138
1300;12.405166
1310;12.315052
1320;12.138133
1330;11.222585
1340;11.638496
1350;11.870856
1360;11.497904
1370;11.537238
1380;11.558770
1390;10.778041
1400;11.135113
1410;10.790535
1420;10.433653
1430;10.587738
1440;10.543502
1450;10.262028
1460;10.641913
1470;10.389435
1480;9.865218
1490;10.453459
1500;10.109918
1510;9.366168
1520;9.825181
1530;9.941007
1540;9.679879
1550;9.678110
1560;9.152572
1570;9.233788
1580;9.649680
1590;9.686967
1600;8.645939
1610;8.676682
1620;8.852459
1630;8.641435
1640;8.148276
1650;8.320380
1660;8.810515
1670;8.648939
1680;7.454954
1690;8.243613
1700;7.713908
1710;8.699461
1720;7.524211
1730;8.121873
1740;7.672709
1750;7.934752
1760;7.627703
1770;8.010509
1780;7.621800
1790;7.627578
1800;7.179220
1810;6.998190
1820;7.086003
1830;7.258271
1840;7.459497
1850;6.588327
1860;7.028125
1870;6.291376
1880;6.282570
1890;6.954076
1900;6.586030
1910;7.340662
1920;6.551759
1930;6.658727
1940;6.127313
1950;6.436831
1960;5.830363
1970;6.406199
1980;5.713077
1990;6.518375
2000;5.602238
2010;6.062704
2020;6.454595
2030;5.884156
2040;5.923064
2050;4.970225
2060;5.556813
2070;4.759521
2080;5.427600
2090;5.439844
2100;5.960661
2110;5.085675
2120;4.952355
2130;5.349770
2140;5.508634
2150;4.633020
2160;4.709178
2170;5.543454
2180;4.905730
2190;5.173866
2200;5.015720
2210;4.636231
2220;4.977199
2230;4.530182
2240;4.463170
2250;5.092632
2260;4.321779
2270;5.538483
2280;3.813404
2290;4.616645
2300;4.992716
2310;4.420411
2320;4.134719
2330;4.162311
2340;3.861243
2350;4.213971
2360;4.059073
2370;4.258926
2380;3.851610
2390;3.454494
2400;3.950062
2410;4.017714
2420;3.696638
2430;4.445065
2440;4.905362
2450;4.011057
2460;3.784867
2470;3.292572
2480;3.260283
2490;3.890229
2500;3.459005
2510;4.342964
2520;3.862448
2530;3.829029
2540;3.284496
2550;3.348308
2560;3.598641
2570;3.730568
2580;3.007094
2590;3.112426
2600;3.331439
2610;3.646326
2620;3.381927
2630;3.217795
2640;3.463672
2650;3.733623
2660;2.894163
2670;2.851358
2680;3.107930
2690;3.071451
2700;2.899240
2710;2.461312
2720;2.561505
2730;2.579253
2740;2.688725
2750;2.781423
2760;3.150028
2770;3.337994
2780;2.638216
2790;2.799913
2800;2.844273
2810;3.029474
2820;2.203420
2830;2.465089
2840;2.645876
2850;2.937789
2860;2.136033
2870;2.101640
2880;2.349401
2890;2.772480
2900;2.731746
2910;2.879982
2920;2.502659
2930;2.414024
2940;2.740330
2950;2.067783
2960;2.135929
2970;2.551143
2980;2.399408
2990;2.788757
3000;1.941168
3010;2.210956
3020;2.318876
3030;2.749241
3040;2.535466
3050;1.562786
3060;2.691520
3070;2.310610
3080;2.512709
3090;2.034770
3100;1.683453
3110;2.550182
3120;1.874770
3130;2.409590
3140;2.107703
3150;1.505722
3160;2.205261
3170;2.903852
3180;2.010952
3190;1.215116
3200;2.192153
3210;1.635429
3220;1.496814
3230;1.808849
3240;2.511496
3250;1.514199
3260;1.238508
3270;1.546903
3280;2.690237
3290;2.100208
3300;2.065639
3310;1.665122
3320;1.231930
3330;2.113498
3340;1.851375
3350;1.608456
3360;2.169052
3370;1.681161
3380;2.229535
3390;1.747332
3400;1.545504
3410;1.921162
3420;2.078720
3430;1.292227
3440;1.761098
3450;1.822600
3460;1.253396
3470;1.348048
3480;2.018712
3490;1.019819
3500;1.886096
3510;2.035844
3520;1.622280
3530;1.139483
3540;1.540195
3550;1.742428
3560;0.777682
3570;1.650511
3580;1.135284
3590;1.592057
3600;1.848030
3610;2.219130
3620;1.320796
3630;1.255974
3640;1.346239
3650;0.978496
3660;1.032883
3670;1.277815
3680;0.919384
3690;1.276528
3700;0.727320
3710;1.025708
3720;1.321052
3730;1.333449
3740;1.042878
3750;1.303406
3760;1.050625
3770;1.990021
3780;1.360322
3790;0.668361
3800;1.232701
3810;1.199610
3820;1.355793
3830;1.784324
3840;1.089316
3850;1.195484
3860;1.365119
3870;0.823946
3880;0.880160
3890;0.809928
3900;1.234412
3910;0.844190
3920;1.100849
3930;0.911588
3940;1.574978
3950;0.764643
3960;0.544962
3970;0.938807
3980;1.109356
3990;1.194386
4000;0.886652
4010;1.164267
4020;0.914013
4030;1.125992
4040;0.872126
4050;0.816733
4060;1.062994
4070;1.665987
4080;0.315668
4090;0.574323
4100;0.634957
4110;0.710081
4120;0.685876
4130;1.032982
4140;0.908794
4150;1.095824
4160;0.896550
4170;0.518683
4180;1.013540
4190;0.324534
4200;1.034815
4210;0.527708
4220;0.946999
4230;1.527155
4240;1.355300
4250;1.020790
4260;0.752976
4270;1.004846
4280;0.986529
4290;0.850467
4300;0.724294
4310;1.493406
4320;1.291341
4330;0.297287
4340;0.731326
4350;0.584439
4360;0.753899
4370;0.719596
4380;1.182443
4390;0.266311
4400;1.155428
4410;0.239507
4420;0.260136
4430;0.940059
4440;0.303813
4450;0.280005
4460;0.522896
4470;1.316951
4480;0.435050
4490;0.606630
4500;0.896917
4510;0.741392
4520;1.387370
4530;0.919012
4540;0.605480
4550;0.489641
4560;0.716676
4570;0.667379
4580;0.811817
4590;1.337214
4600;1.559650
4610;1.573918
4620;0.622550
4630;0.554944
4640;0.835849
4650;1.093545
4660;0.026116
4670;0.203961
4680;0.508367
4690;1.133692
4700;0.253113
4710;0.878478
4720;0.597140
4730;0.548841
4740;0.243328
4750;0.535334
4760;0.824838
4770;0.314070
4780;0.865753
4790;1.075020
4800;0.789174
4810;0.716270
4820;0.376779
4830;0.786176
4840;-0.210215
4850;0.277162
4860;0.619684
4870;0.199429
4880;0.591570
4890;0.384690
4900;0.721819
4910;0.031772
4920;0.182490
4930;0.239118
4940;0.572188
4950;1.136499
4960;0.369889
4970;0.989178
4980;0.636406
4990;1.036037
5000;0.597937
