Laser Delay [ns];TA [mOD]
-400;-0.195829
-390;-0.220023
-380;-0.395175
-370;-0.651000
-360;-0.318138
-350;-0.277736
-340;-0.187572
-330;-0.195306
-320;-0.165824
-310;0.118724
-300;-0.086345
-290;-0.231053
-280;0.177512
-270;-0.316864
-260;-0.323292
-250;0.085208
-240;-0.214449
-230;0.048226
-220;-0.211246
-210;-0.393447
-200;-0.292388
-190;-0.267670
-180;-0.571222
-170;0.152227
-160;-0.208930
-150;-0.369622
-140;0.067686
-130;0.036365
-120;-0.148868
-110;-0.346101
-100;-0.160846
-90;-0.209204
-80;-0.590585
-70;0.015066
-60;0.158084
-50;0.109886
-40;-0.301644
-30;0.467064
-20;2.588361
-10;5.553260
0;8.886205
10;12.381824
20;16.374134
30;19.427768
40;23.336140
50;26.625981
60;30.168613
70;33.056662
80;36.519085
90;38.977239
100;40.538686
110;40.443640
120;40.143362
130;39.846136
140;39.901378
150;38.845807
160;38.602288
170;37.946994
180;37.585039
190;36.848229
200;37.116784
210;36.546314
220;36.036818
230;36.109206
240;35.719502
250;35.217793
260;34.911871
270;34.262621
280;33.668079
290;33.940114
300;33.107991
310;33.108816
320;33.037070
330;32.445447
340;32.120104
350;32.045783
360;31.380394
370;31.025279
380;30.772776
390;30.554870
400;30.284869
410;30.189178
420;29.572771
430;29.865087
440;28.923846
450;28.400336
460;28.281713
470;28.194887
480;27.996734
490;27.585239
500;27.083398
510;27.052174
520;26.881596
530;26.470785
540;26.455125
550;25.836585
560;25.327273
570;25.738627
580;25.602336
590;24.642287
600;24.836259
610;24.834937
620;24.279034
630;24.033909
640;23.612872
650;23.576301
660;23.428687
670;22.708152
680;22.785322
690;22.701451
700;22.570865
710;21.965231
720;21.625310
730;21.420135
740;21.463934
750;21.218942
760;20.765610
770;20.386635
780;20.601468
790;19.928235
800;20.148941
810;19.470439
820;19.562488
830;19.919575
840;19.097488
850;19.239401
860;18.475239
870;18.671669
880;18.657455
890;17.913122
900;18.115655
910;18.102594
920;17.678988
930;17.749014
940;17.647208
950;17.707278
960;16.994113
970;17.174438
980;16.582875
990;16.797145
1000;16.296760
1010;16.387346
1020;16.320077
1030;15.670171
1040;15.680743
1050;15.804861
1060;15.772639
1070;15.275568
1080;14.986629
1090;14.578050
1100;15.112031
1110;14.404663
1120;14.678258
1130;14.321703
1140;14.332719
1150;14.235997
1160;13.982308
1170;13.646008
1180;13.791417
1190;13.567664
1200;13.010716
1210;12.798237
1220;13.279719
1230;12.559432
1240;13.082895
1250;12.872855
1260;12.584721
1270;12.516343
1280;12.127107
1290;11.934290
1300;12.276354
1310;11.926155
1320;12.104558
1330;11.582930
1340;11.839501
1350;11.676205
1360;11.260340
1370;11.533681
1380;11.261294
