Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;0.943048;0.018828;0.453356;1.505695;-0.588829;-1.092388;-1.034515;-0.478441;-0.377981;-1.307069
-390;-2.243958;0.408886;1.656897;-0.672058;-0.164990;-1.610526;0.645505;0.323981;-0.637872;0.093903
-380;-0.171986;-0.629081;-0.642508;-1.121227;-1.127707;0.707396;0.528140;-0.340655;-0.571887;-0.582235
-370;-0.286833;-0.028250;-0.305116;-0.922108;-0.864642;-0.473831;-0.235515;0.108055;-2.296365;-1.205397
-360;-0.408528;0.930337;-0.375153;0.505858;-1.023205;-1.082472;-0.577306;0.024206;-0.248663;-0.926454
-350;-0.355743;0.704366;-0.432981;-0.221047;-0.967153;0.099881;0.276528;-0.162000;-0.653105;-1.066110
-340;0.009182;0.662327;0.211104;0.317069;-0.364395;0.658832;0.145223;-0.501656;-2.086758;-0.926651
-330;0.601777;-0.471986;1.052953;-0.729337;-1.255584;0.337818;-0.482900;0.296583;0.154524;-1.456904
-320;-0.806920;0.553543;-0.809636;0.183265;-0.267472;-0.433245;-1.578189;0.091538;0.594092;0.814784
-310;-0.228709;-0.332625;-0.625600;0.616743;0.692926;-0.207952;0.070587;0.482300;0.293197;0.426367
-300;-1.289580;-0.003135;-0.963599;0.082642;-0.373912;1.592874;-0.088606;0.746117;-0.342624;-0.223630
-290;-0.299305;-0.081551;-0.906064;-0.330171;1.237709;-0.030013;0.345889;-1.508934;-0.056745;-0.681347
-280;1.536532;-0.308339;-0.448268;0.369871;0.411244;0.425696;-0.797257;0.352611;0.644472;-0.411441
-270;-0.706676;-1.683350;0.684818;0.476010;0.258945;-0.581865;-0.585716;-0.535692;-0.027478;-0.467638
-260;-0.685265;0.503008;-0.677459;-1.272855;-2.229858;0.378572;0.733315;-0.094970;-0.351046;0.463644
-250;1.556692;-0.153356;0.637743;-0.260270;-0.604520;-0.820398;0.598495;0.278740;0.335478;-0.716523
-240;-0.520777;-1.662341;0.384994;0.462781;-1.503347;-0.532917;0.984677;0.316171;-0.131917;0.058187
-230;0.591926;-1.007817;0.268720;-0.743565;-1.084091;-0.095360;1.866072;0.556410;0.038748;0.091217
-220;-0.360808;-0.475833;-0.676764;-0.012566;0.505039;-0.700352;0.534479;-0.344269;0.259491;-0.840874
-210;-0.610940;-0.692137;0.144505;-0.162425;0.194562;0.456547;-1.962480;-0.642229;-0.357765;-0.302104
-200;-0.269147;-0.486300;-0.674353;-0.778144;-0.805305;0.351443;-1.454209;0.691591;1.037364;-0.536819
-190;-0.900071;-0.606523;-0.635184;-1.330273;0.524994;-0.533385;0.529620;-0.441614;0.465270;0.250467
-180;-0.180805;-0.934687;-1.474536;0.314220;-0.334597;-0.893000;0.102133;-1.158900;-0.827296;-0.324750
-170;0.987207;0.292545;-0.452595;0.726942;-0.112897;-1.025767;1.490642;-0.852411;0.223763;0.244838
-160;-1.245223;-0.792383;0.728380;-0.722313;0.033233;-0.242412;-0.420470;0.281090;-0.437080;0.727873
-150;0.445266;-1.466285;-0.604289;-0.613408;-0.269167;-0.326581;0.332924;-0.295697;-0.835458;-0.063529
-140;0.257976;-0.416013;-1.490353;0.606739;0.078669;0.108477;0.915898;0.909112;-0.093186;-0.200461
-130;-0.856994;-0.561546;-0.118694;0.224314;0.114572;-0.447985;-1.153165;1.333847;-0.259861;2.089168
-120;-0.593013;-0.193493;0.248986;0.268252;-0.797033;-0.275564;0.002696;0.205805;-0.417103;0.061783
-110;-0.241505;-1.134950;-1.007810;0.481975;0.219860;0.028266;-0.831495;0.750392;-1.398658;-0.327086
-100;-0.249796;0.486568;0.592142;-0.368458;-0.072790;0.134580;-0.920626;-0.260275;-1.082270;0.132468
-90;-0.012453;-1.086726;-0.444106;0.048005;0.388301;-0.292649;-0.398307;0.115396;-0.558217;0.148721
-80;0.099681;-1.618027;-0.565419;-0.368611;-0.064441;-0.059682;-1.333867;-1.125750;-0.400437;-0.469302
-70;-0.042339;-1.281646;0.833550;0.611236;0.448894;0.907156;-0.247165;-0.288155;-0.088262;-0.702605
-60;-0.279696;-0.352584;-0.288133;0.281831;0.907122;1.057698;0.048487;0.345366;0.008993;-0.148241
