Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.206015;0.695516;-0.852344;0.049097;-0.095458
-390;-1.589660;0.306871;1.309778;-0.751775;-0.204194
-380;0.296927;0.261992;-0.974477;0.087983;-0.184804
-370;-0.515954;0.713455;1.330672;-0.477710;-0.011185
-360;0.976703;-0.925580;0.122714;0.036173;-0.497862
-350;1.494782;0.506042;1.329973;-1.343995;0.408210
-340;0.802090;0.306148;0.618499;-1.570510;-1.222369
-330;0.020343;-0.830764;-0.227137;-1.226124;0.432809
-320;0.181845;-0.913919;0.622891;0.126458;0.810788
-310;-0.514401;0.559422;0.385566;1.188947;-1.646206
-300;-1.278502;-0.211734;0.226750;0.288222;-1.171997
-290;0.318688;1.009479;-0.652255;-0.800092;-0.792106
-280;-0.077349;0.265047;-0.350098;-0.535481;0.116393
-270;0.886477;0.752419;0.009352;0.651853;-0.979746
-260;-0.500864;0.606363;0.441157;1.183170;0.900464
-250;-0.624191;-1.140510;-0.349143;0.062564;-1.346972
-240;-0.165414;-0.152677;0.380246;0.000447;-1.008705
-230;1.312472;0.271272;-0.703408;0.246705;-1.752543
-220;-0.114766;1.295032;-0.110298;0.040242;1.016954
-210;-1.323341;-0.643182;0.691052;-0.307297;-0.447890
-200;-1.085907;-0.309079;-0.817397;0.296492;0.631616
-190;-1.425672;-0.415733;0.767154;-1.196703;-1.195268
-180;-0.246611;0.198949;2.106816;-0.199712;-0.230948
-170;-0.625268;-0.668502;-1.446944;-0.030475;-0.920288
-160;-0.284278;1.299006;1.033149;0.717149;0.352655
-150;-0.782324;0.060333;0.936225;0.736736;0.920823
-140;-0.098477;-0.747748;-0.762939;0.965814;-0.703039
-130;1.356282;-0.253510;1.335096;0.127150;-0.699698
-120;-0.694149;0.986164;-1.351982;-0.484866;-0.386880
-110;0.673427;0.212266;-1.146170;0.048363;0.236738
-100;0.312907;0.411109;0.184613;-0.069389;0.610565
-90;-0.445559;-1.163376;0.368593;-0.494435;-0.032219
-80;0.764688;-0.805989;-1.283833;0.367470;-0.575806
-70;-0.427597;0.183610;-0.173413;0.609973;-0.780289
-60;-0.390971;0.021869;0.934907;0.649747;0.673721
-50;-0.128682;-0.275126;-1.267393;0.880510;-1.446052
-40;-1.146338;0.608390;-0.233512;-0.007604;-0.513557
-30;0.497954;1.800968;0.930805;0.854263;1.254645
-20;3.642476;3.154659;2.472810;2.744781;3.070705
-10;4.314750;6.092927;6.374516;5.584125;4.941783
0;10.477420;9.650364;8.188808;9.296011;8.366694
10;13.353852;14.155431;13.500860;13.151803;12.220812
20;16.938620;16.081814;16.595188;17.647981;17.393517
30;21.117137;19.381371;18.876169;19.488768;20.844280
40;23.778269;22.812420;24.938934;21.978981;21.994250
50;27.249625;26.751208;27.277495;27.443129;26.253122
60;31.520483;31.417515;30.869486;30.484501;29.515652
70;36.117731;33.809237;36.163230;34.528258;33.841047
80;38.425126;38.112567;36.961189;36.466497;36.061542
90;40.262325;39.677405;39.252219;39.913649;39.083037
100;43.032369;42.207047;41.295311;41.015941;41.365233
110;41.483187;41.909621;41.082168;41.582340;41.192533
120;43.278630;42.799424;40.135125;41.023346;41.314409
130;40.540597;40.103500;39.638942;41.095389;39.253872
140;41.730528;40.947887;40.044406;40.102826;39.010591
150;41.236125;39.996123;38.845549;39.524717;39.550678
160;41.211582;39.528913;37.985175;39.013072;38.631566
170;41.037970;38.804524;39.573249;39.107696;38.133395
180;40.221853;39.184518;37.513842;38.715306;38.909909
190;39.643506;38.903153;37.656000;38.240924;38.286075
200;40.118733;38.582552;37.476892;37.937279;37.958530
210;39.133210;38.704235;36.593042;36.312042;37.042176
220;39.461933;38.847029;35.441530;37.446188;37.259160
230;37.337462;37.958108;36.258905;36.727937;34.768841
240;36.549893;36.410813;34.490277;34.983979;36.480780
250;37.847679;36.501053;35.110687;35.764596;36.071173
260;36.290241;36.105830;35.444638;34.948413;35.762513
270;37.613249;35.227582;35.338961;36.399000;33.881367
280;35.079142;34.508545;33.949439;33.463409;33.642749
290;36.633903;35.838399;33.685417;35.145003;31.992949
300;36.851518;34.692699;33.629004;33.211402;33.568016
310;34.277210;33.049563;35.442830;33.039707;32.109216
320;33.220415;33.613608;33.571273;33.438260;32.208684
330;34.487059;32.581184;31.883948;32.579824;31.933417
340;33.692959;33.533428;32.669408;32.347707;33.641392
350;32.066423;32.576745;32.111777;32.537173;31.822032
360;33.461697;33.431641;32.264599;32.157433;32.238637
370;33.295613;32.124252;31.462432;30.763674;31.598965
380;33.289198;31.815848;31.027328;30.948329;30.121480
390;31.740230;31.978043;31.241849;30.495042;30.369327
400;32.287590;30.356075;30.096788;31.412625;32.013700
410;32.420229;30.590641;30.858719;29.614871;29.718501
420;30.817987;30.249577;28.869836;29.171175;29.816059
430;31.371386;29.146440;29.955790;28.166104;28.556383
440;30.963486;30.161645;29.319481;29.890379;29.648023
450;30.785328;28.947842;28.330305;28.474428;29.020194
460;28.470743;28.914175;28.858729;28.405513;27.688555
470;29.975646;28.193135;28.239930;28.678345;29.466058
480;29.112535;28.740067;27.994889;29.212204;27.694657
490;28.960366;26.906689;28.372026;27.736353;26.970580
500;29.206070;27.340034;27.452421;27.265586;25.765029
510;26.989283;26.971353;26.265567;26.863587;27.826879
520;29.218818;27.139347;25.622535;26.413809;26.919647
530;28.318728;26.691773;26.225528;26.777819;26.594090
540;27.239135;26.067376;26.196715;27.716413;25.797185
550;26.840682;26.844962;26.240095;23.937931;26.064144
560;27.107433;26.526301;23.915355;26.528616;26.412186
570;26.687405;26.130812;25.970340;24.894549;24.961333
580;26.233470;26.484034;24.878095;25.810201;24.616500
590;25.520620;25.366143;25.779954;24.302472;26.460204
600;25.995233;25.582799;25.054592;24.459697;25.185958
610;25.825682;24.038406;24.934609;25.074444;25.387365
620;24.617186;23.928797;24.299141;23.843655;25.525339
630;24.263681;24.896159;23.758916;24.231058;24.413606
640;24.733702;23.897150;23.571170;24.033773;23.373674
650;25.253214;25.434654;24.535692;23.005120;23.407934
660;25.026711;23.762043;23.341633;23.133181;23.418297
670;23.542439;23.125233;23.148765;24.917328;24.259060
680;24.581463;22.387799;23.689246;22.005547;23.639701
690;24.779717;23.079505;22.516045;22.265153;23.375026
