Laser Delay [ns];TA [mOD]
-400;-0.116985
-390;-0.234073
-380;-0.326523
-370;-0.047062
-360;-0.302365
-350;0.154695
-340;-0.212281
-330;-0.066703
-320;-0.191318
-310;-0.533943
-300;-0.114857
-290;-0.277281
-280;-0.380682
-270;-0.491629
-260;-0.286848
-250;-0.137578
-240;-0.105387
-230;-0.201662
-220;-0.377882
-210;-0.211899
-200;-0.285543
-190;-0.320478
-180;-0.517876
-170;-0.061252
-160;-0.492682
-150;-0.102775
-140;-0.385767
-130;-0.540506
-120;-0.486801
-110;-0.041499
-100;-0.053045
-90;-0.216558
-80;-0.107498
-70;-0.436612
-60;-0.167991
-50;-0.119268
-40;-0.163718
-30;0.185655
-20;1.067713
-10;3.107314
0;5.461903
10;7.535290
20;9.970635
30;12.145116
40;14.131408
50;16.445414
60;18.544694
70;20.630936
80;22.543368
90;24.326028
100;25.538234
110;25.348753
120;25.242794
130;24.721808
140;24.554539
150;24.239986
160;23.889982
170;23.659991
180;23.513931
190;23.267763
200;23.087970
210;22.889811
220;22.460168
230;22.095447
240;21.727485
250;21.552761
260;21.277937
270;20.928290
280;21.133971
290;20.569215
300;20.265640
310;20.089436
320;19.846979
330;19.824738
340;19.513128
350;18.815354
360;19.060424
370;18.677361
380;18.435667
390;18.170666
400;18.158438
410;17.933940
420;17.512055
430;17.324605
440;17.177671
450;17.005795
460;16.551135
470;16.841637
480;16.292479
490;16.024788
500;16.003445
510;15.722133
520;15.616226
530;15.454450
540;15.338409
550;15.071865
560;15.001384
570;14.599712
580;14.337924
590;14.352984
600;14.314510
610;13.866184
620;13.882189
630;14.013831
640;13.435634
650;13.294576
660;13.127486
670;13.195827
680;12.641148
690;12.882043
700;12.595739
710;12.230106
720;12.182352
730;12.460602
740;12.055624
750;11.701014
760;11.640667
770;11.512923
780;11.709111
790;11.373561
800;11.144862
810;11.080594
820;11.018904
830;10.818643
840;10.759013
850;10.944374
860;10.519850
870;10.228740
880;10.192058
890;10.104213
900;9.838521
910;10.020202
920;9.622406
930;9.709639
940;9.885697
950;9.348107
960;9.363273
970;9.581038
980;8.949823
990;8.892434
1000;9.126918
1010;8.821603
1020;8.658279
1030;8.741592
1040;8.578161
1050;8.424979
1060;8.249226
1070;8.091456
1080;8.014980
1090;7.897183
1100;8.151229
1110;8.035644
1120;7.665679
1130;7.631323
1140;7.775753
1150;7.414230
1160;7.674176
1170;7.265364
1180;7.350297
1190;7.086809
1200;6.927973
1210;6.740969
1220;6.835069
1230;6.718578
1240;6.695878
1250;6.571219
1260;6.505778
1270;6.483575
1280;6.497369
1290;6.398023
1300;6.582362
1310;6.355692
1320;6.209711
1330;6.115829
1340;6.231657
1350;5.966856
1360;5.824271
1370;5.843533
1380;5.972897
1390;5.610837
1400;5.964289
1410;5.876714
1420;5.512464
1430;5.797555
1440;5.105880
1450;5.320224
1460;5.535663
1470;5.248779
1480;5.347411
1490;4.886645
1500;5.079157
1510;4.946548
1520;4.936823
1530;5.199801
1540;4.866897
1550;4.969582
1560;4.714383
1570;4.581162
1580;4.766224
1590;4.884362
1600;4.656307
1610;4.407034
1620;4.464055
1630;4.563327
1640;4.695865
1650;4.472713
1660;4.350214
1670;4.444146
1680;4.063671
1690;4.080119
1700;4.195521
1710;4.351430
1720;4.021644
1730;4.048421
1740;3.839544
1750;3.875970
1760;4.035919
1770;3.813291
1780;3.724926
1790;3.681313
1800;3.821415
1810;3.417815
1820;3.864148
1830;3.588290
1840;3.708708
1850;3.718483
1860;3.415249
1870;3.552704
1880;3.413104
1890;3.367578
1900;3.443061
1910;3.377627
1920;3.236546
1930;3.440338
1940;3.244212
1950;3.090995
1960;3.177733
1970;3.005261
1980;3.117927
1990;3.124353
2000;3.246840
2010;2.985566
2020;3.348795
2030;3.109078
2040;3.244792
2050;2.933102
2060;3.000721
2070;2.825640
2080;2.816872
2090;2.930529
2100;2.563400
2110;3.024757
2120;2.871399
2130;2.552461
2140;2.470294
2150;2.759160
2160;2.766616
2170;2.514295
2180;2.638133
2190;2.584266
2200;2.646642
2210;2.631357
2220;2.648921
2230;2.374372
2240;2.404979
2250;2.544751
2260;2.302406
2270;2.582551
2280;2.505411
2290;2.323225
2300;2.332972
2310;2.247609
2320;2.299818
2330;2.284012
2340;2.151520
2350;2.146211
2360;2.302117
2370;2.210422
2380;2.172277
2390;2.337944
2400;2.268200
2410;2.095247
2420;2.147581
2430;1.853985
2440;2.223901
2450;1.891250
2460;2.195586
2470;2.057895
2480;2.155605
2490;1.819314
2500;2.540008
2510;1.979155
2520;1.982396
2530;1.937251
2540;1.852305
2550;1.800522
2560;1.746037
2570;1.842755
2580;1.844890
2590;1.566331
2600;1.708930
2610;1.698216
2620;1.925293
2630;1.490185
2640;1.654677
2650;1.926439
2660;1.918626
2670;1.676120
2680;1.584565
2690;1.683211
2700;1.776711
2710;1.386532
2720;1.757976
2730;1.738811
2740;1.665031
2750;1.580141
2760;1.515974
2770;1.666572
2780;1.846048
2790;1.785507
2800;1.456737
2810;1.692079
2820;1.565821
2830;1.523319
2840;1.805061
2850;1.616079
2860;1.622066
2870;1.193743
2880;1.437632
2890;1.431189
2900;1.541017
2910;1.342396
2920;1.500827
2930;1.410131
2940;1.558380
2950;1.334969
2960;1.269260
2970;1.408464
2980;1.291797
2990;1.531609
3000;1.452338
3010;1.374145
3020;1.543820
3030;1.470733
3040;1.361541
3050;1.299341
3060;1.292673
3070;1.454094
3080;1.473400
3090;1.160963
3100;1.314049
3110;1.169910
3120;1.327623
3130;1.451695
3140;1.729771
3150;1.352337
3160;1.233927
3170;1.298132
3180;1.341985
3190;1.160309
3200;1.101237
3210;1.270249
3220;1.349343
3230;1.406613
3240;1.123867
3250;1.216236
3260;1.228559
3270;1.062441
3280;1.257073
3290;1.095209
3300;1.116261
3310;1.139488
3320;0.916864
3330;1.233484
3340;0.983959
3350;1.178186
3360;1.180180
3370;1.085184
3380;0.839783
3390;0.947070
3400;1.022493
3410;1.026000
3420;0.906194
3430;1.152958
3440;0.988723
3450;1.185507
3460;0.827033
3470;1.081826
3480;1.253272
3490;1.182257
3500;1.149139
3510;0.770343
3520;0.945628
3530;1.118600
3540;1.127723
3550;1.211305
3560;1.095364
3570;1.051352
3580;0.978246
3590;1.077589
3600;1.451022
3610;0.873976
3620;1.022466
3630;0.838896
3640;0.902170
3650;0.973828
3660;1.180448
3670;1.008531
3680;1.100087
3690;0.851760
3700;0.929133
3710;0.994552
3720;0.948347
3730;1.048031
3740;0.717899
3750;0.715488
3760;1.006022
3770;0.859758
3780;0.910034
3790;0.871740
3800;1.133001
3810;0.881111
3820;1.369956
3830;0.932316
3840;0.792442
3850;1.049189
3860;0.914871
3870;0.807401
3880;1.125645
3890;1.078100
3900;0.848833
3910;1.037178
3920;1.124134
3930;0.925499
3940;1.097724
3950;1.016072
3960;0.973665
3970;0.852949
3980;1.192268
3990;0.707609
4000;1.044402
4010;1.002465
4020;0.649735
4030;1.009098
4040;0.993711
4050;1.185779
4060;0.930837
4070;0.968131
4080;0.910787
4090;0.958740
4100;0.794604
4110;1.026843
4120;1.078957
4130;0.826098
4140;0.737349
4150;0.841972
4160;0.785364
4170;0.807157
4180;0.831063
4190;1.015995
4200;0.664251
4210;0.993441
4220;0.829557
4230;0.907732
4240;0.976577
4250;0.634110
4260;0.755712
4270;0.696737
4280;0.827571
4290;0.769476
4300;0.644680
4310;0.511447
4320;0.984938
4330;0.890811
4340;0.735381
4350;0.929613
4360;0.936908
4370;0.635029
4380;0.843770
4390;0.730290
4400;1.011284
4410;0.950612
4420;0.790721
4430;0.802578
4440;0.840209
4450;0.896068
4460;0.664262
4470;0.809241
4480;0.952825
4490;0.821384
4500;0.980663
4510;0.802835
