Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.147610;-0.061761;-0.373720;0.055021;-0.056855
-390;0.012122;-0.301596;-0.275030;-0.258663;-0.347198
-380;-0.287163;-0.405816;-0.783008;-0.023561;-0.133069
-370;-0.365108;-0.037685;-0.390591;0.377266;0.180807
-360;-0.186268;-0.319524;-0.321096;-0.309751;-0.375186
-350;0.230474;-0.020332;-0.222949;0.691143;0.095140
-340;-0.440059;-0.181045;-0.097783;0.186141;-0.528658
-330;-0.181064;-0.134559;0.121537;0.380197;-0.519629
-320;-0.038325;0.133292;-0.431081;-0.430627;-0.189849
-310;-0.236755;-0.919110;-0.414916;-0.464195;-0.634741
-300;-0.318850;0.257338;0.212033;-0.013454;-0.711354
-290;-0.190497;-0.546422;0.452198;-0.896167;-0.205518
-280;-0.181547;-0.847476;-0.440316;-0.299204;-0.134865
-270;-0.346460;-0.600889;-0.805784;-0.417086;-0.287927
-260;0.240402;-0.927411;-0.113550;-0.430316;-0.203367
-250;0.305239;-0.527776;-0.392531;-0.115640;0.042818
-240;-0.512556;0.191726;-0.375353;0.199056;-0.029806
-230;-0.313371;-0.079990;0.159858;-0.682036;-0.092770
-220;-0.845860;-0.110029;-0.536498;-0.646620;0.249595
-210;-0.468648;-0.082974;0.261720;-0.393023;-0.376573
-200;-0.590407;-0.182025;-0.677721;0.096813;-0.074372
-190;-0.803152;-0.104139;0.003378;-0.093437;-0.605043
-180;-0.550450;-0.412987;-0.755684;-0.835851;-0.034407
-170;-0.271774;-0.430797;0.630622;-0.185525;-0.048785
-160;-0.638019;-0.373202;-0.479102;-0.617923;-0.355166
-150;0.060577;0.003808;-0.606425;0.064312;-0.036145
-140;-0.487605;-0.707875;-0.005060;0.008007;-0.736304
-130;-1.123570;-0.679153;-0.410803;-0.116129;-0.372875
-120;-0.435764;0.034349;-1.340300;-0.286946;-0.405344
-110;0.070994;-0.414434;0.376708;0.045824;-0.286585
-100;0.078088;-0.449332;-0.535113;0.793278;-0.152145
-90;0.328373;-0.519512;-0.904511;0.123329;-0.110471
-80;-0.205571;-0.116403;-0.362848;0.125480;0.021851
-70;-0.618468;-0.179484;-0.338492;-0.378591;-0.668023
-60;-0.311777;-0.335790;-0.518489;0.337025;-0.010925
-50;0.384542;-0.670616;0.037089;0.092562;-0.439915
-40;0.022455;-0.151926;-0.028238;-0.201511;-0.459370
-30;0.912951;0.108362;-0.456743;0.361604;0.002099
-20;0.865913;1.067871;1.326826;0.720173;1.357782
-10;3.091555;3.474779;2.625123;3.170965;3.174147
0;5.442898;5.499481;5.704456;5.297527;5.365153
10;8.148286;7.221983;7.201066;7.831926;7.273188
20;10.177343;10.177358;10.234129;9.763221;9.501124
30;11.876506;12.442007;12.177839;12.100632;12.128596
40;14.570853;14.067970;13.841346;14.359363;13.817509
50;16.405850;16.389401;16.616762;16.825210;15.989847
60;18.201550;18.391844;18.598192;18.924342;18.607540
70;20.798414;20.560849;20.576714;20.849181;20.369524
80;22.475665;22.126914;23.153323;21.837347;23.123592
90;24.320120;24.451118;24.230629;24.491409;24.136864
100;25.786748;26.056747;25.055462;25.663541;25.128673
110;25.761659;25.168653;24.942638;25.269655;25.601162
120;25.735233;25.112961;25.371243;24.656527;25.338008
130;24.986888;24.260235;24.297560;24.803983;25.260372
140;24.993097;24.164861;24.453871;24.687060;24.473808
150;24.400746;24.027626;24.290654;24.637899;23.843003
160;23.173973;24.003600;24.350079;23.539746;24.382510
170;24.105642;23.570293;23.842328;23.387733;23.393959
180;23.499599;23.053388;23.620081;23.745632;23.650955
190;23.475607;23.491667;23.127200;23.367007;22.877333
200;23.039010;23.337314;23.523446;22.821652;22.718431
210;23.093217;22.345091;23.207746;23.232938;22.570063
