Laser Delay [ns];TA [mOD]
-400;-0.117155
-390;-0.087018
-380;-0.103629
-370;-0.176811
-360;-0.133110
-350;-0.480835
-340;0.002075
-330;-0.263525
-320;-0.094263
-310;-0.291293
-300;-0.107048
-290;-0.315910
-280;-0.093514
-270;-0.086690
-260;-0.214723
-250;-0.054744
-240;-0.106436
-230;-0.329218
-220;-0.454387
-210;-0.047318
-200;-0.215766
-190;0.043246
-180;-0.047620
-170;-0.244593
-160;-0.225596
-150;-0.166004
-140;-0.060005
-130;-0.193275
-120;-0.119545
-110;-0.462505
-100;-0.013728
-90;-0.261706
-80;-0.029370
-70;-0.181980
-60;-0.247238
-50;-0.150579
-40;-0.025768
-30;0.377142
-20;0.999398
-10;1.759096
0;2.840172
10;4.107629
20;5.259210
30;6.350885
40;7.422377
50;8.558702
60;9.487778
70;10.508816
80;11.536282
90;12.131953
100;12.659648
110;12.719767
120;12.252609
130;12.136377
140;12.262335
150;12.012785
160;11.677568
170;11.394895
180;11.304845
190;11.022158
200;11.118216
210;10.588291
220;10.457720
230;10.150194
240;10.155551
250;10.025230
260;9.874645
270;9.721591
280;9.455749
290;9.583315
300;9.242203
310;9.021102
320;9.021954
330;9.044611
340;8.672423
350;8.724898
360;8.510097
370;8.665274
380;8.367182
390;7.916888
400;8.234494
410;7.736888
420;8.053269
430;7.585651
440;7.791852
450;7.606389
460;7.344005
470;7.252556
480;7.358180
490;7.130973
500;7.091494
510;7.057735
520;7.109384
530;6.786522
540;6.770777
550;6.881878
560;6.648216
570;6.451103
580;6.450949
590;6.330367
600;6.320803
610;6.181264
620;6.141387
630;5.814764
640;5.870853
650;5.781595
660;5.894607
670;5.689540
680;5.581604
690;5.522101
700;5.618911
710;5.555754
720;5.389118
730;5.333983
740;5.339181
750;5.256966
760;5.127519
770;5.050596
780;5.019491
790;5.062123
800;4.873102
810;5.006105
820;4.693892
830;4.833717
840;4.704462
850;4.921952
860;4.641731
870;4.803772
880;4.814190
890;4.584599
900;4.884303
910;4.471421
920;4.635798
930;4.338712
940;4.593059
950;4.517800
960;4.451132
970;4.315748
980;4.240355
990;4.247402
1000;4.117886
1010;4.359606
1020;4.157827
1030;4.194167
1040;4.065307
1050;4.202981
1060;4.138216
1070;4.236314
1080;3.864941
1090;3.961804
1100;4.203417
1110;3.980543
1120;4.198695
1130;4.065510
1140;4.224035
1150;3.934674
1160;3.909931
1170;3.730395
1180;4.044506
1190;3.737333
1200;3.786910
1210;3.905325
1220;3.698400
1230;3.893408
1240;3.654684
1250;3.489247
1260;3.619911
1270;3.764049
1280;3.656082
1290;3.609224
1300;3.696570
1310;3.597544
1320;3.535016
1330;3.658820
1340;3.415578
1350;3.526017
1360;3.452621
1370;3.494975
1380;3.559020
1390;3.392138
1400;3.762749
1410;3.474994
1420;3.516586
1430;3.470166
1440;3.420423
1450;3.266541
1460;3.402763
1470;3.294132
1480;3.502104
1490;3.397798
1500;3.435161
1510;3.405608
1520;3.390626
1530;3.334298
1540;3.448702
1550;3.535126
1560;3.349396
1570;3.416869
1580;3.287344
1590;3.414163
1600;3.141059
1610;3.426376
1620;3.428644
1630;3.402726
1640;3.374364
1650;3.284783
1660;3.402118
1670;3.076093
1680;3.188211
1690;3.304775
1700;3.210749
1710;3.334514
1720;3.144835
1730;3.393700
1740;3.364302
1750;3.230553
1760;3.247927
1770;3.285217
1780;2.996238
1790;3.271519
1800;3.267766
1810;3.169652
1820;3.231776
1830;3.132723
1840;3.135031
1850;3.331320
1860;3.308730
1870;3.444737
1880;3.047232
1890;3.189382
1900;3.097991
1910;3.069837
1920;3.227542
1930;3.115251
1940;3.022271
1950;3.071727
1960;3.341283
1970;2.932136
1980;2.808291
1990;3.330295
2000;3.215907
2010;3.103350
2020;3.176006
2030;3.171034
2040;3.028052
2050;3.031115
2060;3.282112
2070;3.249188
2080;3.055765
2090;3.020755
2100;2.801327
2110;3.036514
2120;3.104930
2130;2.977660
2140;3.166403
2150;3.202217
2160;3.119849
2170;3.195153
2180;3.129869
2190;3.173753
2200;3.153289
2210;2.928177
2220;2.976268
2230;2.914503
2240;3.185684
2250;3.193661
2260;3.218539
2270;2.994866
2280;2.948743
2290;2.915708
2300;2.842870
2310;3.087172
2320;2.891837
2330;3.043314
2340;3.047466
2350;3.016847
2360;3.175075
2370;3.084880
2380;3.154876
2390;3.065092
2400;3.018409
2410;3.073107
2420;3.231772
2430;3.078128
2440;3.096653
2450;3.071034
2460;3.012383
2470;2.954531
2480;3.100069
2490;3.102736
2500;3.043079
2510;3.041003
2520;2.994786
2530;2.955937
2540;3.078339
2550;2.843712
