Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;0.045696;0.172021;0.134534;-0.210105;-0.761531;-0.186075;-0.087655;-0.113996;-0.365249;0.200811
-390;-0.085889;0.184093;0.351601;0.309616;-0.424962;-0.557806;-0.064273;-0.222361;0.285621;-0.645823
-380;-0.040265;-0.610875;-0.321546;0.061343;-0.627510;0.212072;0.298430;0.216264;-0.153314;-0.070892
-370;-0.023105;-0.070082;0.067142;0.187356;-0.263758;-0.612802;-0.511439;-0.154630;-0.203714;-0.183077
-360;-0.318985;-0.218698;-0.107814;-0.005848;0.193047;0.237984;-0.993062;0.180783;-0.393109;0.094602
-350;-0.418556;-0.235828;-0.317302;-0.682065;-0.453206;-1.007595;-0.660334;0.393776;-0.694880;-0.732355
-340;-0.110483;-0.337887;-0.462358;0.172628;0.254574;0.616397;-0.727676;0.192318;0.600176;-0.176943
-330;-0.175064;-0.655861;-0.058273;-0.166754;-0.956433;-0.081526;0.149285;-0.175146;-0.456442;-0.059040
-320;-0.707120;-0.259358;-0.563037;-0.125499;0.411949;-0.457338;0.096567;0.259955;-0.225011;0.626262
-310;-0.791409;-0.553903;-0.268346;0.055643;0.139887;-0.315276;-0.526358;-0.458073;0.088909;-0.284004
-300;-0.373444;0.011666;0.090387;-0.274837;-0.294403;0.507038;-0.500433;-0.260056;-0.029582;0.053187
-290;-0.438172;-0.545148;-0.387536;-0.301227;0.090455;-0.145750;-0.216411;-0.336351;-0.609708;-0.269257
-280;-0.572048;-0.189123;0.166174;-0.529780;0.483404;0.238721;-0.014609;-0.771816;0.079848;0.174090
-270;-0.288914;-0.386732;-0.069952;-0.105457;0.469261;0.242018;-0.271691;0.043833;-0.103378;-0.395891
-260;-0.741901;-0.420957;-0.218354;-0.140538;-0.621428;-0.428280;0.397905;-0.017566;-0.533991;0.577885
-250;0.221737;-0.020397;-0.008737;0.272163;0.052691;-0.549515;0.169619;-0.228107;-0.439267;-0.017630
-240;-0.043680;-0.175112;-0.134193;-0.120145;-0.204771;-0.651144;-0.298338;-0.014606;0.601186;-0.023557
-230;-0.259167;-0.660761;-0.165961;-0.319155;-0.500288;-0.340632;0.073227;0.002918;-0.892554;-0.229805
-220;-0.011658;-0.972135;-0.947018;-0.119956;0.447895;-0.655839;-0.523813;0.093249;-0.988877;-0.865717
-210;-0.108009;-0.005855;-0.032113;0.252061;0.108312;-0.741548;-0.304479;0.323187;-0.206441;0.241707
-200;0.000000;-0.812823;0.338152;-0.223080;-0.413066;-0.445436;0.392323;-0.064091;0.162049;-1.091686
-190;0.305662;-0.388647;-0.749376;0.184947;-0.035145;-0.148468;0.070275;0.096282;0.478380;0.618545
-180;0.002910;0.655478;0.069811;-0.537725;-0.222104;0.104828;0.081995;-0.274636;0.038365;-0.395119
-170;-0.221325;0.215864;-0.416923;0.343950;-0.289636;-0.453827;-0.721362;-0.723111;0.159173;-0.338733
-160;0.075678;-0.453029;-0.534086;-0.170446;-0.026342;-0.392900;0.125715;0.014656;-0.968842;0.073631
-150;0.052473;-0.327450;-0.189700;0.517288;-0.721099;-0.791708;-0.204950;0.029300;-0.372542;0.348345
-140;0.131172;0.064327;0.029187;-0.049953;0.910936;0.040811;-0.043897;-0.278593;-1.135738;-0.268301
-130;0.669223;-0.595011;0.333022;-0.032336;-0.354595;-0.876485;0.281274;-0.775551;-0.479035;-0.103261
-120;0.352741;-0.026429;-0.705181;-0.442894;-0.238048;0.261676;0.105501;-0.254670;-0.215736;-0.032409
-110;-0.586915;0.231758;-1.048945;-0.925724;-1.117168;-0.367148;0.310399;-0.752919;0.206856;-0.575243
-100;0.778043;-0.102438;0.168962;-0.397064;0.102832;0.235918;-0.293213;-0.430850;-0.529043;0.329576
-90;-0.466066;0.169382;-0.256400;-0.620668;-0.592354;-0.230444;-0.408198;-0.418852;0.020664;0.185874
-80;0.037885;-0.259632;-0.652664;0.255519;0.079015;0.446894;-0.052819;0.014608;-0.469048;0.306541
