Laser Delay [ns];TA [mOD]
-400;-0.142223
-390;0.061941
-380;0.016527
-370;-0.059494
-360;0.013712
-350;0.038957
-340;-0.149707
-330;-0.241835
-320;-0.042903
-310;0.113353
-300;-0.149066
-290;0.069330
-280;-0.046699
-270;-0.174324
-260;-0.108086
-250;0.055492
-240;-0.074554
-230;-0.058548
-220;-0.073808
-210;-0.066253
-200;0.099466
-190;0.057980
-180;-0.025499
-170;-0.030611
-160;-0.081863
-150;0.156186
-140;-0.102556
-130;-0.034690
-120;-0.141606
-110;-0.166214
-100;-0.048801
-90;-0.081769
-80;-0.133653
-70;0.016285
-60;-0.128357
-50;0.203519
-40;-0.090899
-30;0.013365
-20;0.020933
-10;0.669091
0;2.172696
10;3.375529
20;4.744029
30;6.077276
40;7.353052
50;8.501990
60;9.752222
70;11.043112
80;12.268553
90;13.251699
100;14.540821
110;14.967116
120;14.793132
130;14.681763
140;14.403434
150;14.376125
160;14.231271
170;14.106638
180;13.772150
190;13.730831
200;13.743097
210;13.353791
220;13.338029
230;13.131162
240;13.105818
250;12.689813
260;12.677788
270;12.554662
280;12.419428
290;12.432064
300;12.226934
310;11.949641
320;11.989325
330;11.729564
340;11.686363
350;11.574066
360;11.435573
370;11.306526
380;11.256375
390;11.137075
400;10.819323
410;10.631407
420;10.553275
430;10.567677
440;10.522049
450;10.383671
460;10.202258
470;10.226038
480;10.046569
490;9.902256
500;9.955725
510;9.660556
520;9.596913
530;9.457397
540;9.388101
550;9.240866
560;9.196826
570;9.044951
580;8.901456
590;8.852553
600;8.691419
610;8.709453
620;8.727626
630;8.405506
640;8.367285
650;8.328241
660;8.257768
670;8.276800
680;8.067195
690;8.081132
700;7.883491
710;7.725397
720;7.690352
730;7.508197
740;7.630568
750;7.512483
760;7.390791
770;7.298349
780;7.338335
790;7.021783
800;7.110758
810;6.959657
820;6.925540
830;7.026518
840;6.868063
850;6.727340
860;6.436339
870;6.456987
880;6.404607
890;6.392244
900;6.314276
910;6.237249
920;6.253954
930;6.094373
940;5.981759
950;5.880356
960;5.768055
970;5.890243
980;5.743538
990;5.663381
1000;5.566026
1010;5.464676
1020;5.752836
1030;5.550008
1040;5.258540
1050;5.544948
1060;5.106702
1070;5.308085
1080;5.172245
1090;5.061686
1100;4.958116
1110;5.000205
1120;5.020170
1130;4.985989
1140;4.980536
1150;4.835858
1160;4.782273
1170;4.658624
1180;4.667521
1190;4.562863
1200;4.540388
1210;4.498861
1220;4.469981
1230;4.496828
1240;4.549175
1250;4.340953
1260;4.082685
1270;4.124834
1280;4.107629
1290;4.151460
1300;4.086390
1310;3.925269
1320;4.061912
1330;4.096317
1340;3.977538
1350;3.800611
1360;3.823819
1370;3.960821
1380;3.771839
1390;3.661112
1400;3.682367
1410;3.643434
1420;3.604564
1430;3.521831
1440;3.469600
1450;3.433450
1460;3.460388
1470;3.517774
1480;3.377041
1490;3.424734
1500;3.218392
1510;3.203831
1520;3.279767
1530;3.254726
1540;3.011638
1550;3.265683
1560;3.188713
1570;3.028437
1580;3.066484
1590;3.107619
1600;3.114588
1610;2.996503
1620;2.758568
1630;2.668921
1640;2.849581
1650;2.668333
1660;2.641817
1670;2.655164
1680;2.714759
1690;2.652485
1700;2.634303
1710;2.731200
1720;2.697339
1730;2.372900
1740;2.382556
1750;2.508126
1760;2.646232
1770;2.560567
1780;2.375476
1790;2.404117
1800;2.248901
1810;2.305875
1820;2.392844
1830;2.347990
1840;2.247082
1850;2.083199
1860;2.174406
1870;2.444526
1880;2.170237
1890;2.154088
1900;2.266844
1910;2.126281
1920;2.216556
1930;2.115563
1940;2.042903
1950;1.920912
1960;1.939124
1970;1.958162
1980;1.873779
1990;1.814458
2000;1.977194
2010;1.838383
2020;1.796658
2030;1.780648
2040;1.796841
2050;1.821218
2060;1.775238
2070;1.770074
2080;1.864856
2090;1.720723
2100;1.750651
2110;1.709279
2120;1.750199
2130;1.770879
2140;1.807976
2150;1.613365
2160;1.658719
2170;1.677134
2180;1.616628
2190;1.328225
2200;1.543951
2210;1.558989
2220;1.405225
2230;1.431723
2240;1.463853
2250;1.380411
2260;1.401887
2270;1.444865
2280;1.503587
2290;1.506934
2300;1.370796
2310;1.294256
2320;1.399985
2330;1.338105
2340;1.373336
2350;1.230424
2360;1.422007
2370;1.261221
2380;1.391939
2390;1.320362
2400;1.288062
2410;1.172237
2420;1.273983
2430;1.144721
2440;1.199518
2450;1.258582
2460;1.184274
2470;0.979299
2480;1.208373
2490;1.039647
2500;1.168131
2510;1.088303
2520;1.095413
2530;1.028310
2540;1.219195
2550;0.941420
2560;0.999146
2570;1.130527
2580;0.942895
2590;0.890267
2600;0.958974
2610;0.971077
2620;1.081231
2630;1.029382
2640;0.897944
2650;0.910752
2660;0.899228
2670;0.932983
2680;0.958287
2690;0.902295
2700;0.933803
2710;0.753672
2720;0.796597
2730;0.810467
2740;0.956529
2750;0.995452
2760;0.965235
2770;0.847254
2780;0.824488
2790;0.869544
2800;0.759096
2810;0.768715
2820;0.778865
2830;0.665702
2840;0.875698
2850;0.869821
2860;0.762301
2870;0.673121
2880;0.662714
2890;0.679669
2900;0.910957
2910;0.784038
2920;0.678551
2930;0.756518
2940;0.787340
2950;0.570699
2960;0.765599
2970;0.784109
2980;0.644529
2990;0.491902
3000;0.656107
3010;0.584806
3020;0.797863
3030;0.568513
3040;0.690687
3050;0.553161
3060;0.586039
3070;0.584063
3080;0.673378
3090;0.513564
3100;0.628809
3110;0.687815
3120;0.507943
3130;0.502574
3140;0.604003
3150;0.398253
3160;0.491895
3170;0.524090
3180;0.586758
3190;0.424107
3200;0.453887
3210;0.627355
3220;0.423690
3230;0.417028
3240;0.539751
3250;0.474574
3260;0.440761
3270;0.499889
3280;0.481997
3290;0.639990
3300;0.539124
3310;0.539241
3320;0.459402
3330;0.390737
3340;0.584395
3350;0.384846
3360;0.294048
3370;0.309197
3380;0.466857
3390;0.304111
3400;0.574609
3410;0.413873
3420;0.468181
3430;0.392960
3440;0.310003
3450;0.370347
3460;0.370783
3470;0.342525
3480;0.245071
3490;0.304639
3500;0.340952
3510;0.310966
3520;0.251362
3530;0.174726
3540;0.264113
3550;0.431336
3560;0.312555
3570;0.442304
3580;0.385316
3590;0.296036
3600;0.400052
3610;0.332019
3620;0.357464
3630;0.423399
3640;0.326447
3650;0.290122
3660;0.296161
3670;0.340288
3680;0.323699
3690;0.445234
3700;0.181083
3710;0.295961
3720;0.294528
3730;0.309157
3740;0.174608
3750;0.266718
3760;0.313664
3770;0.259694
3780;0.331381
3790;0.370004
3800;0.509989
3810;0.254487
3820;0.429931
3830;0.223710
3840;0.378251
3850;0.270131
3860;0.406529
3870;0.299737
3880;0.177738
3890;0.262924
3900;0.194725
3910;0.277993
3920;0.174342
3930;0.180353
3940;0.299510
3950;0.196082
3960;0.123706
3970;0.140441
3980;0.228963
3990;0.316713
4000;0.322904
4010;0.216364
4020;0.141044
4030;0.111111
4040;0.215112
4050;0.209580
4060;-0.052683
4070;0.161102
4080;0.249778
4090;-0.010374
4100;0.193122
4110;0.272448
4120;0.237729
4130;0.277362
4140;0.185893
4150;0.093600
4160;0.275267
4170;0.233745
4180;0.223806
4190;0.167595
4200;0.287681
4210;0.204078
4220;0.186692
4230;0.188839
4240;0.180213
4250;0.156545
4260;0.007137
4270;0.066445
4280;0.324770
4290;0.211920
4300;0.294390
4310;0.253114
4320;0.071711
4330;0.006313
4340;0.084766
4350;0.119354
4360;0.269051
4370;0.096298
4380;0.353871
4390;0.157463
4400;0.154427
4410;0.175160
4420;0.135580
4430;0.169804
4440;0.108120
4450;0.132462
4460;-0.010583
4470;0.067745
4480;0.056091
4490;0.181483
4500;0.217676
4510;0.104339
4520;0.120388
4530;0.175588
4540;0.083310
4550;0.122456
4560;0.008925
