Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
-400;-0.621891;0.232548;-0.018794;0.160685;-0.148631;-0.532368;-0.359098;-0.010852;-0.033905;-0.089923
-390;0.121467;0.370710;0.256338;0.141848;0.073426;0.929184;-0.543118;-0.115934;-0.480221;-0.134288
-380;0.324373;-0.410260;-0.195943;-0.135475;0.120070;0.356280;0.052774;0.060847;0.014808;-0.022201
-370;-0.301748;0.150195;-0.057879;0.016447;-0.010779;-0.091774;0.331688;-0.429546;-0.316763;0.115223
-360;-0.350657;0.334179;0.346839;-0.056569;-0.070857;-0.102452;0.364760;0.104184;-0.323368;-0.108940
-350;-0.123055;-0.054982;-0.441500;0.412430;0.412193;0.093329;0.298545;-0.289175;0.079453;0.002334
-340;-0.365654;-0.278500;-0.308923;-0.285563;-0.064397;0.025026;0.049286;0.010456;-0.300186;0.021383
-330;-0.279936;-0.216609;0.001502;-0.653837;-0.407557;0.075524;0.197618;-0.613617;-0.265563;-0.255871
-320;-0.197670;0.003717;-0.027045;0.234905;-0.007699;0.249791;0.083522;-0.077058;-0.286511;-0.404979
-310;0.337115;0.391113;0.250948;-0.618120;-0.103176;0.143559;0.104084;0.401718;-0.218169;0.444456
-300;-0.024157;-0.102545;0.271287;-0.557867;0.375344;-0.222747;-0.240150;-0.543206;-0.301950;-0.144669
-290;-0.143092;0.154275;-0.453114;0.183373;0.007706;0.115589;0.283620;0.410050;0.033119;0.101777
-280;-0.119586;0.377129;-0.106213;-0.226056;0.065892;-0.375350;0.206617;0.269299;-0.259452;-0.299272
-270;-0.666835;0.478749;-0.013911;0.031735;-0.254135;-0.444016;-0.341898;-0.139385;-0.224911;-0.168631
-260;0.557680;0.127698;-0.491885;0.182706;0.007322;-0.763993;-0.263334;0.063034;-0.158103;-0.341988
-250;-0.020457;-0.362500;0.045438;-0.123117;0.056259;0.148788;0.669966;-0.341931;0.061219;0.421259
-240;0.279669;0.121451;-0.455681;0.115762;-0.338349;-0.415848;0.254383;-0.063785;0.014423;-0.257569
-230;0.103695;0.053485;-0.261806;-0.143862;-0.192340;-0.467133;0.177575;0.004634;0.134053;0.006216
-220;-0.040121;-0.043096;0.142130;-0.402997;0.116722;0.028535;-0.542219;-0.288760;0.464346;-0.172623
-210;0.224694;0.388835;-0.536393;-0.090316;0.318553;-0.209453;0.184998;-0.258590;-0.805784;0.120925
-200;0.415282;0.404696;0.262793;0.276861;-0.248111;0.121511;0.134790;-0.195993;-0.120865;-0.056303
-190;0.178132;0.122675;0.477776;0.183018;-0.669182;-0.076362;-0.192721;-0.306756;0.284165;0.579052
-180;0.244874;0.138325;-0.016545;0.640389;-0.041637;-0.137357;-0.199856;-0.339464;-0.185583;-0.358131
-170;-0.587669;-0.186380;0.208519;-0.298507;-0.235535;0.338886;-0.105238;-0.162142;0.640715;0.081238
-160;0.446180;-0.261900;-0.102975;-0.672370;0.228974;-0.277448;-0.057524;0.268914;-0.522617;0.132135
-150;0.557440;0.244507;-0.006007;-0.000766;0.629884;-0.049445;0.243478;0.022369;-0.205575;0.125977
-140;-0.283237;-0.257596;-0.010159;-0.077253;-0.046254;-0.385941;-0.054453;-0.419654;0.139491;0.369497
-130;-0.027514;0.134422;-0.403757;-0.230607;0.183836;-0.262763;0.090144;0.507584;-0.174707;-0.163535
-120;-0.203780;-0.331934;-0.154240;-0.245995;-0.268841;-0.036331;-0.108647;-0.227289;0.102017;0.058983
-110;-0.147560;-0.328548;0.299811;0.595070;-0.016574;-0.109299;-0.842797;-0.135603;-0.144579;-0.832062
-100;0.338204;-0.193933;-0.059356;-0.417769;-0.321271;0.132754;-0.145656;0.343750;-0.273231;0.108502
-90;-0.288030;-0.206338;0.116243;-0.351618;-0.131471;0.088106;-0.127405;0.177171;0.299585;-0.393929
-80;-0.328056;-0.011139;-0.451224;-0.049279;0.121121;-0.003090;-0.215274;0.043935;-0.401999;-0.041525
-70;-0.024189;0.245261;0.189139;0.025604;0.118452;0.304020;0.397304;-0.459642;-0.327847;-0.305248
-60;0.103278;-0.827427;-0.086052;-0.028682;0.279844;-0.240817;-0.392682;0.030048;-0.149422;0.028343
-50;-0.186424;0.056110;0.237865;0.481682;0.389539;0.179491;-0.025652;0.452090;0.089291;0.361192
-40;0.216235;0.043085;-0.342230;-0.026401;0.309309;-0.129823;0.014381;-0.151616;-0.221879;-0.620054
-30;-0.845600;0.060607;0.116851;0.152000;-0.020854;0.123162;0.207390;0.100448;0.174752;0.064894
-20;0.178040;0.007802;0.220058;0.367825;0.052899;-0.296663;-0.328836;0.090127;-0.161475;0.079559
-10;0.878669;0.778724;0.584307;1.342488;0.522502;0.724516;0.368739;0.665919;0.128019;0.697021
0;2.217880;2.394738;2.099534;2.180651;2.497089;1.776552;2.856976;2.335876;1.953682;1.413978
10;2.981434;3.797632;3.079486;3.465222;3.413192;3.163058;3.336805;3.766415;3.128292;3.623751
20;5.110349;4.770074;5.285505;4.665166;4.364627;5.051354;4.646487;4.729312;4.630496;4.186924
30;6.138566;6.551714;6.129492;6.109192;5.700487;6.468901;5.712648;5.971873;5.847287;6.142602
40;7.742927;7.804014;7.357643;7.237185;7.144466;6.862833;7.303796;7.327026;7.376528;7.374099
50;9.068612;8.984493;8.628992;8.105089;8.144262;8.105156;8.798848;8.399819;8.115559;8.669072
60;10.129697;10.202687;9.636684;10.094425;9.617395;9.574297;9.645755;9.810807;9.288707;9.521766
70;12.071521;11.420135;11.019169;11.563356;11.292606;11.096970;10.268272;10.575084;10.341246;10.782759
80;12.939155;12.603680;12.506910;11.820041;12.123145;12.243668;12.162748;12.096014;12.181823;12.008341
90;13.920830;13.835554;13.707474;13.281907;13.246498;12.995538;13.152201;13.127248;12.481265;12.768479
100;14.919998;15.128415;14.632322;14.438634;14.490237;15.009367;14.132903;14.548645;14.038620;14.069072
110;15.679942;15.629254;15.454739;15.324393;14.751854;14.697158;14.220093;14.718566;14.455745;14.739417
120;15.504601;15.728389;14.891661;15.352828;14.458845;14.548529;14.339952;14.389939;14.411091;14.305481
